"Date","Close"
"2013-12-31","70.31"
"2013-12-30","70.38"
"2013-12-27","70.21"
"2013-12-26","70.30"
"2013-12-24","70.14"
"2013-12-23","70.03"
"2013-12-20","69.82"
"2013-12-19","69.63"
"2013-12-18","69.61"
"2013-12-17","68.35"
"2013-12-16","68.45"
"2013-12-13","68.45"
"2013-12-12","68.77"
"2013-12-11","68.80"
"2013-12-10","69.77"
"2013-12-09","70.63"
"2013-12-06","70.29"
"2013-12-05","69.14"
"2013-12-04","69.46"
"2013-12-03","70.57"
"2013-12-02","70.89"
"2013-11-29","70.53"
"2013-11-27","70.50"
"2013-11-26","70.61"
"2013-11-25","70.42"
"2013-11-22","70.02"
"2013-11-21","69.79"
"2013-11-20","69.34"
"2013-11-19","68.87"
"2013-11-18","69.15"
"2013-11-15","69.50"
"2013-11-14","69.22"
"2013-11-13","68.49"
"2013-11-12","68.29"
"2013-11-11","68.11"
"2013-11-08","68.00"
"2013-11-07","66.73"
"2013-11-06","67.16"
"2013-11-05","66.87"
"2013-11-04","67.09"
"2013-11-01","66.38"
"2013-10-31","65.33"
"2013-10-30","65.22"
"2013-10-29","65.80"
"2013-10-28","65.20"
"2013-10-25","65.24"
"2013-10-24","64.64"
"2013-10-23","63.83"
"2013-10-22","63.76"
"2013-10-21","63.87"
"2013-10-18","64.61"
"2013-10-17","64.62"
"2013-10-16","63.75"
"2013-10-15","62.81"
"2013-10-14","63.11"
"2013-10-11","62.65"
"2013-10-10","62.43"
"2013-10-09","61.27"
"2013-10-08","61.19"
"2013-10-07","61.97"
"2013-10-04","62.47"
"2013-10-03","61.42"
"2013-10-02","62.20"
"2013-10-01","62.48"
"2013-09-30","61.10"
"2013-09-27","61.28"
"2013-09-26","61.16"
"2013-09-25","61.01"
"2013-09-24","60.91"
"2013-09-23","61.57"
"2013-09-20","61.65"
"2013-09-19","62.23"
"2013-09-18","61.49"
"2013-09-17","61.59"
"2013-09-16","60.95"
"2013-09-13","60.28"
"2013-09-12","60.46"
"2013-09-11","60.49"
"2013-09-10","59.37"
"2013-09-09","58.66"
"2013-09-06","58.24"
"2013-09-05","58.15"
"2013-09-04","58.13"
"2013-09-03","57.39"
"2013-08-30","56.92"
"2013-08-29","57.15"
"2013-08-28","56.96"
"2013-08-27","56.87"
"2013-08-26","57.44"
"2013-08-23","57.45"
"2013-08-22","57.43"
"2013-08-21","57.07"
"2013-08-20","57.45"
"2013-08-19","56.85"
"2013-08-16","56.53"
"2013-08-15","57.27"
"2013-08-14","58.03"
"2013-08-13","58.14"
"2013-08-12","58.67"
"2013-08-09","59.49"
"2013-08-08","59.61"
"2013-08-07","58.74"
"2013-08-06","58.66"
"2013-08-05","59.03"
"2013-08-02","58.48"
"2013-08-01","58.80"
"2013-07-31","58.27"
"2013-07-30","58.23"
"2013-07-29","58.39"
"2013-07-26","58.47"
"2013-07-25","57.61"
"2013-07-24","56.77"
"2013-07-23","57.63"
"2013-07-22","58.99"
"2013-07-19","58.81"
"2013-07-18","58.31"
"2013-07-17","58.47"
"2013-07-16","58.28"
"2013-07-15","58.24"
"2013-07-12","58.39"
"2013-07-11","58.10"
"2013-07-10","56.55"
"2013-07-09","55.91"
"2013-07-08","56.28"
"2013-07-05","55.56"
"2013-07-03","55.09"
"2013-07-02","54.83"
"2013-07-01","55.01"
"2013-06-28","55.83"
"2013-06-27","55.31"
"2013-06-26","55.04"
"2013-06-25","53.55"
"2013-06-24","53.61"
"2013-06-21","54.34"
"2013-06-20","54.14"
"2013-06-19","55.56"
"2013-06-18","55.86"
"2013-06-17","55.66"
"2013-06-14","54.93"
"2013-06-13","54.56"
"2013-06-12","54.75"
"2013-06-11","54.81"
"2013-06-10","53.71"
