"Date","Close"
"2013-12-31","103.53"
"2013-12-30","102.92"
"2013-12-27","102.62"
"2013-12-26","102.69"
"2013-12-24","102.07"
"2013-12-23","101.75"
"2013-12-20","101.19"
"2013-12-19","100.36"
"2013-12-18","100.04"
"2013-12-17","98.80"
"2013-12-16","99.20"
"2013-12-13","99.26"
"2013-12-12","99.57"
"2013-12-11","99.90"
"2013-12-10","101.25"
"2013-12-09","101.60"
"2013-12-06","101.95"
"2013-12-05","100.09"
"2013-12-04","101.05"
"2013-12-03","101.40"
"2013-12-02","101.79"
"2013-11-29","102.78"
"2013-11-27","103.15"
"2013-11-26","102.62"
"2013-11-25","102.46"
"2013-11-22","102.59"
"2013-11-21","101.53"
"2013-11-20","97.85"
"2013-11-19","98.55"
"2013-11-18","98.43"
"2013-11-15","98.70"
"2013-11-14","98.30"
"2013-11-13","97.30"
"2013-11-12","96.41"
"2013-11-11","98.52"
"2013-11-08","98.28"
"2013-11-07","97.40"
"2013-11-06","97.78"
"2013-11-05","96.61"
"2013-11-04","96.48"
"2013-11-01","95.86"
"2013-10-31","95.44"
"2013-10-30","96.24"
"2013-10-29","96.39"
"2013-10-28","95.82"
"2013-10-25","96.14"
"2013-10-24","96.74"
"2013-10-23","96.29"
"2013-10-22","97.80"
"2013-10-21","97.48"
"2013-10-18","96.97"
"2013-10-17","96.90"
"2013-10-16","95.75"
"2013-10-15","93.79"
"2013-10-14","94.50"
"2013-10-11","94.10"
"2013-10-10","93.17"
"2013-10-09","91.01"
"2013-10-08","91.16"
"2013-10-07","92.47"
"2013-10-04","92.88"
"2013-10-03","92.29"
"2013-10-02","94.13"
"2013-10-01","94.02"
"2013-09-30","93.56"
"2013-09-27","94.32"
"2013-09-26","94.67"
"2013-09-25","95.27"
"2013-09-24","94.66"
"2013-09-23","94.33"
"2013-09-20","94.99"
"2013-09-19","95.35"
"2013-09-18","94.35"
"2013-09-17","92.80"
"2013-09-16","92.40"
"2013-09-13","91.67"
"2013-09-12","91.05"
"2013-09-11","92.22"
"2013-09-10","90.01"
"2013-09-09","89.50"
"2013-09-06","88.19"
"2013-09-05","88.19"
"2013-09-04","88.23"
"2013-09-03","88.28"
"2013-08-30","87.72"
"2013-08-29","88.26"
"2013-08-28","87.94"
"2013-08-27","88.45"
"2013-08-26","89.76"
"2013-08-23","90.44"
"2013-08-22","90.60"
"2013-08-21","89.36"
"2013-08-20","89.44"
"2013-08-19","88.87"
"2013-08-16","89.55"
"2013-08-15","89.64"
"2013-08-14","90.54"
"2013-08-13","90.35"
"2013-08-12","89.82"
"2013-08-09","89.74"
"2013-08-08","89.87"
"2013-08-07","89.77"
"2013-08-06","90.10"
"2013-08-05","90.96"
"2013-08-02","91.95"
"2013-08-01","92.33"
"2013-07-31","91.38"
"2013-07-30","91.33"
"2013-07-29","91.79"
"2013-07-26","92.33"
"2013-07-25","92.43"
"2013-07-24","91.88"
"2013-07-23","93.23"
"2013-07-22","95.58"
"2013-07-19","94.74"
"2013-07-18","95.26"
"2013-07-17","94.23"
"2013-07-16","93.22"
"2013-07-15","93.73"
"2013-07-12","93.50"
"2013-07-11","92.27"
"2013-07-10","91.75"
"2013-07-09","92.38"
"2013-07-08","91.47"
"2013-07-05","90.12"
"2013-07-03","89.00"
"2013-07-02","88.98"
"2013-07-01","89.77"
"2013-06-28","89.48"
"2013-06-27","89.52"
"2013-06-26","88.60"
"2013-06-25","86.38"
"2013-06-24","85.79"
"2013-06-21","86.15"
"2013-06-20","86.48"
"2013-06-19","88.51"
