"Date","Close"
"2013-12-31","50.93"
"2013-12-30","50.85"
"2013-12-27","50.70"
"2013-12-26","50.74"
"2013-12-24","50.63"
"2013-12-23","50.62"
"2013-12-20","50.01"
"2013-12-19","49.66"
"2013-12-18","49.78"
"2013-12-17","48.94"
"2013-12-16","48.74"
"2013-12-13","48.41"
"2013-12-12","48.11"
"2013-12-11","48.67"
"2013-12-10","48.91"
"2013-12-09","49.01"
"2013-12-06","49.27"
"2013-12-05","48.82"
"2013-12-04","48.77"
"2013-12-03","49.56"
"2013-12-02","48.40"
"2013-11-29","48.22"
"2013-11-27","48.54"
"2013-11-26","49.92"
"2013-11-25","49.66"
"2013-11-22","49.76"
"2013-11-21","49.77"
"2013-11-20","49.08"
"2013-11-19","49.45"
"2013-11-18","50.11"
"2013-11-15","50.69"
"2013-11-14","50.36"
"2013-11-13","50.35"
"2013-11-12","49.85"
"2013-11-11","49.66"
"2013-11-08","49.80"
"2013-11-07","49.14"
"2013-11-06","49.93"
"2013-11-05","49.79"
"2013-11-04","49.16"
"2013-11-01","49.68"
"2013-10-31","49.30"
"2013-10-30","48.78"
"2013-10-29","49.17"
"2013-10-28","47.48"
"2013-10-25","46.75"
"2013-10-24","46.95"
"2013-10-23","46.48"
"2013-10-22","47.64"
"2013-10-21","47.75"
"2013-10-18","47.66"
"2013-10-17","47.52"
"2013-10-16","47.24"
"2013-10-15","46.73"
"2013-10-14","47.27"
"2013-10-11","46.98"
"2013-10-10","46.65"
"2013-10-09","45.69"
"2013-10-08","45.70"
"2013-10-07","46.64"
"2013-10-04","46.99"
"2013-10-03","46.32"
"2013-10-02","46.80"
"2013-10-01","47.11"
"2013-09-30","47.05"
"2013-09-27","46.89"
"2013-09-26","47.45"
"2013-09-25","47.58"
"2013-09-24","47.74"
"2013-09-23","47.56"
"2013-09-20","47.99"
"2013-09-19","48.38"
"2013-09-18","48.50"
"2013-09-17","48.49"
"2013-09-16","48.30"
"2013-09-13","47.95"
"2013-09-12","47.96"
"2013-09-11","48.24"
"2013-09-10","47.88"
"2013-09-09","47.30"
"2013-09-06","47.04"
"2013-09-05","47.29"
"2013-09-04","47.45"
"2013-09-03","46.66"
"2013-08-30","46.28"
"2013-08-29","46.49"
"2013-08-28","46.17"
"2013-08-27","46.16"
"2013-08-26","47.22"
"2013-08-23","47.33"
"2013-08-22","47.24"
"2013-08-21","46.95"
"2013-08-20","47.85"
"2013-08-19","47.78"
"2013-08-16","48.30"
"2013-08-15","47.83"
"2013-08-14","48.88"
"2013-08-13","49.58"
"2013-08-12","49.41"
"2013-08-09","49.00"
"2013-08-08","49.10"
"2013-08-07","49.15"
"2013-08-06","49.42"
"2013-08-05","49.58"
"2013-08-02","49.87"
"2013-08-01","49.94"
"2013-07-31","49.38"
"2013-07-30","48.93"
"2013-07-29","48.50"
"2013-07-26","48.56"
