"Date","Close"
"2013-12-31","43.40"
"2013-12-30","43.69"
"2013-12-27","43.76"
"2013-12-26","43.65"
"2013-12-24","43.27"
"2013-12-23","43.04"
"2013-12-20","43.36"
"2013-12-19","43.79"
"2013-12-18","43.14"
"2013-12-17","41.48"
"2013-12-16","40.66"
"2013-12-13","40.34"
"2013-12-12","40.59"
"2013-12-11","41.71"
"2013-12-10","42.36"
"2013-12-09","42.48"
"2013-12-06","41.94"
"2013-12-05","41.47"
"2013-12-04","41.73"
"2013-12-03","41.10"
"2013-12-02","40.85"
"2013-11-29","40.25"
"2013-11-27","41.49"
"2013-11-26","41.60"
"2013-11-25","41.35"
"2013-11-22","41.86"
"2013-11-21","41.15"
"2013-11-20","39.90"
"2013-11-19","40.97"
"2013-11-18","40.94"
"2013-11-15","40.56"
"2013-11-14","42.00"
"2013-11-13","41.43"
"2013-11-12","40.42"
"2013-11-11","41.14"
"2013-11-08","41.44"
"2013-11-07","41.23"
"2013-11-06","41.76"
"2013-11-05","41.98"
"2013-11-04","40.87"
"2013-11-01","40.90"
"2013-10-31","40.90"
"2013-10-30","41.00"
"2013-10-29","40.73"
"2013-10-28","39.84"
"2013-10-25","39.93"
"2013-10-24","39.18"
"2013-10-23","39.27"
"2013-10-22","39.49"
"2013-10-21","38.66"
"2013-10-18","38.02"
"2013-10-17","37.90"
"2013-10-16","37.52"
"2013-10-15","36.82"
"2013-10-14","36.97"
"2013-10-11","36.59"
"2013-10-10","37.07"
"2013-10-09","36.33"
"2013-10-08","36.19"
"2013-10-07","36.42"
"2013-10-04","36.70"
"2013-10-03","36.75"
"2013-10-02","37.18"
"2013-10-01","36.85"
"2013-09-30","36.84"
"2013-09-27","37.12"
"2013-09-26","36.81"
"2013-09-25","36.67"
"2013-09-24","36.77"
"2013-09-23","36.63"
"2013-09-20","37.24"
"2013-09-19","37.06"
"2013-09-18","37.11"
"2013-09-17","37.16"
"2013-09-16","36.75"
"2013-09-13","36.22"
"2013-09-12","35.99"
"2013-09-11","36.13"
"2013-09-10","36.08"
"2013-09-09","36.11"
"2013-09-06","35.79"
"2013-09-05","36.19"
"2013-09-04","36.10"
"2013-09-03","35.40"
"2013-08-30","35.21"
"2013-08-29","34.81"
"2013-08-28","34.60"
"2013-08-27","34.63"
"2013-08-26","34.50"
"2013-08-23","36.28"
"2013-08-22","36.07"
"2013-08-21","36.30"
"2013-08-20","36.59"
"2013-08-19","36.58"
"2013-08-16","37.25"
"2013-08-15","37.03"
"2013-08-14","38.54"
"2013-08-13","38.63"
"2013-08-12","38.56"
"2013-08-09","38.38"
"2013-08-08","38.30"
"2013-08-07","37.76"
"2013-08-06","37.89"
"2013-08-05","37.86"
"2013-08-02","37.57"
"2013-08-01","37.18"
"2013-07-31","36.47"
"2013-07-30","36.02"
"2013-07-29","36.36"
"2013-07-26","36.67"
"2013-07-25","36.64"
"2013-07-24","36.07"
"2013-07-23","36.56"
"2013-07-22","36.17"
"2013-07-19","36.68"
"2013-07-18","35.79"
"2013-07-17","35.69"
"2013-07-16","35.71"
"2013-07-15","36.22"
"2013-07-12","36.31"
"2013-07-11","36.19"
"2013-07-10","35.90"
"2013-07-09","35.72"
"2013-07-08","35.36"
"2013-07-05","34.88"
"2013-07-03","34.81"
"2013-07-02","34.87"
"2013-07-01","34.35"
"2013-06-28","33.91"
"2013-06-27","33.71"
"2013-06-26","33.58"
"2013-06-25","33.17"
"2013-06-24","32.93"
"2013-06-21","33.09"
"2013-06-20","32.61"
"2013-06-19","33.26"
"2013-06-18","33.83"
"2013-06-17","33.27"
"2013-06-14","33.08"
"2013-06-13","33.39"
"2013-06-12","32.89"
"2013-06-11","33.12"
"2013-06-10","33.10"
"2013-06-07","32.91"
"2013-06-06","32.65"
"2013-06-05","32.60"
"2013-06-04","33.00"
"2013-06-03","32.65"
"2013-05-31","32.23"
"2013-05-30","33.31"
"2013-05-29","33.43"
"2013-05-28","34.14"
"2013-05-24","33.88"
"2013-05-23","34.16"
"2013-05-22","34.14"
"2013-05-21","34.71"
"2013-05-20","34.40"
"2013-05-17","35.00"
"2013-05-16","34.16"
"2013-05-15","34.71"
"2013-05-14","34.06"
"2013-05-13","33.99"
"2013-05-10","34.06"
"2013-05-09","33.91"
"2013-05-08","34.40"
"2013-05-07","34.34"
"2013-05-06","33.88"
"2013-05-03","34.20"
"2013-05-02","33.60"
"2013-05-01","33.58"
"2013-04-30","33.94"
"2013-04-29","34.03"
"2013-04-26","33.47"
"2013-04-25","33.18"
"2013-04-24","32.39"
"2013-04-23","32.55"
"2013-04-22","32.22"
"2013-04-19","32.18"
"2013-04-18","31.91"
"2013-04-17","32.07"
"2013-04-16","32.18"
