"Date","Close"
"2013-12-31","36.16"
"2013-12-30","36.14"
"2013-12-27","36.00"
"2013-12-26","35.95"
"2013-12-24","36.04"
"2013-12-23","35.86"
"2013-12-20","36.15"
"2013-12-19","35.79"
"2013-12-18","35.90"
"2013-12-17","35.25"
"2013-12-16","35.25"
"2013-12-13","35.02"
"2013-12-12","35.12"
"2013-12-11","34.81"
"2013-12-10","35.24"
"2013-12-09","35.72"
"2013-12-06","36.44"
"2013-12-05","36.09"
"2013-12-04","36.55"
"2013-12-03","36.31"
"2013-12-02","36.06"
"2013-11-29","35.85"
"2013-11-27","35.97"
"2013-11-26","36.22"
"2013-11-25","36.59"
"2013-11-22","36.67"
"2013-11-21","36.74"
"2013-11-20","36.67"
"2013-11-19","36.97"
"2013-11-18","37.03"
"2013-11-15","36.95"
"2013-11-14","36.67"
"2013-11-13","36.18"
"2013-11-12","35.97"
"2013-11-11","36.36"
"2013-11-08","36.41"
"2013-11-07","36.26"
"2013-11-06","36.63"
"2013-11-05","36.19"
"2013-11-04","36.57"
"2013-11-01","36.48"
"2013-10-31","36.18"
"2013-10-30","36.22"
"2013-10-29","36.58"
"2013-10-28","36.52"
"2013-10-25","36.48"
"2013-10-24","36.01"
"2013-10-23","36.12"
"2013-10-22","35.96"
"2013-10-21","35.72"
"2013-10-18","35.88"
"2013-10-17","35.84"
"2013-10-16","35.14"
"2013-10-15","35.09"
"2013-10-14","35.53"
"2013-10-11","35.54"
"2013-10-10","35.35"
"2013-10-09","34.70"
"2013-10-08","34.39"
"2013-10-07","34.23"
"2013-10-04","34.54"
"2013-10-03","34.53"
"2013-10-02","34.94"
"2013-10-01","34.87"
"2013-09-30","34.84"
"2013-09-27","35.01"
"2013-09-26","35.16"
"2013-09-25","35.44"
"2013-09-24","35.39"
"2013-09-23","35.03"
"2013-09-20","34.60"
"2013-09-19","34.77"
"2013-09-18","34.84"
"2013-09-17","33.62"
"2013-09-16","33.40"
"2013-09-13","32.86"
"2013-09-12","32.74"
"2013-09-11","32.92"
"2013-09-10","33.27"
"2013-09-09","33.08"
"2013-09-06","33.15"
"2013-09-05","32.84"
"2013-09-04","33.03"
