"Date","Close"
"2013-12-31","46.74"
"2013-12-30","46.64"
"2013-12-27","46.50"
"2013-12-26","46.42"
"2013-12-24","46.59"
"2013-12-23","46.41"
"2013-12-20","46.72"
"2013-12-19","46.38"
"2013-12-18","46.51"
"2013-12-17","45.82"
"2013-12-16","45.97"
"2013-12-13","45.80"
"2013-12-12","45.89"
"2013-12-11","45.78"
"2013-12-10","46.16"
"2013-12-09","46.72"
"2013-12-06","47.10"
"2013-12-05","46.48"
"2013-12-04","46.86"
"2013-12-03","46.87"
"2013-12-02","46.63"
"2013-11-29","47.06"
"2013-11-27","47.07"
"2013-11-26","47.44"
"2013-11-25","47.55"
"2013-11-22","47.70"
"2013-11-21","47.63"
"2013-11-20","47.51"
"2013-11-19","48.01"
"2013-11-18","48.32"
"2013-11-15","47.84"
"2013-11-14","47.59"
"2013-11-13","47.32"
"2013-11-12","47.37"
"2013-11-11","47.10"
"2013-11-08","46.25"
"2013-11-07","46.25"
"2013-11-06","46.74"
"2013-11-05","46.57"
"2013-11-04","47.19"
"2013-11-01","47.04"
"2013-10-31","46.84"
"2013-10-30","47.10"
"2013-10-29","47.27"
"2013-10-28","47.30"
"2013-10-25","47.28"
"2013-10-24","46.72"
"2013-10-23","46.52"
"2013-10-22","45.24"
"2013-10-21","44.64"
"2013-10-18","44.82"
"2013-10-17","44.63"
"2013-10-16","43.77"
"2013-10-15","43.48"
"2013-10-14","44.07"
"2013-10-11","44.27"
"2013-10-10","44.14"
"2013-10-09","43.68"
"2013-10-08","43.49"
"2013-10-07","43.14"
"2013-10-04","43.34"
"2013-10-03","43.33"
"2013-10-02","43.88"
"2013-10-01","43.72"
"2013-09-30","43.35"
"2013-09-27","43.44"
"2013-09-26","43.64"
"2013-09-25","43.79"
"2013-09-24","44.21"
"2013-09-23","44.33"
"2013-09-20","43.73"
"2013-09-19","44.67"
"2013-09-18","44.81"
"2013-09-17","43.20"
"2013-09-16","42.82"
"2013-09-13","42.62"
"2013-09-12","41.92"
"2013-09-11","42.21"
"2013-09-10","42.89"
"2013-09-09","42.67"
"2013-09-06","42.56"
"2013-09-05","42.14"
"2013-09-04","42.21"
"2013-09-03","42.16"
"2013-08-30","42.80"
"2013-08-29","42.69"
"2013-08-28","43.01"
"2013-08-27","42.77"
