"Date","Close"
"2013-12-31","14.51"
"2013-12-30","14.46"
"2013-12-27","14.45"
"2013-12-26","14.46"
"2013-12-24","14.47"
"2013-12-23","14.39"
"2013-12-20","14.32"
"2013-12-19","14.12"
"2013-12-18","14.21"
"2013-12-17","13.94"
"2013-12-16","13.96"
"2013-12-13","13.68"
"2013-12-12","13.85"
"2013-12-11","14.32"
"2013-12-10","14.49"
"2013-12-09","14.71"
"2013-12-06","15.02"
"2013-12-05","14.74"
"2013-12-04","15.31"
"2013-12-03","14.88"
"2013-12-02","14.47"
"2013-11-29","14.57"
"2013-11-27","14.47"
"2013-11-26","14.43"
"2013-11-25","14.53"
"2013-11-22","14.62"
"2013-11-21","14.63"
"2013-11-20","14.59"
"2013-11-19","14.70"
"2013-11-18","14.96"
"2013-11-15","15.28"
"2013-11-14","15.20"
"2013-11-13","15.11"
"2013-11-12","14.86"
"2013-11-11","14.56"
"2013-11-08","14.21"
"2013-11-07","13.70"
"2013-11-06","14.05"
"2013-11-05","13.96"
"2013-11-04","14.12"
"2013-11-01","13.99"
"2013-10-31","14.09"
"2013-10-30","14.24"
"2013-10-29","14.30"
"2013-10-28","14.35"
"2013-10-25","14.31"
"2013-10-24","14.07"
"2013-10-23","14.05"
"2013-10-22","14.30"
"2013-10-21","14.22"
"2013-10-18","14.21"
"2013-10-17","14.06"
"2013-10-16","13.75"
"2013-10-15","13.54"
"2013-10-14","13.81"
"2013-10-11","13.69"
"2013-10-10","13.55"
"2013-10-09","13.22"
"2013-10-08","13.30"
"2013-10-07","13.29"
"2013-10-04","13.38"
"2013-10-03","13.25"
"2013-10-02","13.35"
"2013-10-01","13.38"
"2013-09-30","13.29"
"2013-09-27","13.47"
"2013-09-26","13.59"
"2013-09-25","13.51"
"2013-09-24","13.52"
"2013-09-23","13.51"
"2013-09-20","13.38"
"2013-09-19","13.59"
"2013-09-18","13.65"
"2013-09-17","13.32"
"2013-09-16","13.35"
"2013-09-13","13.27"
"2013-09-12","13.38"
"2013-09-11","13.43"
"2013-09-10","13.57"
"2013-09-09","13.29"
"2013-09-06","13.09"
"2013-09-05","12.71"
"2013-09-04","12.64"
"2013-09-03","12.70"
"2013-08-30","12.71"
"2013-08-29","12.78"
"2013-08-28","12.86"
"2013-08-27","12.73"
"2013-08-26","12.95"
"2013-08-23","12.91"
"2013-08-22","12.88"
"2013-08-21","12.62"
"2013-08-20","12.69"
"2013-08-19","12.49"
"2013-08-16","12.66"
"2013-08-15","12.81"
"2013-08-14","12.99"
"2013-08-13","12.97"
"2013-08-12","13.08"
"2013-08-09","13.09"
"2013-08-08","13.13"
"2013-08-07","12.87"
"2013-08-06","12.76"
"2013-08-05","12.78"
"2013-08-02","12.66"
"2013-08-01","12.66"
"2013-07-31","12.44"
"2013-07-30","12.38"
"2013-07-29","12.40"
"2013-07-26","12.48"
"2013-07-25","12.45"
