"Date","Close"
"2013-12-31","66.80"
"2013-12-30","66.69"
"2013-12-27","67.25"
"2013-12-26","67.11"
"2013-12-24","66.48"
"2013-12-23","66.35"
"2013-12-20","65.65"
"2013-12-19","66.00"
"2013-12-18","66.59"
"2013-12-17","66.01"
"2013-12-16","66.36"
"2013-12-13","65.96"
"2013-12-12","65.64"
"2013-12-11","65.72"
"2013-12-10","66.27"
"2013-12-09","66.45"
"2013-12-06","66.64"
"2013-12-05","65.70"
"2013-12-04","65.71"
"2013-12-03","65.54"
"2013-12-02","66.25"
"2013-11-29","66.37"
"2013-11-27","66.44"
"2013-11-26","66.44"
"2013-11-25","66.22"
"2013-11-22","66.57"
"2013-11-21","66.54"
"2013-11-20","66.21"
"2013-11-19","66.28"
"2013-11-18","66.90"
"2013-11-15","67.48"
"2013-11-14","67.47"
"2013-11-13","66.27"
"2013-11-12","65.25"
"2013-11-11","65.68"
"2013-11-08","65.75"
"2013-11-07","64.26"
"2013-11-06","64.82"
"2013-11-05","64.45"
"2013-11-04","65.06"
"2013-11-01","65.10"
"2013-10-31","64.98"
"2013-10-30","65.02"
"2013-10-29","67.00"
"2013-10-28","66.47"
"2013-10-25","66.30"
"2013-10-24","66.14"
"2013-10-23","65.61"
"2013-10-22","66.06"
"2013-10-21","65.50"
"2013-10-18","65.78"
"2013-10-17","66.11"
"2013-10-16","65.64"
"2013-10-15","64.33"
"2013-10-14","64.49"
"2013-10-11","64.48"
"2013-10-10","63.61"
"2013-10-09","62.28"
"2013-10-08","62.15"
"2013-10-07","62.92"
"2013-10-04","63.73"
"2013-10-03","62.91"
"2013-10-02","63.21"
"2013-10-01","63.42"
"2013-09-30","61.99"
"2013-09-27","62.21"
"2013-09-26","62.51"
"2013-09-25","62.21"
"2013-09-24","62.02"
"2013-09-23","62.01"
"2013-09-20","62.32"
"2013-09-19","62.16"
"2013-09-18","62.87"
"2013-09-17","62.22"
"2013-09-16","61.87"
"2013-09-13","61.04"
"2013-09-12","60.87"
"2013-09-11","60.82"
"2013-09-10","59.92"
"2013-09-09","59.05"
"2013-09-06","58.38"
"2013-09-05","58.92"
"2013-09-04","58.95"
"2013-09-03","58.16"
"2013-08-30","57.79"
"2013-08-29","57.92"
"2013-08-28","57.77"
"2013-08-27","57.76"
"2013-08-26","59.37"
"2013-08-23","59.83"
"2013-08-22","59.94"
"2013-08-21","59.27"
"2013-08-20","59.82"
"2013-08-19","59.49"
"2013-08-16","60.54"
"2013-08-15","60.39"
"2013-08-14","61.68"
"2013-08-13","61.95"
"2013-08-12","61.53"
"2013-08-09","61.52"
"2013-08-08","61.91"
"2013-08-07","61.28"
"2013-08-06","61.71"
"2013-08-05","62.09"
"2013-08-02","62.26"
"2013-08-01","63.54"
"2013-07-31","61.68"
"2013-07-30","60.85"
"2013-07-29","61.01"
"2013-07-26","61.09"
"2013-07-25","60.46"
"2013-07-24","60.90"
"2013-07-23","59.72"
"2013-07-22","60.18"
"2013-07-19","59.39"
"2013-07-18","59.33"
"2013-07-17","59.05"
"2013-07-16","59.18"
"2013-07-15","58.90"
"2013-07-12","59.14"
"2013-07-11","59.25"
"2013-07-10","58.50"
"2013-07-09","58.52"
"2013-07-08","58.02"
"2013-07-05","57.16"
"2013-07-03","56.60"
"2013-07-02","56.79"
"2013-07-01","57.67"
"2013-06-28","58.12"
"2013-06-27","58.20"
"2013-06-26","57.26"
"2013-06-25","56.82"
"2013-06-24","55.68"
"2013-06-21","56.66"
"2013-06-20","56.95"
"2013-06-19","57.34"
"2013-06-18","57.77"
"2013-06-17","57.58"
"2013-06-14","57.51"
"2013-06-13","57.46"
"2013-06-12","56.08"
"2013-06-11","56.41"
"2013-06-10","56.80"
"2013-06-07","57.03"
"2013-06-06","56.57"
"2013-06-05","55.19"
"2013-06-04","55.81"
"2013-06-03","56.40"
"2013-05-31","55.69"
"2013-05-30","56.52"
"2013-05-29","55.69"
"2013-05-28","55.11"
"2013-05-24","54.95"
"2013-05-23","55.06"
"2013-05-22","55.33"
"2013-05-21","55.84"
"2013-05-20","55.58"
"2013-05-17","55.24"
"2013-05-16","54.32"
"2013-05-15","54.81"
"2013-05-14","54.56"
"2013-05-13","53.84"
"2013-05-10","53.95"
"2013-05-09","54.85"
"2013-05-08","55.91"
"2013-05-07","55.38"
"2013-05-06","55.61"
"2013-05-03","55.36"
"2013-05-02","54.94"
"2013-05-01","54.38"
"2013-04-30","54.44"
"2013-04-29","54.04"
"2013-04-26","53.20"
"2013-04-25","52.57"
"2013-04-24","51.56"
"2013-04-23","50.67"
"2013-04-22","49.72"
"2013-04-19","49.39"
"2013-04-18","48.90"
"2013-04-17","49.16"
"2013-04-16","50.21"
"2013-04-15","48.97"
"2013-04-12","50.11"
"2013-04-11","49.81"
"2013-04-10","50.21"
"2013-04-09","49.75"
"2013-04-08","49.60"
"2013-04-05","49.49"
"2013-04-04","51.50"
"2013-04-03","52.70"
"2013-04-02","52.90"
"2013-04-01","52.15"
"2013-03-28","52.02"
"2013-03-27","51.91"
"2013-03-26","52.49"
"2013-03-25","51.52"
"2013-03-22","51.85"
"2013-03-21","51.06"
"2013-03-20","50.72"
"2013-03-19","49.81"
"2013-03-18","50.22"
"2013-03-15","51.08"
"2013-03-14","50.66"
"2013-03-13","50.64"
"2013-03-12","50.75"
"2013-03-11","51.05"
"2013-03-08","50.14"
"2013-03-07","51.57"
"2013-03-06","51.10"
"2013-03-05","51.01"
"2013-03-04","50.21"
"2013-03-01","50.19"
"2013-02-28","49.95"
"2013-02-27","49.93"
"2013-02-26","48.81"
"2013-02-25","48.88"
"2013-02-22","50.07"
"2013-02-21","49.58"
"2013-02-20","49.82"
"2013-02-19","49.53"
"2013-02-15","49.34"
"2013-02-14","48.83"
"2013-02-13","48.65"
"2013-02-12","49.50"
"2013-02-11","50.26"
"2013-02-08","50.35"
"2013-02-07","50.18"
"2013-02-06","51.18"
"2013-02-05","53.49"
"2013-02-04","52.85"
"2013-02-01","53.06"
"2013-01-31","53.06"
"2013-01-30","52.46"
"2013-01-29","53.35"
"2013-01-28","52.99"
"2013-01-25","53.48"
"2013-01-24","53.61"
"2013-01-23","53.13"
"2013-01-22","52.64"
"2013-01-18","51.47"
"2013-01-17","51.44"
"2013-01-16","51.61"
"2013-01-15","53.03"
"2013-01-14","52.95"
"2013-01-11","52.93"
"2013-01-10","53.37"
"2013-01-09","52.50"
"2013-01-08","52.44"
"2013-01-07","51.84"
"2013-01-04","52.04"
"2013-01-03","52.70"
"2013-01-02","54.07"
"2012-12-31","53.12"
"2012-12-28","52.25"
"2012-12-27","53.01"
"2012-12-26","53.50"
"2012-12-24","53.78"
"2012-12-21","53.81"
"2012-12-20","54.70"
"2012-12-19","54.38"
"2012-12-18","54.63"
"2012-12-17","54.09"
"2012-12-14","53.23"
"2012-12-13","53.42"
"2012-12-12","54.19"
"2012-12-11","54.09"
"2012-12-10","53.57"
"2012-12-07","53.58"
"2012-12-06","53.80"
"2012-12-05","53.58"
"2012-12-04","52.57"
"2012-12-03","52.75"
"2012-11-30","52.99"
"2012-11-29","52.67"
"2012-11-28","51.99"
"2012-11-27","51.51"
"2012-11-26","51.85"
"2012-11-23","51.89"
"2012-11-21","51.23"
"2012-11-20","50.96"
"2012-11-19","51.44"
"2012-11-16","50.41"
"2012-11-15","50.14"
"2012-11-14","49.64"
"2012-11-13","50.03"
"2012-11-12","49.84"
"2012-11-09","49.62"
"2012-11-08","49.72"
"2012-11-07","50.48"
"2012-11-06","52.19"
"2012-11-05","51.19"
"2012-11-02","50.63"
"2012-11-01","50.94"
"2012-10-31","49.78"
"2012-10-26","49.58"
"2012-10-25","50.03"
"2012-10-24","49.44"
"2012-10-23","49.66"
"2012-10-22","50.19"
"2012-10-19","49.69"
"2012-10-18","50.11"
"2012-10-17","50.28"
"2012-10-16","49.41"
"2012-10-15","48.78"
"2012-10-12","48.14"
"2012-10-11","48.29"
"2012-10-10","47.61"
"2012-10-09","48.06"
"2012-10-08","48.67"
"2012-10-05","48.61"
"2012-10-04","48.43"
"2012-10-03","47.53"
"2012-10-02","47.56"
"2012-10-01","47.60"
"2012-09-28","47.88"
"2012-09-27","47.72"
"2012-09-26","46.65"
"2012-09-25","47.56"
"2012-09-24","48.31"
"2012-09-21","48.18"
"2012-09-20","48.65"
"2012-09-19","48.60"
"2012-09-18","48.69"
"2012-09-17","49.27"
"2012-09-14","49.66"
"2012-09-13","49.34"
"2012-09-12","48.54"
"2012-09-11","48.62"
"2012-09-10","48.00"
"2012-09-07","48.29"
"2012-09-06","47.41"
"2012-09-05","45.88"
"2012-09-04","46.50"
"2012-08-31","46.18"
"2012-08-30","46.02"
"2012-08-29","46.33"
"2012-08-28","46.19"
"2012-08-27","46.15"
"2012-08-24","46.18"
"2012-08-23","45.71"
"2012-08-22","46.09"
"2012-08-21","46.51"
"2012-08-20","46.10"
"2012-08-17","46.12"
"2012-08-16","45.90"
"2012-08-15","45.64"
"2012-08-14","45.23"
"2012-08-13","45.56"
"2012-08-10","45.86"
"2012-08-09","45.70"
"2012-08-08","45.78"
"2012-08-07","45.55"
"2012-08-06","44.94"
"2012-08-03","44.58"
"2012-08-02","43.14"
"2012-08-01","43.80"
"2012-07-31","43.78"
"2012-07-30","43.84"
"2012-07-27","43.49"
"2012-07-26","41.48"
"2012-07-25","41.29"
"2012-07-24","42.02"
"2012-07-23","42.41"
"2012-07-20","43.28"
"2012-07-19","44.04"
"2012-07-18","43.90"
"2012-07-17","43.61"
"2012-07-16","43.20"
"2012-07-13","43.60"
"2012-07-12","42.44"
"2012-07-11","42.96"
"2012-07-10","42.29"
"2012-07-09","42.56"
"2012-07-06","42.63"
"2012-07-05","42.95"
"2012-07-03","43.37"
"2012-07-02","42.83"
"2012-06-29","42.59"
"2012-06-28","41.00"
"2012-06-27","40.74"
"2012-06-26","40.22"
"2012-06-25","39.67"
"2012-06-22","41.11"
"2012-06-21","41.07"
"2012-06-20","42.39"
"2012-06-19","42.23"
"2012-06-18","41.37"
"2012-06-15","41.98"
"2012-06-14","41.63"
"2012-06-13","40.28"
"2012-06-12","40.64"
"2012-06-11","40.00"
"2012-06-08","40.64"
"2012-06-07","40.90"
"2012-06-06","40.53"
"2012-06-05","38.89"
"2012-06-04","38.45"
"2012-06-01","38.65"
"2012-05-31","40.08"
"2012-05-30","39.66"
"2012-05-29","40.25"
"2012-05-25","39.22"
"2012-05-24","39.68"
"2012-05-23","39.84"
"2012-05-22","40.11"
"2012-05-21","39.73"
"2012-05-18","39.07"
"2012-05-17","39.82"
"2012-05-16","41.61"
"2012-05-15","42.57"
"2012-05-14","42.73"
"2012-05-11","43.36"
"2012-05-10","43.09"
"2012-05-09","42.77"
"2012-05-08","43.59"
"2012-05-07","43.74"
"2012-05-04","43.48"
"2012-05-03","44.35"
"2012-05-02","45.01"
"2012-05-01","45.51"
"2012-04-30","45.04"
"2012-04-27","45.17"
"2012-04-26","45.02"
"2012-04-25","45.26"
