"Date","Close"
"2013-12-31","111.08"
"2013-12-30","110.75"
"2013-12-27","110.85"
"2013-12-26","109.90"
"2013-12-24","108.62"
"2013-12-23","107.39"
"2013-12-20","107.73"
"2013-12-19","103.76"
"2013-12-18","101.13"
"2013-12-17","99.07"
"2013-12-16","100.23"
"2013-12-13","96.57"
"2013-12-12","96.83"
"2013-12-11","95.65"
"2013-12-10","97.41"
"2013-12-09","98.04"
"2013-12-06","98.20"
"2013-12-05","96.50"
"2013-12-04","95.92"
"2013-12-03","95.99"
"2013-12-02","96.42"
"2013-11-29","97.05"
"2013-11-27","97.27"
"2013-11-26","97.39"
"2013-11-25","97.90"
"2013-11-22","98.57"
"2013-11-21","98.78"
"2013-11-20","98.59"
"2013-11-19","98.10"
"2013-11-18","97.02"
"2013-11-15","96.41"
"2013-11-14","95.41"
"2013-11-13","94.80"
"2013-11-12","91.70"
"2013-11-11","91.03"
"2013-11-08","89.95"
"2013-11-07","88.48"
"2013-11-06","88.80"
"2013-11-05","89.24"
"2013-11-04","90.11"
"2013-11-01","90.49"
"2013-10-31","90.61"
"2013-10-30","91.33"
"2013-10-29","92.69"
"2013-10-28","93.38"
"2013-10-25","92.82"
"2013-10-24","92.81"
"2013-10-23","91.57"
"2013-10-22","91.75"
"2013-10-21","90.47"
"2013-10-18","90.74"
"2013-10-17","90.69"
"2013-10-16","89.81"
"2013-10-15","89.71"
"2013-10-14","90.23"
"2013-10-11","89.96"
"2013-10-10","89.86"
"2013-10-09","88.53"
"2013-10-08","88.96"
"2013-10-07","90.14"
"2013-10-04","90.66"
"2013-10-03","90.26"
"2013-10-02","90.40"
"2013-10-01","90.77"
"2013-09-30","90.45"
"2013-09-27","91.04"
"2013-09-26","91.56"
"2013-09-25","91.70"
"2013-09-24","91.68"
"2013-09-23","91.70"
"2013-09-20","92.63"
"2013-09-19","91.20"
"2013-09-18","88.90"
"2013-09-17","88.96"
"2013-09-16","89.28"
"2013-09-13","88.77"
"2013-09-12","88.86"
"2013-09-11","87.75"
"2013-09-10","88.79"
