"Date","Close"
"2013-12-31","66.37"
"2013-12-30","66.23"
"2013-12-27","66.08"
"2013-12-26","66.29"
"2013-12-24","66.25"
"2013-12-23","65.94"
"2013-12-20","65.74"
"2013-12-19","65.17"
"2013-12-18","65.35"
"2013-12-17","64.51"
"2013-12-16","64.80"
"2013-12-13","64.25"
"2013-12-12","64.37"
"2013-12-11","64.45"
"2013-12-10","65.21"
"2013-12-09","65.21"
"2013-12-06","65.33"
"2013-12-05","63.78"
"2013-12-04","64.42"
"2013-12-03","64.75"
"2013-12-02","65.71"
"2013-11-29","64.94"
"2013-11-27","64.78"
"2013-11-26","64.66"
"2013-11-25","63.90"
"2013-11-22","64.04"
"2013-11-21","62.84"
"2013-11-20","61.80"
"2013-11-19","61.76"
"2013-11-18","61.80"
"2013-11-15","61.35"
"2013-11-14","61.59"
"2013-11-13","61.00"
"2013-11-12","59.72"
"2013-11-11","60.26"
"2013-11-08","59.84"
"2013-11-07","58.54"
"2013-11-06","59.58"
"2013-11-05","58.70"
"2013-11-04","59.40"
"2013-11-01","58.60"
"2013-10-31","58.48"
"2013-10-30","58.05"
"2013-10-29","58.47"
"2013-10-28","57.95"
"2013-10-25","57.75"
"2013-10-24","57.08"
"2013-10-23","58.53"
"2013-10-22","59.24"
"2013-10-21","59.50"
"2013-10-18","59.33"
"2013-10-17","59.14"
"2013-10-16","58.62"
"2013-10-15","57.40"
"2013-10-14","57.89"
"2013-10-11","57.69"
"2013-10-10","57.27"
"2013-10-09","55.78"
"2013-10-08","55.14"
"2013-10-07","55.09"
"2013-10-04","55.25"
"2013-10-03","54.16"
"2013-10-02","54.19"
"2013-10-01","54.36"
"2013-09-30","54.10"
"2013-09-27","54.30"
"2013-09-26","54.95"
"2013-09-25","54.78"
"2013-09-24","54.59"
"2013-09-23","53.99"
"2013-09-20","53.81"
"2013-09-19","55.00"
"2013-09-18","55.81"
"2013-09-17","56.15"
"2013-09-16","56.01"
"2013-09-13","55.21"
"2013-09-12","55.10"
"2013-09-11","55.83"
"2013-09-10","55.80"
"2013-09-09","54.48"
"2013-09-06","53.72"
"2013-09-05","54.10"
"2013-09-04","54.46"
"2013-09-03","53.86"
"2013-08-30","53.04"
"2013-08-29","53.60"
"2013-08-28","53.42"
"2013-08-27","53.82"
"2013-08-26","55.55"
"2013-08-23","56.03"
"2013-08-22","55.58"
"2013-08-21","54.85"
"2013-08-20","55.09"
"2013-08-19","54.43"
"2013-08-16","55.23"
"2013-08-15","54.73"
"2013-08-14","55.58"
"2013-08-13","55.76"
"2013-08-12","55.69"
"2013-08-09","55.20"
"2013-08-08","54.82"
"2013-08-07","54.83"
"2013-08-06","54.50"
"2013-08-05","54.51"
"2013-08-02","54.83"
"2013-08-01","54.66"
"2013-07-31","54.16"
"2013-07-30","53.19"
"2013-07-29","53.34"
"2013-07-26","53.09"
"2013-07-25","52.70"
"2013-07-24","52.94"
"2013-07-23","53.12"
"2013-07-22","53.52"
"2013-07-19","53.18"
"2013-07-18","53.52"
"2013-07-17","53.40"
"2013-07-16","53.27"
"2013-07-15","53.19"
"2013-07-12","53.09"
"2013-07-11","52.51"
"2013-07-10","52.30"
"2013-07-09","52.41"
"2013-07-08","51.78"
"2013-07-05","50.95"
"2013-07-03","50.43"
"2013-07-02","51.31"
"2013-07-01","51.51"
"2013-06-28","50.91"
"2013-06-27","50.91"
"2013-06-26","50.26"
"2013-06-25","49.82"
"2013-06-24","49.40"
"2013-06-21","50.24"
"2013-06-20","50.22"
"2013-06-19","51.03"
"2013-06-18","51.82"
"2013-06-17","51.35"
"2013-06-14","50.56"
"2013-06-13","50.86"
"2013-06-12","50.08"
"2013-06-11","50.05"
"2013-06-10","50.70"
"2013-06-07","49.97"
"2013-06-06","49.42"
"2013-06-05","48.62"
"2013-06-04","48.98"
"2013-06-03","49.58"
"2013-05-31","49.74"
"2013-05-30","50.58"
"2013-05-29","49.64"
"2013-05-28","49.97"
"2013-05-24","49.71"
"2013-05-23","50.05"
"2013-05-22","49.94"
"2013-05-21","50.60"
"2013-05-20","50.29"
"2013-05-17","49.84"
"2013-05-16","49.30"
"2013-05-15","49.57"
"2013-05-14","48.64"
"2013-05-13","47.95"
"2013-05-10","47.38"
"2013-05-09","47.52"
"2013-05-08","47.87"
"2013-05-07","48.06"
"2013-05-06","47.92"
"2013-05-03","47.45"
"2013-05-02","47.81"
"2013-05-01","47.34"
"2013-04-30","47.54"
"2013-04-29","47.15"
"2013-04-26","46.52"
"2013-04-25","46.60"
"2013-04-24","47.69"
"2013-04-23","47.28"
"2013-04-22","46.81"
"2013-04-19","46.66"
"2013-04-18","46.11"
"2013-04-17","46.72"
"2013-04-16","47.51"
"2013-04-15","46.53"
"2013-04-12","47.49"
"2013-04-11","47.50"
"2013-04-10","47.16"
"2013-04-09","45.64"
"2013-04-08","45.77"
"2013-04-05","45.01"
"2013-04-04","45.37"
"2013-04-03","45.01"
"2013-04-02","45.30"
"2013-04-01","44.98"
"2013-03-28","45.01"
"2013-03-27","44.40"
"2013-03-26","44.06"
"2013-03-25","44.00"
"2013-03-22","44.02"
"2013-03-21","43.85"
"2013-03-20","44.54"
"2013-03-19","44.38"
"2013-03-18","43.97"
"2013-03-15","44.04"
"2013-03-14","44.21"
"2013-03-13","43.72"
"2013-03-12","43.82"
"2013-03-11","43.57"
"2013-03-08","42.84"
"2013-03-07","42.58"
"2013-03-06","42.34"
"2013-03-05","42.60"
"2013-03-04","41.92"
"2013-03-01","41.82"
"2013-02-28","41.99"
"2013-02-27","41.04"
"2013-02-26","40.65"
"2013-02-25","40.47"
"2013-02-22","41.64"
"2013-02-21","41.01"
"2013-02-20","41.29"
"2013-02-19","42.21"
"2013-02-15","41.84"
"2013-02-14","42.01"
"2013-02-13","41.39"
"2013-02-12","41.05"
"2013-02-11","38.48"
"2013-02-08","38.56"
"2013-02-07","38.39"
"2013-02-06","38.81"
"2013-02-05","38.58"
"2013-02-04","38.16"
"2013-02-01","39.00"
"2013-01-31","38.24"
"2013-01-30","38.47"
"2013-01-29","38.83"
"2013-01-28","38.84"
"2013-01-25","38.62"
"2013-01-24","38.20"
"2013-01-23","37.95"
"2013-01-22","38.53"
"2013-01-18","37.29"
"2013-01-17","37.18"
"2013-01-16","36.30"
"2013-01-15","36.78"
"2013-01-14","36.92"
"2013-01-11","36.19"
"2013-01-10","36.09"
"2013-01-09","35.44"
"2013-01-08","35.24"
"2013-01-07","35.17"
"2013-01-04","35.93"
"2013-01-03","35.39"
"2013-01-02","35.48"
"2012-12-31","34.70"
"2012-12-28","34.30"
"2012-12-27","34.51"
"2012-12-26","34.84"
"2012-12-24","34.82"
"2012-12-21","34.79"
"2012-12-20","35.23"
"2012-12-19","35.43"
"2012-12-18","35.52"
"2012-12-17","35.08"
"2012-12-14","34.54"
"2012-12-13","35.01"
"2012-12-12","35.06"
"2012-12-11","35.03"
"2012-12-10","34.90"
"2012-12-07","34.81"
"2012-12-06","34.59"
"2012-12-05","34.81"
"2012-12-04","34.81"
"2012-12-03","33.96"
"2012-11-30","34.21"
"2012-11-29","33.98"
"2012-11-28","33.99"
"2012-11-27","33.83"
"2012-11-26","34.22"
"2012-11-23","34.35"
"2012-11-21","33.98"
"2012-11-20","34.40"
"2012-11-19","34.61"
"2012-11-16","35.56"
"2012-11-15","34.97"
"2012-11-14","34.85"
"2012-11-13","35.88"
"2012-11-12","36.29"
"2012-11-09","36.64"
"2012-11-08","36.07"
"2012-11-07","36.69"
"2012-11-06","37.82"
"2012-11-05","37.47"
"2012-11-02","37.60"
"2012-11-01","37.99"
"2012-10-31","37.81"
"2012-10-26","37.85"
"2012-10-25","38.02"
"2012-10-24","38.88"
"2012-10-23","38.64"
"2012-10-22","40.89"
"2012-10-19","40.33"
"2012-10-18","41.00"
"2012-10-17","40.88"
"2012-10-16","40.51"
