"Date","Close"
"2013-12-31","47.18"
"2013-12-30","46.94"
"2013-12-27","46.88"
"2013-12-26","47.30"
"2013-12-24","47.73"
"2013-12-23","47.51"
"2013-12-20","47.70"
"2013-12-19","46.60"
"2013-12-18","46.55"
"2013-12-17","45.58"
"2013-12-16","45.39"
"2013-12-13","45.72"
"2013-12-12","43.76"
"2013-12-11","44.44"
"2013-12-10","45.01"
"2013-12-09","44.35"
"2013-12-06","44.95"
"2013-12-05","45.12"
"2013-12-04","45.86"
"2013-12-03","45.65"
"2013-12-02","44.11"
"2013-11-29","44.72"
"2013-11-27","44.40"
"2013-11-26","44.27"
"2013-11-25","44.63"
"2013-11-22","44.20"
"2013-11-21","44.45"
"2013-11-20","45.22"
"2013-11-19","45.35"
"2013-11-18","45.73"
"2013-11-15","45.76"
"2013-11-14","46.17"
"2013-11-13","46.53"
"2013-11-12","45.11"
"2013-11-11","45.24"
"2013-11-08","45.27"
"2013-11-07","44.48"
"2013-11-06","45.16"
"2013-11-05","45.21"
"2013-11-04","45.67"
"2013-11-01","45.07"
"2013-10-31","44.76"
"2013-10-30","45.55"
"2013-10-29","46.57"
"2013-10-28","45.78"
"2013-10-25","45.88"
"2013-10-24","46.06"
"2013-10-23","51.87"
"2013-10-22","53.39"
"2013-10-21","52.20"
"2013-10-18","52.15"
"2013-10-17","52.04"
"2013-10-16","51.81"
"2013-10-15","51.31"
"2013-10-14","51.89"
"2013-10-11","51.89"
"2013-10-10","51.06"
"2013-10-09","49.30"
"2013-10-08","50.00"
"2013-10-07","51.67"
"2013-10-04","52.32"
"2013-10-03","51.16"
"2013-10-02","52.22"
"2013-10-01","52.42"
"2013-09-30","51.70"
"2013-09-27","51.75"
"2013-09-26","52.77"
"2013-09-25","52.08"
"2013-09-24","51.93"
"2013-09-23","51.98"
"2013-09-20","52.71"
"2013-09-19","52.77"
"2013-09-18","52.38"
"2013-09-17","51.58"
"2013-09-16","51.37"
"2013-09-13","51.27"
"2013-09-12","50.57"
"2013-09-11","50.13"
"2013-09-10","49.43"
"2013-09-09","48.89"
"2013-09-06","47.58"
"2013-09-05","47.92"
"2013-09-04","47.43"
"2013-09-03","46.85"
"2013-08-30","45.98"
"2013-08-29","46.50"
"2013-08-28","46.41"
"2013-08-27","46.30"
"2013-08-26","46.60"
"2013-08-23","47.10"
"2013-08-22","47.30"
"2013-08-21","46.29"
"2013-08-20","46.21"
"2013-08-19","46.00"
"2013-08-16","45.91"
"2013-08-15","46.19"
"2013-08-14","46.81"
"2013-08-13","46.94"
"2013-08-12","46.71"
"2013-08-09","46.52"
"2013-08-08","46.63"
"2013-08-07","46.09"
"2013-08-06","46.26"
"2013-08-05","46.90"
"2013-08-02","46.85"
"2013-08-01","47.64"
"2013-07-31","47.20"
"2013-07-30","47.07"
"2013-07-29","46.75"
"2013-07-26","47.23"
"2013-07-25","45.19"
"2013-07-24","43.87"
"2013-07-23","44.25"
"2013-07-22","44.10"
"2013-07-19","44.81"
"2013-07-18","45.34"
"2013-07-17","45.09"
"2013-07-16","44.42"
"2013-07-15","44.69"
"2013-07-12","44.92"
"2013-07-11","44.50"
"2013-07-10","43.52"
"2013-07-09","43.56"
"2013-07-08","43.03"
"2013-07-05","43.03"
"2013-07-03","42.69"
"2013-07-02","42.55"
"2013-07-01","42.97"
"2013-06-28","42.55"
"2013-06-27","42.69"
"2013-06-26","42.76"
"2013-06-25","41.91"
"2013-06-24","41.41"
"2013-06-21","40.75"
"2013-06-20","41.25"
"2013-06-19","42.56"
"2013-06-18","42.84"
"2013-06-17","42.94"
"2013-06-14","42.56"
"2013-06-13","42.64"
"2013-06-12","42.52"
"2013-06-11","43.84"
"2013-06-10","44.75"
"2013-06-07","45.26"
"2013-06-06","44.56"
"2013-06-05","44.30"
"2013-06-04","44.65"
"2013-06-03","45.91"
"2013-05-31","46.12"
"2013-05-30","47.09"
"2013-05-29","46.36"
"2013-05-28","46.56"
"2013-05-24","46.04"
"2013-05-23","46.35"
"2013-05-22","46.12"
"2013-05-21","47.28"
"2013-05-20","47.89"
"2013-05-17","47.49"
"2013-05-16","46.93"
"2013-05-15","48.03"
"2013-05-14","46.90"
"2013-05-13","46.71"
"2013-05-10","46.70"
"2013-05-09","45.61"
"2013-05-08","45.29"
"2013-05-07","45.15"
"2013-05-06","45.06"
"2013-05-03","45.27"
"2013-05-02","44.32"
"2013-05-01","43.64"
"2013-04-30","43.91"
"2013-04-29","43.03"
"2013-04-26","42.61"
"2013-04-25","42.48"
"2013-04-24","36.09"
"2013-04-23","35.47"
"2013-04-22","34.28"
"2013-04-19","33.55"
"2013-04-18","33.74"
"2013-04-17","34.18"
"2013-04-16","34.79"
"2013-04-15","34.44"
"2013-04-12","35.41"
"2013-04-11","35.79"
"2013-04-10","36.04"
"2013-04-09","34.67"
"2013-04-08","34.49"
"2013-04-05","34.18"
"2013-04-04","34.06"
"2013-04-03","34.78"
"2013-04-02","34.84"
"2013-04-01","34.90"
"2013-03-28","35.32"
"2013-03-27","35.16"
"2013-03-26","35.08"
"2013-03-25","34.40"
"2013-03-22","34.78"
"2013-03-21","35.01"
"2013-03-20","35.45"
"2013-03-19","34.67"
"2013-03-18","34.55"
"2013-03-15","34.69"
"2013-03-14","34.66"
"2013-03-13","34.66"
"2013-03-12","34.77"
"2013-03-11","35.60"
"2013-03-08","37.24"
"2013-03-07","37.28"
"2013-03-06","37.53"
"2013-03-05","37.49"
"2013-03-04","37.40"
"2013-03-01","36.65"
"2013-02-28","36.96"
"2013-02-27","36.58"
"2013-02-26","36.36"
"2013-02-25","36.31"
"2013-02-22","36.27"
"2013-02-21","37.07"
"2013-02-20","37.40"
"2013-02-19","38.58"
"2013-02-15","38.49"
"2013-02-14","37.87"
"2013-02-13","37.31"
"2013-02-12","36.74"
"2013-02-11","35.31"
"2013-02-08","35.42"
"2013-02-07","35.26"
"2013-02-06","41.58"
"2013-02-05","41.05"
"2013-02-04","41.36"
"2013-02-01","41.81"
"2013-01-31","40.71"
"2013-01-30","40.40"
"2013-01-29","40.18"
"2013-01-28","40.69"
"2013-01-25","41.15"
"2013-01-24","40.56"
"2013-01-23","40.06"
"2013-01-22","39.93"
"2013-01-18","39.96"
"2013-01-17","39.75"
