"Date","Close"
"2013-12-31","132.88"
"2013-12-30","132.70"
"2013-12-27","131.57"
"2013-12-26","132.91"
"2013-12-24","131.06"
"2013-12-23","130.90"
"2013-12-20","130.64"
"2013-12-19","130.75"
"2013-12-18","128.65"
"2013-12-17","123.06"
"2013-12-16","123.78"
"2013-12-13","123.69"
"2013-12-12","122.35"
"2013-12-11","121.60"
"2013-12-10","125.25"
"2013-12-09","125.84"
"2013-12-06","125.45"
"2013-12-05","122.17"
"2013-12-04","122.65"
"2013-12-03","122.16"
"2013-12-02","123.80"
"2013-11-29","124.50"
"2013-11-27","121.24"
"2013-11-26","121.90"
"2013-11-25","122.17"
"2013-11-22","122.79"
"2013-11-21","121.30"
"2013-11-20","119.06"
"2013-11-19","118.45"
"2013-11-18","120.97"
"2013-11-15","124.07"
"2013-11-14","119.97"
"2013-11-13","116.60"
"2013-11-12","115.72"
"2013-11-11","116.17"
"2013-11-08","117.43"
"2013-11-07","114.10"
"2013-11-06","116.32"
"2013-11-05","119.54"
"2013-11-04","122.93"
"2013-11-01","123.36"
"2013-10-31","122.95"
"2013-10-30","125.50"
"2013-10-29","124.08"
"2013-10-28","124.20"
"2013-10-25","125.17"
"2013-10-24","116.70"
"2013-10-23","109.66"
"2013-10-22","107.72"
"2013-10-21","105.88"
"2013-10-18","108.43"
"2013-10-17","110.79"
"2013-10-16","110.96"
"2013-10-15","108.24"
"2013-10-14","107.01"
"2013-10-11","108.81"
"2013-10-10","108.67"
"2013-10-09","105.48"
"2013-10-08","108.47"
"2013-10-07","114.49"
"2013-10-04","116.44"
"2013-10-03","114.22"
"2013-10-02","116.75"
"2013-10-01","117.39"
"2013-09-30","116.16"
"2013-09-27","116.42"
"2013-09-26","115.97"
"2013-09-25","113.05"
"2013-09-24","113.59"
"2013-09-23","112.50"
"2013-09-20","113.65"
"2013-09-19","114.03"
"2013-09-18","115.93"
"2013-09-17","114.24"
"2013-09-16","113.74"
"2013-09-13","114.14"
"2013-09-12","114.21"
"2013-09-11","114.74"
"2013-09-10","113.62"
"2013-09-09","112.78"
"2013-09-06","111.56"
"2013-09-05","112.49"
"2013-09-04","112.65"
"2013-09-03","110.17"
"2013-08-30","107.76"
"2013-08-29","109.30"
"2013-08-28","107.56"
"2013-08-27","105.70"
"2013-08-26","107.19"
"2013-08-23","105.46"
"2013-08-22","106.77"
"2013-08-21","105.32"
"2013-08-20","105.10"
"2013-08-19","104.43"
"2013-08-16","105.00"
"2013-08-15","106.15"
"2013-08-14","109.69"
"2013-08-13","110.12"
"2013-08-12","109.26"
"2013-08-09","114.09"
"2013-08-08","114.13"
"2013-08-07","114.65"
"2013-08-06","114.37"
"2013-08-05","117.17"
"2013-08-02","117.28"
"2013-08-01","117.21"
"2013-07-31","116.19"
"2013-07-30","117.08"
"2013-07-29","110.05"
"2013-07-26","112.50"
"2013-07-25","107.56"
"2013-07-24","109.76"
"2013-07-23","109.42"
"2013-07-22","112.80"
"2013-07-19","112.17"
"2013-07-18","111.58"
"2013-07-17","108.69"
"2013-07-16","107.04"
"2013-07-15","107.93"
"2013-07-12","114.26"
"2013-07-11","101.44"
"2013-07-10","100.12"
"2013-07-09","95.73"
"2013-07-08","94.34"
"2013-07-05","96.45"
"2013-07-03","96.04"
"2013-07-02","95.35"
"2013-07-01","95.86"
"2013-06-28","92.24"
"2013-06-27","93.79"
"2013-06-26","92.75"
"2013-06-25","88.38"
"2013-06-24","87.99"
"2013-06-21","88.49"
"2013-06-20","88.47"
"2013-06-19","91.09"
"2013-06-18","92.39"
"2013-06-17","91.32"
"2013-06-14","92.22"
"2013-06-13","93.41"
"2013-06-12","91.35"
"2013-06-11","93.03"
"2013-06-10","91.91"
"2013-06-07","94.38"
"2013-06-06","92.92"
"2013-06-05","90.81"
"2013-06-04","92.56"
"2013-06-03","95.48"
"2013-05-31","97.58"
"2013-05-30","101.13"
"2013-05-29","99.24"
"2013-05-28","101.19"
"2013-05-24","99.17"
"2013-05-23","99.88"
"2013-05-22","100.57"
"2013-05-21","102.67"
"2013-05-20","100.03"
"2013-05-17","102.90"
"2013-05-16","101.82"
"2013-05-15","105.21"
"2013-05-14","107.86"
"2013-05-13","104.86"
"2013-05-10","104.14"
"2013-05-09","98.19"
"2013-05-08","96.60"
"2013-05-07","96.35"
"2013-05-06","97.07"
"2013-05-03","98.17"
"2013-05-02","96.20"
"2013-05-01","96.67"
"2013-04-30","98.00"
"2013-04-29","98.66"
"2013-04-26","99.34"
"2013-04-25","98.82"
"2013-04-24","89.23"
"2013-04-23","91.69"
"2013-04-22","90.45"
"2013-04-19","92.60"
"2013-04-18","92.02"
"2013-04-17","94.75"
"2013-04-16","96.20"
"2013-04-15","96.22"
"2013-04-12","100.10"
"2013-04-11","100.42"
"2013-04-10","100.05"
"2013-04-09","98.32"
"2013-04-08","98.18"
"2013-04-05","99.20"
"2013-04-04","98.90"
"2013-04-03","97.27"
"2013-04-02","99.03"
"2013-04-01","95.60"
"2013-03-28","92.14"
"2013-03-27","93.92"
"2013-03-26","91.37"
"2013-03-25","92.35"
"2013-03-22","93.48"
"2013-03-21","92.34"
"2013-03-20","93.88"
"2013-03-19","92.74"
"2013-03-18","93.64"
"2013-03-15","93.66"
"2013-03-14","91.84"
"2013-03-13","91.51"
"2013-03-12","91.75"
"2013-03-11","91.67"
"2013-03-08","91.06"
"2013-03-07","92.24"
"2013-03-06","93.18"
"2013-03-05","91.01"
"2013-03-04","89.90"
"2013-03-01","86.77"
"2013-02-28","86.74"
"2013-02-27","86.54"
"2013-02-26","85.36"
"2013-02-25","86.29"
"2013-02-22","87.44"
"2013-02-21","87.28"
"2013-02-20","84.46"
"2013-02-19","83.39"
"2013-02-15","86.01"
"2013-02-14","87.63"
"2013-02-13","92.01"
"2013-02-12","90.21"
"2013-02-11","92.30"
"2013-02-08","93.66"
"2013-02-07","92.67"
"2013-02-06","93.83"
"2013-02-05","95.32"
"2013-02-04","95.22"
"2013-02-01","97.87"
"2013-01-31","93.99"
"2013-01-30","95.35"
"2013-01-29","95.00"
"2013-01-28","94.50"
"2013-01-25","94.68"
"2013-01-24","94.56"
"2013-01-23","92.96"
"2013-01-22","97.40"
"2013-01-18","97.42"
"2013-01-17","97.41"
"2013-01-16","97.39"
