"Date","Close"
"2013-12-31","115.05"
"2013-12-30","113.59"
"2013-12-27","113.94"
"2013-12-26","113.81"
"2013-12-24","112.88"
"2013-12-23","113.07"
"2013-12-20","111.81"
"2013-12-19","110.84"
"2013-12-18","111.82"
"2013-12-17","108.58"
"2013-12-16","109.00"
"2013-12-13","106.68"
"2013-12-12","106.52"
"2013-12-11","106.40"
"2013-12-10","108.18"
"2013-12-09","108.99"
"2013-12-06","108.99"
"2013-12-05","106.23"
"2013-12-04","107.01"
"2013-12-03","106.90"
"2013-12-02","108.23"
"2013-11-29","108.25"
"2013-11-27","108.53"
"2013-11-26","108.30"
"2013-11-25","107.50"
"2013-11-22","107.58"
"2013-11-21","106.79"
"2013-11-20","105.47"
"2013-11-19","105.20"
"2013-11-18","105.25"
"2013-11-15","105.47"
"2013-11-14","105.22"
"2013-11-13","104.16"
"2013-11-12","102.87"
"2013-11-11","103.84"
"2013-11-08","103.12"
"2013-11-07","100.43"
"2013-11-06","102.21"
"2013-11-05","101.27"
"2013-11-04","101.24"
"2013-11-01","101.06"
"2013-10-31","100.54"
"2013-10-30","100.79"
"2013-10-29","99.39"
"2013-10-28","98.91"
"2013-10-25","99.56"
"2013-10-24","99.53"
"2013-10-23","98.74"
"2013-10-22","99.76"
"2013-10-21","99.08"
"2013-10-18","99.75"
"2013-10-17","98.13"
"2013-10-16","96.47"
"2013-10-15","93.67"
"2013-10-14","94.54"
"2013-10-11","94.30"
"2013-10-10","93.35"
"2013-10-09","90.47"
"2013-10-08","89.85"
"2013-10-07","91.89"
"2013-10-04","92.89"
"2013-10-03","91.56"
"2013-10-02","92.16"
"2013-10-01","92.18"
"2013-09-30","91.08"
"2013-09-27","91.43"
"2013-09-26","91.59"
"2013-09-25","91.16"
"2013-09-24","91.00"
"2013-09-23","91.35"
"2013-09-20","92.22"
"2013-09-19","93.42"
"2013-09-18","93.96"
"2013-09-17","93.33"
"2013-09-16","92.56"
"2013-09-13","90.80"
"2013-09-12","90.39"
"2013-09-11","90.96"
"2013-09-10","90.72"
"2013-09-09","88.90"
"2013-09-06","87.59"
"2013-09-05","87.79"
"2013-09-04","87.49"
"2013-09-03","87.08"
"2013-08-30","86.15"
"2013-08-29","87.11"
"2013-08-28","86.14"
"2013-08-27","85.43"
"2013-08-26","88.30"
"2013-08-23","89.03"
"2013-08-22","89.03"
"2013-08-21","87.45"
"2013-08-20","88.03"
"2013-08-19","87.20"
"2013-08-16","88.23"
"2013-08-15","87.80"
"2013-08-14","89.70"
"2013-08-13","90.27"
"2013-08-12","89.31"
"2013-08-09","90.08"
"2013-08-08","89.92"
"2013-08-07","89.54"
"2013-08-06","89.86"
"2013-08-05","91.15"
"2013-08-02","91.21"
"2013-08-01","90.98"
"2013-07-31","89.00"
"2013-07-30","88.97"
"2013-07-29","87.61"
"2013-07-26","88.18"
"2013-07-25","87.60"
"2013-07-24","86.24"
"2013-07-23","86.67"
"2013-07-22","87.36"
"2013-07-19","86.31"
"2013-07-18","86.84"
"2013-07-17","85.79"
"2013-07-16","85.40"
"2013-07-15","86.33"
"2013-07-12","86.60"
"2013-07-11","86.46"
"2013-07-10","84.56"
"2013-07-09","84.92"
"2013-07-08","83.58"
"2013-07-05","83.10"
"2013-07-03","81.12"
"2013-07-02","81.82"
"2013-07-01","81.44"
"2013-06-28","80.88"
"2013-06-27","81.69"
"2013-06-26","80.33"
"2013-06-25","79.26"
"2013-06-24","77.45"
"2013-06-21","79.16"
"2013-06-20","79.06"
"2013-06-19","81.53"
"2013-06-18","83.39"
"2013-06-17","82.64"
"2013-06-14","81.86"
"2013-06-13","82.99"
"2013-06-12","81.11"
"2013-06-11","82.52"
"2013-06-10","83.14"
"2013-06-07","83.07"
"2013-06-06","81.02"
"2013-06-05","79.73"
"2013-06-04","82.18"
"2013-06-03","81.03"
"2013-05-31","81.52"
"2013-05-30","83.94"
"2013-05-29","82.12"
"2013-05-28","82.52"
"2013-05-24","80.20"
"2013-05-23","80.39"
"2013-05-22","80.81"
"2013-05-21","81.53"
"2013-05-20","81.71"
"2013-05-17","81.69"
"2013-05-16","80.46"
"2013-05-15","81.54"
"2013-05-14","80.86"
"2013-05-13","79.05"
"2013-05-10","78.20"
"2013-05-09","76.54"
"2013-05-08","76.99"
"2013-05-07","77.35"
"2013-05-06","76.64"
"2013-05-03","75.80"
"2013-05-02","73.56"
"2013-05-01","72.96"
"2013-04-30","74.53"
"2013-04-29","74.18"
"2013-04-26","73.48"
"2013-04-25","73.98"
"2013-04-24","72.65"
"2013-04-23","73.64"
"2013-04-22","72.38"
"2013-04-19","72.18"
"2013-04-18","69.60"
"2013-04-17","71.30"
"2013-04-16","73.14"
"2013-04-15","71.93"
"2013-04-12","74.73"
"2013-04-11","75.28"
"2013-04-10","74.47"
"2013-04-09","72.81"
"2013-04-08","72.33"
"2013-04-05","71.48"
"2013-04-04","72.00"
"2013-04-03","71.81"
"2013-04-02","73.43"
"2013-04-01","72.87"
"2013-03-28","73.65"
"2013-03-27","73.05"
"2013-03-26","73.69"
"2013-03-25","73.47"
"2013-03-22","73.65"
"2013-03-21","73.64"
"2013-03-20","74.88"
"2013-03-19","73.97"
"2013-03-18","74.17"
"2013-03-15","74.33"
"2013-03-14","74.46"
"2013-03-13","73.35"
"2013-03-12","71.92"
"2013-03-11","72.21"
"2013-03-08","72.09"
"2013-03-07","70.74"
"2013-03-06","70.51"
"2013-03-05","70.27"
"2013-03-04","68.87"
"2013-03-01","68.08"
"2013-02-28","68.63"
"2013-02-27","68.11"
"2013-02-26","66.62"
"2013-02-25","66.25"
"2013-02-22","67.93"
"2013-02-21","67.25"
"2013-02-20","67.95"
"2013-02-19","69.03"
"2013-02-15","68.77"
"2013-02-14","69.04"
"2013-02-13","67.89"
"2013-02-12","67.49"
"2013-02-11","66.49"
"2013-02-08","66.49"
"2013-02-07","66.13"
"2013-02-06","66.61"
"2013-02-05","66.28"
