"Date","Close"
"2013-12-31","79.82"
"2013-12-30","79.80"
"2013-12-27","78.82"
"2013-12-26","78.84"
"2013-12-24","78.71"
"2013-12-23","78.42"
"2013-12-20","77.95"
"2013-12-19","78.11"
"2013-12-18","78.22"
"2013-12-17","76.39"
"2013-12-16","76.09"
"2013-12-13","76.76"
"2013-12-12","76.69"
"2013-12-11","77.81"
"2013-12-10","79.21"
"2013-12-09","78.84"
"2013-12-06","78.08"
"2013-12-05","77.75"
"2013-12-04","77.43"
"2013-12-03","77.71"
"2013-12-02","78.21"
"2013-11-29","77.77"
"2013-11-27","78.37"
"2013-11-26","78.03"
"2013-11-25","77.00"
"2013-11-22","77.28"
"2013-11-21","77.59"
"2013-11-20","78.13"
"2013-11-19","78.10"
"2013-11-18","78.57"
"2013-11-15","79.28"
"2013-11-14","79.10"
"2013-11-13","78.17"
"2013-11-12","77.96"
"2013-11-11","77.45"
"2013-11-08","77.79"
"2013-11-07","78.77"
"2013-11-06","79.53"
"2013-11-05","78.60"
"2013-11-04","79.00"
"2013-11-01","79.37"
"2013-10-31","79.35"
"2013-10-30","80.69"
"2013-10-29","80.29"
"2013-10-28","80.30"
"2013-10-25","80.82"
"2013-10-24","80.38"
"2013-10-23","79.00"
"2013-10-22","80.13"
"2013-10-21","79.51"
"2013-10-18","79.01"
"2013-10-17","79.34"
"2013-10-16","77.12"
"2013-10-15","74.73"
"2013-10-14","74.64"
"2013-10-11","74.44"
"2013-10-10","73.59"
"2013-10-09","71.62"
"2013-10-08","71.89"
"2013-10-07","73.03"
"2013-10-04","72.69"
"2013-10-03","73.43"
"2013-10-02","73.99"
"2013-10-01","74.06"
"2013-09-30","74.13"
"2013-09-27","74.52"
"2013-09-26","74.63"
"2013-09-25","73.77"
"2013-09-24","72.85"
"2013-09-23","72.96"
"2013-09-20","73.92"
"2013-09-19","74.82"
"2013-09-18","75.75"
"2013-09-17","73.92"
"2013-09-16","74.27"
"2013-09-13","73.71"
"2013-09-12","74.12"
"2013-09-11","75.02"
"2013-09-10","74.58"
"2013-09-09","74.26"
"2013-09-06","71.91"
"2013-09-05","68.75"
"2013-09-04","69.24"
"2013-09-03","69.23"
"2013-08-30","69.49"
"2013-08-29","69.69"
"2013-08-28","69.09"
"2013-08-27","70.06"
"2013-08-26","69.94"
"2013-08-23","70.06"
"2013-08-22","68.88"
"2013-08-21","69.03"
"2013-08-20","69.38"
"2013-08-19","68.36"
"2013-08-16","68.58"
"2013-08-15","69.48"
"2013-08-14","69.70"
"2013-08-13","69.28"
"2013-08-12","69.66"
"2013-08-09","70.16"
"2013-08-08","68.99"
"2013-08-07","69.09"
"2013-08-06","70.27"
"2013-08-05","70.94"
"2013-08-02","70.50"
"2013-08-01","71.28"
"2013-07-31","70.79"
"2013-07-30","72.67"
"2013-07-29","72.42"
"2013-07-26","72.58"
"2013-07-25","72.31"
"2013-07-24","73.94"
"2013-07-23","74.75"
"2013-07-22","74.32"
"2013-07-19","75.13"
"2013-07-18","74.44"
"2013-07-17","73.87"
"2013-07-16","74.71"
"2013-07-15","76.16"
"2013-07-12","77.84"
"2013-07-11","77.23"
"2013-07-10","75.74"
"2013-07-09","72.86"
"2013-07-08","72.05"
"2013-07-05","71.67"
"2013-07-03","72.38"
"2013-07-02","72.17"
"2013-07-01","72.01"
"2013-06-28","73.17"
"2013-06-27","74.23"
"2013-06-26","73.83"
"2013-06-25","72.90"
"2013-06-24","71.09"
"2013-06-21","71.99"
"2013-06-20","70.44"
"2013-06-19","74.44"
"2013-06-18","77.29"
"2013-06-17","76.92"
"2013-06-14","77.33"
"2013-06-13","76.48"
"2013-06-12","74.60"
"2013-06-11","75.82"
"2013-06-10","76.45"
"2013-06-07","78.77"
"2013-06-06","78.48"
"2013-06-05","75.87"
"2013-06-04","76.63"
"2013-06-03","77.42"
"2013-05-31","77.84"
"2013-05-30","78.77"
"2013-05-29","79.44"
"2013-05-28","81.50"
"2013-05-24","81.72"
"2013-05-23","81.58"
"2013-05-22","82.17"
"2013-05-21","84.64"
"2013-05-20","83.92"
"2013-05-17","84.45"
"2013-05-16","83.21"
"2013-05-15","84.33"
"2013-05-14","83.73"
"2013-05-13","82.96"
"2013-05-10","83.10"
"2013-05-09","83.56"
"2013-05-08","84.63"
"2013-05-07","83.55"
"2013-05-06","83.08"
"2013-05-03","83.56"
"2013-05-02","83.85"
"2013-05-01","83.93"
"2013-04-30","83.99"
"2013-04-29","83.04"
"2013-04-26","82.97"
"2013-04-25","83.84"
"2013-04-24","81.00"
"2013-04-23","81.90"
"2013-04-22","81.02"
"2013-04-19","81.05"
"2013-04-18","80.06"
"2013-04-17","79.78"
"2013-04-16","80.59"
"2013-04-15","79.43"
"2013-04-12","80.67"
"2013-04-11","80.32"
"2013-04-10","79.87"
"2013-04-09","79.29"
"2013-04-08","79.00"
"2013-04-05","77.82"
"2013-04-04","78.58"
"2013-04-03","78.02"
"2013-04-02","78.73"
"2013-04-01","77.75"
"2013-03-28","76.92"
"2013-03-27","76.86"
"2013-03-26","75.89"
"2013-03-25","76.26"
"2013-03-22","76.73"
"2013-03-21","76.29"
"2013-03-20","75.32"
"2013-03-19","74.53"
"2013-03-18","75.05"
"2013-03-15","75.56"
"2013-03-14","76.41"
"2013-03-13","76.12"
"2013-03-12","76.03"
"2013-03-11","76.90"
"2013-03-08","77.14"
"2013-03-07","77.56"
"2013-03-06","77.50"
"2013-03-05","78.65"
"2013-03-04","78.86"
"2013-03-01","78.13"
"2013-02-28","77.60"
"2013-02-27","77.40"
"2013-02-26","75.51"
"2013-02-25","73.66"
"2013-02-22","74.52"
"2013-02-21","73.78"
"2013-02-20","73.95"
"2013-02-19","74.62"
"2013-02-15","75.18"
"2013-02-14","73.48"
"2013-02-13","74.00"
"2013-02-12","75.59"
"2013-02-11","76.38"
"2013-02-08","77.06"
"2013-02-07","75.89"
"2013-02-06","75.95"
"2013-02-05","76.73"
"2013-02-04","76.46"
"2013-02-01","76.65"
"2013-01-31","76.15"
"2013-01-30","76.95"
"2013-01-29","78.62"
"2013-01-28","78.88"
"2013-01-25","79.90"
"2013-01-24","79.63"
"2013-01-23","78.97"
"2013-01-22","79.25"
"2013-01-18","79.35"
"2013-01-17","78.87"
"2013-01-16","78.70"
"2013-01-15","79.32"
"2013-01-14","78.70"
"2013-01-11","78.78"
"2013-01-10","78.67"
"2013-01-09","77.73"
"2013-01-08","77.27"
"2013-01-07","76.96"
"2013-01-04","77.05"
"2013-01-03","77.12"
"2013-01-02","79.05"
"2012-12-31","77.27"
"2012-12-28","75.89"
"2012-12-27","76.29"
"2012-12-26","76.29"
"2012-12-24","77.00"
"2012-12-21","76.77"
"2012-12-20","77.26"
"2012-12-19","76.13"
"2012-12-18","76.80"
"2012-12-17","76.90"
"2012-12-14","76.67"
"2012-12-13","76.09"
"2012-12-12","76.19"
"2012-12-11","75.21"
"2012-12-10","75.12"
"2012-12-07","75.45"
"2012-12-06","74.98"
"2012-12-05","74.61"
"2012-12-04","74.83"
"2012-12-03","74.88"
"2012-11-30","74.93"
"2012-11-29","74.90"
"2012-11-28","74.21"
"2012-11-27","74.20"
"2012-11-26","74.35"
"2012-11-23","74.98"
"2012-11-21","74.12"
"2012-11-20","73.75"
"2012-11-19","73.71"
"2012-11-16","73.86"
"2012-11-15","72.35"
"2012-11-14","73.44"
"2012-11-13","74.23"
