"Date","Close"
"2013-12-31","83.89"
"2013-12-30","83.25"
"2013-12-27","83.41"
"2013-12-26","83.47"
"2013-12-24","83.62"
"2013-12-23","82.68"
"2013-12-20","82.94"
"2013-12-19","83.09"
"2013-12-18","83.93"
"2013-12-17","81.82"
"2013-12-16","81.85"
"2013-12-13","81.61"
"2013-12-12","81.90"
"2013-12-11","81.75"
"2013-12-10","83.07"
"2013-12-09","82.90"
"2013-12-06","82.75"
"2013-12-05","81.46"
"2013-12-04","81.47"
"2013-12-03","81.88"
"2013-12-02","81.86"
"2013-11-29","81.64"
"2013-11-27","82.29"
"2013-11-26","81.87"
"2013-11-25","81.37"
"2013-11-22","82.55"
"2013-11-21","81.38"
"2013-11-20","80.43"
"2013-11-19","80.53"
"2013-11-18","81.17"
"2013-11-15","81.58"
"2013-11-14","80.81"
"2013-11-13","80.17"
"2013-11-12","80.57"
"2013-11-11","81.70"
"2013-11-08","80.60"
"2013-11-07","79.43"
"2013-11-06","80.05"
"2013-11-05","78.69"
"2013-11-04","78.62"
"2013-11-01","78.77"
"2013-10-31","79.09"
"2013-10-30","80.24"
"2013-10-29","79.71"
"2013-10-28","78.07"
"2013-10-25","77.54"
"2013-10-24","75.58"
"2013-10-23","75.85"
"2013-10-22","76.36"
"2013-10-21","75.10"
"2013-10-18","75.39"
"2013-10-17","74.20"
"2013-10-16","73.85"
"2013-10-15","72.63"
"2013-10-14","73.69"
"2013-10-11","73.10"
"2013-10-10","72.93"
"2013-10-09","71.25"
"2013-10-08","71.38"
"2013-10-07","72.15"
"2013-10-04","72.83"
"2013-10-03","72.72"
"2013-10-02","73.63"
"2013-10-01","73.65"
"2013-09-30","74.44"
"2013-09-27","75.07"
"2013-09-26","75.42"
"2013-09-25","75.50"
"2013-09-24","76.02"
"2013-09-23","75.53"
"2013-09-20","75.52"
"2013-09-19","75.14"
"2013-09-18","73.95"
"2013-09-17","70.01"
"2013-09-16","69.11"
"2013-09-13","68.52"
"2013-09-12","68.41"
"2013-09-11","68.51"
"2013-09-10","68.65"
"2013-09-09","67.70"
"2013-09-06","66.49"
"2013-09-05","66.73"
"2013-09-04","66.55"
"2013-09-03","66.69"
"2013-08-30","66.38"
"2013-08-29","66.93"
"2013-08-28","66.95"
"2013-08-27","66.26"
"2013-08-26","67.76"
"2013-08-23","68.50"
"2013-08-22","68.60"
"2013-08-21","68.02"
"2013-08-20","68.51"
"2013-08-19","68.53"
"2013-08-16","68.39"
"2013-08-15","68.03"
"2013-08-14","68.84"
"2013-08-13","68.85"
"2013-08-12","68.15"
"2013-08-09","69.08"
"2013-08-08","69.02"
"2013-08-07","68.64"
"2013-08-06","68.97"
"2013-08-05","68.93"
"2013-08-02","69.08"
"2013-08-01","68.65"
"2013-07-31","67.50"
"2013-07-30","67.42"
"2013-07-29","66.53"
"2013-07-26","67.53"
"2013-07-25","67.55"
"2013-07-24","66.88"
"2013-07-23","67.06"
"2013-07-22","67.51"
"2013-07-19","67.48"
"2013-07-18","67.51"
"2013-07-17","67.38"
"2013-07-16","67.16"
"2013-07-15","67.42"
"2013-07-12","67.02"
"2013-07-11","67.16"
"2013-07-10","65.30"
"2013-07-09","65.37"
"2013-07-08","65.43"
"2013-07-05","65.66"
"2013-07-03","64.61"
"2013-07-02","65.09"
"2013-07-01","65.36"
"2013-06-28","64.35"
"2013-06-27","64.96"
"2013-06-26","64.44"
"2013-06-25","63.69"
"2013-06-24","62.84"
"2013-06-21","63.26"
"2013-06-20","62.86"
"2013-06-19","63.89"
"2013-06-18","65.63"
"2013-06-17","65.38"
"2013-06-14","64.89"
"2013-06-13","65.53"
"2013-06-12","64.84"
"2013-06-11","65.20"
"2013-06-10","65.17"
"2013-06-07","65.55"
"2013-06-06","64.03"
"2013-06-05","62.91"
"2013-06-04","63.08"
"2013-06-03","63.72"
"2013-05-31","63.67"
"2013-05-30","66.41"
"2013-05-29","66.30"
"2013-05-28","66.03"
"2013-05-24","65.73"
"2013-05-23","65.26"
"2013-05-22","65.75"
"2013-05-21","66.18"
"2013-05-20","66.11"
"2013-05-17","66.29"
"2013-05-16","66.22"
"2013-05-15","66.44"
"2013-05-14","65.92"
"2013-05-13","65.54"
"2013-05-10","64.50"
"2013-05-09","64.47"
"2013-05-08","64.80"
"2013-05-07","63.71"
"2013-05-06","63.50"
"2013-05-03","63.31"
"2013-05-02","62.44"
"2013-05-01","61.30"
"2013-04-30","60.35"
"2013-04-29","59.67"
"2013-04-26","59.00"
"2013-04-25","61.29"
"2013-04-24","61.16"
"2013-04-23","61.13"
"2013-04-22","60.60"
"2013-04-19","60.15"
"2013-04-18","59.67"
"2013-04-17","60.67"
"2013-04-16","62.11"
"2013-04-15","61.49"
"2013-04-12","62.62"
"2013-04-11","62.66"
"2013-04-10","61.53"
