"Date","Close"
"2013-12-31","85.94"
"2013-12-30","86.16"
"2013-12-27","86.68"
"2013-12-26","86.31"
"2013-12-24","86.21"
"2013-12-23","85.96"
"2013-12-20","86.41"
"2013-12-19","86.59"
"2013-12-18","85.87"
"2013-12-17","85.28"
"2013-12-16","86.14"
"2013-12-13","86.16"
"2013-12-12","86.03"
"2013-12-11","86.42"
"2013-12-10","87.88"
"2013-12-09","88.98"
"2013-12-06","89.02"
"2013-12-05","89.84"
"2013-12-04","89.89"
"2013-12-03","90.56"
"2013-12-02","91.20"
"2013-11-29","91.49"
"2013-11-27","92.04"
"2013-11-26","93.74"
"2013-11-25","93.24"
"2013-11-22","94.42"
"2013-11-21","93.99"
"2013-11-20","93.18"
"2013-11-19","93.01"
"2013-11-18","91.99"
"2013-11-15","92.50"
"2013-11-14","92.13"
"2013-11-13","90.85"
"2013-11-12","89.71"
"2013-11-11","89.79"
"2013-11-08","89.80"
"2013-11-07","88.59"
"2013-11-06","88.45"
"2013-11-05","89.13"
"2013-11-04","90.35"
"2013-11-01","89.24"
"2013-10-31","88.80"
"2013-10-30","88.93"
"2013-10-29","90.85"
"2013-10-28","90.36"
"2013-10-25","90.45"
"2013-10-24","89.77"
"2013-10-23","88.74"
"2013-10-22","89.70"
"2013-10-21","89.59"
"2013-10-18","91.26"
"2013-10-17","90.57"
"2013-10-16","90.23"
"2013-10-15","88.73"
"2013-10-14","88.62"
"2013-10-11","87.95"
"2013-10-10","87.62"
"2013-10-09","85.92"
"2013-10-08","86.10"
"2013-10-07","86.82"
"2013-10-04","87.00"
"2013-10-03","85.63"
"2013-10-02","86.07"
"2013-10-01","86.47"
"2013-09-30","85.14"
"2013-09-27","86.25"
"2013-09-26","86.49"
"2013-09-25","86.63"
"2013-09-24","87.00"
"2013-09-23","87.37"
"2013-09-20","87.85"
"2013-09-19","88.47"
"2013-09-18","88.93"
"2013-09-17","88.25"
"2013-09-16","87.00"
"2013-09-13","86.81"
"2013-09-12","87.20"
"2013-09-11","87.03"
"2013-09-10","87.26"
"2013-09-09","86.66"
"2013-09-06","86.51"
"2013-09-05","86.19"
"2013-09-04","85.53"
"2013-09-03","84.79"
"2013-08-30","85.68"
"2013-08-29","78.64"
"2013-08-28","79.17"
"2013-08-27","78.57"
"2013-08-26","79.73"
"2013-08-23","79.80"
"2013-08-22","78.99"
"2013-08-21","77.22"
"2013-08-20","76.27"
"2013-08-19","75.37"
"2013-08-16","78.99"
"2013-08-15","80.27"
"2013-08-14","80.74"
"2013-08-13","82.51"
"2013-08-12","82.70"
"2013-08-09","83.20"
"2013-08-08","83.18"
"2013-08-07","81.94"
"2013-08-06","82.26"
"2013-08-05","82.31"
"2013-08-02","82.00"
"2013-08-01","81.68"
"2013-07-31","80.25"
"2013-07-30","80.58"
"2013-07-29","81.15"
"2013-07-26","82.06"
"2013-07-25","82.77"
"2013-07-24","82.51"
"2013-07-23","83.57"
"2013-07-22","83.90"
"2013-07-19","84.98"
"2013-07-18","83.60"
"2013-07-17","82.51"
"2013-07-16","82.03"
"2013-07-15","82.97"
"2013-07-12","82.41"
"2013-07-11","81.69"
"2013-07-10","80.33"
"2013-07-09","81.46"
"2013-07-08","81.45"
"2013-07-05","82.17"
"2013-07-03","80.23"
"2013-07-02","82.13"
"2013-07-01","83.30"
"2013-06-28","83.83"
"2013-06-27","84.06"
"2013-06-26","83.17"
"2013-06-25","82.64"
"2013-06-24","82.18"
"2013-06-21","85.04"
"2013-06-20","84.93"
"2013-06-19","86.57"
"2013-06-18","87.12"
"2013-06-17","86.52"
"2013-06-14","84.89"
"2013-06-13","85.12"
"2013-06-12","84.45"
"2013-06-11","84.40"
"2013-06-10","85.61"
"2013-06-07","84.73"
"2013-06-06","85.80"
"2013-06-05","84.74"
"2013-06-04","84.35"
"2013-06-03","84.57"
"2013-05-31","82.13"
"2013-05-30","84.75"
"2013-05-29","84.29"
"2013-05-28","82.39"
"2013-05-24","81.66"
"2013-05-23","81.85"
"2013-05-22","83.37"
"2013-05-21","84.36"
"2013-05-20","84.08"
"2013-05-17","81.30"
"2013-05-16","80.89"
"2013-05-15","81.89"
"2013-05-14","83.03"
"2013-05-13","83.28"
"2013-05-10","83.33"
"2013-05-09","81.47"
"2013-05-08","77.76"
"2013-05-07","76.70"
"2013-05-06","76.02"
"2013-05-03","75.24"
"2013-05-02","73.80"
"2013-05-01","73.42"
"2013-04-30","73.88"
"2013-04-29","73.16"
"2013-04-26","72.27"
"2013-04-25","72.48"
"2013-04-24","71.34"
"2013-04-23","70.46"
"2013-04-22","69.21"
"2013-04-19","68.84"
"2013-04-18","70.82"
