"Date","Close"
"2013-12-31","79.32"
"2013-12-30","79.09"
"2013-12-27","79.40"
"2013-12-26","78.22"
"2013-12-24","78.40"
"2013-12-23","78.49"
"2013-12-20","78.77"
"2013-12-19","79.02"
"2013-12-18","79.65"
"2013-12-17","79.11"
"2013-12-16","79.07"
"2013-12-13","78.30"
"2013-12-12","83.67"
"2013-12-11","83.59"
"2013-12-10","85.26"
"2013-12-09","86.19"
"2013-12-06","86.65"
"2013-12-05","87.99"
"2013-12-04","88.61"
"2013-12-03","89.50"
"2013-12-02","88.51"
"2013-11-29","88.82"
"2013-11-27","88.60"
"2013-11-26","90.57"
"2013-11-25","90.52"
"2013-11-22","92.04"
"2013-11-21","92.27"
"2013-11-20","90.54"
"2013-11-19","90.70"
"2013-11-18","90.38"
"2013-11-15","90.93"
"2013-11-14","91.08"
"2013-11-13","91.22"
"2013-11-12","89.93"
"2013-11-11","91.15"
"2013-11-08","90.97"
"2013-11-07","89.95"
"2013-11-06","92.02"
"2013-11-05","92.86"
"2013-11-04","95.93"
"2013-11-01","94.39"
"2013-10-31","95.29"
"2013-10-30","96.01"
"2013-10-29","97.76"
"2013-10-28","96.58"
"2013-10-25","96.15"
"2013-10-24","94.29"
"2013-10-23","92.28"
"2013-10-22","95.36"
"2013-10-21","96.03"
"2013-10-18","97.42"
"2013-10-17","96.75"
"2013-10-16","97.53"
"2013-10-15","95.83"
"2013-10-14","95.75"
"2013-10-11","95.46"
"2013-10-10","94.41"
"2013-10-09","92.11"
"2013-10-08","92.12"
"2013-10-07","93.60"
"2013-10-04","93.90"
"2013-10-03","92.98"
"2013-10-02","94.68"
"2013-10-01","93.44"
"2013-09-30","92.99"
"2013-09-27","94.53"
"2013-09-26","94.48"
"2013-09-25","94.83"
"2013-09-24","94.71"
"2013-09-23","94.11"
"2013-09-20","93.69"
"2013-09-19","94.80"
"2013-09-18","94.96"
"2013-09-17","93.67"
"2013-09-16","93.36"
"2013-09-13","94.70"
"2013-09-12","95.53"
"2013-09-11","94.67"
"2013-09-10","93.40"
"2013-09-09","94.02"
"2013-09-06","93.01"
"2013-09-05","92.75"
"2013-09-04","92.16"
"2013-09-03","92.71"
"2013-08-30","91.42"
"2013-08-29","91.65"
"2013-08-28","92.58"
"2013-08-27","90.88"
"2013-08-26","91.02"
"2013-08-23","89.80"
"2013-08-22","89.26"
"2013-08-21","88.54"
"2013-08-20","89.79"
"2013-08-19","88.95"
"2013-08-16","91.52"
"2013-08-15","89.20"
"2013-08-14","88.98"
"2013-08-13","89.11"
"2013-08-12","89.14"
"2013-08-09","89.80"
"2013-08-08","90.48"
"2013-08-07","89.23"
"2013-08-06","89.12"
"2013-08-05","90.85"
"2013-08-02","90.46"
"2013-08-01","90.40"
"2013-07-31","88.52"
"2013-07-30","88.80"
"2013-07-29","88.65"
"2013-07-26","88.51"
"2013-07-25","89.49"
"2013-07-24","89.53"
"2013-07-23","91.15"
"2013-07-22","91.05"
"2013-07-19","92.85"
"2013-07-18","90.26"
"2013-07-17","88.88"
"2013-07-16","88.24"
"2013-07-15","89.11"
"2013-07-12","90.70"
"2013-07-11","90.61"
"2013-07-10","88.62"
"2013-07-09","88.36"
"2013-07-08","88.30"
"2013-07-05","88.38"
"2013-07-03","86.93"
"2013-07-02","86.77"
"2013-07-01","86.79"
"2013-06-28","85.93"
"2013-06-27","86.03"
"2013-06-26","86.34"
"2013-06-25","85.08"
"2013-06-24","82.97"
"2013-06-21","83.44"
"2013-06-20","83.11"
"2013-06-19","86.26"
"2013-06-18","87.00"
"2013-06-17","87.05"
"2013-06-14","86.11"
"2013-06-13","87.45"
"2013-06-12","85.88"
"2013-06-11","86.20"
"2013-06-10","88.08"
"2013-06-07","87.98"
"2013-06-06","86.90"
"2013-06-05","86.26"
"2013-06-04","87.52"
"2013-06-03","88.55"
"2013-05-31","87.47"
"2013-05-30","90.11"
"2013-05-29","90.50"
"2013-05-28","91.46"
"2013-05-24","89.34"
"2013-05-23","89.64"
"2013-05-22","89.21"
"2013-05-21","91.37"
"2013-05-20","91.23"
"2013-05-17","90.03"
"2013-05-16","87.81"
"2013-05-15","88.17"
"2013-05-14","88.77"
"2013-05-13","86.81"
"2013-05-10","86.45"
"2013-05-09","86.99"
"2013-05-08","87.67"
"2013-05-07","86.74"
"2013-05-06","87.62"
"2013-05-03","86.60"
"2013-05-02","84.79"
"2013-05-01","83.23"
"2013-04-30","84.76"
"2013-04-29","84.51"
"2013-04-26","83.84"
"2013-04-25","84.12"
"2013-04-24","83.32"
"2013-04-23","81.57"
"2013-04-22","81.05"
"2013-04-19","79.99"
"2013-04-18","80.64"
"2013-04-17","79.45"
"2013-04-16","82.16"
"2013-04-15","79.47"
"2013-04-12","85.29"
"2013-04-11","87.35"
"2013-04-10","86.38"
"2013-04-09","86.81"
"2013-04-08","86.55"
"2013-04-05","85.03"
"2013-04-04","84.27"
"2013-04-03","84.02"
"2013-04-02","85.64"
"2013-04-01","86.36"
"2013-03-28","87.45"
"2013-03-27","88.76"
"2013-03-26","88.88"
"2013-03-25","87.29"
"2013-03-22","86.58"
"2013-03-21","85.49"
"2013-03-20","86.40"
"2013-03-19","83.28"
"2013-03-18","84.62"
"2013-03-15","85.35"
"2013-03-14","85.19"
"2013-03-13","83.94"
"2013-03-12","84.26"
"2013-03-11","83.58"
"2013-03-08","83.09"
"2013-03-07","82.81"
"2013-03-06","81.74"
"2013-03-05","82.73"
"2013-03-04","80.34"
"2013-03-01","79.82"
"2013-02-28","79.58"
"2013-02-27","80.04"
"2013-02-26","78.58"
"2013-02-25","78.57"
"2013-02-22","81.75"
"2013-02-21","80.21"
"2013-02-20","80.37"
"2013-02-19","84.13"
"2013-02-15","82.08"
"2013-02-14","84.00"
"2013-02-13","84.13"
"2013-02-12","83.45"
"2013-02-11","83.47"
"2013-02-08","84.45"
"2013-02-07","84.10"
"2013-02-06","83.70"
"2013-02-05","82.60"
"2013-02-04","80.50"
"2013-02-01","81.18"
"2013-01-31","80.02"
"2013-01-30","80.24"
"2013-01-29","80.56"
"2013-01-28","79.41"
"2013-01-25","81.00"
"2013-01-24","80.02"
"2013-01-23","78.79"
"2013-01-22","79.49"
"2013-01-18","77.55"
"2013-01-17","77.08"
"2013-01-16","77.01"
"2013-01-15","78.10"
"2013-01-14","77.87"
"2013-01-11","77.84"
"2013-01-10","77.66"
"2013-01-09","78.00"
"2013-01-08","78.35"
"2013-01-07","78.25"
"2013-01-04","78.27"
"2013-01-03","76.33"
"2013-01-02","76.06"
"2012-12-31","74.31"
"2012-12-28","72.31"
"2012-12-27","73.77"
"2012-12-26","73.67"
"2012-12-24","74.68"
"2012-12-21","75.80"
"2012-12-20","76.32"
"2012-12-19","74.45"
"2012-12-18","76.15"
"2012-12-17","74.88"
"2012-12-14","74.59"
"2012-12-13","74.75"
"2012-12-12","75.54"
"2012-12-11","75.29"
"2012-12-10","75.80"
"2012-12-07","76.32"
"2012-12-06","74.35"
"2012-12-05","74.74"
"2012-12-04","73.51"
"2012-12-03","73.79"
"2012-11-30","73.19"
"2012-11-29","73.37"
"2012-11-28","73.70"
"2012-11-27","73.35"
"2012-11-26","74.26"
"2012-11-23","74.55"
"2012-11-21","72.51"
