"Date","Close"
"2013-12-31","89.18"
"2013-12-30","88.71"
"2013-12-27","88.27"
"2013-12-26","88.43"
"2013-12-24","88.19"
"2013-12-23","87.89"
"2013-12-20","87.80"
"2013-12-19","87.03"
"2013-12-18","87.21"
"2013-12-17","86.32"
"2013-12-16","86.05"
"2013-12-13","85.16"
"2013-12-12","85.06"
"2013-12-11","84.95"
"2013-12-10","86.48"
"2013-12-09","86.59"
"2013-12-06","86.11"
"2013-12-05","85.03"
"2013-12-04","85.16"
"2013-12-03","85.34"
"2013-12-02","85.05"
"2013-11-29","85.00"
"2013-11-27","85.01"
"2013-11-26","85.00"
"2013-11-25","85.05"
"2013-11-22","85.11"
"2013-11-21","84.99"
"2013-11-20","84.91"
"2013-11-19","84.64"
"2013-11-18","84.78"
"2013-11-15","84.10"
"2013-11-14","82.72"
"2013-11-13","81.69"
"2013-11-12","81.37"
"2013-11-11","81.09"
"2013-11-08","81.34"
"2013-11-07","80.27"
"2013-11-06","80.88"
"2013-11-05","79.80"
"2013-11-04","80.29"
"2013-11-01","79.93"
"2013-10-31","80.29"
"2013-10-30","80.42"
"2013-10-29","80.94"
"2013-10-28","80.73"
"2013-10-25","81.27"
"2013-10-24","81.29"
"2013-10-23","81.56"
"2013-10-22","81.99"
"2013-10-21","82.34"
"2013-10-18","82.33"
"2013-10-17","81.12"
"2013-10-16","79.05"
"2013-10-15","77.45"
"2013-10-14","77.10"
"2013-10-11","77.05"
"2013-10-10","76.18"
"2013-10-09","75.69"
"2013-10-08","74.83"
"2013-10-07","75.81"
"2013-10-04","76.49"
"2013-10-03","76.25"
"2013-10-02","77.55"
"2013-10-01","77.62"
"2013-09-30","77.38"
"2013-09-27","77.54"
"2013-09-26","77.98"
"2013-09-25","77.79"
"2013-09-24","77.33"
"2013-09-23","77.40"
"2013-09-20","76.76"
"2013-09-19","78.68"
"2013-09-18","78.34"
"2013-09-17","78.12"
"2013-09-16","78.08"
"2013-09-13","77.29"
"2013-09-12","77.73"
"2013-09-11","78.11"
"2013-09-10","78.02"
"2013-09-09","76.20"
"2013-09-06","75.15"
"2013-09-05","75.63"
"2013-09-04","76.36"
"2013-09-03","75.35"
"2013-08-30","75.77"
"2013-08-29","76.35"
"2013-08-28","76.09"
"2013-08-27","75.17"
"2013-08-26","77.04"
"2013-08-23","77.80"
"2013-08-22","77.82"
"2013-08-21","75.57"
"2013-08-20","75.53"
"2013-08-19","74.12"
"2013-08-16","74.79"
"2013-08-15","75.09"
"2013-08-14","76.80"
"2013-08-13","77.39"
"2013-08-12","77.49"
"2013-08-09","77.57"
"2013-08-08","77.46"
"2013-08-07","77.45"
"2013-08-06","78.75"
"2013-08-05","79.37"
"2013-08-02","79.09"
"2013-08-01","79.87"
"2013-07-31","78.56"
"2013-07-30","77.97"
"2013-07-29","77.37"
"2013-07-26","77.51"
"2013-07-25","77.53"
"2013-07-24","77.91"
"2013-07-23","77.92"
"2013-07-22","78.51"
"2013-07-19","76.78"
"2013-07-18","76.35"
"2013-07-17","84.57"
"2013-07-16","84.28"
"2013-07-15","84.92"
"2013-07-12","85.38"
"2013-07-11","85.13"
"2013-07-10","82.73"
"2013-07-09","81.75"
"2013-07-08","80.48"
"2013-07-05","80.25"
"2013-07-03","78.90"
"2013-07-02","78.47"
"2013-07-01","78.50"
"2013-06-28","77.94"
"2013-06-27","79.42"
"2013-06-26","77.52"
"2013-06-25","76.39"
"2013-06-24","74.96"
"2013-06-21","76.39"
"2013-06-20","75.61"
"2013-06-19","78.27"
"2013-06-18","79.28"
"2013-06-17","79.00"
"2013-06-14","76.20"
"2013-06-13","77.04"
"2013-06-12","76.09"
"2013-06-11","76.75"
"2013-06-10","77.82"
"2013-06-07","77.72"
"2013-06-06","77.27"
"2013-06-05","76.74"
"2013-06-04","77.72"
"2013-06-03","78.70"
"2013-05-31","77.90"
"2013-05-30","78.45"
"2013-05-29","78.23"
"2013-05-28","78.65"
"2013-05-24","78.34"
"2013-05-23","78.00"
"2013-05-22","77.64"
"2013-05-21","81.00"
"2013-05-20","81.93"
"2013-05-17","83.29"
"2013-05-16","81.42"
"2013-05-15","81.36"
"2013-05-14","80.82"
"2013-05-13","79.84"
"2013-05-10","80.29"
"2013-05-09","78.25"
"2013-05-08","77.98"
"2013-05-07","77.89"
"2013-05-06","77.16"
"2013-05-03","77.16"
"2013-05-02","75.79"
"2013-05-01","75.53"
"2013-04-30","75.52"
"2013-04-29","74.90"
"2013-04-26","74.30"
"2013-04-25","75.29"
"2013-04-24","74.37"
"2013-04-23","73.98"
"2013-04-22","73.80"
"2013-04-19","72.78"
"2013-04-18","72.23"
"2013-04-17","72.26"
"2013-04-16","73.51"
"2013-04-15","71.50"
"2013-04-12","73.49"
"2013-04-11","74.77"
"2013-04-10","74.36"
"2013-04-09","73.00"
"2013-04-08","73.04"
"2013-04-05","72.05"
"2013-04-04","73.23"
"2013-04-03","73.32"
"2013-04-02","73.71"
"2013-04-01","73.52"
"2013-03-28","74.65"
"2013-03-27","73.15"
"2013-03-26","73.19"
"2013-03-25","72.60"
"2013-03-22","73.22"
"2013-03-21","72.75"
"2013-03-20","73.16"
"2013-03-19","72.35"
"2013-03-18","72.47"
"2013-03-15","72.39"
"2013-03-14","73.25"
"2013-03-13","72.90"
"2013-03-12","72.66"
"2013-03-11","73.13"
"2013-03-08","73.24"
"2013-03-07","72.52"
"2013-03-06","72.79"
"2013-03-05","72.58"
"2013-03-04","71.97"
"2013-03-01","71.71"
"2013-02-28","70.86"
"2013-02-27","70.68"
"2013-02-26","70.09"
"2013-02-25","69.17"
"2013-02-22","70.80"
"2013-02-21","69.28"
"2013-02-20","69.49"
"2013-02-19","70.89"
"2013-02-15","70.42"
"2013-02-14","70.10"
"2013-02-13","70.11"
"2013-02-12","70.40"
"2013-02-11","70.41"
"2013-02-08","70.44"
"2013-02-07","69.49"
"2013-02-06","69.55"
"2013-02-05","68.89"
"2013-02-04","67.50"
"2013-02-01","68.47"
"2013-01-31","67.57"
"2013-01-30","67.79"
"2013-01-29","67.78"
"2013-01-28","67.32"
"2013-01-25","67.70"
"2013-01-24","67.75"
"2013-01-23","67.66"
"2013-01-22","67.81"
"2013-01-18","67.57"
"2013-01-17","67.83"
"2013-01-16","68.26"
"2013-01-15","68.35"
"2013-01-14","68.18"
"2013-01-11","68.37"
"2013-01-10","67.85"
"2013-01-09","67.51"
"2013-01-08","66.69"
"2013-01-07","67.03"
"2013-01-04","66.94"
"2013-01-03","67.21"
"2013-01-02","68.08"
"2012-12-31","64.70"
"2012-12-28","63.59"
"2012-12-27","64.60"
"2012-12-26","64.52"
"2012-12-24","64.71"
"2012-12-21","64.95"
"2012-12-20","65.01"
"2012-12-19","64.85"
"2012-12-18","64.69"
"2012-12-17","63.76"
"2012-12-14","62.54"
"2012-12-13","62.61"
"2012-12-12","62.89"
"2012-12-11","62.81"
"2012-12-10","61.90"
"2012-12-07","61.63"
"2012-12-06","61.11"
"2012-12-05","60.97"
"2012-12-04","60.96"
"2012-12-03","61.05"
"2012-11-30","61.92"
"2012-11-29","62.00"
"2012-11-28","61.56"
"2012-11-27","61.06"
"2012-11-26","61.79"
"2012-11-23","61.52"
"2012-11-21","60.75"
"2012-11-20","60.42"
"2012-11-19","60.50"
"2012-11-16","59.12"
"2012-11-15","58.72"
"2012-11-14","59.23"
"2012-11-13","60.63"
"2012-11-12","61.39"
"2012-11-09","61.04"
"2012-11-08","60.35"
"2012-11-07","60.90"
"2012-11-06","62.10"
"2012-11-05","61.75"
"2012-11-02","60.83"
"2012-11-01","61.05"
"2012-10-31","60.13"
"2012-10-26","60.13"
"2012-10-25","60.10"
"2012-10-24","59.92"
"2012-10-23","61.00"
"2012-10-22","61.56"
"2012-10-19","61.11"
"2012-10-18","61.77"
"2012-10-17","61.53"
"2012-10-16","60.17"
"2012-10-15","59.00"
"2012-10-12","58.57"
"2012-10-11","58.50"
"2012-10-10","58.35"
"2012-10-09","58.50"
"2012-10-08","58.32"
"2012-10-05","58.76"
"2012-10-04","57.95"
"2012-10-03","58.23"
"2012-10-02","57.97"
"2012-10-01","57.77"
"2012-09-28","58.88"
"2012-09-27","59.28"
"2012-09-26","59.20"
"2012-09-25","60.18"
"2012-09-24","60.71"
"2012-09-21","61.89"
"2012-09-20","61.89"
"2012-09-19","62.41"
"2012-09-18","62.62"
"2012-09-17","63.09"
"2012-09-14","63.18"
"2012-09-13","62.43"
"2012-09-12","61.27"
"2012-09-11","61.42"
"2012-09-10","61.53"
"2012-09-07","62.03"
"2012-09-06","61.75"
"2012-09-05","60.38"
"2012-09-04","61.36"
"2012-08-31","60.87"
"2012-08-30","60.32"
"2012-08-29","60.80"
"2012-08-28","60.78"
"2012-08-27","61.63"
"2012-08-24","61.66"
"2012-08-23","60.95"
"2012-08-22","60.96"
"2012-08-21","61.94"
"2012-08-20","62.16"
"2012-08-17","62.39"
"2012-08-16","62.33"
"2012-08-15","61.71"
"2012-08-14","61.88"
"2012-08-13","61.81"
"2012-08-10","61.04"
"2012-08-09","60.87"
"2012-08-08","60.97"
"2012-08-07","61.36"
"2012-08-06","60.34"
"2012-08-03","59.79"
"2012-08-02","58.06"
"2012-08-01","58.76"
"2012-07-31","58.88"
"2012-07-30","59.68"
"2012-07-27","59.99"
"2012-07-26","59.93"
"2012-07-25","58.66"
"2012-07-24","57.70"
"2012-07-23","58.10"
"2012-07-20","58.18"
"2012-07-19","59.01"
"2012-07-18","58.94"
"2012-07-17","51.36"
"2012-07-16","51.72"
"2012-07-13","52.08"
"2012-07-12","51.47"
"2012-07-11","51.83"
"2012-07-10","52.48"
"2012-07-09","53.25"
"2012-07-06","53.52"
"2012-07-05","55.13"
"2012-07-03","55.19"
"2012-07-02","54.69"
"2012-06-29","54.92"
"2012-06-28","53.23"
"2012-06-27","53.75"
"2012-06-26","53.46"
"2012-06-25","53.52"
"2012-06-22","55.11"
"2012-06-21","54.80"
"2012-06-20","56.73"
"2012-06-19","57.33"
"2012-06-18","56.44"
"2012-06-15","55.72"
"2012-06-14","54.41"
"2012-06-13","54.92"
"2012-06-12","54.69"
"2012-06-11","54.00"
"2012-06-08","54.86"
"2012-06-07","54.55"
"2012-06-06","54.15"
"2012-06-05","53.27"
"2012-06-04","52.22"
"2012-06-01","51.60"
"2012-05-31","53.19"
"2012-05-30","53.27"
"2012-05-29","54.07"
"2012-05-25","53.22"
"2012-05-24","53.26"
"2012-05-23","53.44"
"2012-05-22","52.98"
"2012-05-21","52.46"
"2012-05-18","51.19"
"2012-05-17","52.26"
"2012-05-16","52.69"
"2012-05-15","53.18"
"2012-05-14","53.46"
"2012-05-11","54.04"
"2012-05-10","54.22"
"2012-05-09","54.75"
"2012-05-08","54.53"
"2012-05-07","54.81"
"2012-05-04","55.35"
"2012-05-03","56.70"
"2012-05-02","57.96"
"2012-05-01","57.90"
"2012-04-30","58.14"
"2012-04-27","58.68"
"2012-04-26","58.49"
"2012-04-25","57.32"
"2012-04-24","56.52"
"2012-04-23","56.76"
"2012-04-20","57.68"
"2012-04-19","57.63"
"2012-04-18","58.09"
"2012-04-17","59.95"
"2012-04-16","59.07"
"2012-04-13","58.79"
"2012-04-12","59.11"
"2012-04-11","57.64"
"2012-04-10","57.15"
"2012-04-09","58.51"
"2012-04-05","59.33"
"2012-04-04","59.64"
"2012-04-03","60.70"
"2012-04-02","61.33"
"2012-03-30","59.77"
"2012-03-29","59.05"
"2012-03-28","58.61"
"2012-03-27","59.06"
"2012-03-26","57.93"
"2012-03-23","56.80"
"2012-03-22","56.85"
"2012-03-21","56.87"
"2012-03-20","56.62"
"2012-03-19","57.60"
"2012-03-16","57.73"
"2012-03-15","57.73"
"2012-03-14","57.32"
"2012-03-13","58.00"
"2012-03-12","56.71"
"2012-03-09","56.83"
"2012-03-08","56.35"
"2012-03-07","56.01"
"2012-03-06","55.09"
"2012-03-05","55.79"
"2012-03-02","56.23"
"2012-03-01","56.45"
"2012-02-29","55.96"
"2012-02-28","56.51"
"2012-02-27","56.14"
"2012-02-24","56.30"
"2012-02-23","56.09"
"2012-02-22","56.17"
"2012-02-21","56.41"
"2012-02-17","56.31"
"2012-02-16","56.35"
"2012-02-15","54.87"
"2012-02-14","55.06"
"2012-02-13","55.15"
"2012-02-10","54.82"
"2012-02-09","55.30"
"2012-02-08","54.66"
"2012-02-07","54.87"
"2012-02-06","54.85"
"2012-02-03","55.07"
"2012-02-02","54.24"
"2012-02-01","54.80"
"2012-01-31","54.43"
"2012-01-30","54.19"
"2012-01-27","54.41"
"2012-01-26","54.71"
"2012-01-25","54.70"
"2012-01-24","54.75"
"2012-01-23","55.08"
"2012-01-20","55.36"
"2012-01-19","54.89"
