"Date","Close"
"2013-12-31","35.63"
"2013-12-30","35.47"
"2013-12-27","35.64"
"2013-12-26","35.03"
"2013-12-24","34.66"
"2013-12-23","34.07"
"2013-12-20","33.10"
"2013-12-19","33.78"
"2013-12-18","32.92"
"2013-12-17","32.79"
"2013-12-16","33.09"
"2013-12-13","32.77"
"2013-12-12","32.23"
"2013-12-11","31.93"
"2013-12-10","33.13"
"2013-12-09","33.82"
"2013-12-06","32.77"
"2013-12-05","32.95"
"2013-12-04","32.44"
"2013-12-03","32.39"
"2013-12-02","32.83"
"2013-11-29","33.22"
"2013-11-27","33.14"
"2013-11-26","32.94"
"2013-11-25","33.55"
"2013-11-22","33.93"
"2013-11-21","33.70"
"2013-11-20","33.57"
"2013-11-19","34.17"
"2013-11-18","33.94"
"2013-11-15","33.75"
"2013-11-14","33.53"
"2013-11-13","33.22"
"2013-11-12","33.10"
"2013-11-11","33.81"
"2013-11-08","33.82"
"2013-11-07","33.13"
"2013-11-06","33.93"
"2013-11-05","33.71"
"2013-11-04","33.72"
"2013-11-01","33.36"
"2013-10-31","33.10"
"2013-10-30","33.27"
"2013-10-29","33.49"
"2013-10-28","33.26"
"2013-10-25","33.75"
"2013-10-24","33.57"
"2013-10-23","33.42"
"2013-10-22","32.79"
"2013-10-21","32.04"
"2013-10-18","31.52"
"2013-10-17","31.40"
"2013-10-16","31.42"
"2013-10-15","32.03"
"2013-10-14","30.82"
"2013-10-11","30.92"
"2013-10-10","30.68"
"2013-10-09","30.04"
"2013-10-08","30.06"
"2013-10-07","30.54"
"2013-10-04","30.87"
"2013-10-03","30.53"
"2013-10-02","30.88"
"2013-10-01","30.97"
"2013-09-30","30.52"
"2013-09-27","30.24"
"2013-09-26","30.65"
"2013-09-25","30.82"
"2013-09-24","30.79"
"2013-09-23","31.01"
"2013-09-20","30.99"
"2013-09-19","31.72"
"2013-09-18","31.87"
"2013-09-17","30.89"
"2013-09-16","30.95"
"2013-09-13","28.63"
"2013-09-12","28.49"
"2013-09-11","29.21"
"2013-09-10","29.12"
"2013-09-09","28.36"
"2013-09-06","27.52"
"2013-09-05","27.71"
"2013-09-04","26.92"
"2013-09-03","26.58"
"2013-08-30","26.71"
"2013-08-29","26.85"
"2013-08-28","26.81"
"2013-08-27","26.63"
"2013-08-26","27.46"
"2013-08-23","27.53"
"2013-08-22","27.34"
"2013-08-21","26.92"
"2013-08-20","27.00"
"2013-08-19","26.67"
"2013-08-16","27.19"
"2013-08-15","27.61"
"2013-08-14","28.24"
"2013-08-13","28.15"
"2013-08-12","28.46"
"2013-08-09","28.99"
"2013-08-08","27.92"
"2013-08-07","26.96"
"2013-08-06","26.94"
"2013-08-05","27.67"
"2013-08-02","27.79"
"2013-08-01","27.68"
"2013-07-31","27.57"
"2013-07-30","27.98"
"2013-07-29","27.81"
"2013-07-26","27.92"
"2013-07-25","27.57"
"2013-07-24","26.92"
"2013-07-23","27.89"
"2013-07-22","27.36"
"2013-07-19","26.98"
"2013-07-18","26.81"
"2013-07-17","26.72"
"2013-07-16","26.54"
"2013-07-15","26.90"
"2013-07-12","27.35"
"2013-07-11","27.99"
"2013-07-10","26.91"
"2013-07-09","27.11"
"2013-07-08","26.33"
"2013-07-05","26.28"
"2013-07-03","26.00"
"2013-07-02","26.08"
"2013-07-01","26.28"
"2013-06-28","26.31"
"2013-06-27","27.05"
"2013-06-26","26.76"
"2013-06-25","26.55"
"2013-06-24","26.12"
"2013-06-21","27.56"
"2013-06-20","27.29"
"2013-06-19","28.06"
"2013-06-18","28.29"
"2013-06-17","28.04"
"2013-06-14","27.65"
"2013-06-13","28.01"
"2013-06-12","27.13"
"2013-06-11","26.91"
"2013-06-10","27.48"
"2013-06-07","27.57"
"2013-06-06","27.00"
"2013-06-05","27.06"
"2013-06-04","27.48"
"2013-06-03","27.77"
"2013-05-31","27.57"
"2013-05-30","28.09"
"2013-05-29","28.19"
"2013-05-28","28.30"
"2013-05-24","28.26"
"2013-05-23","29.17"
"2013-05-22","29.48"
"2013-05-21","30.94"
"2013-05-20","30.48"
"2013-05-17","29.77"
