"Date","Close"
"2013-12-31","50.19"
"2013-12-30","50.21"
"2013-12-27","50.48"
"2013-12-26","50.65"
"2013-12-24","49.89"
"2013-12-23","49.66"
"2013-12-20","49.58"
"2013-12-19","49.33"
"2013-12-18","49.63"
"2013-12-17","49.11"
"2013-12-16","49.06"
"2013-12-13","48.66"
"2013-12-12","48.06"
"2013-12-11","48.13"
"2013-12-10","49.01"
"2013-12-09","49.33"
"2013-12-06","49.66"
"2013-12-05","48.55"
"2013-12-04","49.09"
"2013-12-03","49.03"
"2013-12-02","49.36"
"2013-11-29","48.90"
"2013-11-27","49.08"
"2013-11-26","48.73"
"2013-11-25","48.96"
"2013-11-22","49.37"
"2013-11-21","49.12"
"2013-11-20","48.10"
"2013-11-19","48.04"
"2013-11-18","48.28"
"2013-11-15","48.28"
"2013-11-14","47.97"
"2013-11-13","47.85"
"2013-11-12","47.41"
"2013-11-11","47.30"
"2013-11-08","47.57"
"2013-11-07","46.17"
"2013-11-06","46.99"
"2013-11-05","46.95"
"2013-11-04","47.55"
"2013-11-01","47.37"
"2013-10-31","47.12"
"2013-10-30","47.24"
"2013-10-29","47.29"
"2013-10-28","47.84"
"2013-10-25","47.74"
"2013-10-24","44.05"
"2013-10-23","43.78"
"2013-10-22","44.09"
"2013-10-21","44.00"
"2013-10-18","44.64"
"2013-10-17","44.11"
"2013-10-16","43.29"
"2013-10-15","42.83"
"2013-10-14","43.15"
"2013-10-11","43.07"
"2013-10-10","43.37"
"2013-10-09","42.28"
"2013-10-08","42.28"
"2013-10-07","42.70"
"2013-10-04","43.05"
"2013-10-03","42.82"
"2013-10-02","42.91"
"2013-10-01","43.28"
"2013-09-30","43.52"
"2013-09-27","43.57"
"2013-09-26","43.89"
"2013-09-25","43.47"
"2013-09-24","43.76"
"2013-09-23","43.69"
"2013-09-20","44.14"
"2013-09-19","44.27"
"2013-09-18","44.44"
"2013-09-17","44.18"
"2013-09-16","44.26"
"2013-09-13","44.14"
"2013-09-12","43.96"
"2013-09-11","44.78"
"2013-09-10","44.75"
"2013-09-09","43.81"
"2013-09-06","42.98"
"2013-09-05","43.16"
"2013-09-04","43.00"
"2013-09-03","42.89"
"2013-08-30","42.76"
"2013-08-29","43.61"
"2013-08-28","43.26"
