"Date","Close"
"2013-12-31","69.55"
"2013-12-30","69.25"
"2013-12-27","69.47"
"2013-12-26","69.32"
"2013-12-24","69.06"
"2013-12-23","68.90"
"2013-12-20","68.39"
"2013-12-19","67.06"
"2013-12-18","67.24"
"2013-12-17","65.55"
"2013-12-16","66.14"
"2013-12-13","66.27"
"2013-12-12","66.55"
"2013-12-11","66.97"
"2013-12-10","67.26"
"2013-12-09","67.79"
"2013-12-06","67.39"
"2013-12-05","66.70"
"2013-12-04","66.77"
"2013-12-03","67.35"
"2013-12-02","68.17"
"2013-11-29","68.45"
"2013-11-27","68.22"
"2013-11-26","67.84"
"2013-11-25","67.69"
"2013-11-22","67.78"
"2013-11-21","68.41"
"2013-11-20","69.04"
"2013-11-19","69.12"
"2013-11-18","68.82"
"2013-11-15","68.66"
"2013-11-14","67.60"
"2013-11-13","66.37"
"2013-11-12","65.90"
"2013-11-11","65.22"
"2013-11-08","65.13"
"2013-11-07","65.22"
"2013-11-06","65.38"
"2013-11-05","65.13"
"2013-11-04","66.04"
"2013-11-01","65.75"
"2013-10-31","65.87"
"2013-10-30","65.99"
"2013-10-29","66.62"
"2013-10-28","66.75"
"2013-10-25","65.49"
"2013-10-24","65.44"
"2013-10-23","65.26"
"2013-10-22","65.30"
"2013-10-21","65.25"
"2013-10-18","66.00"
"2013-10-17","67.24"
"2013-10-16","67.56"
"2013-10-15","66.28"
"2013-10-14","66.48"
"2013-10-11","66.00"
"2013-10-10","65.96"
"2013-10-09","65.00"
"2013-10-08","64.41"
"2013-10-07","64.84"
"2013-10-04","65.01"
"2013-10-03","64.46"
"2013-10-02","63.89"
"2013-10-01","65.58"
"2013-09-30","65.69"
"2013-09-27","66.38"
"2013-09-26","66.35"
"2013-09-25","66.70"
"2013-09-24","71.26"
"2013-09-23","71.84"
"2013-09-20","71.58"
"2013-09-19","72.20"
"2013-09-18","71.70"
"2013-09-17","71.58"
"2013-09-16","71.92"
"2013-09-13","71.78"
"2013-09-12","71.63"
"2013-09-11","72.24"
"2013-09-10","71.43"
"2013-09-09","70.70"
"2013-09-06","70.01"
"2013-09-05","69.78"
"2013-09-04","69.70"
"2013-09-03","69.54"
"2013-08-30","69.56"
"2013-08-29","70.16"
"2013-08-28","70.72"
"2013-08-27","70.60"
"2013-08-26","71.74"
"2013-08-23","71.94"
"2013-08-22","71.42"
"2013-08-21","71.03"
"2013-08-20","71.35"
"2013-08-19","71.38"
"2013-08-16","71.12"
"2013-08-15","72.33"
"2013-08-14","73.47"
"2013-08-13","73.83"
"2013-08-12","73.67"
"2013-08-09","73.79"
"2013-08-08","73.16"
"2013-08-07","71.64"
"2013-08-06","72.02"
"2013-08-05","71.11"
"2013-08-02","70.44"
"2013-08-01","72.20"
"2013-07-31","73.04"
"2013-07-30","73.54"
"2013-07-29","72.83"
"2013-07-26","73.02"
"2013-07-25","72.81"
"2013-07-24","73.62"
"2013-07-23","74.29"
"2013-07-22","74.43"
"2013-07-19","74.04"
"2013-07-18","73.10"
"2013-07-17","73.06"
"2013-07-16","72.83"
"2013-07-15","72.68"
"2013-07-12","72.50"
"2013-07-11","72.62"
"2013-07-10","71.32"
"2013-07-09","71.45"
"2013-07-08","71.07"
"2013-07-05","69.88"
"2013-07-03","69.40"
"2013-07-02","69.67"
"2013-07-01","70.06"
"2013-06-28","69.27"
"2013-06-27","69.70"
"2013-06-26","69.74"
"2013-06-25","69.50"
"2013-06-24","69.47"
"2013-06-21","69.96"
"2013-06-20","68.10"
"2013-06-19","69.66"
"2013-06-18","70.88"
"2013-06-17","70.73"
"2013-06-14","70.60"
"2013-06-13","70.75"
"2013-06-12","69.75"
"2013-06-11","69.77"
"2013-06-10","70.24"
"2013-06-07","69.97"
"2013-06-06","69.52"
"2013-06-05","68.83"
"2013-06-04","69.78"
"2013-06-03","70.44"
"2013-05-31","70.33"
"2013-05-30","72.00"
"2013-05-29","71.34"
"2013-05-28","72.31"
"2013-05-24","71.51"
"2013-05-23","72.15"
"2013-05-22","72.30"
"2013-05-21","73.04"
"2013-05-20","72.94"
"2013-05-17","72.94"
"2013-05-16","71.85"
"2013-05-15","70.55"
"2013-05-14","70.49"
"2013-05-13","70.46"
"2013-05-10","70.76"
"2013-05-09","70.99"
"2013-05-08","71.27"
"2013-05-07","68.58"
"2013-05-06","70.31"
"2013-05-03","70.25"
"2013-05-02","70.70"
"2013-05-01","68.91"
"2013-04-30","69.87"
"2013-04-29","70.56"
"2013-04-26","69.49"
"2013-04-25","69.09"
"2013-04-24","69.53"
"2013-04-23","69.85"
"2013-04-22","69.13"
"2013-04-19","69.09"
"2013-04-18","68.90"
"2013-04-17","70.23"
"2013-04-16","70.90"
"2013-04-15","70.42"
"2013-04-12","71.78"
"2013-04-11","71.87"
"2013-04-10","71.43"
"2013-04-09","70.53"
"2013-04-08","70.11"
"2013-04-05","70.50"
"2013-04-04","71.12"
"2013-04-03","71.36"
"2013-04-02","72.21"
"2013-04-01","72.30"
"2013-03-28","72.64"
"2013-03-27","71.88"
"2013-03-26","71.46"
"2013-03-25","70.80"
"2013-03-22","70.94"
"2013-03-21","70.06"
"2013-03-20","69.92"
"2013-03-19","69.37"
"2013-03-18","68.90"
"2013-03-15","69.41"
"2013-03-14","70.06"
"2013-03-13","69.63"
"2013-03-12","69.28"
"2013-03-11","69.97"
"2013-03-08","69.89"
"2013-03-07","69.29"
"2013-03-06","69.97"
"2013-03-05","70.24"
"2013-03-04","69.18"
"2013-03-01","68.90"
"2013-02-28","67.60"
"2013-02-27","67.31"
"2013-02-26","66.77"
"2013-02-25","67.10"
"2013-02-22","67.00"
"2013-02-21","66.42"
"2013-02-20","67.54"
"2013-02-19","68.32"
"2013-02-15","68.17"
"2013-02-14","68.17"
"2013-02-13","68.15"
"2013-02-12","68.68"
"2013-02-11","68.73"
"2013-02-08","69.00"
"2013-02-07","68.53"
"2013-02-06","69.27"
"2013-02-05","68.95"
"2013-02-04","68.31"
"2013-02-01","68.77"
"2013-01-31","67.84"
"2013-01-30","67.90"
"2013-01-29","67.35"
"2013-01-28","67.43"
"2013-01-25","68.00"
"2013-01-24","67.78"
"2013-01-23","66.59"
"2013-01-22","66.95"
"2013-01-18","67.05"
"2013-01-17","67.19"
"2013-01-16","66.52"
"2013-01-15","67.04"
"2013-01-14","68.03"
"2013-01-11","68.95"
"2013-01-10","68.43"
"2013-01-09","68.39"
"2013-01-08","68.43"
"2013-01-07","68.50"
"2013-01-04","68.43"
"2013-01-03","67.78"
"2013-01-02","67.65"
"2012-12-31","66.66"
"2012-12-28","65.59"
"2012-12-27","66.53"
"2012-12-26","66.19"
"2012-12-24","66.97"
"2012-12-21","67.25"
"2012-12-20","67.80"
"2012-12-19","66.40"
"2012-12-18","66.95"
"2012-12-17","66.33"
"2012-12-14","65.95"
"2012-12-13","65.66"
