"Date","Close"
"2013-12-31","80.30"
"2013-12-30","80.13"
"2013-12-27","79.32"
"2013-12-26","79.53"
"2013-12-24","78.65"
"2013-12-23","78.42"
"2013-12-20","77.41"
"2013-12-19","77.52"
"2013-12-18","78.46"
"2013-12-17","76.95"
"2013-12-16","76.81"
"2013-12-13","76.52"
"2013-12-12","76.52"
"2013-12-11","77.24"
"2013-12-10","78.01"
"2013-12-09","77.68"
"2013-12-06","78.13"
"2013-12-05","77.19"
"2013-12-04","77.03"
"2013-12-03","78.14"
"2013-12-02","78.00"
"2013-11-29","78.03"
"2013-11-27","78.30"
"2013-11-26","78.58"
"2013-11-25","77.72"
"2013-11-22","77.46"
"2013-11-21","76.84"
"2013-11-20","76.37"
"2013-11-19","77.19"
"2013-11-18","77.18"
"2013-11-15","78.16"
"2013-11-14","78.10"
"2013-11-13","78.16"
"2013-11-12","76.42"
"2013-11-11","76.56"
"2013-11-08","75.76"
"2013-11-07","75.49"
"2013-11-06","76.00"
"2013-11-05","77.37"
"2013-11-04","76.99"
"2013-11-01","76.91"
"2013-10-31","77.32"
"2013-10-30","77.50"
"2013-10-29","77.44"
"2013-10-28","76.66"
"2013-10-25","76.75"
"2013-10-24","76.78"
"2013-10-23","76.87"
"2013-10-22","76.76"
"2013-10-21","76.80"
"2013-10-18","76.35"
"2013-10-17","76.63"
"2013-10-16","77.12"
"2013-10-15","76.21"
"2013-10-14","77.27"
"2013-10-11","77.33"
"2013-10-10","76.56"
"2013-10-09","74.95"
"2013-10-08","75.85"
"2013-10-07","76.66"
"2013-10-04","77.97"
"2013-10-03","77.40"
"2013-10-02","78.06"
"2013-10-01","77.82"
"2013-09-30","77.36"
"2013-09-27","77.23"
"2013-09-26","77.54"
"2013-09-25","74.22"
"2013-09-24","74.81"
"2013-09-23","74.20"
"2013-09-20","75.47"
"2013-09-19","75.59"
"2013-09-18","76.97"
"2013-09-17","75.82"
"2013-09-16","74.51"
"2013-09-13","73.63"
"2013-09-12","72.10"
"2013-09-11","72.29"
"2013-09-10","71.78"
"2013-09-09","72.45"
"2013-09-06","71.84"
"2013-09-05","72.68"
"2013-09-04","72.36"
"2013-09-03","73.76"
"2013-08-30","73.74"
"2013-08-29","74.00"
"2013-08-28","74.36"
"2013-08-27","73.56"
"2013-08-26","74.63"
"2013-08-23","74.41"
"2013-08-22","74.39"
"2013-08-21","73.60"
"2013-08-20","74.36"
"2013-08-19","73.26"
"2013-08-16","73.45"
"2013-08-15","73.76"
"2013-08-14","74.61"
"2013-08-13","75.84"
"2013-08-12","75.97"
"2013-08-09","76.03"
"2013-08-08","76.78"
"2013-08-07","76.19"
"2013-08-06","77.58"
"2013-08-05","78.18"
"2013-08-02","77.51"
"2013-08-01","76.60"
"2013-07-31","76.47"
"2013-07-30","75.36"
"2013-07-29","75.11"
"2013-07-26","75.30"
"2013-07-25","76.39"
"2013-07-24","75.94"
"2013-07-23","76.11"
"2013-07-22","76.61"
"2013-07-19","76.18"
"2013-07-18","75.71"
"2013-07-17","75.61"
"2013-07-16","75.68"
"2013-07-15","76.59"
"2013-07-12","76.74"
"2013-07-11","76.63"
"2013-07-10","75.57"
"2013-07-09","75.58"
"2013-07-08","73.81"
"2013-07-05","72.76"
"2013-07-03","71.94"
"2013-07-02","71.46"
"2013-07-01","71.76"
"2013-06-28","70.95"
"2013-06-27","70.15"
"2013-06-26","70.00"
"2013-06-25","68.81"
"2013-06-24","68.40"
"2013-06-21","69.99"
"2013-06-20","69.52"
"2013-06-19","70.69"
"2013-06-18","71.99"
"2013-06-17","71.22"
"2013-06-14","71.07"
"2013-06-13","71.03"
"2013-06-12","69.15"
"2013-06-11","69.08"
"2013-06-10","69.09"
"2013-06-07","69.36"
"2013-06-06","68.24"
"2013-06-05","68.33"
"2013-06-04","66.98"
"2013-06-03","68.36"
