"Date","Close"
"2013-12-31","39.88"
"2013-12-30","40.01"
"2013-12-27","40.17"
"2013-12-26","41.04"
"2013-12-24","40.22"
"2013-12-23","40.61"
"2013-12-20","39.66"
"2013-12-19","41.35"
"2013-12-18","41.96"
"2013-12-17","41.22"
"2013-12-16","41.73"
"2013-12-13","40.51"
"2013-12-12","40.23"
"2013-12-11","40.51"
"2013-12-10","41.54"
"2013-12-09","41.36"
"2013-12-06","41.05"
"2013-12-05","41.60"
"2013-12-04","42.80"
"2013-12-03","42.00"
"2013-12-02","41.08"
"2013-11-29","40.55"
"2013-11-27","39.61"
"2013-11-26","39.62"
"2013-11-25","39.73"
"2013-11-22","39.37"
"2013-11-21","39.07"
"2013-11-20","38.71"
"2013-11-19","38.78"
"2013-11-18","43.56"
"2013-11-15","43.69"
"2013-11-14","43.33"
"2013-11-13","43.99"
"2013-11-12","43.77"
"2013-11-11","44.33"
"2013-11-08","42.41"
"2013-11-07","40.89"
"2013-11-06","41.71"
"2013-11-05","44.06"
"2013-11-04","43.28"
"2013-11-01","42.93"
"2013-10-31","42.80"
"2013-10-30","42.73"
"2013-10-29","42.92"
"2013-10-28","42.87"
"2013-10-25","42.77"
"2013-10-24","42.74"
"2013-10-23","42.55"
"2013-10-22","43.08"
"2013-10-21","42.81"
"2013-10-18","42.97"
"2013-10-17","42.82"
"2013-10-16","41.60"
"2013-10-15","40.62"
"2013-10-14","39.61"
"2013-10-11","39.26"
"2013-10-10","39.00"
"2013-10-09","36.26"
"2013-10-08","35.67"
"2013-10-07","37.01"
"2013-10-04","38.15"
"2013-10-03","37.69"
"2013-10-02","37.66"
"2013-10-01","37.95"
"2013-09-30","37.50"
"2013-09-27","37.98"
"2013-09-26","38.53"
"2013-09-25","38.00"
"2013-09-24","38.30"
"2013-09-23","38.89"
"2013-09-20","38.30"
"2013-09-19","39.10"
"2013-09-18","39.05"
"2013-09-17","38.95"
"2013-09-16","38.32"
"2013-09-13","38.28"
"2013-09-12","37.63"
"2013-09-11","37.90"
"2013-09-10","37.92"
"2013-09-09","37.16"
"2013-09-06","37.02"
"2013-09-05","37.49"
"2013-09-04","37.14"
"2013-09-03","36.99"
"2013-08-30","36.00"
"2013-08-29","36.35"
"2013-08-28","35.81"
"2013-08-27","35.02"
"2013-08-26","35.81"
"2013-08-23","35.08"
"2013-08-22","35.20"
"2013-08-21","33.75"
"2013-08-20","34.80"
"2013-08-19","30.73"
"2013-08-16","30.37"
"2013-08-15","30.81"
"2013-08-14","31.67"
"2013-08-13","30.86"
"2013-08-12","30.86"
"2013-08-09","30.63"
"2013-08-08","31.03"
"2013-08-07","30.44"
"2013-08-06","31.39"
"2013-08-05","31.24"
"2013-08-02","31.30"
"2013-08-01","30.71"
"2013-07-31","30.09"
"2013-07-30","29.34"
"2013-07-29","28.86"
"2013-07-26","29.65"
"2013-07-25","29.93"
"2013-07-24","29.33"
"2013-07-23","29.33"
"2013-07-22","29.40"
"2013-07-19","28.97"
"2013-07-18","28.81"
"2013-07-17","28.54"
"2013-07-16","29.14"
"2013-07-15","29.60"
"2013-07-12","29.73"
"2013-07-11","29.38"
"2013-07-10","28.47"
"2013-07-09","29.73"
"2013-07-08","30.02"
"2013-07-05","29.73"
"2013-07-03","29.42"
"2013-07-02","28.69"
"2013-07-01","29.74"
"2013-06-28","27.33"
"2013-06-27","27.84"
"2013-06-26","27.28"
"2013-06-25","26.74"
"2013-06-24","26.32"
"2013-06-21","26.77"
"2013-06-20","26.59"
"2013-06-19","27.66"
"2013-06-18","28.06"
"2013-06-17","27.41"
"2013-06-14","26.87"
"2013-06-13","27.56"
"2013-06-12","26.88"
"2013-06-11","27.89"
"2013-06-10","28.04"
"2013-06-07","27.36"
"2013-06-06","27.68"
"2013-06-05","27.09"
"2013-06-04","27.40"
"2013-06-03","27.36"
"2013-05-31","27.55"
"2013-05-30","27.74"
"2013-05-29","27.04"
"2013-05-28","26.73"
"2013-05-24","26.03"
"2013-05-23","26.29"
"2013-05-22","25.65"
"2013-05-21","25.64"
"2013-05-20","26.81"
"2013-05-17","26.90"
"2013-05-16","25.90"
"2013-05-15","26.40"
"2013-05-14","26.74"
"2013-05-13","25.31"
"2013-05-10","25.37"
"2013-05-09","25.60"
"2013-05-08","25.51"
"2013-05-07","26.12"
"2013-05-06","26.34"
"2013-05-03","26.52"
"2013-05-02","26.26"
"2013-05-01","25.90"
"2013-04-30","25.99"
"2013-04-29","24.20"
"2013-04-26","23.50"
"2013-04-25","24.14"
"2013-04-24","23.77"
"2013-04-23","24.13"
"2013-04-22","23.68"
"2013-04-19","23.25"
"2013-04-18","22.97"
"2013-04-17","23.38"
"2013-04-16","23.66"
"2013-04-15","22.94"
"2013-04-12","24.09"
"2013-04-11","24.11"
"2013-04-10","24.82"
"2013-04-09","25.74"
"2013-04-08","25.96"
"2013-04-05","25.45"
"2013-04-04","25.13"
"2013-04-03","21.65"
"2013-04-02","21.64"
"2013-04-01","21.68"
"2013-03-28","22.15"
"2013-03-27","22.15"
"2013-03-26","22.70"
"2013-03-25","23.20"
"2013-03-22","22.78"
"2013-03-21","22.46"
"2013-03-20","23.07"
"2013-03-19","22.25"
"2013-03-18","22.13"
"2013-03-15","21.45"
"2013-03-14","21.50"
"2013-03-13","20.96"
"2013-03-12","20.29"
"2013-03-11","20.08"
"2013-03-08","20.17"
"2013-03-07","19.26"
"2013-03-06","18.75"
"2013-03-05","18.40"
"2013-03-04","17.77"
"2013-03-01","17.16"
"2013-02-28","16.41"
"2013-02-27","16.60"
"2013-02-26","16.46"
"2013-02-25","17.00"
"2013-02-22","17.02"
"2013-02-21","17.41"
"2013-02-20","17.25"
"2013-02-19","17.33"
"2013-02-15","16.87"
"2013-02-14","15.71"
"2013-02-13","15.12"
"2013-02-12","15.43"
"2013-02-11","15.71"
"2013-02-08","15.29"
"2013-02-07","15.58"
"2013-02-06","15.91"
"2013-02-05","15.93"
"2013-02-04","15.76"
"2013-02-01","16.11"
"2013-01-31","16.26"
"2013-01-30","15.90"
"2013-01-29","15.99"
"2013-01-28","16.06"
"2013-01-25","15.78"
"2013-01-24","15.34"
"2013-01-23","15.40"
"2013-01-22","15.39"
"2013-01-18","14.88"
"2013-01-17","14.62"
"2013-01-16","14.67"
"2013-01-15","14.42"
"2013-01-14","14.48"
"2013-01-11","14.21"
"2013-01-10","12.21"
"2013-01-09","11.59"
"2013-01-08","11.82"
"2013-01-07","12.21"
"2013-01-04","12.11"
"2013-01-03","11.99"
"2013-01-02","11.81"
"2012-12-31","11.85"
"2012-12-28","11.29"
"2012-12-27","11.51"
"2012-12-26","11.47"
"2012-12-24","11.57"
"2012-12-21","11.67"
"2012-12-20","11.97"
"2012-12-19","11.90"
"2012-12-18","12.12"
"2012-12-17","12.27"
"2012-12-14","12.05"
"2012-12-13","14.12"
"2012-12-12","12.18"
"2012-12-11","12.11"
"2012-12-10","12.39"
"2012-12-07","11.99"
"2012-12-06","12.36"
"2012-12-05","12.08"
"2012-12-04","12.15"
"2012-12-03","12.92"
"2012-11-30","13.11"
"2012-11-29","12.95"
"2012-11-28","13.35"
"2012-11-27","12.89"
"2012-11-26","12.48"
"2012-11-23","11.70"
"2012-11-21","11.57"
"2012-11-20","11.96"
"2012-11-19","13.75"
"2012-11-16","13.75"
"2012-11-15","15.25"
"2012-11-14","15.33"
"2012-11-13","15.70"
"2012-11-12","15.85"
"2012-11-09","15.30"
"2012-11-08","15.26"
"2012-11-07","15.47"
"2012-11-06","14.95"
"2012-11-05","14.47"
"2012-11-02","14.69"
"2012-11-01","15.05"
"2012-10-31","15.21"
"2012-10-26","14.96"
"2012-10-25","15.17"
"2012-10-24","16.92"
"2012-10-23","16.87"
"2012-10-22","17.10"
