"Date","Close"
"2013-12-31","110.49"
"2013-12-30","110.60"
"2013-12-27","110.35"
"2013-12-26","110.10"
"2013-12-24","109.68"
"2013-12-23","109.43"
"2013-12-20","108.88"
"2013-12-19","108.02"
"2013-12-18","108.55"
"2013-12-17","105.75"
"2013-12-16","105.88"
"2013-12-13","105.45"
"2013-12-12","105.00"
"2013-12-11","105.64"
"2013-12-10","107.32"
"2013-12-09","108.61"
"2013-12-06","108.35"
"2013-12-05","107.00"
"2013-12-04","107.41"
"2013-12-03","108.41"
"2013-12-02","108.12"
"2013-11-29","108.59"
"2013-11-27","108.94"
"2013-11-26","108.89"
"2013-11-25","109.24"
"2013-11-22","109.11"
"2013-11-21","109.16"
"2013-11-20","108.68"
"2013-11-19","108.44"
"2013-11-18","108.12"
"2013-11-15","109.12"
"2013-11-14","108.66"
"2013-11-13","108.03"
"2013-11-12","108.92"
"2013-11-11","108.00"
"2013-11-08","107.71"
"2013-11-07","106.30"
"2013-11-06","107.06"
"2013-11-05","107.01"
"2013-11-04","106.56"
"2013-11-01","105.17"
"2013-10-31","105.13"
"2013-10-30","105.65"
"2013-10-29","106.50"
"2013-10-28","106.35"
"2013-10-25","105.55"
"2013-10-24","106.01"
"2013-10-23","106.57"
"2013-10-22","105.44"
"2013-10-21","105.02"
"2013-10-18","104.81"
"2013-10-17","104.09"
"2013-10-16","102.88"
"2013-10-15","101.06"
"2013-10-14","102.76"
"2013-10-11","102.81"
"2013-10-10","101.16"
"2013-10-09","99.10"
"2013-10-08","98.33"
"2013-10-07","99.43"
"2013-10-04","100.42"
"2013-10-03","99.50"
"2013-10-02","100.65"
"2013-10-01","100.92"
"2013-09-30","100.02"
"2013-09-27","99.89"
"2013-09-26","100.92"
"2013-09-25","100.25"
"2013-09-24","101.09"
"2013-09-23","101.88"
"2013-09-20","102.06"
"2013-09-19","102.87"
"2013-09-18","102.32"
"2013-09-17","100.80"
"2013-09-16","100.73"
"2013-09-13","99.99"
"2013-09-12","99.65"
"2013-09-11","100.36"
"2013-09-10","99.69"
"2013-09-09","99.72"
"2013-09-06","99.38"
"2013-09-05","98.82"
"2013-09-04","98.72"
"2013-09-03","97.31"
"2013-08-30","97.38"
"2013-08-29","97.58"
"2013-08-28","97.59"
"2013-08-27","97.25"
"2013-08-26","99.10"
"2013-08-23","99.02"
"2013-08-22","98.85"
"2013-08-21","98.23"
"2013-08-20","98.18"
"2013-08-19","97.72"
"2013-08-16","97.35"
"2013-08-15","97.83"
"2013-08-14","99.53"
"2013-08-13","99.86"
"2013-08-12","100.00"
"2013-08-09","99.94"
"2013-08-08","100.31"
"2013-08-07","100.00"
"2013-08-06","100.17"
"2013-08-05","100.77"
