"Date","Close"
"2013-12-31","68.06"
"2013-12-30","67.64"
"2013-12-27","67.29"
"2013-12-26","67.18"
"2013-12-24","67.08"
"2013-12-23","67.14"
"2013-12-20","67.34"
"2013-12-19","66.94"
"2013-12-18","67.27"
"2013-12-17","66.19"
"2013-12-16","65.93"
"2013-12-13","65.77"
"2013-12-12","65.94"
"2013-12-11","67.38"
"2013-12-10","67.23"
"2013-12-09","67.45"
"2013-12-06","66.71"
"2013-12-05","66.15"
"2013-12-04","66.65"
"2013-12-03","66.80"
"2013-12-02","66.55"
"2013-11-29","67.53"
"2013-11-27","67.73"
"2013-11-26","66.99"
"2013-11-25","67.63"
"2013-11-22","67.85"
"2013-11-21","67.98"
"2013-11-20","67.38"
"2013-11-19","67.64"
"2013-11-18","67.66"
"2013-11-15","68.02"
"2013-11-14","68.27"
"2013-11-13","67.86"
"2013-11-12","67.44"
"2013-11-11","67.87"
"2013-11-08","68.12"
"2013-11-07","67.54"
"2013-11-06","68.59"
"2013-11-05","66.99"
"2013-11-04","67.14"
"2013-11-01","67.01"
"2013-10-31","67.30"
"2013-10-30","67.83"
"2013-10-29","70.30"
"2013-10-28","69.48"
"2013-10-25","68.65"
"2013-10-24","68.18"
"2013-10-23","69.44"
"2013-10-22","69.89"
"2013-10-21","69.76"
"2013-10-18","69.83"
"2013-10-17","69.61"
"2013-10-16","68.19"
"2013-10-15","67.23"
"2013-10-14","68.33"
"2013-10-11","68.26"
"2013-10-10","67.38"
"2013-10-09","66.42"
"2013-10-08","66.75"
"2013-10-07","67.26"
"2013-10-04","67.17"
"2013-10-03","66.59"
"2013-10-02","66.81"
"2013-10-01","65.72"
"2013-09-30","64.65"
"2013-09-27","64.37"
"2013-09-26","64.51"
"2013-09-25","64.81"
"2013-09-24","65.02"
"2013-09-23","65.66"
"2013-09-20","65.74"
"2013-09-19","66.39"
"2013-09-18","66.92"
"2013-09-17","65.71"
"2013-09-16","65.44"
"2013-09-13","65.30"
"2013-09-12","65.12"
"2013-09-11","65.27"
"2013-09-10","64.96"
"2013-09-09","64.43"
"2013-09-06","63.75"
"2013-09-05","63.32"
"2013-09-04","62.56"
"2013-09-03","62.18"
"2013-08-30","62.65"
"2013-08-29","62.41"
"2013-08-28","61.08"
"2013-08-27","61.42"
"2013-08-26","61.99"
"2013-08-23","62.12"
"2013-08-22","62.47"
"2013-08-21","61.82"
"2013-08-20","62.52"
"2013-08-19","61.67"
"2013-08-16","62.20"
"2013-08-15","62.08"
"2013-08-14","63.10"
"2013-08-13","63.74"
"2013-08-12","64.02"
"2013-08-09","65.68"
"2013-08-08","66.28"
"2013-08-07","64.43"
"2013-08-06","65.21"
"2013-08-05","65.80"
"2013-08-02","65.77"
"2013-08-01","65.81"
"2013-07-31","64.99"
"2013-07-30","64.12"
"2013-07-29","63.95"
"2013-07-26","64.77"
"2013-07-25","65.23"
"2013-07-24","64.19"
"2013-07-23","65.07"
"2013-07-22","65.64"
"2013-07-19","65.39"
"2013-07-18","65.49"
"2013-07-17","65.39"
"2013-07-16","64.82"
"2013-07-15","64.99"
"2013-07-12","65.27"
"2013-07-11","64.55"
"2013-07-10","63.27"
"2013-07-09","63.23"
"2013-07-08","63.24"
"2013-07-05","63.46"
"2013-07-03","63.53"
"2013-07-02","63.70"
"2013-07-01","63.23"
"2013-06-28","63.11"
"2013-06-27","63.11"
"2013-06-26","62.39"
"2013-06-25","62.25"
"2013-06-24","62.84"
"2013-06-21","62.88"
"2013-06-20","61.75"
"2013-06-19","63.86"
"2013-06-18","65.01"
"2013-06-17","64.99"
"2013-06-14","65.35"
"2013-06-13","65.22"
"2013-06-12","64.48"
"2013-06-11","65.34"
"2013-06-10","65.49"
"2013-06-07","65.18"
