"Date","Close"
"2013-12-31","40.96"
"2013-12-30","40.92"
"2013-12-27","40.58"
"2013-12-26","40.61"
"2013-12-24","40.37"
"2013-12-23","39.95"
"2013-12-20","39.78"
"2013-12-19","39.85"
"2013-12-18","40.09"
"2013-12-17","39.46"
"2013-12-16","39.61"
"2013-12-13","39.09"
"2013-12-12","38.75"
"2013-12-11","38.87"
"2013-12-10","39.28"
"2013-12-09","39.46"
"2013-12-06","39.47"
"2013-12-05","38.70"
"2013-12-04","38.57"
"2013-12-03","38.67"
"2013-12-02","38.89"
"2013-11-29","39.03"
"2013-11-27","39.07"
"2013-11-26","39.22"
"2013-11-25","39.29"
"2013-11-22","39.54"
"2013-11-21","39.58"
"2013-11-20","39.25"
"2013-11-19","39.36"
"2013-11-18","39.32"
"2013-11-15","39.15"
"2013-11-14","39.04"
"2013-11-13","39.23"
"2013-11-12","39.01"
"2013-11-11","39.25"
"2013-11-08","39.07"
"2013-11-07","38.75"
"2013-11-06","39.29"
"2013-11-05","39.08"
"2013-11-04","40.07"
"2013-11-01","39.83"
"2013-10-31","39.90"
"2013-10-30","39.60"
"2013-10-29","40.08"
"2013-10-28","40.02"
"2013-10-25","40.00"
"2013-10-24","39.45"
"2013-10-23","39.40"
"2013-10-22","39.68"
"2013-10-21","39.28"
"2013-10-18","39.08"
"2013-10-17","39.10"
"2013-10-16","38.55"
"2013-10-15","38.28"
"2013-10-14","38.58"
"2013-10-11","38.73"
"2013-10-10","38.72"
"2013-10-09","38.23"
"2013-10-08","38.29"
"2013-10-07","38.24"
"2013-10-04","38.47"
"2013-10-03","38.41"
"2013-10-02","38.90"
"2013-10-01","39.16"
"2013-09-30","39.01"
"2013-09-27","39.38"
"2013-09-26","39.54"
"2013-09-25","39.25"
"2013-09-24","39.34"
"2013-09-23","39.47"
"2013-09-20","39.58"
"2013-09-19","38.93"
"2013-09-18","39.21"
"2013-09-17","38.90"
"2013-09-16","40.12"
"2013-09-13","39.41"
"2013-09-12","39.75"
"2013-09-11","40.19"
"2013-09-10","40.21"
"2013-09-09","40.30"
"2013-09-06","39.95"
"2013-09-05","40.01"
"2013-09-04","40.13"
"2013-09-03","39.87"
"2013-08-30","39.79"
"2013-08-29","40.20"
"2013-08-28","40.24"
"2013-08-27","40.44"
"2013-08-26","41.13"
"2013-08-23","41.11"
"2013-08-22","40.81"
"2013-08-21","40.61"
"2013-08-20","40.89"
"2013-08-19","40.43"
"2013-08-16","40.74"
"2013-08-15","40.67"
"2013-08-14","41.58"
"2013-08-13","41.73"
"2013-08-12","41.78"
"2013-08-09","41.80"
"2013-08-08","41.61"
"2013-08-07","41.70"
"2013-08-06","41.60"
"2013-08-05","41.91"
"2013-08-02","42.23"
"2013-08-01","42.09"
"2013-07-31","41.19"
"2013-07-30","41.22"
"2013-07-29","41.07"
"2013-07-26","41.16"
"2013-07-25","41.58"
"2013-07-24","41.36"
"2013-07-23","41.25"
"2013-07-22","41.40"
"2013-07-19","41.35"
"2013-07-18","41.24"
"2013-07-17","40.49"
"2013-07-16","40.32"
"2013-07-15","41.18"
"2013-07-12","41.49"
"2013-07-11","41.20"
"2013-07-10","40.53"
"2013-07-09","40.57"
"2013-07-08","40.06"
"2013-07-05","39.71"
"2013-07-03","39.22"
"2013-07-02","39.50"
"2013-07-01","39.46"
"2013-06-28","39.14"
"2013-06-27","38.89"
"2013-06-26","38.78"
"2013-06-25","38.29"
"2013-06-24","38.21"
"2013-06-21","38.60"
"2013-06-20","38.63"
"2013-06-19","39.44"
"2013-06-18","40.13"
"2013-06-17","39.98"
"2013-06-14","39.43"
"2013-06-13","39.52"
"2013-06-12","38.89"
"2013-06-11","39.08"
"2013-06-10","39.48"
"2013-06-07","39.61"
"2013-06-06","39.08"
"2013-06-05","38.72"
"2013-06-04","39.25"
"2013-06-03","39.16"
"2013-05-31","39.15"
"2013-05-30","39.33"
"2013-05-29","39.12"
"2013-05-28","40.37"
"2013-05-24","40.14"
"2013-05-23","40.17"
"2013-05-22","40.42"
"2013-05-21","40.64"
"2013-05-20","40.64"
"2013-05-17","40.79"
"2013-05-16","40.65"
"2013-05-15","40.65"
"2013-05-14","40.38"
"2013-05-13","39.94"
"2013-05-10","39.73"
"2013-05-09","39.50"
"2013-05-08","39.63"
"2013-05-07","39.48"
"2013-05-06","39.40"
"2013-05-03","39.40"
"2013-05-02","39.19"
"2013-05-01","39.04"
"2013-04-30","39.35"
"2013-04-29","39.03"
"2013-04-26","38.71"
"2013-04-25","39.10"
"2013-04-24","41.08"
"2013-04-23","40.94"
"2013-04-22","40.28"
"2013-04-19","39.95"
"2013-04-18","39.50"
"2013-04-17","39.61"
"2013-04-16","40.17"
"2013-04-15","39.34"
"2013-04-12","40.11"
"2013-04-11","40.28"
"2013-04-10","40.53"
"2013-04-09","40.06"
"2013-04-08","40.39"
"2013-04-05","39.90"
"2013-04-04","40.33"
"2013-04-03","40.07"
"2013-04-02","40.58"
"2013-04-01","40.21"
"2013-03-28","40.36"
"2013-03-27","39.86"
"2013-03-26","39.82"
"2013-03-25","39.50"
"2013-03-22","39.06"
"2013-03-21","38.87"
"2013-03-20","39.14"
