"Date","Close"
"2013-12-31","12.02"
"2013-12-30","12.02"
"2013-12-27","12.06"
"2013-12-26","12.17"
"2013-12-24","11.99"
"2013-12-23","11.97"
"2013-12-20","11.84"
"2013-12-19","11.62"
"2013-12-18","11.54"
"2013-12-17","11.44"
"2013-12-16","11.40"
"2013-12-13","11.39"
"2013-12-12","11.48"
"2013-12-11","11.18"
"2013-12-10","11.58"
"2013-12-09","11.72"
"2013-12-06","11.85"
"2013-12-05","11.34"
"2013-12-04","11.31"
"2013-12-03","11.82"
"2013-12-02","11.63"
"2013-11-29","11.58"
"2013-11-27","11.71"
"2013-11-26","11.73"
"2013-11-25","11.89"
"2013-11-22","12.05"
"2013-11-21","11.93"
"2013-11-20","11.97"
"2013-11-19","11.96"
"2013-11-18","11.57"
"2013-11-15","11.89"
"2013-11-14","11.96"
"2013-11-13","11.93"
"2013-11-12","11.91"
"2013-11-11","12.05"
"2013-11-08","11.88"
"2013-11-07","11.64"
"2013-11-06","11.91"
"2013-11-05","12.00"
"2013-11-04","11.99"
"2013-11-01","11.75"
"2013-10-31","11.69"
"2013-10-30","11.70"
"2013-10-29","11.79"
"2013-10-28","11.58"
"2013-10-25","11.62"
"2013-10-24","11.54"
"2013-10-23","12.29"
"2013-10-22","12.29"
"2013-10-21","12.22"
"2013-10-18","12.28"
"2013-10-17","12.38"
"2013-10-16","12.38"
"2013-10-15","12.08"
"2013-10-14","12.21"
"2013-10-11","11.87"
"2013-10-10","11.88"
"2013-10-09","11.72"
"2013-10-08","11.46"
"2013-10-07","11.63"
"2013-10-04","11.69"
"2013-10-03","11.66"
"2013-10-02","11.75"
"2013-10-01","11.76"
"2013-09-30","11.74"
"2013-09-27","11.52"
"2013-09-26","11.67"
"2013-09-25","11.45"
"2013-09-24","11.46"
"2013-09-23","11.50"
"2013-09-20","11.63"
"2013-09-19","11.74"
"2013-09-18","11.93"
"2013-09-17","11.90"
"2013-09-16","11.92"
"2013-09-13","11.84"
"2013-09-12","11.91"
"2013-09-11","11.92"
"2013-09-10","11.95"
"2013-09-09","11.99"
"2013-09-06","11.50"
"2013-09-05","11.57"
"2013-09-04","10.93"
"2013-09-03","10.90"
"2013-08-30","10.58"
"2013-08-29","10.66"
"2013-08-28","10.69"
"2013-08-27","10.70"
"2013-08-26","11.28"
"2013-08-23","11.14"
"2013-08-22","11.18"
"2013-08-21","11.10"
"2013-08-20","11.01"
"2013-08-19","10.99"
"2013-08-16","11.06"
"2013-08-15","11.00"
"2013-08-14","11.28"
"2013-08-13","11.24"
"2013-08-12","11.33"
"2013-08-09","11.35"
"2013-08-08","11.32"
"2013-08-07","11.11"
"2013-08-06","11.18"
"2013-08-05","11.22"
"2013-08-02","11.24"
"2013-08-01","11.15"
"2013-07-31","10.92"
"2013-07-30","10.83"
"2013-07-29","10.97"
"2013-07-26","10.96"
"2013-07-25","10.83"
"2013-07-24","9.61"
"2013-07-23","9.70"
"2013-07-22","10.02"
"2013-07-19","9.67"
"2013-07-18","9.60"
"2013-07-17","9.54"
"2013-07-16","9.47"
"2013-07-15","9.57"
"2013-07-12","9.61"
"2013-07-11","9.46"
"2013-07-10","9.23"
"2013-07-09","9.15"
"2013-07-08","9.37"
"2013-07-05","9.30"
"2013-07-03","9.15"
"2013-07-02","9.17"
"2013-07-01","9.37"
"2013-06-28","9.27"
"2013-06-27","9.22"
"2013-06-26","9.25"
"2013-06-25","9.03"
"2013-06-24","9.21"
"2013-06-21","9.14"
"2013-06-20","9.11"
"2013-06-19","9.40"
"2013-06-18","9.54"
"2013-06-17","9.64"
"2013-06-14","9.51"
"2013-06-13","9.58"
"2013-06-12","9.42"
"2013-06-11","9.44"
"2013-06-10","9.45"
"2013-06-07","9.30"
"2013-06-06","9.18"
"2013-06-05","9.00"
"2013-06-04","9.15"
"2013-06-03","9.41"
"2013-05-31","9.24"
"2013-05-30","9.27"
"2013-05-29","9.16"
"2013-05-28","9.22"
"2013-05-24","9.08"
"2013-05-23","9.16"
"2013-05-22","9.13"
"2013-05-21","9.23"
"2013-05-20","9.25"
"2013-05-17","9.10"
"2013-05-16","9.04"
"2013-05-15","9.10"
"2013-05-14","8.70"
"2013-05-13","8.65"
"2013-05-10","8.45"
"2013-05-09","8.30"
"2013-05-08","7.85"
"2013-05-07","7.69"
"2013-05-06","7.74"
"2013-05-03","7.69"
"2013-05-02","7.61"
"2013-05-01","7.49"
"2013-04-30","7.49"
"2013-04-29","7.49"
"2013-04-26","7.45"
"2013-04-25","7.54"
"2013-04-24","7.36"
"2013-04-23","7.35"
"2013-04-22","7.27"
"2013-04-19","7.27"
"2013-04-18","7.09"
"2013-04-17","7.28"
"2013-04-16","7.43"
"2013-04-15","7.47"
"2013-04-12","7.66"
"2013-04-11","7.67"
"2013-04-10","7.79"
"2013-04-09","7.82"
"2013-04-08","7.81"
"2013-04-05","7.86"
"2013-04-04","7.92"
"2013-04-03","7.75"
"2013-04-02","7.89"
"2013-04-01","7.80"
"2013-03-28","7.81"
"2013-03-27","7.65"
"2013-03-26","7.44"
"2013-03-25","7.32"
"2013-03-22","7.40"
"2013-03-21","7.37"
"2013-03-20","7.45"
"2013-03-19","7.27"
"2013-03-18","7.32"
"2013-03-15","7.39"
"2013-03-14","7.52"
"2013-03-13","7.53"
"2013-03-12","7.59"
"2013-03-11","7.50"
"2013-03-08","7.49"
"2013-03-07","7.43"
"2013-03-06","7.52"
"2013-03-05","7.38"
"2013-03-04","7.36"
"2013-03-01","7.37"
"2013-02-28","7.39"
"2013-02-27","7.33"
"2013-02-26","7.31"
"2013-02-25","7.23"
"2013-02-22","7.37"
"2013-02-21","7.26"
"2013-02-20","7.29"
"2013-02-19","7.50"
"2013-02-15","7.54"
"2013-02-14","7.53"
"2013-02-13","7.45"
"2013-02-12","7.59"
"2013-02-11","7.63"
"2013-02-08","7.70"
"2013-02-07","7.64"
"2013-02-06","7.66"
"2013-02-05","7.67"
"2013-02-04","7.45"
"2013-02-01","7.64"
"2013-01-31","7.47"
"2013-01-30","7.31"
"2013-01-29","7.10"
"2013-01-28","6.86"
"2013-01-25","6.86"
"2013-01-24","6.84"
"2013-01-23","6.86"
"2013-01-22","6.86"
"2013-01-18","6.70"
"2013-01-17","6.61"
"2013-01-16","6.45"
"2013-01-15","6.51"
"2013-01-14","6.32"
"2013-01-11","6.36"
"2013-01-10","6.30"
"2013-01-09","6.28"
"2013-01-08","6.12"
"2013-01-07","5.98"
"2013-01-04","5.92"
"2013-01-03","5.95"
"2013-01-02","5.89"
"2012-12-31","5.73"
"2012-12-28","5.58"
"2012-12-27","5.70"
"2012-12-26","5.70"
"2012-12-24","5.78"
"2012-12-21","5.82"
"2012-12-20","5.81"
"2012-12-19","5.74"
"2012-12-18","5.79"
"2012-12-17","5.74"
"2012-12-14","5.67"
"2012-12-13","5.63"
"2012-12-12","5.67"
"2012-12-11","5.74"
"2012-12-10","5.71"
"2012-12-07","5.60"
"2012-12-06","5.59"
"2012-12-05","5.57"
"2012-12-04","5.55"
"2012-12-03","5.52"
"2012-11-30","5.54"
"2012-11-29","5.63"
"2012-11-28","5.69"
"2012-11-27","5.63"
"2012-11-26","5.66"
"2012-11-23","5.59"
"2012-11-21","5.50"
"2012-11-20","5.23"
"2012-11-19","5.21"
"2012-11-16","5.14"
"2012-11-15","5.11"
"2012-11-14","5.12"
"2012-11-13","5.19"
"2012-11-12","5.21"
"2012-11-09","5.15"
"2012-11-08","5.08"
"2012-11-07","5.16"
"2012-11-06","5.35"
"2012-11-05","5.34"
"2012-11-02","5.20"
"2012-11-01","5.24"
"2012-10-31","5.14"
"2012-10-26","5.17"
"2012-10-25","5.12"
"2012-10-24","5.07"
"2012-10-23","5.10"
"2012-10-22","5.23"
"2012-10-19","5.22"
"2012-10-18","5.40"
"2012-10-17","5.62"
"2012-10-16","5.66"
"2012-10-15","5.63"
"2012-10-12","5.57"
"2012-10-11","5.58"
"2012-10-10","5.57"
"2012-10-09","5.60"
"2012-10-08","5.75"
"2012-10-05","5.76"
"2012-10-04","5.81"
"2012-10-03","5.69"
"2012-10-02","5.66"
"2012-10-01","5.69"
"2012-09-28","5.74"
"2012-09-27","5.66"
"2012-09-26","5.61"
"2012-09-25","5.63"
"2012-09-24","5.64"
"2012-09-21","5.79"
"2012-09-20","5.79"
"2012-09-19","5.76"
"2012-09-18","5.75"
"2012-09-17","5.78"
"2012-09-14","5.82"
"2012-09-13","5.78"
"2012-09-12","5.64"
"2012-09-11","5.58"
"2012-09-10","5.60"
"2012-09-07","5.63"
"2012-09-06","5.55"
"2012-09-05","5.52"
"2012-09-04","5.41"
"2012-08-31","5.40"
"2012-08-30","5.43"
"2012-08-29","5.55"
"2012-08-28","5.48"
"2012-08-27","5.43"
"2012-08-24","5.50"
"2012-08-23","5.40"
"2012-08-22","5.52"
"2012-08-21","5.63"
"2012-08-20","5.61"
"2012-08-17","5.59"
"2012-08-16","5.51"
"2012-08-15","5.53"
"2012-08-14","5.46"
"2012-08-13","5.51"
"2012-08-10","5.54"
"2012-08-09","5.50"
"2012-08-08","5.38"
"2012-08-07","5.33"
"2012-08-06","5.26"
"2012-08-03","5.31"
"2012-08-02","5.12"
"2012-08-01","5.21"
"2012-07-31","5.17"
"2012-07-30","5.16"
"2012-07-27","5.22"
"2012-07-26","4.97"
"2012-07-25","5.33"
"2012-07-24","5.20"
"2012-07-23","5.26"
"2012-07-20","5.38"
"2012-07-19","5.58"
"2012-07-18","5.56"
"2012-07-17","5.63"
"2012-07-16","5.57"
"2012-07-13","5.59"
"2012-07-12","5.57"
"2012-07-11","5.62"
"2012-07-10","5.51"
"2012-07-09","5.62"
"2012-07-06","5.65"
"2012-07-05","5.72"
"2012-07-03","5.80"
"2012-07-02","5.80"
"2012-06-29","5.67"
"2012-06-28","5.55"
"2012-06-27","5.64"
"2012-06-26","5.52"
"2012-06-25","5.52"
"2012-06-22","5.70"
"2012-06-21","5.62"
"2012-06-20","5.72"
"2012-06-19","5.79"
"2012-06-18","5.78"
"2012-06-15","5.95"
"2012-06-14","5.80"
"2012-06-13","5.71"
"2012-06-12","5.87"
"2012-06-11","5.68"
"2012-06-08","5.71"
"2012-06-07","5.66"
"2012-06-06","5.66"
"2012-06-05","5.57"
"2012-06-04","5.59"
"2012-06-01","5.61"
"2012-05-31","5.74"
"2012-05-30","5.77"
"2012-05-29","5.90"
"2012-05-25","5.87"
"2012-05-24","5.91"
"2012-05-23","5.91"
"2012-05-22","5.94"
"2012-05-21","5.99"
"2012-05-18","5.96"
"2012-05-17","6.10"
"2012-05-16","6.09"
"2012-05-15","6.14"
"2012-05-14","6.23"
"2012-05-11","6.31"
"2012-05-10","6.28"
"2012-05-09","6.17"
"2012-05-08","6.22"
"2012-05-07","6.31"
"2012-05-04","6.19"
"2012-05-03","6.22"
"2012-05-02","6.25"
"2012-05-01","6.26"
"2012-04-30","6.26"
"2012-04-27","6.27"
"2012-04-26","6.18"
"2012-04-25","6.15"
"2012-04-24","6.05"
"2012-04-23","5.86"
"2012-04-20","5.94"
"2012-04-19","5.85"
"2012-04-18","5.54"
"2012-04-17","5.58"
"2012-04-16","5.51"
"2012-04-13","5.62"
"2012-04-12","5.82"
"2012-04-11","5.74"
"2012-04-10","5.74"
"2012-04-09","5.84"
"2012-04-05","5.90"
"2012-04-04","5.89"
"2012-04-03","5.97"
"2012-04-02","5.97"
"2012-03-30","5.98"
"2012-03-29","6.00"
"2012-03-28","6.04"
"2012-03-27","6.18"
"2012-03-26","6.08"
"2012-03-23","5.97"
"2012-03-22","6.00"
"2012-03-21","6.03"
"2012-03-20","6.03"
"2012-03-19","6.04"
"2012-03-16","6.12"
"2012-03-15","6.00"
"2012-03-14","5.88"
"2012-03-13","5.96"
"2012-03-12","5.85"
"2012-03-09","5.95"
"2012-03-08","5.93"
"2012-03-07","5.73"
"2012-03-06","5.70"
"2012-03-05","5.84"
"2012-03-02","6.00"
"2012-03-01","6.08"
"2012-02-29","6.22"
"2012-02-28","6.36"
"2012-02-27","6.28"
"2012-02-24","6.25"
"2012-02-23","5.90"
"2012-02-22","5.92"
"2012-02-21","5.98"
"2012-02-17","6.09"
"2012-02-16","5.97"
"2012-02-15","5.89"
"2012-02-14","5.92"
"2012-02-13","5.94"
"2012-02-10","5.93"
"2012-02-09","5.95"
"2012-02-08","5.95"
"2012-02-07","5.95"
"2012-02-06","6.02"
"2012-02-03","6.03"
"2012-02-02","5.84"
"2012-02-01","6.09"
"2012-01-31","5.96"
"2012-01-30","5.99"
"2012-01-27","5.93"
"2012-01-26","5.96"
"2012-01-25","6.13"
"2012-01-24","5.97"
"2012-01-23","5.97"
"2012-01-20","5.98"
"2012-01-19","5.87"
"2012-01-18","5.72"
"2012-01-17","5.53"
"2012-01-13","5.52"
"2012-01-12","5.56"
"2012-01-11","5.54"
"2012-01-10","5.53"
"2012-01-09","5.35"
"2012-01-06","5.30"
"2012-01-05","5.34"
"2012-01-04","5.31"
"2012-01-03","5.36"
"2011-12-30","5.34"
"2011-12-29","5.33"
"2011-12-28","5.17"
"2011-12-27","5.23"
"2011-12-23","5.23"
"2011-12-22","5.23"
"2011-12-21","5.21"
"2011-12-20","5.15"
"2011-12-19","5.09"
"2011-12-16","5.14"
"2011-12-15","5.11"
"2011-12-14","5.13"
"2011-12-13","5.33"
"2011-12-12","5.29"
"2011-12-09","5.34"
"2011-12-08","5.32"
"2011-12-07","5.59"
"2011-12-06","5.59"
"2011-12-05","5.60"
"2011-12-02","5.50"
"2011-12-01","5.90"
"2011-11-30","5.90"
"2011-11-29","5.55"
"2011-11-28","5.43"
"2011-11-25","5.27"
"2011-11-23","5.32"
"2011-11-22","5.31"
"2011-11-21","5.30"
"2011-11-18","5.42"
"2011-11-17","5.46"
"2011-11-16","5.58"
"2011-11-15","5.82"
"2011-11-14","5.84"
"2011-11-11","5.90"
"2011-11-10","5.86"
"2011-11-09","5.76"
"2011-11-08","5.84"
"2011-11-07","5.79"
"2011-11-04","5.77"
"2011-11-03","5.87"
"2011-11-02","5.69"
"2011-11-01","5.58"
"2011-10-31","5.89"
"2011-10-28","5.81"
"2011-10-27","5.64"
"2011-10-26","5.46"
"2011-10-25","5.42"
"2011-10-24","5.51"
"2011-10-21","5.39"
"2011-10-20","5.39"
"2011-10-19","5.64"
"2011-10-18","5.66"
"2011-10-17","5.55"
"2011-10-14","5.69"
"2011-10-13","5.62"
"2011-10-12","5.65"
"2011-10-11","5.63"
"2011-10-10","5.70"
"2011-10-07","5.62"
"2011-10-06","5.64"
"2011-10-05","5.69"
"2011-10-04","5.63"
"2011-10-03","5.53"
"2011-09-30","5.91"
"2011-09-29","6.10"
"2011-09-28","6.09"
"2011-09-27","6.09"
"2011-09-26","5.93"
"2011-09-23","5.76"
"2011-09-22","5.62"
"2011-09-21","5.93"
"2011-09-20","6.23"
"2011-09-19","6.31"
"2011-09-16","6.53"
"2011-09-15","6.57"
"2011-09-14","6.46"
"2011-09-13","6.26"
"2011-09-12","6.22"
"2011-09-09","6.20"
"2011-09-08","6.49"
"2011-09-07","6.49"
"2011-09-06","6.31"
"2011-09-02","6.42"
"2011-09-01","6.72"
"2011-08-31","6.78"
"2011-08-30","6.64"
"2011-08-29","6.64"
"2011-08-26","6.37"
"2011-08-25","6.35"
"2011-08-24","6.32"
"2011-08-23","6.34"
"2011-08-22","6.09"
"2011-08-19","6.12"
"2011-08-18","6.06"
"2011-08-17","6.48"
"2011-08-16","6.41"
"2011-08-15","6.53"
"2011-08-12","6.41"
"2011-08-11","6.35"
"2011-08-10","5.91"
"2011-08-09","6.34"
"2011-08-08","6.00"
"2011-08-05","6.49"
"2011-08-04","6.39"
"2011-08-03","6.77"
"2011-08-02","6.64"
"2011-08-01","6.92"
"2011-07-29","7.16"
"2011-07-28","7.28"
"2011-07-27","6.71"
"2011-07-26","6.90"
"2011-07-25","7.12"
"2011-07-22","7.21"
"2011-07-21","7.08"
"2011-07-20","7.00"
"2011-07-19","7.14"
"2011-07-18","6.92"
"2011-07-15","7.01"
"2011-07-14","7.09"
"2011-07-13","7.18"
"2011-07-12","7.28"
"2011-07-11","7.27"
"2011-07-08","7.17"
"2011-07-07","7.24"
"2011-07-06","7.16"
"2011-07-05","7.14"
"2011-07-01","7.23"
"2011-06-30","6.91"
"2011-06-29","6.93"
"2011-06-28","6.98"
"2011-06-27","6.87"
"2011-06-24","6.89"
"2011-06-23","7.09"
"2011-06-22","7.06"
"2011-06-21","6.92"
"2011-06-20","6.74"
"2011-06-17","6.79"
"2011-06-16","6.83"
"2011-06-15","6.93"
"2011-06-14","6.74"
"2011-06-13","6.67"
"2011-06-10","6.76"
"2011-06-09","6.88"
"2011-06-08","6.71"
"2011-06-07","6.82"
"2011-06-06","6.85"
"2011-06-03","6.87"
"2011-06-02","6.96"
"2011-06-01","7.03"
"2011-05-31","7.18"
"2011-05-27","7.04"
"2011-05-26","6.95"
"2011-05-25","6.91"
"2011-05-24","6.67"
"2011-05-23","6.57"
"2011-05-20","6.80"
"2011-05-19","6.90"
"2011-05-18","6.81"
"2011-05-17","6.83"
"2011-05-16","6.85"
"2011-05-13","6.84"
"2011-05-12","6.91"
"2011-05-11","7.02"
"2011-05-10","7.02"
"2011-05-09","7.71"
"2011-05-06","7.72"
"2011-05-05","7.56"
"2011-05-04","7.74"
"2011-05-03","7.79"
"2011-05-02","7.72"
"2011-04-29","7.49"
"2011-04-28","7.43"
"2011-04-27","7.30"
"2011-04-26","7.27"
"2011-04-25","7.31"
"2011-04-21","7.16"
"2011-04-20","7.08"
"2011-04-19","7.03"
"2011-04-18","6.98"
"2011-04-15","7.08"
"2011-04-14","7.13"
"2011-04-13","6.98"
"2011-04-12","7.10"
"2011-04-11","7.22"
"2011-04-08","7.35"
"2011-04-07","7.42"
"2011-04-06","7.23"
"2011-04-05","7.06"
"2011-04-04","7.23"
"2011-04-01","7.30"
"2011-03-31","7.19"
"2011-03-30","7.41"
"2011-03-29","7.31"
"2011-03-28","7.28"
"2011-03-25","7.21"
"2011-03-24","7.10"
"2011-03-23","7.00"
"2011-03-22","6.98"
"2011-03-21","7.27"
"2011-03-18","7.20"
"2011-03-17","7.12"
"2011-03-16","6.93"
"2011-03-15","7.08"
"2011-03-14","7.30"
"2011-03-11","7.51"
"2011-03-10","7.44"
"2011-03-09","7.78"
"2011-03-08","7.63"
"2011-03-07","7.47"
"2011-03-04","7.53"
"2011-03-03","7.56"
"2011-03-02","7.37"
"2011-03-01","7.52"
"2011-02-28","7.16"
"2011-02-25","7.18"
"2011-02-24","7.02"
"2011-02-23","7.04"
"2011-02-22","7.28"
"2011-02-18","7.54"
"2011-02-17","7.40"
"2011-02-16","7.10"
"2011-02-15","6.97"
"2011-02-14","6.97"
"2011-02-11","6.88"
"2011-02-10","6.91"
"2011-02-09","6.88"
"2011-02-08","6.95"
"2011-02-07","6.95"
"2011-02-04","6.99"
"2011-02-03","6.97"
"2011-02-02","6.85"
"2011-02-01","7.13"
"2011-01-31","6.98"
"2011-01-28","6.99"
"2011-01-27","7.16"
"2011-01-26","7.15"
"2011-01-25","7.03"
"2011-01-24","7.14"
"2011-01-21","7.16"
"2011-01-20","7.27"
"2011-01-19","7.15"
"2011-01-18","7.33"
"2011-01-14","7.53"
"2011-01-13","7.47"
"2011-01-12","7.44"
"2011-01-11","7.47"
"2011-01-10","7.39"
"2011-01-07","7.28"
"2011-01-06","7.41"
"2011-01-05","7.53"
"2011-01-04","7.48"
"2011-01-03","7.60"
"2010-12-31","7.57"
"2010-12-30","7.72"
"2010-12-29","7.76"
"2010-12-28","7.82"
"2010-12-27","7.70"
"2010-12-23","7.70"
"2010-12-22","7.71"
"2010-12-21","7.85"
"2010-12-20","7.82"
"2010-12-17","7.65"
"2010-12-16","7.22"
"2010-12-15","6.97"
"2010-12-14","7.04"
"2010-12-13","7.09"
"2010-12-10","7.11"
"2010-12-09","6.87"
"2010-12-08","6.67"
"2010-12-07","6.62"
"2010-12-06","6.68"
"2010-12-03","6.83"
"2010-12-02","6.67"
"2010-12-01","6.52"
"2010-11-30","6.42"
"2010-11-29","6.50"
"2010-11-26","6.58"
"2010-11-24","6.73"
"2010-11-23","6.57"
"2010-11-22","6.66"
"2010-11-19","6.77"
"2010-11-18","6.56"
"2010-11-17","6.56"
"2010-11-16","6.52"
"2010-11-15","6.69"
"2010-11-12","6.74"
"2010-11-11","6.85"
"2010-11-10","6.84"
"2010-11-09","6.69"
"2010-11-08","6.79"
"2010-11-05","6.92"
"2010-11-04","6.49"
"2010-11-03","6.46"
"2010-11-02","6.44"
"2010-11-01","6.32"
"2010-10-29","6.39"
"2010-10-28","6.38"
"2010-10-27","6.31"
"2010-10-26","6.29"
"2010-10-25","6.31"
"2010-10-22","6.30"
"2010-10-21","6.34"
"2010-10-20","6.30"
"2010-10-19","5.97"
"2010-10-18","6.20"
"2010-10-15","6.15"
"2010-10-14","6.16"
"2010-10-13","6.21"
"2010-10-12","6.13"
"2010-10-11","6.13"
"2010-10-08","6.13"
"2010-10-07","6.16"
