"Date","Close"
"2013-12-31","52.11"
"2013-12-30","51.92"
"2013-12-27","52.26"
"2013-12-26","52.35"
"2013-12-24","52.43"
"2013-12-23","52.41"
"2013-12-20","52.21"
"2013-12-19","51.88"
"2013-12-18","51.96"
"2013-12-17","50.69"
"2013-12-16","50.90"
"2013-12-13","50.97"
"2013-12-12","50.91"
"2013-12-11","50.71"
"2013-12-10","51.74"
"2013-12-09","52.11"
"2013-12-06","51.49"
"2013-12-05","51.06"
"2013-12-04","52.04"
"2013-12-03","52.13"
"2013-12-02","52.62"
"2013-11-29","52.92"
"2013-11-27","53.05"
"2013-11-26","53.01"
"2013-11-25","53.29"
"2013-11-22","52.41"
"2013-11-21","51.73"
"2013-11-20","50.77"
"2013-11-19","51.17"
"2013-11-18","50.79"
"2013-11-15","50.40"
"2013-11-14","50.21"
"2013-11-13","49.99"
"2013-11-12","49.52"
"2013-11-11","50.17"
"2013-11-08","49.94"
"2013-11-07","48.35"
"2013-11-06","48.62"
"2013-11-05","48.38"
"2013-11-04","48.63"
"2013-11-01","48.74"
"2013-10-31","48.78"
"2013-10-30","49.89"
"2013-10-29","50.22"
"2013-10-28","50.15"
"2013-10-25","50.06"
"2013-10-24","50.15"
"2013-10-23","50.19"
"2013-10-22","50.76"
"2013-10-21","51.03"
"2013-10-18","51.15"
"2013-10-17","51.12"
"2013-10-16","50.84"
"2013-10-15","48.86"
"2013-10-14","49.60"
"2013-10-11","49.22"
"2013-10-10","49.27"
"2013-10-09","47.95"
"2013-10-08","47.67"
"2013-10-07","48.18"
"2013-10-04","49.14"
"2013-10-03","48.40"
"2013-10-02","48.71"
"2013-10-01","48.60"
"2013-09-30","48.51"
"2013-09-27","48.89"
"2013-09-26","48.93"
"2013-09-25","49.26"
"2013-09-24","48.96"
"2013-09-23","49.57"
"2013-09-20","51.21"
"2013-09-19","51.95"
"2013-09-18","52.21"
"2013-09-17","51.20"
"2013-09-16","51.00"
"2013-09-13","50.49"
"2013-09-12","50.26"
"2013-09-11","50.73"
"2013-09-10","51.09"
"2013-09-09","50.09"
"2013-09-06","49.22"
"2013-09-05","49.86"
"2013-09-04","49.60"
"2013-09-03","49.37"
"2013-08-30","48.33"
"2013-08-29","48.47"
"2013-08-28","48.31"
"2013-08-27","48.24"
"2013-08-26","49.60"
"2013-08-23","49.83"
"2013-08-22","49.91"
"2013-08-21","49.16"
"2013-08-20","49.92"
"2013-08-19","49.33"
"2013-08-16","50.35"
"2013-08-15","50.86"
"2013-08-14","51.59"
"2013-08-13","51.77"
"2013-08-12","50.90"
"2013-08-09","51.32"
"2013-08-08","51.78"
"2013-08-07","51.50"
"2013-08-06","51.48"
"2013-08-05","52.87"
"2013-08-02","53.00"
"2013-08-01","52.86"
"2013-07-31","52.14"
"2013-07-30","51.78"
"2013-07-29","51.64"
"2013-07-26","52.21"
"2013-07-25","52.66"
"2013-07-24","52.19"
"2013-07-23","52.88"
"2013-07-22","53.00"
"2013-07-19","52.35"
"2013-07-18","52.69"
"2013-07-17","51.79"
"2013-07-16","51.83"
"2013-07-15","51.81"
"2013-07-12","50.81"
"2013-07-11","50.04"
"2013-07-10","49.63"
"2013-07-09","50.21"
"2013-07-08","49.52"
"2013-07-05","48.53"
"2013-07-03","47.67"
"2013-07-02","48.15"
"2013-07-01","48.25"
"2013-06-28","47.97"
"2013-06-27","48.28"
"2013-06-26","47.61"
"2013-06-25","47.00"
"2013-06-24","45.44"
"2013-06-21","46.87"
"2013-06-20","47.90"
"2013-06-19","49.53"
"2013-06-18","50.01"
"2013-06-17","49.36"
"2013-06-14","49.22"
"2013-06-13","50.29"
"2013-06-12","49.44"
"2013-06-11","49.95"
"2013-06-10","51.93"
"2013-06-07","51.60"
"2013-06-06","50.83"
"2013-06-05","50.03"
"2013-06-04","51.23"
"2013-06-03","51.96"
"2013-05-31","51.99"
"2013-05-30","53.27"
"2013-05-29","52.28"
"2013-05-28","51.79"
"2013-05-24","50.52"
"2013-05-23","50.53"
"2013-05-22","51.00"
"2013-05-21","51.66"
"2013-05-20","51.60"
"2013-05-17","51.45"
"2013-05-16","50.61"
"2013-05-15","51.34"
"2013-05-14","50.09"
"2013-05-13","48.92"
"2013-05-10","48.75"
"2013-05-09","48.60"
"2013-05-08","49.29"
"2013-05-07","48.11"
"2013-05-06","47.48"
"2013-05-03","46.97"
"2013-05-02","46.54"
"2013-05-01","45.87"
"2013-04-30","46.66"
"2013-04-29","46.82"
"2013-04-26","46.92"
"2013-04-25","47.11"
"2013-04-24","47.12"
"2013-04-23","46.46"
"2013-04-22","45.15"
"2013-04-19","45.03"
"2013-04-18","45.09"
"2013-04-17","45.74"
"2013-04-16","46.66"
"2013-04-15","44.87"
"2013-04-12","44.78"
"2013-04-11","44.87"
"2013-04-10","45.06"
"2013-04-09","43.89"
"2013-04-08","43.56"
"2013-04-05","43.01"
"2013-04-04","42.77"
"2013-04-03","42.50"
"2013-04-02","44.11"
"2013-04-01","43.79"
"2013-03-28","44.24"
"2013-03-27","44.46"
"2013-03-26","44.83"
"2013-03-25","44.49"
"2013-03-22","45.23"
"2013-03-21","45.23"
"2013-03-20","46.09"
"2013-03-19","45.79"
"2013-03-18","46.24"
"2013-03-15","47.26"
"2013-03-14","47.46"
"2013-03-13","46.97"
"2013-03-12","46.95"
"2013-03-11","47.60"
"2013-03-08","46.68"
"2013-03-07","45.00"
"2013-03-06","44.58"
"2013-03-05","43.60"
"2013-03-04","42.94"
"2013-03-01","42.11"
"2013-02-28","41.97"
"2013-02-27","42.16"
"2013-02-26","41.29"
"2013-02-25","41.15"
"2013-02-22","42.79"
"2013-02-21","42.35"
"2013-02-20","43.22"
"2013-02-19","44.50"
"2013-02-15","43.84"
"2013-02-14","44.32"
"2013-02-13","44.00"
"2013-02-12","44.35"
"2013-02-11","43.15"
"2013-02-08","42.68"
"2013-02-07","42.87"
"2013-02-06","43.05"
"2013-02-05","42.92"
"2013-02-04","42.21"
"2013-02-01","43.02"
"2013-01-31","42.16"
"2013-01-30","41.95"
"2013-01-29","42.16"
"2013-01-28","42.34"
"2013-01-25","42.91"
"2013-01-24","42.80"
"2013-01-23","42.02"
"2013-01-22","41.78"
"2013-01-18","41.66"
"2013-01-17","41.24"
"2013-01-16","42.48"
"2013-01-15","42.57"
"2013-01-14","42.22"
"2013-01-11","42.34"
"2013-01-10","42.83"
"2013-01-09","42.04"
"2013-01-08","42.46"
"2013-01-07","42.47"
"2013-01-04","42.43"
"2013-01-03","41.39"
"2013-01-02","41.25"
"2012-12-31","39.56"
"2012-12-28","39.01"
"2012-12-27","39.25"
"2012-12-26","39.55"
"2012-12-24","39.38"
"2012-12-21","39.49"
"2012-12-20","40.17"
"2012-12-19","39.45"
"2012-12-18","39.46"
"2012-12-17","39.15"
"2012-12-14","37.60"
"2012-12-13","37.29"
"2012-12-12","37.53"
"2012-12-11","37.00"
"2012-12-10","37.19"
"2012-12-07","37.64"
"2012-12-06","37.02"
"2012-12-05","36.46"
"2012-12-04","34.29"
"2012-12-03","34.22"
"2012-11-30","34.57"
"2012-11-29","35.21"
"2012-11-28","35.07"
"2012-11-27","35.04"
"2012-11-26","35.57"
"2012-11-23","36.03"
"2012-11-21","35.77"
"2012-11-20","36.00"
"2012-11-19","36.10"
"2012-11-16","34.98"
"2012-11-15","35.21"
"2012-11-14","35.02"
"2012-11-13","36.16"
"2012-11-12","36.42"
"2012-11-09","35.93"
"2012-11-08","36.00"
"2012-11-07","36.05"
"2012-11-06","38.47"
"2012-11-05","37.32"
"2012-11-02","37.60"
"2012-11-01","37.95"
"2012-10-31","37.39"
"2012-10-26","36.60"
"2012-10-25","37.41"
"2012-10-24","37.30"
"2012-10-23","36.89"
"2012-10-22","37.72"
"2012-10-19","37.16"
"2012-10-18","38.42"
"2012-10-17","38.43"
"2012-10-16","37.25"
"2012-10-15","36.66"
"2012-10-12","34.75"
"2012-10-11","35.52"
"2012-10-10","35.14"
"2012-10-09","34.60"
"2012-10-08","34.78"
"2012-10-05","34.77"
"2012-10-04","34.96"
"2012-10-03","34.06"
"2012-10-02","33.26"
"2012-10-01","32.75"
"2012-09-28","32.72"
"2012-09-27","32.97"
"2012-09-26","32.51"
"2012-09-25","32.86"
"2012-09-24","33.49"
"2012-09-21","33.67"
"2012-09-20","33.81"
"2012-09-19","34.18"
"2012-09-18","33.94"
"2012-09-17","34.06"
"2012-09-14","34.79"
"2012-09-13","34.45"
"2012-09-12","33.05"
"2012-09-11","32.66"
"2012-09-10","31.83"
"2012-09-07","32.07"
"2012-09-06","31.12"
"2012-09-05","29.77"
"2012-09-04","29.70"
"2012-08-31","29.71"
"2012-08-30","29.65"
"2012-08-29","29.91"
"2012-08-28","29.34"
"2012-08-27","29.69"
"2012-08-24","29.83"
"2012-08-23","29.59"
"2012-08-22","30.49"
"2012-08-21","30.73"
"2012-08-20","29.98"
"2012-08-17","29.03"
"2012-08-16","28.82"
"2012-08-15","28.74"
"2012-08-14","28.77"
"2012-08-13","28.78"
"2012-08-10","28.90"
"2012-08-09","28.86"
"2012-08-08","28.86"
"2012-08-07","28.89"
"2012-08-06","28.56"
"2012-08-03","27.40"
"2012-08-02","26.18"
"2012-08-01","26.78"
"2012-07-31","27.13"
"2012-07-30","27.14"
"2012-07-27","27.30"
"2012-07-26","26.28"
"2012-07-25","25.79"
"2012-07-24","25.24"
"2012-07-23","25.34"
"2012-07-20","25.87"
"2012-07-19","26.59"
"2012-07-18","27.10"
"2012-07-17","27.38"
"2012-07-16","26.81"
"2012-07-13","26.65"
"2012-07-12","25.28"
"2012-07-11","25.87"
"2012-07-10","25.88"
"2012-07-09","26.11"
"2012-07-06","26.36"
"2012-07-05","26.84"
"2012-07-03","27.65"
"2012-07-02","27.46"
"2012-06-29","27.41"
"2012-06-28","26.39"
"2012-06-27","27.10"
"2012-06-26","26.73"
"2012-06-25","26.75"
"2012-06-22","27.99"
"2012-06-21","27.83"
"2012-06-20","28.86"
"2012-06-19","28.50"
"2012-06-18","27.55"
"2012-06-15","28.31"
"2012-06-14","27.91"
"2012-06-13","27.67"
"2012-06-12","27.62"
"2012-06-11","26.48"
"2012-06-08","27.77"
"2012-06-07","26.91"
"2012-06-06","27.14"
"2012-06-05","25.75"
"2012-06-04","24.82"
"2012-06-01","25.39"
"2012-05-31","26.51"
"2012-05-30","26.00"
"2012-05-29","27.02"
"2012-05-25","26.47"
"2012-05-24","26.66"
"2012-05-23","27.15"
"2012-05-22","26.92"
"2012-05-21","26.25"
"2012-05-18","26.01"
"2012-05-17","26.41"
"2012-05-16","26.92"
"2012-05-15","27.79"
"2012-05-14","28.14"
"2012-05-11","29.35"
"2012-05-10","30.65"
"2012-05-09","30.45"
"2012-05-08","31.32"
