"Date","Close"
"2013-12-31","33.65"
"2013-12-30","33.66"
"2013-12-27","33.43"
"2013-12-26","33.47"
"2013-12-24","33.41"
"2013-12-23","33.07"
"2013-12-20","32.93"
"2013-12-19","32.90"
"2013-12-18","32.58"
"2013-12-17","32.48"
"2013-12-16","32.52"
"2013-12-13","32.34"
"2013-12-12","32.40"
"2013-12-11","32.51"
"2013-12-10","32.98"
"2013-12-09","32.83"
"2013-12-06","32.85"
"2013-12-05","32.48"
"2013-12-04","32.63"
"2013-12-03","32.72"
"2013-12-02","32.87"
"2013-11-29","33.00"
"2013-11-27","32.92"
"2013-11-26","33.00"
"2013-11-25","32.86"
"2013-11-22","33.13"
"2013-11-21","32.59"
"2013-11-20","32.24"
"2013-11-19","32.39"
"2013-11-18","32.75"
"2013-11-15","32.85"
"2013-11-14","32.68"
"2013-11-13","32.83"
"2013-11-12","32.13"
"2013-11-11","32.09"
"2013-11-08","31.93"
"2013-11-07","31.66"
"2013-11-06","31.99"
"2013-11-05","31.65"
"2013-11-04","31.86"
"2013-11-01","31.73"
"2013-10-31","31.76"
"2013-10-30","31.79"
"2013-10-29","31.76"
"2013-10-28","31.45"
"2013-10-25","31.40"
"2013-10-24","30.39"
"2013-10-23","30.29"
"2013-10-22","30.36"
"2013-10-21","30.16"
"2013-10-18","30.10"
"2013-10-17","30.02"
"2013-10-16","29.76"
"2013-10-15","29.49"
"2013-10-14","29.77"
"2013-10-11","29.52"
"2013-10-10","29.25"
"2013-10-09","28.70"
"2013-10-08","28.82"
"2013-10-07","29.27"
"2013-10-04","29.57"
"2013-10-03","29.23"
"2013-10-02","29.75"
"2013-10-01","29.93"
"2013-09-30","29.67"
"2013-09-27","30.06"
"2013-09-26","30.25"
"2013-09-25","30.34"
"2013-09-24","30.26"
"2013-09-23","30.48"
"2013-09-20","30.72"
"2013-09-19","30.72"
"2013-09-18","30.71"
"2013-09-17","30.60"
"2013-09-16","30.51"
"2013-09-13","30.39"
"2013-09-12","30.47"
"2013-09-11","30.71"
"2013-09-10","30.58"
"2013-09-09","29.85"
"2013-09-06","29.60"
"2013-09-05","29.44"
"2013-09-04","29.48"
"2013-09-03","29.39"
"2013-08-30","29.25"
"2013-08-29","29.64"
"2013-08-28","29.41"
"2013-08-27","29.40"
"2013-08-26","30.02"
"2013-08-23","30.24"
"2013-08-22","30.12"
"2013-08-21","29.79"
"2013-08-20","30.10"
"2013-08-19","30.27"
"2013-08-16","30.55"
"2013-08-15","30.99"
"2013-08-14","31.26"
"2013-08-13","31.24"
"2013-08-12","31.12"
"2013-08-09","30.98"
"2013-08-08","30.87"
"2013-08-07","30.60"
"2013-08-06","30.73"
"2013-08-05","30.61"
"2013-08-02","30.39"
"2013-08-01","30.12"
"2013-07-31","29.74"
"2013-07-30","29.77"
"2013-07-29","29.74"
"2013-07-26","29.68"
"2013-07-25","29.72"
"2013-07-24","29.88"
"2013-07-23","29.76"
"2013-07-22","29.89"
"2013-07-19","29.65"
"2013-07-18","29.74"
"2013-07-17","29.43"
"2013-07-16","29.37"
"2013-07-15","29.58"
"2013-07-12","29.92"
"2013-07-11","29.76"
"2013-07-10","29.24"
"2013-07-09","29.07"
"2013-07-08","28.74"
"2013-07-05","28.26"
"2013-07-03","28.05"
"2013-07-02","27.98"
"2013-07-01","28.23"
"2013-06-28","28.62"
"2013-06-27","28.80"
"2013-06-26","27.53"
"2013-06-25","27.29"
"2013-06-24","27.24"
"2013-06-21","27.52"
"2013-06-20","27.63"
"2013-06-19","28.21"
"2013-06-18","28.64"
"2013-06-17","28.59"
"2013-06-14","28.26"
"2013-06-13","28.53"
"2013-06-12","28.25"
"2013-06-11","28.61"
"2013-06-10","29.23"
"2013-06-07","29.14"
"2013-06-06","27.99"
"2013-06-05","27.28"
"2013-06-04","27.61"
"2013-06-03","27.34"
"2013-05-31","27.32"
"2013-05-30","27.56"
"2013-05-29","27.19"
"2013-05-28","27.65"
"2013-05-24","27.40"
"2013-05-23","27.35"
"2013-05-22","27.37"
"2013-05-21","27.65"
"2013-05-20","27.71"
"2013-05-17","27.69"
"2013-05-16","27.30"
"2013-05-15","27.41"
"2013-05-14","27.14"
"2013-05-13","26.98"
"2013-05-10","27.22"
"2013-05-09","26.81"
"2013-05-08","27.11"
"2013-05-07","27.77"
"2013-05-06","27.67"
"2013-05-03","27.73"
"2013-05-02","27.23"
"2013-05-01","26.80"
"2013-04-30","26.97"
"2013-04-29","26.63"
"2013-04-26","25.98"
"2013-04-25","26.03"
"2013-04-24","25.19"
"2013-04-23","24.84"
"2013-04-22","24.48"
"2013-04-19","24.36"
"2013-04-18","24.45"
"2013-04-17","24.45"
"2013-04-16","24.84"
"2013-04-15","24.66"
"2013-04-12","24.93"
"2013-04-11","24.88"
"2013-04-10","24.93"
"2013-04-09","24.67"
"2013-04-08","24.30"
"2013-04-05","24.60"
"2013-04-04","24.78"
"2013-04-03","24.54"
"2013-04-02","24.75"
"2013-04-01","24.85"
"2013-03-28","25.18"
"2013-03-27","25.01"
"2013-03-26","24.98"
"2013-03-25","25.05"
"2013-03-22","25.32"
"2013-03-21","25.09"
"2013-03-20","25.15"
"2013-03-19","24.92"
"2013-03-18","25.22"
"2013-03-15","25.44"
"2013-03-14","25.52"
"2013-03-13","25.30"
"2013-03-12","25.22"
"2013-03-11","25.10"
"2013-03-08","25.08"
"2013-03-07","24.97"
"2013-03-06","25.11"
"2013-03-05","24.91"
"2013-03-04","24.45"
"2013-03-01","24.42"
"2013-02-28","24.51"
"2013-02-27","24.63"
"2013-02-26","24.21"
"2013-02-25","24.22"
"2013-02-22","24.56"
"2013-02-21","24.41"
"2013-02-20","24.65"
"2013-02-19","24.98"
"2013-02-15","25.05"
"2013-02-14","25.19"
"2013-02-13","25.00"
