"Date","Close"
"2013-12-31","66.81"
"2013-12-30","67.07"
"2013-12-27","67.14"
"2013-12-26","67.48"
"2013-12-24","67.12"
"2013-12-23","66.99"
"2013-12-20","66.56"
"2013-12-19","66.77"
"2013-12-18","66.77"
"2013-12-17","65.38"
"2013-12-16","65.62"
"2013-12-13","65.68"
"2013-12-12","66.17"
"2013-12-11","66.23"
"2013-12-10","66.22"
"2013-12-09","64.27"
"2013-12-06","63.93"
"2013-12-05","62.93"
"2013-12-04","63.20"
"2013-12-03","64.73"
"2013-12-02","64.62"
"2013-11-29","64.60"
"2013-11-27","64.47"
"2013-11-26","64.90"
"2013-11-25","65.11"
"2013-11-22","65.02"
"2013-11-21","65.35"
"2013-11-20","64.78"
"2013-11-19","64.94"
"2013-11-18","64.73"
"2013-11-15","64.84"
"2013-11-14","64.51"
"2013-11-13","63.93"
"2013-11-12","63.00"
"2013-11-11","62.96"
"2013-11-08","62.30"
"2013-11-07","60.82"
"2013-11-06","61.25"
"2013-11-05","60.56"
"2013-11-04","61.80"
"2013-11-01","60.25"
"2013-10-31","58.66"
"2013-10-30","55.68"
"2013-10-29","56.15"
"2013-10-28","55.55"
"2013-10-25","54.95"
"2013-10-24","55.02"
"2013-10-23","54.81"
"2013-10-22","54.92"
"2013-10-21","55.58"
"2013-10-18","55.92"
"2013-10-17","56.59"
"2013-10-16","55.54"
"2013-10-15","54.58"
"2013-10-14","54.88"
"2013-10-11","54.67"
"2013-10-10","54.70"
"2013-10-09","52.95"
"2013-10-08","53.20"
"2013-10-07","53.86"
"2013-10-04","53.85"
"2013-10-03","53.50"
"2013-10-02","53.21"
"2013-10-01","53.08"
"2013-09-30","52.15"
"2013-09-27","52.28"
"2013-09-26","52.32"
"2013-09-25","52.40"
"2013-09-24","52.40"
"2013-09-23","53.25"
"2013-09-20","53.44"
"2013-09-19","53.45"
"2013-09-18","53.32"
"2013-09-17","53.57"
"2013-09-16","53.25"
"2013-09-13","53.02"
"2013-09-12","52.85"
"2013-09-11","52.20"
"2013-09-10","51.13"
"2013-09-09","50.80"
"2013-09-06","50.39"
"2013-09-05","50.17"
"2013-09-04","50.24"
"2013-09-03","50.22"
"2013-08-30","50.28"
"2013-08-29","50.28"
"2013-08-28","50.02"
"2013-08-27","50.03"
"2013-08-26","50.97"
"2013-08-23","51.24"
"2013-08-22","50.60"
"2013-08-21","50.28"
"2013-08-20","51.07"
"2013-08-19","51.13"
"2013-08-16","51.32"
"2013-08-15","51.49"
"2013-08-14","52.23"
"2013-08-13","52.19"
"2013-08-12","51.60"
"2013-08-09","51.57"
"2013-08-08","51.52"
"2013-08-07","51.14"
"2013-08-06","51.44"
"2013-08-05","51.54"
"2013-08-02","51.11"
"2013-08-01","51.09"
"2013-07-31","50.09"
"2013-07-30","50.25"
"2013-07-29","50.58"
"2013-07-26","51.06"
"2013-07-25","49.67"
"2013-07-24","49.86"
"2013-07-23","50.18"
"2013-07-22","50.52"
"2013-07-19","50.52"
"2013-07-18","50.16"
"2013-07-17","49.55"
"2013-07-16","49.22"
"2013-07-15","49.74"
"2013-07-12","49.61"
"2013-07-11","49.54"
"2013-07-10","48.79"
"2013-07-09","48.01"
"2013-07-08","47.54"
"2013-07-05","47.58"
"2013-07-03","47.30"
"2013-07-02","47.02"
"2013-07-01","47.59"
"2013-06-28","47.20"
"2013-06-27","47.72"
"2013-06-26","47.93"
"2013-06-25","46.64"
"2013-06-24","46.58"
"2013-06-21","47.23"
"2013-06-20","47.07"
"2013-06-19","48.37"
"2013-06-18","48.76"
"2013-06-17","48.25"
"2013-06-14","47.83"
"2013-06-13","47.90"
"2013-06-12","47.16"
"2013-06-11","46.99"
"2013-06-10","46.84"
"2013-06-07","46.90"
"2013-06-06","46.13"
"2013-06-05","46.02"
"2013-06-04","46.49"
"2013-06-03","47.23"
"2013-05-31","46.96"
"2013-05-30","47.67"
"2013-05-29","47.09"
"2013-05-28","47.28"
"2013-05-24","47.17"
"2013-05-23","47.17"
"2013-05-22","47.59"
"2013-05-21","47.96"
"2013-05-20","48.02"
"2013-05-17","47.79"
"2013-05-16","47.00"
"2013-05-15","46.77"
"2013-05-14","46.26"
"2013-05-13","46.16"
"2013-05-10","46.36"
"2013-05-09","46.03"
"2013-05-08","46.37"
"2013-05-07","46.45"
"2013-05-06","45.96"
"2013-05-03","46.39"
"2013-05-02","46.16"
"2013-05-01","43.94"
"2013-04-30","44.22"
"2013-04-29","44.00"
"2013-04-26","43.98"
"2013-04-25","44.22"
"2013-04-24","44.39"
"2013-04-23","43.80"
"2013-04-22","43.38"
"2013-04-19","43.07"
"2013-04-18","42.70"
"2013-04-17","42.59"
"2013-04-16","43.12"
"2013-04-15","43.01"
"2013-04-12","43.27"
"2013-04-11","43.50"
"2013-04-10","42.95"
"2013-04-09","42.88"
"2013-04-08","42.77"
"2013-04-05","42.45"
"2013-04-04","42.53"
"2013-04-03","42.38"
"2013-04-02","42.05"
"2013-04-01","41.85"
"2013-03-28","41.62"
"2013-03-27","41.71"
"2013-03-26","42.18"
