"Date","Close"
"2013-12-31","59.53"
"2013-12-30","59.21"
"2013-12-27","59.50"
"2013-12-26","59.47"
"2013-12-24","59.13"
"2013-12-23","58.56"
"2013-12-20","58.71"
"2013-12-19","58.09"
"2013-12-18","58.02"
"2013-12-17","58.68"
"2013-12-16","57.74"
"2013-12-13","56.09"
"2013-12-12","55.92"
"2013-12-11","55.02"
"2013-12-10","54.88"
"2013-12-09","55.40"
"2013-12-06","55.98"
"2013-12-05","56.07"
"2013-12-04","55.38"
"2013-12-03","55.44"
"2013-12-02","55.26"
"2013-11-29","55.39"
"2013-11-27","55.05"
"2013-11-26","55.33"
"2013-11-25","55.00"
"2013-11-22","55.50"
"2013-11-21","56.05"
"2013-11-20","54.77"
"2013-11-19","54.64"
"2013-11-18","55.14"
"2013-11-15","55.96"
"2013-11-14","55.10"
"2013-11-13","54.88"
"2013-11-12","53.80"
"2013-11-11","54.27"
"2013-11-08","54.65"
"2013-11-07","53.28"
"2013-11-06","54.45"
"2013-11-05","53.98"
"2013-11-04","55.02"
"2013-11-01","54.64"
"2013-10-31","54.86"
"2013-10-30","55.47"
"2013-10-29","54.82"
"2013-10-28","54.44"
"2013-10-25","53.25"
"2013-10-24","53.85"
"2013-10-23","62.82"
"2013-10-22","64.20"
"2013-10-21","64.35"
"2013-10-18","65.11"
"2013-10-17","64.97"
"2013-10-16","64.91"
"2013-10-15","63.74"
"2013-10-14","63.77"
"2013-10-11","63.36"
"2013-10-10","62.16"
"2013-10-09","60.09"
"2013-10-08","60.35"
"2013-10-07","61.10"
"2013-10-04","61.52"
"2013-10-03","60.38"
"2013-10-02","60.47"
"2013-10-01","59.20"
"2013-09-30","58.37"
"2013-09-27","59.01"
"2013-09-26","59.02"
"2013-09-25","59.29"
"2013-09-24","58.71"
"2013-09-23","58.72"
"2013-09-20","60.21"
"2013-09-19","60.85"
"2013-09-18","60.45"
"2013-09-17","59.28"
"2013-09-16","58.41"
"2013-09-13","57.93"
"2013-09-12","58.49"
"2013-09-11","59.85"
"2013-09-10","60.42"
"2013-09-09","59.73"
"2013-09-06","58.40"
"2013-09-05","58.81"
"2013-09-04","58.21"
"2013-09-03","57.77"
"2013-08-30","56.79"
"2013-08-29","57.40"
"2013-08-28","57.88"
"2013-08-27","56.29"
"2013-08-26","56.30"
"2013-08-23","56.84"
"2013-08-22","56.39"
"2013-08-21","54.95"
"2013-08-20","55.44"
"2013-08-19","55.20"
"2013-08-16","55.99"
"2013-08-15","56.45"
"2013-08-14","56.77"
"2013-08-13","56.78"
"2013-08-12","57.11"
"2013-08-09","57.51"
"2013-08-08","57.97"
"2013-08-07","57.10"
"2013-08-06","57.25"
"2013-08-05","58.06"
"2013-08-02","58.91"
"2013-08-01","60.15"
"2013-07-31","59.30"
"2013-07-30","57.95"
"2013-07-29","57.08"
"2013-07-26","57.18"
"2013-07-25","60.00"
"2013-07-24","63.57"
"2013-07-23","64.38"
"2013-07-22","65.51"
"2013-07-19","65.76"
"2013-07-18","64.97"
"2013-07-17","63.45"
"2013-07-16","63.27"
"2013-07-15","64.11"
"2013-07-12","64.70"
"2013-07-11","64.41"
"2013-07-10","64.79"
"2013-07-09","64.99"
"2013-07-08","63.65"
"2013-07-05","63.16"
"2013-07-03","62.59"
"2013-07-02","62.06"
"2013-07-01","61.03"
"2013-06-28","61.16"
"2013-06-27","61.74"
"2013-06-26","61.85"
"2013-06-25","61.24"
"2013-06-24","60.98"
"2013-06-21","61.53"
"2013-06-20","61.87"
"2013-06-19","64.09"
"2013-06-18","63.96"
"2013-06-17","63.65"
"2013-06-14","62.10"
"2013-06-13","62.38"
"2013-06-12","60.81"
"2013-06-11","61.11"
"2013-06-10","62.29"
"2013-06-07","62.55"
"2013-06-06","61.59"
"2013-06-05","59.95"
"2013-06-04","60.02"
"2013-06-03","60.42"
"2013-05-31","60.87"
"2013-05-30","62.88"
"2013-05-29","63.17"
