"Date","Close"
"2013-12-31","96.63"
"2013-12-30","96.14"
"2013-12-27","95.75"
"2013-12-26","95.82"
"2013-12-24","95.22"
"2013-12-23","94.58"
"2013-12-20","94.44"
"2013-12-19","93.63"
"2013-12-18","92.83"
"2013-12-17","92.54"
"2013-12-16","93.12"
"2013-12-13","92.98"
"2013-12-12","92.85"
"2013-12-11","93.44"
"2013-12-10","94.12"
"2013-12-09","94.77"
"2013-12-06","94.85"
"2013-12-05","93.09"
"2013-12-04","94.10"
"2013-12-03","95.40"
"2013-12-02","95.45"
"2013-11-29","96.45"
"2013-11-27","97.34"
"2013-11-26","97.11"
"2013-11-25","97.04"
"2013-11-22","96.84"
"2013-11-21","96.12"
"2013-11-20","94.56"
"2013-11-19","94.70"
"2013-11-18","94.72"
"2013-11-15","94.82"
"2013-11-14","94.78"
"2013-11-13","93.97"
"2013-11-12","92.91"
"2013-11-11","94.54"
"2013-11-08","94.32"
"2013-11-07","93.54"
"2013-11-06","93.90"
"2013-11-05","92.83"
"2013-11-04","92.59"
"2013-11-01","92.09"
"2013-10-31","92.08"
"2013-10-30","92.74"
"2013-10-29","93.24"
"2013-10-28","92.60"
"2013-10-25","92.20"
"2013-10-24","92.94"
"2013-10-23","93.19"
"2013-10-22","93.93"
"2013-10-21","93.16"
"2013-10-18","92.71"
"2013-10-17","92.21"
"2013-10-16","91.40"
"2013-10-15","89.76"
"2013-10-14","90.38"
"2013-10-11","90.16"
"2013-10-10","89.38"
"2013-10-09","87.58"
"2013-10-08","87.98"
"2013-10-07","88.50"
"2013-10-04","88.87"
"2013-10-03","88.30"
"2013-10-02","89.29"
"2013-10-01","89.26"
"2013-09-30","89.26"
"2013-09-27","89.65"
"2013-09-26","90.02"
"2013-09-25","90.10"
"2013-09-24","89.55"
"2013-09-23","89.77"
"2013-09-20","89.98"
"2013-09-19","89.81"
"2013-09-18","89.29"
"2013-09-17","88.76"
"2013-09-16","88.37"
"2013-09-13","87.61"
"2013-09-12","87.14"
"2013-09-11","87.70"
"2013-09-10","86.52"
"2013-09-09","85.79"
"2013-09-06","84.30"
"2013-09-05","84.46"
"2013-09-04","84.11"
"2013-09-03","83.83"
"2013-08-30","83.17"
"2013-08-29","83.34"
"2013-08-28","83.43"
"2013-08-27","83.47"
"2013-08-26","84.26"
"2013-08-23","85.15"
"2013-08-22","84.93"
"2013-08-21","84.08"
"2013-08-20","84.61"
"2013-08-19","84.16"
"2013-08-16","84.98"
"2013-08-15","85.01"
"2013-08-14","85.90"
"2013-08-13","85.93"
"2013-08-12","85.52"
"2013-08-09","85.49"
"2013-08-08","85.46"
"2013-08-07","85.11"
"2013-08-06","85.59"
"2013-08-05","86.10"
"2013-08-02","87.07"
"2013-08-01","87.37"
"2013-07-31","86.50"
"2013-07-30","86.95"
"2013-07-29","87.06"
