"Date","Close"
"2013-12-31","26.30"
"2013-12-30","26.31"
"2013-12-27","26.24"
"2013-12-26","26.26"
"2013-12-24","26.20"
"2013-12-23","25.97"
"2013-12-20","25.80"
"2013-12-19","25.56"
"2013-12-18","25.75"
"2013-12-17","24.97"
"2013-12-16","24.96"
"2013-12-13","24.77"
"2013-12-12","24.72"
"2013-12-11","24.86"
"2013-12-10","25.31"
"2013-12-09","25.41"
"2013-12-06","25.10"
"2013-12-05","24.76"
"2013-12-04","24.66"
"2013-12-03","24.41"
"2013-12-02","24.40"
"2013-11-29","24.24"
"2013-11-27","24.44"
"2013-11-26","24.16"
"2013-11-25","23.68"
"2013-11-22","23.40"
"2013-11-21","22.78"
"2013-11-20","22.44"
"2013-11-19","22.76"
"2013-11-18","22.95"
"2013-11-15","22.97"
"2013-11-14","22.88"
"2013-11-13","22.60"
"2013-11-12","22.03"
"2013-11-11","22.43"
"2013-11-08","22.32"
"2013-11-07","22.28"
"2013-11-06","22.44"
"2013-11-05","22.87"
"2013-11-04","23.04"
"2013-11-01","23.03"
"2013-10-31","23.23"
"2013-10-30","23.48"
"2013-10-29","24.40"
"2013-10-28","23.41"
"2013-10-25","23.72"
"2013-10-24","23.53"
"2013-10-23","23.35"
"2013-10-22","23.52"
"2013-10-21","23.06"
"2013-10-18","22.87"
"2013-10-17","23.18"
"2013-10-16","22.79"
"2013-10-15","22.42"
"2013-10-14","22.67"
"2013-10-11","22.78"
"2013-10-10","22.82"
"2013-10-09","22.27"
"2013-10-08","22.11"
"2013-10-07","22.50"
"2013-10-04","22.55"
"2013-10-03","22.75"
"2013-10-02","23.24"
"2013-10-01","23.61"
"2013-09-30","23.13"
"2013-09-27","23.34"
"2013-09-26","23.42"
"2013-09-25","23.40"
"2013-09-24","23.30"
"2013-09-23","23.59"
"2013-09-20","23.81"
"2013-09-19","23.99"
"2013-09-18","24.24"
"2013-09-17","23.66"
"2013-09-16","23.57"
"2013-09-13","23.40"
"2013-09-12","23.54"
"2013-09-11","23.92"
"2013-09-10","23.52"
"2013-09-09","23.24"
"2013-09-06","22.37"
"2013-09-05","22.00"
"2013-09-04","22.17"
"2013-09-03","21.98"
"2013-08-30","21.87"
"2013-08-29","21.69"
"2013-08-28","21.82"
"2013-08-27","21.52"
"2013-08-26","21.76"
"2013-08-23","21.91"
"2013-08-22","21.72"
"2013-08-21","21.72"
"2013-08-20","21.99"
"2013-08-19","21.27"
"2013-08-16","21.60"
"2013-08-15","22.04"
"2013-08-14","22.85"
"2013-08-13","22.94"
"2013-08-12","23.30"
"2013-08-09","23.31"
"2013-08-08","23.17"
"2013-08-07","22.91"
"2013-08-06","23.05"
"2013-08-05","23.13"
"2013-08-02","23.20"
"2013-08-01","23.23"
"2013-07-31","23.17"
"2013-07-30","23.80"
"2013-07-29","23.75"
"2013-07-26","24.09"
"2013-07-25","24.48"
"2013-07-24","24.36"
"2013-07-23","24.37"
"2013-07-22","24.20"
"2013-07-19","24.30"
"2013-07-18","24.13"
"2013-07-17","24.04"
"2013-07-16","23.88"
"2013-07-15","24.04"
"2013-07-12","24.07"
"2013-07-11","23.95"
"2013-07-10","23.43"
"2013-07-09","23.51"
"2013-07-08","23.29"
"2013-07-05","23.43"
"2013-07-03","23.34"
"2013-07-02","23.20"
"2013-07-01","23.30"
"2013-06-28","23.36"
"2013-06-27","23.22"
"2013-06-26","22.58"
"2013-06-25","21.99"
"2013-06-24","21.45"
"2013-06-21","21.50"
"2013-06-20","21.61"
"2013-06-19","22.28"
"2013-06-18","23.05"
"2013-06-17","22.81"
"2013-06-14","22.67"
"2013-06-13","22.92"
"2013-06-12","22.56"
"2013-06-11","22.90"
"2013-06-10","23.20"
"2013-06-07","23.44"
"2013-06-06","23.17"
"2013-06-05","22.51"
"2013-06-04","23.05"
"2013-06-03","23.21"
"2013-05-31","23.18"
"2013-05-30","23.41"
"2013-05-29","23.39"
"2013-05-28","23.74"
"2013-05-24","23.39"
"2013-05-23","23.89"
"2013-05-22","24.23"
"2013-05-21","25.08"
"2013-05-20","24.61"
"2013-05-17","24.78"
"2013-05-16","24.72"
"2013-05-15","25.18"
"2013-05-14","24.51"
"2013-05-13","24.03"
"2013-05-10","24.10"
"2013-05-09","24.31"
"2013-05-08","24.57"
"2013-05-07","24.44"
"2013-05-06","24.22"
"2013-05-03","24.15"
"2013-05-02","24.02"
"2013-05-01","24.04"
"2013-04-30","24.22"
"2013-04-29","24.35"
"2013-04-26","24.18"
"2013-04-25","24.75"
"2013-04-24","24.61"
"2013-04-23","24.17"
"2013-04-22","23.71"
"2013-04-19","23.83"
"2013-04-18","23.50"
"2013-04-17","23.70"
"2013-04-16","24.31"
"2013-04-15","24.12"
"2013-04-12","25.29"
"2013-04-11","25.50"
"2013-04-10","25.51"
"2013-04-09","25.01"
"2013-04-08","24.93"
"2013-04-05","24.22"
"2013-04-04","24.28"
"2013-04-03","23.93"
"2013-04-02","24.40"
"2013-04-01","24.44"
"2013-03-28","25.25"
"2013-03-27","25.11"
"2013-03-26","25.02"
"2013-03-25","24.68"
