"Date","Close"
"2013-12-31","55.74"
"2013-12-30","55.76"
"2013-12-27","55.58"
"2013-12-26","55.67"
"2013-12-24","55.38"
"2013-12-23","55.31"
"2013-12-20","54.67"
"2013-12-19","54.69"
"2013-12-18","55.76"
"2013-12-17","54.93"
"2013-12-16","54.32"
"2013-12-13","54.17"
"2013-12-12","54.03"
"2013-12-11","54.60"
"2013-12-10","55.86"
"2013-12-09","56.71"
"2013-12-06","57.42"
"2013-12-05","56.09"
"2013-12-04","56.40"
"2013-12-03","57.45"
"2013-12-02","57.68"
"2013-11-29","57.47"
"2013-11-27","57.65"
"2013-11-26","57.68"
"2013-11-25","58.24"
"2013-11-22","57.96"
"2013-11-21","57.69"
"2013-11-20","55.95"
"2013-11-19","56.15"
"2013-11-18","56.64"
"2013-11-15","57.34"
"2013-11-14","57.09"
"2013-11-13","56.78"
"2013-11-12","56.47"
"2013-11-11","56.39"
"2013-11-08","57.04"
"2013-11-07","56.08"
"2013-11-06","56.45"
"2013-11-05","55.90"
"2013-11-04","56.49"
"2013-11-01","56.17"
"2013-10-31","56.03"
"2013-10-30","55.88"
"2013-10-29","56.17"
"2013-10-28","56.54"
"2013-10-25","56.13"
"2013-10-24","57.76"
"2013-10-23","58.00"
"2013-10-22","58.19"
"2013-10-21","58.07"
"2013-10-18","57.77"
"2013-10-17","57.12"
"2013-10-16","56.51"
"2013-10-15","55.22"
"2013-10-14","55.95"
"2013-10-11","54.68"
"2013-10-10","54.51"
"2013-10-09","52.70"
"2013-10-08","53.17"
"2013-10-07","54.19"
"2013-10-04","54.71"
"2013-10-03","53.57"
"2013-10-02","53.78"
"2013-10-01","53.97"
"2013-09-30","52.55"
"2013-09-27","52.61"
"2013-09-26","48.73"
"2013-09-25","48.99"
"2013-09-24","48.89"
"2013-09-23","49.26"
"2013-09-20","49.82"
"2013-09-19","49.87"
"2013-09-18","49.57"
"2013-09-17","49.48"
"2013-09-16","49.66"
"2013-09-13","48.98"
"2013-09-12","48.59"
"2013-09-11","48.53"
"2013-09-10","48.14"
"2013-09-09","47.38"
"2013-09-06","46.70"
"2013-09-05","46.61"
"2013-09-04","47.30"
"2013-09-03","46.91"
"2013-08-30","46.06"
"2013-08-29","46.66"
"2013-08-28","46.34"
"2013-08-27","46.65"
"2013-08-26","47.47"
"2013-08-23","47.44"
"2013-08-22","47.63"
"2013-08-21","47.03"
"2013-08-20","47.63"
"2013-08-19","47.49"
"2013-08-16","47.38"
"2013-08-15","47.04"
"2013-08-14","48.71"
"2013-08-13","48.99"
"2013-08-12","48.93"
"2013-08-09","48.74"
"2013-08-08","48.63"
"2013-08-07","48.65"
"2013-08-06","49.32"
"2013-08-05","49.72"
"2013-08-02","50.07"
"2013-08-01","49.86"
"2013-07-31","49.00"
"2013-07-30","49.28"
"2013-07-29","48.29"
"2013-07-26","48.66"
"2013-07-25","49.63"
"2013-07-24","49.39"
"2013-07-23","49.92"
"2013-07-22","50.54"
"2013-07-19","49.79"
"2013-07-18","49.67"
"2013-07-17","49.66"
"2013-07-16","49.39"
"2013-07-15","49.54"
"2013-07-12","49.56"
"2013-07-11","49.10"
"2013-07-10","47.59"
"2013-07-09","47.53"
"2013-07-08","48.93"
"2013-07-05","49.84"
"2013-07-03","48.56"
"2013-07-02","48.62"
"2013-07-01","48.75"
"2013-06-28","96.09"
"2013-06-27","96.79"
"2013-06-26","96.36"
"2013-06-25","94.95"
"2013-06-24","94.64"
"2013-06-21","94.59"
"2013-06-20","94.53"
"2013-06-19","97.12"
"2013-06-18","99.01"
"2013-06-17","98.22"
"2013-06-14","98.22"
"2013-06-13","98.90"
"2013-06-12","97.10"
"2013-06-11","98.14"
"2013-06-10","98.45"
"2013-06-07","99.35"
"2013-06-06","99.26"
"2013-06-05","96.78"
"2013-06-04","99.04"
"2013-06-03","98.86"
"2013-05-31","98.16"
"2013-05-30","97.92"
"2013-05-29","97.15"
"2013-05-28","95.45"
"2013-05-24","96.09"
"2013-05-23","96.41"
"2013-05-22","96.25"
"2013-05-21","97.63"
"2013-05-20","97.02"
"2013-05-17","98.83"
"2013-05-16","96.38"
"2013-05-15","96.92"
"2013-05-14","95.69"
"2013-05-13","95.05"
"2013-05-10","95.08"
"2013-05-09","94.05"
"2013-05-08","94.21"
"2013-05-07","94.96"
"2013-05-06","95.59"
"2013-05-03","96.67"
"2013-05-02","96.84"
"2013-05-01","95.67"
"2013-04-30","96.77"
"2013-04-29","94.79"
"2013-04-26","95.88"
"2013-04-25","91.66"
"2013-04-24","92.14"
"2013-04-23","92.93"
"2013-04-22","91.54"
"2013-04-19","91.80"
"2013-04-18","91.20"
"2013-04-17","92.33"
"2013-04-16","94.03"
"2013-04-15","91.56"
"2013-04-12","94.68"
"2013-04-11","95.54"
"2013-04-10","95.27"
"2013-04-09","93.13"
"2013-04-08","93.42"
"2013-04-05","92.13"
"2013-04-04","92.17"
"2013-04-03","92.84"
"2013-04-02","94.82"
"2013-04-01","94.23"
"2013-03-28","94.74"
"2013-03-27","92.68"
"2013-03-26","93.22"
"2013-03-25","92.52"
"2013-03-22","93.09"
"2013-03-21","90.57"
"2013-03-20","91.39"
"2013-03-19","90.76"
"2013-03-18","91.12"
"2013-03-15","92.78"
"2013-03-14","93.00"
"2013-03-13","92.91"
"2013-03-12","93.07"
"2013-03-11","92.78"
"2013-03-08","92.29"
"2013-03-07","91.51"
"2013-03-06","90.91"
"2013-03-05","92.28"
"2013-03-04","89.60"
"2013-03-01","89.23"
"2013-02-28","87.46"
"2013-02-27","87.70"
"2013-02-26","87.18"
"2013-02-25","85.38"
"2013-02-22","87.56"
"2013-02-21","86.16"
"2013-02-20","87.12"
"2013-02-19","88.41"
"2013-02-15","87.93"
"2013-02-14","87.90"
"2013-02-13","87.62"
"2013-02-12","87.55"
"2013-02-11","87.50"
"2013-02-08","88.10"
"2013-02-07","86.56"
"2013-02-06","85.46"
"2013-02-05","83.60"
"2013-02-04","83.09"
"2013-02-01","84.12"
"2013-01-31","82.55"
"2013-01-30","82.47"
"2013-01-29","84.38"
"2013-01-28","83.13"
"2013-01-25","83.38"
"2013-01-24","83.06"
"2013-01-23","82.66"
"2013-01-22","83.00"
"2013-01-18","81.19"
"2013-01-17","79.95"
"2013-01-16","79.06"
"2013-01-15","80.70"
"2013-01-14","82.16"
"2013-01-11","81.62"
"2013-01-10","82.21"
"2013-01-09","81.30"
"2013-01-08","81.93"
"2013-01-07","83.02"
"2013-01-04","81.07"
"2013-01-03","80.21"
"2013-01-02","80.45"
"2012-12-31","77.51"
"2012-12-28","76.08"
"2012-12-27","76.71"
"2012-12-26","77.19"
