"Date","Close"
"2013-12-31","65.21"
"2013-12-30","65.43"
"2013-12-27","65.37"
"2013-12-26","64.83"
"2013-12-24","64.71"
"2013-12-23","64.63"
"2013-12-20","64.74"
"2013-12-19","64.24"
"2013-12-18","64.64"
"2013-12-17","63.58"
"2013-12-16","64.04"
"2013-12-13","63.98"
"2013-12-12","63.97"
"2013-12-11","64.94"
"2013-12-10","64.69"
"2013-12-09","65.69"
"2013-12-06","65.66"
"2013-12-05","64.54"
"2013-12-04","65.04"
"2013-12-03","65.37"
"2013-12-02","65.28"
"2013-11-29","65.81"
"2013-11-27","65.83"
"2013-11-26","66.01"
"2013-11-25","65.95"
"2013-11-22","66.26"
"2013-11-21","65.98"
"2013-11-20","65.26"
"2013-11-19","65.28"
"2013-11-18","65.18"
"2013-11-15","65.78"
"2013-11-14","65.60"
"2013-11-13","65.09"
"2013-11-12","64.72"
"2013-11-11","64.62"
"2013-11-08","64.83"
"2013-11-07","64.80"
"2013-11-06","66.01"
"2013-11-05","65.36"
"2013-11-04","65.73"
"2013-11-01","65.39"
"2013-10-31","64.73"
"2013-10-30","65.22"
"2013-10-29","65.94"
"2013-10-28","64.76"
"2013-10-25","63.60"
"2013-10-24","63.04"
"2013-10-23","63.47"
"2013-10-22","63.47"
"2013-10-21","62.26"
"2013-10-18","62.81"
"2013-10-17","63.41"
"2013-10-16","62.28"
"2013-10-15","61.23"
"2013-10-14","61.53"
"2013-10-11","61.45"
"2013-10-10","60.79"
"2013-10-09","59.83"
"2013-10-08","58.96"
"2013-10-07","59.21"
"2013-10-04","59.33"
"2013-10-03","59.22"
"2013-10-02","59.43"
"2013-10-01","60.09"
"2013-09-30","59.30"
"2013-09-27","59.93"
"2013-09-26","60.39"
"2013-09-25","59.34"
"2013-09-24","59.87"
"2013-09-23","60.20"
"2013-09-20","60.44"
"2013-09-19","60.97"
"2013-09-18","61.19"
"2013-09-17","59.80"
"2013-09-16","60.02"
"2013-09-13","59.43"
"2013-09-12","59.28"
"2013-09-11","59.25"
"2013-09-10","58.59"
"2013-09-09","58.57"
"2013-09-06","58.00"
"2013-09-05","57.53"
"2013-09-04","57.80"
"2013-09-03","57.45"
"2013-08-30","57.77"
"2013-08-29","57.25"
"2013-08-28","57.27"
"2013-08-27","57.64"
"2013-08-26","58.22"
"2013-08-23","59.03"
"2013-08-22","58.45"
"2013-08-21","58.51"
"2013-08-20","59.09"
"2013-08-19","59.15"
"2013-08-16","59.47"
"2013-08-15","59.81"
"2013-08-14","60.67"
"2013-08-13","61.08"
"2013-08-12","60.96"
"2013-08-09","60.68"
"2013-08-08","60.91"
"2013-08-07","60.94"
"2013-08-06","60.99"
"2013-08-05","60.98"
"2013-08-02","60.53"
"2013-08-01","60.56"
"2013-07-31","59.87"
"2013-07-30","60.24"
"2013-07-29","60.08"
"2013-07-26","60.25"
"2013-07-25","59.62"
"2013-07-24","58.47"
"2013-07-23","58.41"
"2013-07-22","58.65"
"2013-07-19","58.88"
"2013-07-18","58.80"
"2013-07-17","58.36"
"2013-07-16","58.48"
"2013-07-15","58.82"
"2013-07-12","59.14"
"2013-07-11","58.95"
"2013-07-10","58.62"
"2013-07-09","58.98"
"2013-07-08","58.58"
"2013-07-05","57.86"
"2013-07-03","57.82"
"2013-07-02","57.72"
"2013-07-01","57.95"
"2013-06-28","57.29"
"2013-06-27","57.39"
"2013-06-26","57.00"
"2013-06-25","56.22"
"2013-06-24","56.15"
"2013-06-21","56.81"
"2013-06-20","55.87"
"2013-06-19","58.00"
"2013-06-18","59.70"
"2013-06-17","59.64"
"2013-06-14","58.82"
"2013-06-13","58.46"
"2013-06-12","58.16"
"2013-06-11","58.62"
"2013-06-10","58.82"
"2013-06-07","59.10"
"2013-06-06","58.04"
"2013-06-05","57.90"
"2013-06-04","58.87"
"2013-06-03","58.60"
"2013-05-31","57.84"
"2013-05-30","59.63"
"2013-05-29","59.58"
"2013-05-28","61.63"
"2013-05-24","61.17"
"2013-05-23","60.97"
"2013-05-22","61.41"
"2013-05-21","61.58"
"2013-05-20","61.55"
"2013-05-17","62.04"
"2013-05-16","62.38"
"2013-05-15","124.55"
"2013-05-14","123.35"
"2013-05-13","120.91"
"2013-05-10","120.72"
"2013-05-09","120.19"
"2013-05-08","120.52"
"2013-05-07","120.33"
"2013-05-06","120.20"
"2013-05-03","121.15"
"2013-05-02","120.73"
"2013-05-01","119.14"
"2013-04-30","119.41"
"2013-04-29","119.37"
"2013-04-26","118.99"
"2013-04-25","119.42"
"2013-04-24","117.90"
"2013-04-23","121.43"
"2013-04-22","120.41"
"2013-04-19","119.72"
"2013-04-18","118.57"
"2013-04-17","117.85"
"2013-04-16","119.33"
"2013-04-15","116.87"
"2013-04-12","118.37"
"2013-04-11","118.84"
"2013-04-10","118.27"
"2013-04-09","117.25"
"2013-04-08","117.72"
"2013-04-05","116.72"
"2013-04-04","117.08"
"2013-04-03","117.31"
"2013-04-02","118.90"
"2013-04-01","117.71"
"2013-03-28","118.03"
"2013-03-27","116.72"
"2013-03-26","117.32"
"2013-03-25","114.40"
"2013-03-22","114.41"
"2013-03-21","113.71"
"2013-03-20","114.60"
"2013-03-19","112.54"
"2013-03-18","112.26"
"2013-03-15","112.08"
"2013-03-14","113.84"
"2013-03-13","114.90"
"2013-03-12","115.06"
"2013-03-11","115.64"
"2013-03-08","115.74"
"2013-03-07","115.41"
"2013-03-06","115.35"
"2013-03-05","115.71"
"2013-03-04","114.84"
"2013-03-01","114.11"
"2013-02-28","114.43"
"2013-02-27","114.46"
"2013-02-26","113.91"
"2013-02-25","114.01"
"2013-02-22","113.97"
"2013-02-21","113.09"
"2013-02-20","112.11"
"2013-02-19","111.91"
"2013-02-15","110.02"
"2013-02-14","108.33"
"2013-02-13","107.90"
"2013-02-12","108.05"
"2013-02-11","108.29"
"2013-02-08","108.49"
"2013-02-07","110.19"
"2013-02-06","109.81"
"2013-02-05","109.46"
"2013-02-04","108.73"
"2013-02-01","109.84"
"2013-01-31","107.37"
"2013-01-30","110.85"
"2013-01-29","110.91"
"2013-01-28","110.15"
"2013-01-25","110.15"
"2013-01-24","109.77"
"2013-01-23","108.81"
"2013-01-22","108.46"
"2013-01-18","109.01"
"2013-01-17","108.94"
"2013-01-16","107.83"
"2013-01-15","107.74"
"2013-01-14","107.93"
"2013-01-11","107.09"
"2013-01-10","107.39"
"2013-01-09","106.13"
"2013-01-08","106.32"
"2013-01-07","106.08"
"2013-01-04","107.90"
"2013-01-03","106.66"
"2013-01-02","106.31"
"2012-12-31","104.54"
"2012-12-28","104.04"
"2012-12-27","105.27"
"2012-12-26","104.71"
"2012-12-24","105.05"
"2012-12-21","105.10"
"2012-12-20","105.79"
"2012-12-19","106.03"
"2012-12-18","107.26"
"2012-12-17","106.21"
"2012-12-14","105.84"
"2012-12-13","106.16"
"2012-12-12","106.99"
"2012-12-11","107.88"
"2012-12-10","106.79"
"2012-12-07","108.37"
"2012-12-06","106.65"
"2012-12-05","107.21"
"2012-12-04","107.58"
"2012-12-03","108.09"
"2012-11-30","108.50"
"2012-11-29","108.01"
"2012-11-28","107.76"
"2012-11-27","107.64"
"2012-11-26","107.86"
"2012-11-23","108.00"
"2012-11-21","106.80"
"2012-11-20","106.91"
"2012-11-19","106.91"
"2012-11-16","105.15"
"2012-11-15","103.77"
"2012-11-14","103.53"
"2012-11-13","104.28"
"2012-11-12","104.31"
"2012-11-09","103.87"
"2012-11-08","104.07"
"2012-11-07","104.97"
"2012-11-06","105.64"
"2012-11-05","105.23"
"2012-11-02","104.96"
"2012-11-01","105.87"
"2012-10-31","104.96"
"2012-10-26","103.87"
"2012-10-25","104.60"
"2012-10-24","106.56"
"2012-10-23","106.53"
"2012-10-22","107.69"
"2012-10-19","107.74"
"2012-10-18","110.62"
"2012-10-17","110.57"
"2012-10-16","108.59"
"2012-10-15","108.46"
"2012-10-12","107.89"
"2012-10-11","108.03"
"2012-10-10","107.69"
"2012-10-09","107.43"
"2012-10-08","108.49"
"2012-10-05","108.45"
"2012-10-04","108.46"
"2012-10-03","108.03"
"2012-10-02","107.92"
"2012-10-01","107.99"
"2012-09-28","107.22"
"2012-09-27","107.35"
"2012-09-26","106.75"
"2012-09-25","106.65"
"2012-09-24","106.94"
"2012-09-21","106.53"
"2012-09-20","106.79"
"2012-09-19","105.89"
"2012-09-18","106.01"
"2012-09-17","105.15"
"2012-09-14","103.75"
"2012-09-13","104.54"
"2012-09-12","102.62"
"2012-09-11","102.82"
"2012-09-10","103.70"
"2012-09-07","106.30"
"2012-09-06","107.49"
"2012-09-05","106.50"
"2012-09-04","107.22"
"2012-08-31","106.31"
"2012-08-30","105.81"
"2012-08-29","106.43"
"2012-08-28","106.35"
"2012-08-27","105.80"
"2012-08-24","105.77"
"2012-08-23","104.71"
"2012-08-22","105.37"
"2012-08-21","105.70"
"2012-08-20","105.95"
"2012-08-17","106.18"
"2012-08-16","105.83"
"2012-08-15","105.50"
"2012-08-14","105.42"
"2012-08-13","105.55"
"2012-08-10","105.37"
"2012-08-09","104.95"
"2012-08-08","105.27"
"2012-08-07","104.88"
"2012-08-06","106.35"
"2012-08-03","106.46"
"2012-08-02","105.37"
"2012-08-01","106.60"
"2012-07-31","107.36"
"2012-07-30","107.47"
"2012-07-27","107.17"
"2012-07-26","106.38"
"2012-07-25","102.25"
"2012-07-24","102.10"
"2012-07-23","102.79"
"2012-07-20","103.90"
"2012-07-19","105.62"
"2012-07-18","105.28"
"2012-07-17","105.16"
"2012-07-16","104.37"
"2012-07-13","105.46"
"2012-07-12","103.61"
"2012-07-11","103.83"
"2012-07-10","103.90"
"2012-07-09","104.26"
"2012-07-06","104.29"
"2012-07-05","104.65"
"2012-07-03","104.61"
"2012-07-02","103.72"
"2012-06-29","104.10"
"2012-06-28","101.99"
"2012-06-27","101.50"
"2012-06-26","100.10"
"2012-06-25","99.32"
"2012-06-22","99.90"
"2012-06-21","99.45"
"2012-06-20","100.73"
"2012-06-19","101.30"
"2012-06-18","101.67"
"2012-06-15","101.53"
"2012-06-14","101.32"
"2012-06-13","100.21"
"2012-06-12","100.05"
"2012-06-11","99.99"
"2012-06-08","100.17"
"2012-06-07","98.75"
"2012-06-06","98.33"
"2012-06-05","97.25"
"2012-06-04","97.17"
"2012-06-01","96.48"
"2012-05-31","98.30"
"2012-05-30","98.83"
"2012-05-29","99.36"
"2012-05-25","98.80"
"2012-05-24","99.13"
"2012-05-23","98.39"
"2012-05-22","99.19"
"2012-05-21","98.96"
"2012-05-18","98.79"
"2012-05-17","99.81"
"2012-05-16","101.32"
"2012-05-15","101.04"
"2012-05-14","99.01"
"2012-05-11","99.31"
"2012-05-10","99.65"
"2012-05-09","99.08"
"2012-05-08","99.18"
"2012-05-07","99.60"
"2012-05-04","99.13"
"2012-05-03","99.99"
"2012-05-02","100.35"
"2012-05-01","99.10"
"2012-04-30","98.94"
"2012-04-27","98.38"
"2012-04-26","99.47"
"2012-04-25","99.58"
"2012-04-24","98.43"
"2012-04-23","97.72"
"2012-04-20","98.88"
"2012-04-19","98.18"
"2012-04-18","98.50"
"2012-04-17","98.59"
"2012-04-16","97.67"
"2012-04-13","97.21"
"2012-04-12","97.44"
"2012-04-11","96.54"
"2012-04-10","96.17"
"2012-04-09","97.04"
"2012-04-05","98.16"
"2012-04-04","97.85"
"2012-04-03","98.23"
"2012-04-02","98.44"
"2012-03-30","97.78"
"2012-03-29","96.69"
"2012-03-28","96.05"
"2012-03-27","96.71"
"2012-03-26","96.81"
"2012-03-23","95.94"
"2012-03-22","96.28"
"2012-03-21","96.17"
"2012-03-20","95.65"
"2012-03-19","95.37"
"2012-03-16","94.79"
"2012-03-15","95.42"
"2012-03-14","95.15"
"2012-03-13","95.23"
"2012-03-12","94.48"
"2012-03-09","93.98"
"2012-03-08","93.94"
"2012-03-07","92.83"
"2012-03-06","93.34"
"2012-03-05","93.35"
"2012-03-02","93.20"
"2012-03-01","92.85"
"2012-02-29","93.18"
"2012-02-28","92.97"
"2012-02-27","92.39"
"2012-02-24","93.30"
"2012-02-23","93.33"
"2012-02-22","93.14"
"2012-02-21","93.37"
"2012-02-17","93.25"
"2012-02-16","93.32"
"2012-02-15","92.16"
"2012-02-14","91.90"
"2012-02-13","91.64"
"2012-02-10","91.17"
"2012-02-09","91.76"
"2012-02-08","91.47"
"2012-02-07","91.54"
"2012-02-06","91.24"
"2012-02-03","91.54"
"2012-02-02","90.89"
"2012-02-01","91.13"
"2012-01-31","90.72"
"2012-01-30","89.51"
"2012-01-27","90.40"
"2012-01-26","91.35"
"2012-01-25","89.44"
"2012-01-24","88.25"
"2012-01-23","88.37"
"2012-01-20","89.00"
"2012-01-19","89.97"
"2012-01-18","90.31"
"2012-01-17","89.73"
"2012-01-13","88.52"
"2012-01-12","88.55"
"2012-01-11","88.51"
"2012-01-10","89.45"
"2012-01-09","89.78"
"2012-01-06","89.80"
"2012-01-05","90.14"
"2012-01-04","90.60"
"2012-01-03","91.08"
"2011-12-30","92.39"
"2011-12-29","93.22"
"2011-12-28","92.73"
"2011-12-27","93.34"
"2011-12-23","93.09"
"2011-12-22","92.41"
"2011-12-21","92.97"
"2011-12-20","91.55"
"2011-12-19","89.91"
"2011-12-16","89.89"
"2011-12-15","90.58"
"2011-12-14","89.30"
"2011-12-13","89.69"
"2011-12-12","90.21"
"2011-12-09","90.46"
"2011-12-08","90.55"
"2011-12-07","91.20"
"2011-12-06","90.54"
"2011-12-05","90.42"
"2011-12-02","90.19"
"2011-12-01","90.11"
"2011-11-30","91.50"
"2011-11-29","89.70"
"2011-11-28","88.28"
"2011-11-25","86.73"
"2011-11-23","86.48"
"2011-11-22","88.20"
"2011-11-21","87.44"
"2011-11-18","88.61"
"2011-11-17","88.04"
"2011-11-16","88.64"
"2011-11-15","88.79"
"2011-11-14","88.65"
"2011-11-11","89.17"
"2011-11-10","88.14"
"2011-11-09","87.45"
"2011-11-08","89.44"
"2011-11-07","88.45"
"2011-11-04","88.06"
"2011-11-03","88.52"
"2011-11-02","87.94"
"2011-11-01","88.09"
"2011-10-31","90.37"
"2011-10-28","91.22"
"2011-10-27","91.33"
"2011-10-26","90.54"
"2011-10-25","89.98"
"2011-10-24","91.24"
"2011-10-21","93.92"
"2011-10-20","91.62"
"2011-10-19","92.18"
"2011-10-18","92.34"
"2011-10-17","90.94"
"2011-10-14","92.34"
"2011-10-13","91.11"
"2011-10-12","91.22"
"2011-10-11","90.35"
"2011-10-10","91.74"
"2011-10-07","90.41"
"2011-10-06","90.19"
"2011-10-05","89.50"
"2011-10-04","88.42"
"2011-10-03","88.30"
"2011-09-30","88.68"
"2011-09-29","89.54"
"2011-09-28","88.73"
"2011-09-27","91.07"
"2011-09-26","90.89"
"2011-09-23","88.92"
"2011-09-22","87.41"
"2011-09-21","89.99"
"2011-09-20","93.96"
"2011-09-19","93.32"
"2011-09-16","93.64"
"2011-09-15","92.29"
"2011-09-14","91.39"
"2011-09-13","89.46"
"2011-09-12","87.72"
"2011-09-09","88.96"
"2011-09-08","90.46"
"2011-09-07","91.81"
"2011-09-06","88.99"
"2011-09-02","88.52"
"2011-09-01","89.90"
"2011-08-31","89.97"
"2011-08-30","90.64"
"2011-08-29","89.77"
"2011-08-26","87.84"
"2011-08-25","86.85"
"2011-08-24","87.30"
"2011-08-23","87.01"
"2011-08-22","85.20"
"2011-08-19","84.99"
"2011-08-18","85.04"
"2011-08-17","86.31"
"2011-08-16","86.22"
"2011-08-15","86.26"
"2011-08-12","85.34"
"2011-08-11","84.17"
"2011-08-10","80.18"
"2011-08-09","83.30"
"2011-08-08","82.80"
"2011-08-05","84.15"
"2011-08-04","82.58"
"2011-08-03","84.32"
"2011-08-02","84.78"
"2011-08-01","84.02"
"2011-07-29","84.38"
"2011-07-28","84.88"
"2011-07-27","85.49"
"2011-07-26","86.89"
"2011-07-25","86.78"
"2011-07-22","87.62"
"2011-07-21","89.00"
"2011-07-20","88.56"
"2011-07-19","88.52"
"2011-07-18","87.99"
"2011-07-15","89.01"
"2011-07-14","87.08"
"2011-07-13","87.90"
"2011-07-12","87.95"
"2011-07-11","88.30"
"2011-07-08","88.42"
"2011-07-07","88.78"
"2011-07-06","88.42"
"2011-07-05","87.98"
"2011-07-01","88.47"
"2011-06-30","87.41"
"2011-06-29","86.74"
"2011-06-28","85.82"
"2011-06-27","85.41"
"2011-06-24","85.46"
"2011-06-23","86.21"
"2011-06-22","87.53"
"2011-06-21","88.92"
"2011-06-20","89.11"
"2011-06-17","87.88"
"2011-06-16","86.57"
"2011-06-15","85.76"
"2011-06-14","86.60"
"2011-06-13","85.34"
"2011-06-10","84.70"
"2011-06-09","85.10"
"2011-06-08","84.21"
"2011-06-07","83.89"
"2011-06-06","84.43"
"2011-06-03","84.11"
"2011-06-02","85.48"
"2011-06-01","86.91"
"2011-05-31","87.53"
"2011-05-27","85.72"
"2011-05-26","85.32"
"2011-05-25","85.08"
"2011-05-24","85.60"
"2011-05-23","86.07"
"2011-05-20","86.55"
"2011-05-19","86.90"
"2011-05-18","86.21"
"2011-05-17","86.27"
"2011-05-16","85.95"
"2011-05-13","86.55"
"2011-05-12","87.21"
"2011-05-11","85.07"
"2011-05-10","85.46"
"2011-05-09","84.98"
"2011-05-06","84.88"
"2011-05-05","84.90"
"2011-05-04","85.65"
"2011-05-03","84.70"
"2011-05-02","84.55"
"2011-04-29","84.35"
"2011-04-28","82.97"
"2011-04-27","81.06"
"2011-04-26","80.55"
"2011-04-25","79.90"
"2011-04-21","80.65"
"2011-04-20","81.27"
"2011-04-19","81.42"
"2011-04-18","81.35"
"2011-04-15","81.81"
"2011-04-14","81.84"
"2011-04-13","81.61"
"2011-04-12","82.54"
"2011-04-11","81.61"
"2011-04-08","81.28"
"2011-04-07","81.56"
"2011-04-06","81.53"
"2011-04-05","80.84"
"2011-04-04","81.02"
"2011-04-01","80.52"
"2011-03-31","80.76"
"2011-03-30","81.21"
"2011-03-29","80.42"
"2011-03-28","80.49"
"2011-03-25","80.15"
"2011-03-24","80.30"
"2011-03-23","78.29"
"2011-03-22","78.43"
"2011-03-21","78.41"
"2011-03-18","76.95"
"2011-03-17","76.70"
"2011-03-16","76.66"
"2011-03-15","77.27"
"2011-03-14","78.27"
"2011-03-11","79.18"
"2011-03-10","78.98"
"2011-03-09","79.00"
"2011-03-08","78.19"
