"Date","Close"
"2013-12-31","92.76"
"2013-12-30","93.70"
"2013-12-27","93.28"
"2013-12-26","92.69"
"2013-12-24","92.66"
"2013-12-23","92.49"
"2013-12-20","92.96"
"2013-12-19","92.54"
"2013-12-18","93.40"
"2013-12-17","92.24"
"2013-12-16","93.34"
"2013-12-13","93.25"
"2013-12-12","93.31"
"2013-12-11","94.60"
"2013-12-10","94.51"
"2013-12-09","95.78"
"2013-12-06","95.83"
"2013-12-05","92.95"
"2013-12-04","93.83"
"2013-12-03","93.29"
"2013-12-02","92.53"
"2013-11-29","93.17"
"2013-11-27","93.16"
"2013-11-26","93.01"
"2013-11-25","92.64"
"2013-11-22","93.70"
"2013-11-21","93.91"
"2013-11-20","92.51"
"2013-11-19","92.08"
"2013-11-18","92.62"
"2013-11-15","93.60"
"2013-11-14","92.94"
"2013-11-13","92.42"
"2013-11-12","91.04"
"2013-11-11","90.24"
"2013-11-08","89.88"
"2013-11-07","90.50"
"2013-11-06","91.50"
"2013-11-05","90.16"
"2013-11-04","89.71"
"2013-11-01","89.61"
"2013-10-31","90.19"
"2013-10-30","90.14"
"2013-10-29","90.51"
"2013-10-28","89.26"
"2013-10-25","88.64"
"2013-10-24","88.39"
"2013-10-23","87.45"
"2013-10-22","87.39"
"2013-10-21","85.50"
"2013-10-18","85.75"
"2013-10-17","85.25"
"2013-10-16","85.68"
"2013-10-15","83.80"
"2013-10-14","84.48"
"2013-10-11","84.31"
"2013-10-10","83.51"
"2013-10-09","81.97"
"2013-10-08","81.49"
"2013-10-07","81.62"
"2013-10-04","81.57"
"2013-10-03","82.69"
"2013-10-02","82.68"
"2013-10-01","82.14"
"2013-09-30","81.72"
"2013-09-27","82.21"
"2013-09-26","82.78"
"2013-09-25","82.17"
"2013-09-24","83.60"
"2013-09-23","82.83"
"2013-09-20","82.60"
"2013-09-19","84.08"
"2013-09-18","84.42"
"2013-09-17","84.45"
"2013-09-16","84.48"
"2013-09-13","83.91"
"2013-09-12","84.02"
"2013-09-11","83.82"
"2013-09-10","83.58"
"2013-09-09","83.32"
"2013-09-06","82.33"
"2013-09-05","82.34"
"2013-09-04","82.97"
"2013-09-03","82.72"
"2013-08-30","82.70"
"2013-08-29","82.41"
"2013-08-28","81.97"
"2013-08-27","82.69"
"2013-08-26","83.08"
"2013-08-23","84.29"
"2013-08-22","83.89"
"2013-08-21","83.68"
"2013-08-20","84.39"
"2013-08-19","83.97"
"2013-08-16","84.09"
"2013-08-15","84.50"
"2013-08-14","85.42"
"2013-08-13","86.39"
"2013-08-12","86.16"
"2013-08-09","85.98"
"2013-08-08","86.35"
"2013-08-07","86.12"
"2013-08-06","85.59"
"2013-08-05","85.17"
"2013-08-02","85.32"
"2013-08-01","84.83"
"2013-07-31","85.94"
"2013-07-30","86.03"
"2013-07-29","85.92"
"2013-07-26","85.97"
"2013-07-25","85.33"
"2013-07-24","85.12"
"2013-07-23","85.60"
"2013-07-22","86.40"
"2013-07-19","87.45"
"2013-07-18","87.02"
"2013-07-17","86.25"
"2013-07-16","86.84"
"2013-07-15","86.30"
"2013-07-12","85.84"
"2013-07-11","85.34"
"2013-07-10","84.70"
"2013-07-09","85.13"
"2013-07-08","84.31"
"2013-07-05","83.82"
"2013-07-03","83.23"
"2013-07-02","83.25"
"2013-07-01","83.80"
"2013-06-28","83.14"
"2013-06-27","83.91"
"2013-06-26","83.26"
"2013-06-25","82.28"
"2013-06-24","81.91"
"2013-06-21","82.58"
"2013-06-20","81.69"
"2013-06-19","84.11"
"2013-06-18","85.85"
"2013-06-17","86.14"
"2013-06-14","85.39"
"2013-06-13","85.35"
"2013-06-12","84.38"
"2013-06-11","84.47"
"2013-06-10","84.57"
"2013-06-07","84.47"
"2013-06-06","83.89"
"2013-06-05","83.10"
"2013-06-04","84.22"
"2013-06-03","83.18"
"2013-05-31","83.08"
"2013-05-30","84.79"
"2013-05-29","84.84"
"2013-05-28","87.10"
"2013-05-24","86.61"
"2013-05-23","85.98"
"2013-05-22","86.10"
"2013-05-21","86.20"
"2013-05-20","86.58"
"2013-05-17","87.37"
"2013-05-16","87.57"
"2013-05-15","88.05"
"2013-05-14","88.11"
"2013-05-13","86.22"
"2013-05-10","86.15"
"2013-05-09","85.73"
"2013-05-08","85.96"
"2013-05-07","85.96"
"2013-05-06","85.33"
"2013-05-03","86.19"
"2013-05-02","85.84"
"2013-05-01","85.00"
"2013-04-30","86.25"
"2013-04-29","86.26"
"2013-04-26","86.67"
"2013-04-25","87.06"
"2013-04-24","87.42"
"2013-04-23","89.48"
"2013-04-22","89.25"
"2013-04-19","89.53"
"2013-04-18","88.84"
"2013-04-17","88.51"
"2013-04-16","89.53"
"2013-04-15","87.61"
"2013-04-12","88.76"
"2013-04-11","88.69"
"2013-04-10","87.73"
"2013-04-09","86.90"
"2013-04-08","87.36"
"2013-04-05","86.61"
"2013-04-04","87.08"
"2013-04-03","87.00"
"2013-04-02","89.17"
"2013-04-01","88.13"
"2013-03-28","88.53"
"2013-03-27","87.32"
"2013-03-26","87.54"
"2013-03-25","86.38"
"2013-03-22","86.46"
"2013-03-21","85.36"
"2013-03-20","85.46"
"2013-03-19","84.48"
"2013-03-18","83.92"
"2013-03-15","83.72"
"2013-03-14","83.95"
"2013-03-13","83.94"
"2013-03-12","84.35"
"2013-03-11","84.50"
"2013-03-08","84.21"
"2013-03-07","84.16"
"2013-03-06","84.78"
"2013-03-05","84.77"
"2013-03-04","84.17"
"2013-03-01","83.98"
"2013-02-28","84.01"
"2013-02-27","84.37"
"2013-02-26","83.62"
"2013-02-25","82.32"
"2013-02-22","83.13"
"2013-02-21","82.37"
"2013-02-20","82.44"
"2013-02-19","82.54"
"2013-02-15","81.75"
"2013-02-14","81.39"
"2013-02-13","81.04"
"2013-02-12","80.59"
"2013-02-11","80.50"
"2013-02-08","80.73"
"2013-02-07","80.84"
"2013-02-06","80.91"
"2013-02-05","79.99"
"2013-02-04","79.72"
"2013-02-01","79.16"
"2013-01-31","78.41"
"2013-01-30","78.68"
"2013-01-29","78.82"
"2013-01-28","77.84"
"2013-01-25","77.54"
"2013-01-24","77.17"
"2013-01-23","77.11"
"2013-01-22","77.10"
"2013-01-18","76.84"
"2013-01-17","76.90"
