"Date","Close"
"2013-12-31","78.46"
"2013-12-30","78.44"
"2013-12-27","78.91"
"2013-12-26","79.88"
"2013-12-24","80.03"
"2013-12-23","83.12"
"2013-12-20","83.79"
"2013-12-19","83.68"
"2013-12-18","84.64"
"2013-12-17","82.89"
"2013-12-16","82.36"
"2013-12-13","81.51"
"2013-12-12","80.11"
"2013-12-11","78.93"
"2013-12-10","79.74"
"2013-12-09","81.03"
"2013-12-06","79.97"
"2013-12-05","79.11"
"2013-12-04","80.06"
"2013-12-03","80.97"
"2013-12-02","81.39"
"2013-11-29","81.95"
"2013-11-27","82.31"
"2013-11-26","81.95"
"2013-11-25","82.29"
"2013-11-22","83.85"
"2013-11-21","83.58"
"2013-11-20","81.42"
"2013-11-19","81.14"
"2013-11-18","79.77"
"2013-11-15","79.56"
"2013-11-14","78.84"
"2013-11-13","78.63"
"2013-11-12","78.57"
"2013-11-11","77.94"
"2013-11-08","77.81"
"2013-11-07","74.66"
"2013-11-06","74.73"
"2013-11-05","73.66"
"2013-11-04","73.82"
"2013-11-01","74.70"
"2013-10-31","74.21"
"2013-10-30","74.95"
"2013-10-29","75.01"
"2013-10-28","75.17"
"2013-10-25","76.50"
"2013-10-24","76.97"
"2013-10-23","77.22"
"2013-10-22","77.73"
"2013-10-21","76.64"
"2013-10-18","76.83"
"2013-10-17","76.76"
"2013-10-16","76.49"
"2013-10-15","75.17"
"2013-10-14","75.35"
"2013-10-11","74.75"
"2013-10-10","74.50"
"2013-10-09","72.04"
"2013-10-08","72.44"
"2013-10-07","74.39"
"2013-10-04","75.00"
"2013-10-03","73.93"
"2013-10-02","73.97"
"2013-10-01","74.80"
"2013-09-30","73.88"
"2013-09-27","74.83"
"2013-09-26","75.31"
"2013-09-25","74.56"
"2013-09-24","73.03"
"2013-09-23","73.61"
"2013-09-20","74.55"
"2013-09-19","73.86"
"2013-09-18","70.88"
"2013-09-17","71.95"
"2013-09-16","71.73"
"2013-09-13","72.35"
"2013-09-12","72.72"
"2013-09-11","72.69"
"2013-09-10","73.23"
"2013-09-09","72.53"
"2013-09-06","72.43"
"2013-09-05","73.37"
"2013-09-04","73.65"
"2013-09-03","72.33"
"2013-08-30","71.11"
"2013-08-29","70.47"
"2013-08-28","70.77"
"2013-08-27","70.50"
"2013-08-26","71.94"
"2013-08-23","72.58"
"2013-08-22","72.66"
"2013-08-21","72.29"
"2013-08-20","72.39"
"2013-08-19","72.30"
"2013-08-16","73.35"
"2013-08-15","74.83"
"2013-08-14","73.95"
"2013-08-13","74.44"
"2013-08-12","71.55"
"2013-08-09","72.16"
"2013-08-08","72.22"
"2013-08-07","71.88"
"2013-08-06","72.39"
"2013-08-05","72.06"
"2013-08-02","72.30"
"2013-08-01","72.17"
"2013-07-31","74.06"
"2013-07-30","74.14"
"2013-07-29","74.35"
"2013-07-26","73.80"
"2013-07-25","73.84"
"2013-07-24","73.63"
"2013-07-23","73.68"
"2013-07-22","73.72"
"2013-07-19","74.75"
"2013-07-18","76.40"
"2013-07-17","76.03"
"2013-07-16","76.29"
"2013-07-15","77.12"
"2013-07-12","77.34"
"2013-07-11","76.75"
"2013-07-10","76.45"
"2013-07-09","76.70"
"2013-07-08","77.29"
"2013-07-05","77.61"
"2013-07-03","75.71"
"2013-07-02","75.20"
"2013-07-01","76.51"
"2013-06-28","75.95"
"2013-06-27","76.52"
"2013-06-26","76.31"
"2013-06-25","76.38"
"2013-06-24","76.06"
"2013-06-21","76.79"
"2013-06-20","77.09"
"2013-06-19","75.96"
"2013-06-18","77.28"
"2013-06-17","76.39"
"2013-06-14","74.29"
"2013-06-13","74.14"
"2013-06-12","72.28"
"2013-06-11","72.39"
"2013-06-10","73.01"
"2013-06-07","72.00"
"2013-06-06","68.92"
"2013-06-05","69.27"
"2013-06-04","69.17"
"2013-06-03","68.77"
"2013-05-31","67.93"
"2013-05-30","69.78"
"2013-05-29","67.62"
"2013-05-28","65.49"
"2013-05-24","64.54"
"2013-05-23","64.13"
"2013-05-22","63.07"
"2013-05-21","64.32"
"2013-05-20","65.26"
"2013-05-17","65.17"
"2013-05-16","64.23"
"2013-05-15","64.04"
"2013-05-14","63.71"
"2013-05-13","62.87"
"2013-05-10","62.52"
"2013-05-09","60.76"
"2013-05-08","60.70"
"2013-05-07","60.48"
"2013-05-06","60.96"
"2013-05-03","60.64"
"2013-05-02","60.40"
"2013-05-01","60.13"
"2013-04-30","60.86"
"2013-04-29","60.84"
"2013-04-26","60.77"
"2013-04-25","61.03"
"2013-04-24","60.17"
"2013-04-23","59.86"
"2013-04-22","60.28"
"2013-04-19","59.01"
"2013-04-18","58.53"
"2013-04-17","58.73"
"2013-04-16","59.45"
"2013-04-15","58.84"
"2013-04-12","60.48"
"2013-04-11","60.79"
"2013-04-10","60.22"
"2013-04-09","59.96"
"2013-04-08","60.25"
"2013-04-05","59.44"
"2013-04-04","60.01"
"2013-04-03","60.04"
"2013-04-02","60.60"
"2013-04-01","60.93"
"2013-03-28","61.41"
"2013-03-27","61.36"
"2013-03-26","61.56"
"2013-03-25","61.29"
"2013-03-22","61.62"
"2013-03-21","60.93"
"2013-03-20","62.03"
"2013-03-19","61.14"
"2013-03-18","62.58"
"2013-03-15","63.14"
"2013-03-14","63.08"
"2013-03-13","62.52"
"2013-03-12","62.50"
"2013-03-11","62.59"
"2013-03-08","62.34"
"2013-03-07","61.73"
"2013-03-06","62.01"
"2013-03-05","61.63"
"2013-03-04","60.88"
"2013-03-01","59.92"
"2013-02-28","59.67"
"2013-02-27","60.02"
"2013-02-26","58.98"
"2013-02-25","57.78"
"2013-02-22","58.31"
"2013-02-21","57.62"
"2013-02-20","58.02"
"2013-02-19","58.95"
"2013-02-15","58.52"
"2013-02-14","58.44"
"2013-02-13","57.26"
"2013-02-12","57.20"
"2013-02-11","56.93"
"2013-02-08","57.27"
"2013-02-07","56.90"
"2013-02-06","56.73"
"2013-02-05","59.18"
"2013-02-04","58.28"
"2013-02-01","59.04"
"2013-01-31","57.84"
"2013-01-30","58.12"
"2013-01-29","57.92"
"2013-01-28","57.66"
"2013-01-25","57.70"
"2013-01-24","57.28"
"2013-01-23","56.85"
"2013-01-22","56.61"
"2013-01-18","55.50"
"2013-01-17","55.48"
"2013-01-16","54.79"
"2013-01-15","54.74"
"2013-01-14","54.33"
"2013-01-11","54.02"
"2013-01-10","53.32"
"2013-01-09","52.86"
"2013-01-08","52.90"
"2013-01-07","53.49"
"2013-01-04","53.77"
"2013-01-03","51.56"
"2013-01-02","51.34"
"2012-12-31","50.67"
"2012-12-28","50.12"
"2012-12-27","50.35"
"2012-12-26","50.75"
"2012-12-24","50.83"
"2012-12-21","50.74"
"2012-12-20","51.40"
"2012-12-19","52.63"
"2012-12-18","52.41"
"2012-12-17","51.61"
"2012-12-14","51.23"
"2012-12-13","51.21"
"2012-12-12","52.80"
"2012-12-11","52.93"
"2012-12-10","54.06"
"2012-12-07","54.96"
"2012-12-06","55.03"
"2012-12-05","54.72"
"2012-12-04","54.65"
"2012-12-03","55.57"
"2012-11-30","55.27"
"2012-11-29","55.15"
"2012-11-28","54.90"
"2012-11-27","54.29"
"2012-11-26","55.27"
"2012-11-23","54.64"
"2012-11-21","54.43"
"2012-11-20","54.60"
"2012-11-19","54.45"
"2012-11-16","54.24"
"2012-11-15","54.08"
"2012-11-14","53.56"
"2012-11-13","53.96"
"2012-11-12","54.34"
"2012-11-09","54.31"
"2012-11-08","54.73"
"2012-11-07","55.57"
"2012-11-06","56.37"
"2012-11-05","56.14"
"2012-11-02","55.71"
"2012-11-01","56.47"
"2012-10-31","55.93"
"2012-10-26","55.42"
"2012-10-25","55.00"
"2012-10-24","56.55"
"2012-10-23","56.48"
"2012-10-22","56.64"
"2012-10-19","56.50"
"2012-10-18","57.66"
"2012-10-17","57.89"
"2012-10-16","57.49"
"2012-10-15","56.86"
"2012-10-12","56.37"
"2012-10-11","56.58"
"2012-10-10","56.92"
"2012-10-09","56.97"
"2012-10-08","57.51"
"2012-10-05","57.52"
"2012-10-04","57.53"
"2012-10-03","57.07"
"2012-10-02","57.11"
"2012-10-01","57.10"
"2012-09-28","57.29"
"2012-09-27","57.40"
"2012-09-26","57.28"
"2012-09-25","57.12"
"2012-09-24","57.88"
"2012-09-21","57.99"
"2012-09-20","58.04"
"2012-09-19","57.72"
"2012-09-18","58.40"
"2012-09-17","58.72"
"2012-09-14","58.89"
"2012-09-13","59.35"
"2012-09-12","58.93"
"2012-09-11","58.58"
"2012-09-10","58.61"
"2012-09-07","58.40"
"2012-09-06","56.39"
"2012-09-05","55.31"
"2012-09-04","55.31"
"2012-08-31","54.90"
"2012-08-30","54.51"
"2012-08-29","54.42"
"2012-08-28","54.02"
"2012-08-27","53.70"
"2012-08-24","53.67"
"2012-08-23","53.33"
"2012-08-22","53.55"
"2012-08-21","53.59"
"2012-08-20","53.99"
"2012-08-17","54.11"
"2012-08-16","53.48"
"2012-08-15","52.65"
"2012-08-14","52.58"
"2012-08-13","53.50"
"2012-08-10","53.59"
"2012-08-09","53.51"
"2012-08-08","52.95"
