"Date","Close"
"2013-12-31","26.77"
"2013-12-30","26.72"
"2013-12-27","26.69"
"2013-12-26","26.66"
"2013-12-24","26.79"
"2013-12-23","26.81"
"2013-12-20","26.92"
"2013-12-19","26.67"
"2013-12-18","26.79"
"2013-12-17","26.45"
"2013-12-16","26.39"
"2013-12-13","26.21"
"2013-12-12","26.14"
"2013-12-11","25.97"
"2013-12-10","26.13"
"2013-12-09","26.49"
"2013-12-06","26.49"
"2013-12-05","26.27"
"2013-12-04","26.57"
"2013-12-03","26.51"
"2013-12-02","26.46"
"2013-11-29","26.54"
"2013-11-27","26.56"
"2013-11-26","26.61"
"2013-11-25","27.00"
"2013-11-22","27.31"
"2013-11-21","27.31"
"2013-11-20","27.27"
"2013-11-19","27.57"
"2013-11-18","27.66"
"2013-11-15","27.61"
"2013-11-14","27.30"
"2013-11-13","26.94"
"2013-11-12","26.91"
"2013-11-11","27.36"
"2013-11-08","27.28"
"2013-11-07","27.37"
"2013-11-06","27.56"
"2013-11-05","27.45"
"2013-11-04","27.63"
"2013-11-01","27.62"
"2013-10-31","27.46"
"2013-10-30","27.44"
"2013-10-29","27.96"
"2013-10-28","28.05"
"2013-10-25","28.03"
"2013-10-24","27.84"
"2013-10-23","27.71"
"2013-10-22","27.62"
"2013-10-21","27.40"
"2013-10-18","27.32"
"2013-10-17","27.27"
"2013-10-16","26.88"
"2013-10-15","26.76"
"2013-10-14","26.94"
"2013-10-11","27.06"
"2013-10-10","26.53"
"2013-10-09","26.12"
"2013-10-08","25.96"
"2013-10-07","25.90"
"2013-10-04","26.03"
"2013-10-03","25.99"
"2013-10-02","26.45"
"2013-10-01","26.38"
"2013-09-30","26.32"
"2013-09-27","26.21"
"2013-09-26","26.35"
"2013-09-25","26.37"
"2013-09-24","26.80"
"2013-09-23","26.95"
"2013-09-20","26.59"
"2013-09-19","26.82"
"2013-09-18","26.92"
"2013-09-17","26.11"
"2013-09-16","26.12"
"2013-09-13","26.19"
"2013-09-12","25.91"
"2013-09-11","25.99"
"2013-09-10","26.11"
"2013-09-09","25.94"
"2013-09-06","25.98"
"2013-09-05","25.86"
"2013-09-04","26.00"
"2013-09-03","26.16"
"2013-08-30","26.53"
"2013-08-29","26.54"
"2013-08-28","26.68"
"2013-08-27","26.60"
"2013-08-26","26.67"
"2013-08-23","26.94"
"2013-08-22","26.75"
"2013-08-21","26.64"
"2013-08-20","27.00"
"2013-08-19","26.75"
"2013-08-16","26.87"
"2013-08-15","26.92"
"2013-08-14","27.36"
"2013-08-13","27.60"
"2013-08-12","27.90"
"2013-08-09","27.96"
"2013-08-08","28.22"
"2013-08-07","28.02"
"2013-08-06","27.89"
"2013-08-05","28.14"
"2013-08-02","28.52"
"2013-08-01","28.46"
"2013-07-31","27.99"
"2013-07-30","28.47"
"2013-07-29","28.28"
"2013-07-26","28.20"
"2013-07-25","28.21"
"2013-07-24","27.98"
"2013-07-23","28.39"
"2013-07-22","28.36"
"2013-07-19","28.48"
"2013-07-18","28.46"
"2013-07-17","28.11"
"2013-07-16","28.12"
"2013-07-15","28.23"
"2013-07-12","27.92"
"2013-07-11","27.78"
"2013-07-10","27.54"
"2013-07-09","27.45"
"2013-07-08","27.16"
"2013-07-05","26.70"
"2013-07-03","26.61"
"2013-07-02","26.69"
"2013-07-01","26.63"
"2013-06-28","27.17"
"2013-06-27","27.52"
"2013-06-26","27.43"
"2013-06-25","27.00"
"2013-06-24","26.60"
"2013-06-21","26.40"
"2013-06-20","25.95"
"2013-06-19","26.85"
"2013-06-18","27.57"
"2013-06-17","27.40"
"2013-06-14","27.40"
"2013-06-13","27.20"
"2013-06-12","26.52"
"2013-06-11","26.96"
"2013-06-10","27.15"
"2013-06-07","27.04"
"2013-06-06","26.93"
"2013-06-05","26.34"
"2013-06-04","26.63"
"2013-06-03","26.98"
"2013-05-31","26.95"
"2013-05-30","27.19"
"2013-05-29","27.09"
"2013-05-28","27.52"
"2013-05-24","27.53"
"2013-05-23","27.95"
"2013-05-22","28.33"
"2013-05-21","28.81"
"2013-05-20","28.96"
"2013-05-17","29.10"
"2013-05-16","28.66"
"2013-05-15","28.95"
"2013-05-14","28.61"
"2013-05-13","28.36"
"2013-05-10","28.42"
"2013-05-09","28.37"
"2013-05-08","28.98"
"2013-05-07","29.28"
"2013-05-06","28.97"
"2013-05-03","29.39"
"2013-05-02","29.33"
"2013-05-01","29.45"
"2013-04-30","29.94"
"2013-04-29","29.75"
"2013-04-26","29.43"
"2013-04-25","29.24"
"2013-04-24","29.18"
"2013-04-23","29.00"
"2013-04-22","29.06"
"2013-04-19","29.09"
"2013-04-18","28.66"
"2013-04-17","28.53"
"2013-04-16","28.69"
"2013-04-15","28.29"
"2013-04-12","28.73"
"2013-04-11","28.45"
"2013-04-10","28.47"
"2013-04-09","28.25"
"2013-04-08","28.41"
"2013-04-05","28.21"
"2013-04-04","28.14"
"2013-04-03","27.79"
"2013-04-02","27.85"
"2013-04-01","27.80"
"2013-03-28","27.94"
"2013-03-27","27.45"
"2013-03-26","27.35"
"2013-03-25","27.21"
"2013-03-22","27.33"
"2013-03-21","27.13"
"2013-03-20","27.27"
"2013-03-19","27.09"
"2013-03-18","27.20"
"2013-03-15","27.44"
"2013-03-14","27.35"
"2013-03-13","27.11"
"2013-03-12","26.97"
"2013-03-11","27.18"
"2013-03-08","27.08"
"2013-03-07","26.85"
"2013-03-06","26.89"
"2013-03-05","27.00"
"2013-03-04","26.88"
"2013-03-01","26.45"
"2013-02-28","26.61"
"2013-02-27","26.38"
"2013-02-26","26.18"
"2013-02-25","26.13"
"2013-02-22","26.40"
"2013-02-21","26.12"
"2013-02-20","26.05"
"2013-02-19","26.09"
"2013-02-15","25.77"
"2013-02-14","25.75"
"2013-02-13","25.86"
"2013-02-12","25.84"
"2013-02-11","25.67"
"2013-02-08","25.66"
"2013-02-07","25.65"
"2013-02-06","25.67"
"2013-02-05","25.87"
"2013-02-04","25.76"
"2013-02-01","25.83"
"2013-01-31","25.70"
"2013-01-30","25.66"
