"Date","Close"
"2013-12-31","23.18"
"2013-12-30","23.11"
"2013-12-27","23.12"
"2013-12-26","23.07"
"2013-12-24","23.15"
"2013-12-23","23.06"
"2013-12-20","23.25"
"2013-12-19","22.76"
"2013-12-18","22.99"
"2013-12-17","22.89"
"2013-12-16","22.79"
"2013-12-13","22.68"
"2013-12-12","22.85"
"2013-12-11","22.85"
"2013-12-10","23.24"
"2013-12-09","23.29"
"2013-12-06","23.36"
"2013-12-05","23.19"
"2013-12-04","23.09"
"2013-12-03","23.05"
"2013-12-02","23.13"
"2013-11-29","23.43"
"2013-11-27","23.45"
"2013-11-26","23.58"
"2013-11-25","24.87"
"2013-11-22","24.98"
"2013-11-21","24.54"
"2013-11-20","24.39"
"2013-11-19","24.68"
"2013-11-18","24.91"
"2013-11-15","25.07"
"2013-11-14","24.94"
"2013-11-13","24.98"
"2013-11-12","24.90"
"2013-11-11","25.00"
"2013-11-08","24.82"
"2013-11-07","24.73"
"2013-11-06","25.05"
"2013-11-05","24.26"
"2013-11-04","24.45"
"2013-11-01","24.41"
"2013-10-31","24.60"
"2013-10-30","24.48"
"2013-10-29","24.80"
"2013-10-28","24.84"
"2013-10-25","24.87"
"2013-10-24","24.62"
"2013-10-23","24.68"
"2013-10-22","24.71"
"2013-10-21","24.60"
"2013-10-18","24.60"
"2013-10-17","24.68"
"2013-10-16","24.35"
"2013-10-15","24.04"
"2013-10-14","24.41"
"2013-10-11","24.46"
"2013-10-10","24.34"
"2013-10-09","23.93"
"2013-10-08","23.85"
"2013-10-07","23.87"
"2013-10-04","24.13"
"2013-10-03","23.87"
"2013-10-02","24.41"
"2013-10-01","24.19"
"2013-09-30","23.97"
"2013-09-27","23.93"
"2013-09-26","24.09"
"2013-09-25","24.00"
"2013-09-24","24.03"
"2013-09-23","24.25"
"2013-09-20","23.92"
"2013-09-19","24.21"
"2013-09-18","24.31"
"2013-09-17","23.49"
"2013-09-16","22.87"
"2013-09-13","22.89"
"2013-09-12","22.87"
"2013-09-11","22.86"
"2013-09-10","23.11"
"2013-09-09","23.02"
"2013-09-06","22.81"
"2013-09-05","22.76"
"2013-09-04","22.93"
"2013-09-03","22.76"
"2013-08-30","22.93"
"2013-08-29","23.05"
"2013-08-28","23.20"
"2013-08-27","23.04"
"2013-08-26","22.99"
"2013-08-23","23.17"
"2013-08-22","23.01"
"2013-08-21","23.00"
"2013-08-20","23.31"
"2013-08-19","22.93"
"2013-08-16","23.18"
"2013-08-15","23.29"
"2013-08-14","23.55"
"2013-08-13","24.03"
"2013-08-12","24.11"
"2013-08-09","24.25"
"2013-08-08","24.40"
"2013-08-07","24.53"
"2013-08-06","24.62"
"2013-08-05","24.58"
"2013-08-02","25.11"
"2013-08-01","25.16"
"2013-07-31","24.82"
"2013-07-30","24.83"
"2013-07-29","24.67"
"2013-07-26","24.82"
"2013-07-25","24.71"
"2013-07-24","24.45"
"2013-07-23","24.78"
"2013-07-22","24.58"
"2013-07-19","24.64"
"2013-07-18","24.74"
"2013-07-17","24.46"
"2013-07-16","24.51"
"2013-07-15","24.64"
"2013-07-12","24.40"
"2013-07-11","24.31"
"2013-07-10","24.04"
"2013-07-09","23.86"
"2013-07-08","23.68"
"2013-07-05","23.34"
"2013-07-03","23.36"
"2013-07-02","23.45"
"2013-07-01","23.27"
"2013-06-28","23.49"
"2013-06-27","23.49"
"2013-06-26","23.30"
"2013-06-25","23.07"
"2013-06-24","22.62"
"2013-06-21","22.76"
"2013-06-20","22.49"
"2013-06-19","23.09"
"2013-06-18","23.67"
"2013-06-17","23.54"
"2013-06-14","23.71"
"2013-06-13","23.62"
"2013-06-12","23.07"
"2013-06-11","23.12"
"2013-06-10","23.33"
"2013-06-07","23.39"
"2013-06-06","23.15"
"2013-06-05","22.85"
"2013-06-04","23.11"
"2013-06-03","23.20"
