"Date","Close"
"2013-12-31","38.04"
"2013-12-30","37.76"
"2013-12-27","38.39"
"2013-12-26","37.85"
"2013-12-24","37.86"
"2013-12-23","37.51"
"2013-12-20","37.84"
"2013-12-19","38.40"
"2013-12-18","37.56"
"2013-12-17","37.43"
"2013-12-16","37.28"
"2013-12-13","37.18"
"2013-12-12","36.84"
"2013-12-11","36.97"
"2013-12-10","37.93"
"2013-12-09","37.10"
"2013-12-06","36.59"
"2013-12-05","37.28"
"2013-12-04","36.75"
"2013-12-03","36.48"
"2013-12-02","36.16"
"2013-11-29","35.58"
"2013-11-27","35.44"
"2013-11-26","35.08"
"2013-11-25","35.02"
"2013-11-22","35.31"
"2013-11-21","34.57"
"2013-11-20","34.57"
"2013-11-19","34.30"
"2013-11-18","34.56"
"2013-11-15","35.98"
"2013-11-14","35.68"
"2013-11-13","36.02"
"2013-11-12","35.49"
"2013-11-11","36.19"
"2013-11-08","36.41"
"2013-11-07","35.73"
"2013-11-06","35.97"
"2013-11-05","36.76"
"2013-11-04","37.76"
"2013-11-01","36.64"
"2013-10-31","36.50"
"2013-10-30","36.84"
"2013-10-29","37.74"
"2013-10-28","37.95"
"2013-10-25","38.14"
"2013-10-24","38.24"
"2013-10-23","37.71"
"2013-10-22","38.37"
"2013-10-21","37.99"
"2013-10-18","38.00"
"2013-10-17","37.77"
"2013-10-16","37.75"
"2013-10-15","38.35"
"2013-10-14","38.42"
"2013-10-11","38.17"
"2013-10-10","36.79"
"2013-10-09","35.07"
"2013-10-08","35.10"
"2013-10-07","35.33"
"2013-10-04","36.33"
"2013-10-03","35.42"
"2013-10-02","34.53"
"2013-10-01","33.99"
"2013-09-30","33.65"
"2013-09-27","33.50"
"2013-09-26","33.77"
"2013-09-25","33.57"
"2013-09-24","34.14"
"2013-09-23","34.76"
"2013-09-20","34.89"
"2013-09-19","35.34"
"2013-09-18","35.56"
"2013-09-17","34.46"
"2013-09-16","33.91"
"2013-09-13","33.80"
"2013-09-12","34.56"
"2013-09-11","35.17"
"2013-09-10","34.48"
"2013-09-09","34.71"
"2013-09-06","33.45"
"2013-09-05","33.31"
"2013-09-04","32.67"
"2013-09-03","32.05"
"2013-08-30","31.23"
"2013-08-29","31.22"
"2013-08-28","32.11"
"2013-08-27","31.90"
"2013-08-26","33.08"
"2013-08-23","33.23"
"2013-08-22","32.78"
"2013-08-21","31.48"
"2013-08-20","31.73"
"2013-08-19","30.25"
"2013-08-16","30.75"
"2013-08-15","31.34"
"2013-08-14","31.52"
"2013-08-13","31.35"
"2013-08-12","31.58"
"2013-08-09","32.06"
"2013-08-08","30.83"
"2013-08-07","30.37"
"2013-08-06","31.15"
"2013-08-05","31.28"
"2013-08-02","31.02"
"2013-08-01","31.19"
"2013-07-31","31.03"
"2013-07-30","31.03"
"2013-07-29","31.23"
"2013-07-26","31.35"
"2013-07-25","30.49"
"2013-07-24","28.30"
"2013-07-23","29.25"
"2013-07-22","28.78"
"2013-07-19","29.01"
"2013-07-18","29.53"
"2013-07-17","28.71"
"2013-07-16","28.60"
"2013-07-15","28.07"
"2013-07-12","27.67"
"2013-07-11","28.23"
"2013-07-10","27.34"
"2013-07-09","27.83"
"2013-07-08","27.56"
"2013-07-05","26.51"
"2013-07-03","26.56"
"2013-07-02","27.12"
"2013-07-01","27.51"
"2013-06-28","27.10"
"2013-06-27","27.35"
"2013-06-26","27.10"
"2013-06-25","27.93"
"2013-06-24","28.05"
"2013-06-21","29.79"
"2013-06-20","30.14"
"2013-06-19","31.14"
"2013-06-18","31.94"
"2013-06-17","31.96"
"2013-06-14","31.95"
"2013-06-13","32.44"
"2013-06-12","31.81"
"2013-06-11","32.35"
"2013-06-10","33.49"
"2013-06-07","33.63"
"2013-06-06","33.49"
"2013-06-05","33.70"
"2013-06-04","34.28"
"2013-06-03","34.74"
"2013-05-31","34.68"
"2013-05-30","35.44"
"2013-05-29","35.19"
"2013-05-28","35.58"
"2013-05-24","35.46"
"2013-05-23","35.68"
"2013-05-22","35.26"
"2013-05-21","35.44"
"2013-05-20","35.06"
"2013-05-17","33.97"
"2013-05-16","33.64"
"2013-05-15","33.96"
"2013-05-14","33.95"
"2013-05-13","34.05"
"2013-05-10","34.85"
"2013-05-09","35.11"
"2013-05-08","35.79"
"2013-05-07","34.87"
"2013-05-06","35.39"
"2013-05-03","35.58"
"2013-05-02","34.89"
"2013-05-01","33.49"
"2013-04-30","33.64"
"2013-04-29","33.26"
"2013-04-26","32.52"
"2013-04-25","32.99"
"2013-04-24","33.36"
"2013-04-23","32.16"
"2013-04-22","32.61"
"2013-04-19","32.28"
"2013-04-18","33.18"
"2013-04-17","31.33"
"2013-04-16","32.32"
"2013-04-15","32.23"
"2013-04-12","33.57"
"2013-04-11","33.87"
"2013-04-10","33.78"
"2013-04-09","33.57"
"2013-04-08","33.23"
"2013-04-05","32.99"
"2013-04-04","32.00"
"2013-04-03","32.42"
"2013-04-02","32.46"
"2013-04-01","32.53"
"2013-03-28","33.65"
"2013-03-27","34.44"
"2013-03-26","33.45"
"2013-03-25","33.66"
"2013-03-22","33.66"
"2013-03-21","33.77"
"2013-03-20","34.28"
"2013-03-19","34.09"
"2013-03-18","34.79"
"2013-03-15","33.91"
"2013-03-14","33.71"
"2013-03-13","32.44"
"2013-03-12","32.57"
