"Date","Close"
"2013-12-31","73.92"
"2013-12-30","73.78"
"2013-12-27","74.00"
"2013-12-26","74.04"
"2013-12-24","73.73"
"2013-12-23","73.07"
"2013-12-20","72.87"
"2013-12-19","71.90"
"2013-12-18","72.22"
"2013-12-17","71.05"
"2013-12-16","71.86"
"2013-12-13","71.31"
"2013-12-12","71.26"
"2013-12-11","71.58"
"2013-12-10","72.89"
"2013-12-09","73.40"
"2013-12-06","73.50"
"2013-12-05","72.41"
"2013-12-04","72.66"
"2013-12-03","72.47"
"2013-12-02","72.66"
"2013-11-29","72.73"
"2013-11-27","73.26"
"2013-11-26","72.90"
"2013-11-25","72.55"
"2013-11-22","73.00"
"2013-11-21","72.93"
"2013-11-20","72.05"
"2013-11-19","72.00"
"2013-11-18","72.17"
"2013-11-15","71.11"
"2013-11-14","70.74"
"2013-11-13","70.53"
"2013-11-12","70.35"
"2013-11-11","70.97"
"2013-11-08","70.90"
"2013-11-07","70.00"
"2013-11-06","71.27"
"2013-11-05","70.66"
"2013-11-04","70.57"
"2013-11-01","70.09"
"2013-10-31","69.83"
"2013-10-30","70.03"
"2013-10-29","70.19"
"2013-10-28","70.12"
"2013-10-25","70.69"
"2013-10-24","72.24"
"2013-10-23","72.03"
"2013-10-22","70.71"
"2013-10-21","69.84"
"2013-10-18","70.54"
"2013-10-17","70.17"
"2013-10-16","69.00"
"2013-10-15","68.06"
"2013-10-14","68.92"
"2013-10-11","68.54"
"2013-10-10","68.27"
"2013-10-09","66.53"
"2013-10-08","65.90"
"2013-10-07","66.87"
"2013-10-04","66.99"
"2013-10-03","66.84"
"2013-10-02","67.72"
"2013-10-01","69.25"
"2013-09-30","67.86"
"2013-09-27","68.59"
"2013-09-26","68.93"
"2013-09-25","68.99"
"2013-09-24","69.41"
"2013-09-23","68.68"
"2013-09-20","70.00"
"2013-09-19","74.28"
"2013-09-18","73.99"
"2013-09-17","74.50"
"2013-09-16","73.67"
"2013-09-13","73.03"
"2013-09-12","72.79"
"2013-09-11","72.58"
"2013-09-10","71.97"
"2013-09-09","71.40"
"2013-09-06","71.08"
"2013-09-05","71.12"
"2013-09-04","71.25"
"2013-09-03","70.68"
"2013-08-30","70.77"
"2013-08-29","71.43"
"2013-08-28","71.02"
"2013-08-27","70.66"
"2013-08-26","72.01"
"2013-08-23","72.03"
"2013-08-22","71.78"
"2013-08-21","71.18"
"2013-08-20","72.00"
"2013-08-19","72.13"
"2013-08-16","72.56"
"2013-08-15","72.96"
"2013-08-14","74.20"
"2013-08-13","74.29"
"2013-08-12","73.33"
"2013-08-09","74.42"
"2013-08-08","74.64"
"2013-08-07","74.69"
"2013-08-06","74.13"
"2013-08-05","74.17"
"2013-08-02","73.98"
"2013-08-01","73.21"
"2013-07-31","71.17"
"2013-07-30","70.63"
"2013-07-29","70.38"
"2013-07-26","70.78"
"2013-07-25","70.97"
"2013-07-24","71.11"
"2013-07-23","70.68"
"2013-07-22","70.78"
"2013-07-19","70.42"
"2013-07-18","68.52"
"2013-07-17","68.30"
"2013-07-16","67.85"
"2013-07-15","67.99"
"2013-07-12","67.74"
"2013-07-11","67.56"
"2013-07-10","66.68"
"2013-07-09","66.45"
"2013-07-08","65.13"
"2013-07-05","64.38"
"2013-07-03","63.57"
"2013-07-02","63.10"
"2013-07-01","63.58"
"2013-06-28","63.41"
"2013-06-27","62.93"
"2013-06-26","62.79"
"2013-06-25","61.74"
"2013-06-24","61.73"
"2013-06-21","62.84"
"2013-06-20","62.36"
"2013-06-19","63.77"
"2013-06-18","64.70"
"2013-06-17","64.44"
"2013-06-14","64.48"
"2013-06-13","64.87"
"2013-06-12","64.63"
"2013-06-11","64.88"
"2013-06-10","64.99"
"2013-06-07","65.51"
"2013-06-06","64.72"
"2013-06-05","63.91"
"2013-06-04","64.92"
"2013-06-03","65.12"
"2013-05-31","64.75"
"2013-05-30","65.93"
"2013-05-29","66.33"
"2013-05-28","66.79"
"2013-05-24","66.18"
"2013-05-23","66.05"
"2013-05-22","65.92"
"2013-05-21","66.76"
"2013-05-20","66.70"
"2013-05-17","66.46"
"2013-05-16","65.66"
"2013-05-15","66.49"
"2013-05-14","65.75"
"2013-05-13","65.28"
"2013-05-10","65.38"
"2013-05-09","65.31"
"2013-05-08","65.37"
"2013-05-07","65.35"
"2013-05-06","64.89"
"2013-05-03","64.41"
"2013-05-02","63.40"
"2013-05-01","62.44"
"2013-04-30","62.92"
"2013-04-29","62.25"
"2013-04-26","61.90"
"2013-04-25","61.92"
"2013-04-24","61.67"
"2013-04-23","61.35"
"2013-04-22","61.05"
"2013-04-19","61.10"
"2013-04-18","59.68"
"2013-04-17","59.59"
"2013-04-16","61.40"
"2013-04-15","61.13"
"2013-04-12","62.88"
"2013-04-11","63.69"
"2013-04-10","63.69"
"2013-04-09","62.72"
"2013-04-08","62.35"
"2013-04-05","62.09"
"2013-04-04","62.41"
"2013-04-03","62.08"
"2013-04-02","61.89"
"2013-04-01","62.34"
"2013-03-28","63.12"
"2013-03-27","62.58"
"2013-03-26","62.70"
"2013-03-25","62.53"
"2013-03-22","62.74"
"2013-03-21","63.03"
"2013-03-20","63.82"
"2013-03-19","63.55"
"2013-03-18","63.38"
"2013-03-15","63.41"
"2013-03-14","63.20"
"2013-03-13","63.36"
"2013-03-12","61.81"
"2013-03-11","61.50"
"2013-03-08","60.95"
"2013-03-07","60.69"
"2013-03-06","60.17"
"2013-03-05","60.20"
"2013-03-04","59.47"
"2013-03-01","60.03"
"2013-02-28","60.11"
"2013-02-27","59.92"
"2013-02-26","58.50"
"2013-02-25","57.92"
"2013-02-22","58.82"
"2013-02-21","57.89"
"2013-02-20","58.77"
"2013-02-19","59.12"
"2013-02-15","59.10"
"2013-02-14","59.13"
"2013-02-13","59.14"
"2013-02-12","59.49"
"2013-02-11","60.22"
"2013-02-08","60.49"
"2013-02-07","60.18"
"2013-02-06","59.50"
"2013-02-05","59.65"
"2013-02-04","58.39"
"2013-02-01","58.88"
"2013-01-31","58.88"
"2013-01-30","59.23"
"2013-01-29","59.21"
"2013-01-28","59.03"
"2013-01-25","59.42"
"2013-01-24","59.74"
"2013-01-23","59.72"
"2013-01-22","59.52"
"2013-01-18","58.99"
"2013-01-17","60.15"
"2013-01-16","59.15"
"2013-01-15","59.73"
"2013-01-14","59.49"
"2013-01-11","59.20"
"2013-01-10","59.53"
"2013-01-09","59.65"
"2013-01-08","59.21"
"2013-01-07","59.63"
"2013-01-04","59.54"
"2013-01-03","59.64"
"2013-01-02","59.30"
"2012-12-31","58.17"
"2012-12-28","57.51"
"2012-12-27","58.14"
"2012-12-26","58.26"
"2012-12-24","58.45"
"2012-12-21","58.60"
"2012-12-20","58.40"
"2012-12-19","58.47"
"2012-12-18","58.26"
"2012-12-17","56.88"
"2012-12-14","56.39"
"2012-12-13","56.58"
"2012-12-12","56.96"
"2012-12-11","57.00"
"2012-12-10","56.95"
"2012-12-07","56.37"
"2012-12-06","55.90"
"2012-12-05","56.01"
"2012-12-04","55.90"
"2012-12-03","56.04"
"2012-11-30","57.18"
"2012-11-29","56.90"
"2012-11-28","56.53"
"2012-11-27","56.08"
"2012-11-26","56.49"
"2012-11-23","56.57"
"2012-11-21","56.02"
"2012-11-20","55.59"
"2012-11-19","55.01"
"2012-11-16","54.13"
"2012-11-15","54.41"
"2012-11-14","53.72"
"2012-11-13","54.05"
"2012-11-12","54.37"
"2012-11-09","53.58"
"2012-11-08","53.43"
"2012-11-07","53.86"
"2012-11-06","55.37"
"2012-11-05","54.44"
"2012-11-02","53.80"
"2012-11-01","54.27"
"2012-10-31","53.58"
"2012-10-26","54.30"
"2012-10-25","53.31"
"2012-10-24","52.75"
"2012-10-23","52.89"
"2012-10-22","53.88"
"2012-10-19","54.04"
"2012-10-18","54.81"
"2012-10-17","54.57"
"2012-10-16","54.56"
"2012-10-15","53.99"
"2012-10-12","53.26"
"2012-10-11","52.83"
"2012-10-10","52.59"
"2012-10-09","53.51"
"2012-10-08","54.02"
"2012-10-05","54.52"
"2012-10-04","53.60"
"2012-10-03","53.55"
"2012-10-02","53.77"
"2012-10-01","54.25"
"2012-09-28","53.64"
"2012-09-27","54.14"
"2012-09-26","52.69"
"2012-09-25","52.35"
"2012-09-24","52.66"
"2012-09-21","52.91"
"2012-09-20","52.39"
"2012-09-19","52.55"
"2012-09-18","52.79"
"2012-09-17","52.71"
"2012-09-14","53.11"
"2012-09-13","52.98"
"2012-09-12","52.75"
"2012-09-11","51.38"
"2012-09-10","51.13"
"2012-09-07","51.15"
"2012-09-06","49.78"
"2012-09-05","48.68"
"2012-09-04","48.66"
"2012-08-31","48.87"
"2012-08-30","48.65"
"2012-08-29","48.94"
"2012-08-28","49.08"
"2012-08-27","49.30"
"2012-08-24","49.41"
"2012-08-23","49.38"
"2012-08-22","50.16"
"2012-08-21","50.82"
"2012-08-20","51.04"
"2012-08-17","50.08"
"2012-08-16","50.02"
"2012-08-15","49.33"
"2012-08-14","49.23"
"2012-08-13","49.79"
"2012-08-10","49.95"
"2012-08-09","50.31"
"2012-08-08","50.90"
"2012-08-07","50.94"
"2012-08-06","50.64"
"2012-08-03","50.80"
"2012-08-02","49.55"
"2012-08-01","50.16"
"2012-07-31","50.57"
"2012-07-30","50.67"
"2012-07-27","50.29"
"2012-07-26","49.61"
"2012-07-25","48.76"
"2012-07-24","47.23"
"2012-07-23","49.18"
"2012-07-20","49.28"
"2012-07-19","50.63"
"2012-07-18","48.90"
"2012-07-17","47.88"
"2012-07-16","47.76"
"2012-07-13","48.58"
"2012-07-12","47.96"
"2012-07-11","48.24"
"2012-07-10","48.23"
"2012-07-09","48.53"
"2012-07-06","48.23"
"2012-07-05","49.11"
"2012-07-03","49.47"
"2012-07-02","49.18"
"2012-06-29","49.35"
"2012-06-28","47.75"
"2012-06-27","47.67"
"2012-06-26","46.92"
"2012-06-25","47.61"
"2012-06-22","48.29"
"2012-06-21","48.26"
"2012-06-20","49.36"
"2012-06-19","50.18"
"2012-06-18","49.89"
"2012-06-15","49.07"
"2012-06-14","50.07"
"2012-06-13","49.75"
"2012-06-12","50.38"
"2012-06-11","49.91"
