"Date","Close"
"2013-12-31","70.65"
"2013-12-30","69.91"
"2013-12-27","70.39"
"2013-12-26","70.19"
"2013-12-24","69.93"
"2013-12-23","69.56"
"2013-12-20","69.88"
"2013-12-19","69.08"
"2013-12-18","69.40"
"2013-12-17","69.06"
"2013-12-16","69.79"
"2013-12-13","69.43"
"2013-12-12","69.48"
"2013-12-11","69.11"
"2013-12-10","70.31"
"2013-12-09","70.44"
"2013-12-06","70.77"
"2013-12-05","70.84"
"2013-12-04","71.41"
"2013-12-03","72.47"
"2013-12-02","72.57"
"2013-11-29","72.80"
"2013-11-27","72.62"
"2013-11-26","72.93"
"2013-11-25","72.81"
"2013-11-22","74.02"
"2013-11-21","73.34"
"2013-11-20","72.25"
"2013-11-19","72.26"
"2013-11-18","72.31"
"2013-11-15","73.30"
"2013-11-14","73.68"
"2013-11-13","73.34"
"2013-11-12","72.82"
"2013-11-11","73.56"
"2013-11-08","73.69"
"2013-11-07","72.51"
"2013-11-06","73.90"
"2013-11-05","72.57"
"2013-11-04","73.33"
"2013-11-01","73.09"
"2013-10-31","73.33"
"2013-10-30","73.25"
"2013-10-29","74.34"
"2013-10-28","73.89"
"2013-10-25","74.06"
"2013-10-24","73.39"
"2013-10-23","72.39"
"2013-10-22","73.26"
"2013-10-21","73.05"
"2013-10-18","73.43"
"2013-10-17","73.41"
"2013-10-16","72.96"
"2013-10-15","71.89"
"2013-10-14","71.96"
"2013-10-11","71.71"
"2013-10-10","71.08"
"2013-10-09","69.77"
"2013-10-08","70.17"
"2013-10-07","70.88"
"2013-10-04","70.97"
"2013-10-03","70.17"
"2013-10-02","70.36"
"2013-10-01","70.04"
"2013-09-30","69.51"
"2013-09-27","70.31"
"2013-09-26","70.23"
"2013-09-25","70.32"
"2013-09-24","70.40"
"2013-09-23","70.58"
"2013-09-20","71.00"
"2013-09-19","70.84"
"2013-09-18","70.56"
"2013-09-17","69.70"
"2013-09-16","69.34"
"2013-09-13","69.19"
"2013-09-12","68.78"
"2013-09-11","69.16"
"2013-09-10","68.66"
"2013-09-09","68.87"
"2013-09-06","68.20"
"2013-09-05","67.77"
"2013-09-04","67.66"
"2013-09-03","66.79"
"2013-08-30","66.30"
"2013-08-29","66.16"
"2013-08-28","66.77"
"2013-08-27","66.02"
"2013-08-26","66.31"
"2013-08-23","66.55"
"2013-08-22","66.15"
"2013-08-21","65.52"
"2013-08-20","65.98"
"2013-08-19","65.83"
"2013-08-16","67.38"
"2013-08-15","67.62"
"2013-08-14","67.16"
"2013-08-13","66.90"
"2013-08-12","66.10"
"2013-08-09","66.83"
"2013-08-08","67.09"
"2013-08-07","66.52"
"2013-08-06","67.09"
"2013-08-05","67.19"
"2013-08-02","67.23"
"2013-08-01","66.09"
"2013-07-31","64.86"
"2013-07-30","64.83"
"2013-07-29","65.18"
"2013-07-26","65.72"
"2013-07-25","65.71"
"2013-07-24","65.59"
"2013-07-23","66.12"
"2013-07-22","65.83"
"2013-07-19","66.00"
"2013-07-18","65.30"
"2013-07-17","65.56"
"2013-07-16","64.95"
"2013-07-15","65.26"
"2013-07-12","64.84"
"2013-07-11","64.32"
"2013-07-10","63.53"
"2013-07-09","63.50"
"2013-07-08","63.04"
"2013-07-05","62.31"
"2013-07-03","61.84"
"2013-07-02","61.79"
"2013-07-01","61.23"
"2013-06-28","60.50"
"2013-06-27","60.34"
"2013-06-26","60.33"
"2013-06-25","59.83"
"2013-06-24","59.35"
"2013-06-21","60.36"
"2013-06-20","60.28"
"2013-06-19","61.71"
"2013-06-18","62.10"
"2013-06-17","61.94"
"2013-06-14","61.03"
"2013-06-13","61.65"
"2013-06-12","60.88"
"2013-06-11","61.91"
"2013-06-10","62.20"
"2013-06-07","62.32"
"2013-06-06","61.91"
"2013-06-05","61.62"
"2013-06-04","61.68"
"2013-06-03","62.09"
"2013-05-31","61.34"
"2013-05-30","62.28"
"2013-05-29","62.78"
"2013-05-28","62.84"
"2013-05-24","62.53"
"2013-05-23","62.79"
"2013-05-22","62.74"
"2013-05-21","64.31"
"2013-05-20","64.03"
"2013-05-17","63.31"
"2013-05-16","62.43"
"2013-05-15","62.42"
"2013-05-14","63.06"
"2013-05-13","62.00"
"2013-05-10","62.23"
"2013-05-09","62.58"
"2013-05-08","62.59"
"2013-05-07","62.84"
"2013-05-06","62.22"
"2013-05-03","61.92"
"2013-05-02","60.96"
"2013-05-01","60.01"
"2013-04-30","60.45"
"2013-04-29","59.90"
"2013-04-26","58.91"
"2013-04-25","58.37"
"2013-04-24","58.26"
"2013-04-23","57.78"
"2013-04-22","57.39"
"2013-04-19","57.49"
"2013-04-18","57.32"
"2013-04-17","56.81"
"2013-04-16","57.44"
"2013-04-15","57.24"
"2013-04-12","59.36"
"2013-04-11","60.16"
"2013-04-10","60.25"
"2013-04-09","59.78"
"2013-04-08","59.31"
"2013-04-05","58.54"
"2013-04-04","58.88"
"2013-04-03","59.28"
"2013-04-02","60.04"
"2013-04-01","60.48"
"2013-03-28","60.10"
"2013-03-27","60.38"
"2013-03-26","60.44"
"2013-03-25","60.21"
"2013-03-22","60.91"
"2013-03-21","60.94"
"2013-03-20","60.44"
"2013-03-19","59.31"
"2013-03-18","59.15"
"2013-03-15","59.07"
"2013-03-14","59.52"
"2013-03-13","58.78"
"2013-03-12","58.73"
"2013-03-11","58.44"
"2013-03-08","58.39"
"2013-03-07","57.86"
"2013-03-06","58.00"
"2013-03-05","57.66"
"2013-03-04","57.62"
"2013-03-01","58.28"
"2013-02-28","57.95"
"2013-02-27","58.04"
"2013-02-26","57.75"
"2013-02-25","56.89"
"2013-02-22","58.20"
"2013-02-21","58.11"
"2013-02-20","57.67"
"2013-02-19","58.60"
"2013-02-15","57.02"
"2013-02-14","57.92"
"2013-02-13","58.61"
"2013-02-12","58.25"
"2013-02-11","57.59"
"2013-02-08","57.87"
"2013-02-07","57.63"
"2013-02-06","57.59"
"2013-02-05","57.72"
"2013-02-04","58.03"
"2013-02-01","58.82"
"2013-01-31","58.00"
"2013-01-30","61.09"
"2013-01-29","61.66"
"2013-01-28","60.75"
"2013-01-25","61.06"
"2013-01-24","60.41"
"2013-01-23","59.55"
"2013-01-22","59.98"
"2013-01-18","59.27"
"2013-01-17","59.14"
"2013-01-16","58.88"
"2013-01-15","59.03"
"2013-01-14","58.47"
"2013-01-11","58.27"
"2013-01-10","58.50"
"2013-01-09","58.25"
"2013-01-08","58.37"
"2013-01-07","59.17"
"2013-01-04","59.83"
"2013-01-03","59.17"
"2013-01-02","59.21"
"2012-12-31","57.99"
"2012-12-28","57.07"
"2012-12-27","57.90"
"2012-12-26","57.95"
"2012-12-24","58.44"
"2012-12-21","58.61"
"2012-12-20","59.28"
"2012-12-19","59.20"
"2012-12-18","59.30"
"2012-12-17","58.28"
"2012-12-14","57.69"
"2012-12-13","57.88"
"2012-12-12","58.20"
"2012-12-11","58.12"
"2012-12-10","57.88"
"2012-12-07","57.94"
"2012-12-06","57.35"
"2012-12-05","57.18"
"2012-12-04","56.84"
"2012-12-03","57.17"
"2012-11-30","56.94"
"2012-11-29","56.98"
"2012-11-28","57.06"
"2012-11-27","56.18"
"2012-11-26","56.80"
"2012-11-23","56.67"
"2012-11-21","56.05"
"2012-11-20","55.63"
"2012-11-19","55.73"
"2012-11-16","55.03"
"2012-11-15","54.59"
"2012-11-14","54.77"
"2012-11-13","55.35"
"2012-11-12","55.64"
"2012-11-09","55.67"
"2012-11-08","55.86"
"2012-11-07","56.77"
"2012-11-06","58.22"
"2012-11-05","57.53"
"2012-11-02","57.65"
"2012-11-01","58.42"
"2012-10-31","57.85"
"2012-10-26","57.31"
"2012-10-25","57.16"
"2012-10-24","55.95"
"2012-10-23","56.06"
"2012-10-22","57.04"
"2012-10-19","57.45"
"2012-10-18","58.27"
"2012-10-17","58.12"
"2012-10-16","57.62"
"2012-10-15","56.79"
"2012-10-12","56.17"
"2012-10-11","56.63"
"2012-10-10","57.24"
"2012-10-09","57.80"
"2012-10-08","57.62"
"2012-10-05","57.58"
"2012-10-04","57.40"
"2012-10-03","56.77"
"2012-10-02","57.37"
"2012-10-01","57.41"
"2012-09-28","57.18"
"2012-09-27","57.39"
"2012-09-26","57.01"
"2012-09-25","57.41"
"2012-09-24","57.96"
"2012-09-21","57.36"
"2012-09-20","57.59"
"2012-09-19","57.31"
"2012-09-18","57.82"
"2012-09-17","58.30"
"2012-09-14","58.21"
"2012-09-13","57.65"
"2012-09-12","56.54"
"2012-09-11","56.37"
"2012-09-10","56.18"
"2012-09-07","56.64"
"2012-09-06","55.79"
"2012-09-05","54.87"
"2012-09-04","56.21"
"2012-08-31","56.79"
"2012-08-30","56.11"
"2012-08-29","56.35"
"2012-08-28","56.46"
"2012-08-27","56.38"
"2012-08-24","56.36"
"2012-08-23","56.16"
"2012-08-22","56.68"
"2012-08-21","56.63"
"2012-08-20","57.03"
"2012-08-17","57.39"
"2012-08-16","57.55"
"2012-08-15","57.24"
"2012-08-14","57.35"
"2012-08-13","57.31"
"2012-08-10","57.28"
"2012-08-09","57.09"
"2012-08-08","57.17"
"2012-08-07","56.45"
"2012-08-06","55.89"
"2012-08-03","55.71"
"2012-08-02","54.65"
"2012-08-01","55.22"
"2012-07-31","54.44"
"2012-07-30","54.86"
"2012-07-27","54.97"
"2012-07-26","54.40"
"2012-07-25","53.24"
"2012-07-24","54.64"
"2012-07-23","55.05"
"2012-07-20","55.99"
"2012-07-19","56.37"
"2012-07-18","56.77"
"2012-07-17","56.28"
"2012-07-16","55.46"
"2012-07-13","54.98"
"2012-07-12","53.98"
"2012-07-11","54.36"
"2012-07-10","53.48"
"2012-07-09","54.33"
"2012-07-06","54.75"
"2012-07-05","55.28"
"2012-07-03","56.41"
"2012-07-02","55.73"
"2012-06-29","55.88"
"2012-06-28","54.53"
"2012-06-27","54.45"
"2012-06-26","53.64"
"2012-06-25","52.96"
"2012-06-22","53.41"
"2012-06-21","52.76"
"2012-06-20","54.44"
"2012-06-19","55.64"
"2012-06-18","55.07"
"2012-06-15","55.46"
"2012-06-14","54.68"
"2012-06-13","54.10"
"2012-06-12","54.71"
"2012-06-11","53.88"
"2012-06-08","53.97"
"2012-06-07","53.81"
"2012-06-06","53.58"
"2012-06-05","51.87"
"2012-06-04","51.30"
"2012-06-01","51.19"
"2012-05-31","52.16"
"2012-05-30","52.04"
"2012-05-29","53.27"
"2012-05-25","52.11"
"2012-05-24","52.14"
"2012-05-23","52.09"
"2012-05-22","51.67"
"2012-05-21","51.77"
"2012-05-18","50.82"
"2012-05-17","51.19"
"2012-05-16","52.32"
"2012-05-15","52.53"
"2012-05-14","52.93"
"2012-05-11","53.50"
"2012-05-10","54.22"
"2012-05-09","53.47"
"2012-05-08","54.31"
"2012-05-07","53.35"
"2012-05-04","53.17"
"2012-05-03","54.26"
"2012-05-02","54.59"
"2012-05-01","56.51"
"2012-04-30","71.63"
"2012-04-27","71.98"
"2012-04-26","72.19"
"2012-04-25","71.02"
"2012-04-24","71.88"
"2012-04-23","72.33"
"2012-04-20","72.88"
"2012-04-19","72.89"
"2012-04-18","73.29"
"2012-04-17","74.26"
"2012-04-16","73.83"
"2012-04-13","73.63"
"2012-04-12","74.53"
"2012-04-11","73.55"
"2012-04-10","73.69"
"2012-04-09","75.05"
"2012-04-05","75.36"
"2012-04-04","76.18"
"2012-04-03","76.31"
"2012-04-02","76.87"
"2012-03-30","76.01"
"2012-03-29","75.80"
"2012-03-28","75.98"
"2012-03-27","76.84"
"2012-03-26","77.36"
"2012-03-23","76.51"
"2012-03-22","75.89"
"2012-03-21","77.29"
"2012-03-20","77.57"
"2012-03-19","78.07"
"2012-03-16","77.18"
"2012-03-15","76.63"
"2012-03-14","77.51"
"2012-03-13","77.76"
"2012-03-12","77.31"
"2012-03-09","77.16"
"2012-03-08","77.22"
"2012-03-07","77.02"
"2012-03-06","76.45"
"2012-03-05","77.56"
"2012-03-02","77.65"
"2012-03-01","78.22"
"2012-02-29","76.55"
"2012-02-28","77.27"
"2012-02-27","76.43"
"2012-02-24","75.95"
"2012-02-23","74.81"
"2012-02-22","74.13"
"2012-02-21","73.83"
"2012-02-17","73.36"
"2012-02-16","72.78"
"2012-02-15","73.45"
"2012-02-14","73.60"
"2012-02-13","72.81"
"2012-02-10","72.25"
"2012-02-09","71.55"
"2012-02-08","72.25"
"2012-02-07","71.92"
"2012-02-06","71.32"
"2012-02-03","70.46"
"2012-02-02","69.91"
"2012-02-01","69.32"
"2012-01-31","68.21"
"2012-01-30","68.72"
"2012-01-27","69.40"
"2012-01-26","69.53"
"2012-01-25","69.98"
"2012-01-24","70.61"
"2012-01-23","70.56"
"2012-01-20","71.20"
"2012-01-19","71.27"
"2012-01-18","71.50"
"2012-01-17","70.80"
"2012-01-13","70.34"
"2012-01-12","70.76"
"2012-01-11","72.01"
"2012-01-10","73.28"
"2012-01-09","72.94"
"2012-01-06","72.66"
"2012-01-05","73.23"
"2012-01-04","73.82"
"2012-01-03","74.17"
"2011-12-30","72.87"
"2011-12-29","72.87"
"2011-12-28","71.82"
"2011-12-27","72.94"
"2011-12-23","72.43"
"2011-12-22","71.74"
"2011-12-21","70.62"
"2011-12-20","69.78"
"2011-12-19","67.85"
"2011-12-16","68.40"
"2011-12-15","68.29"
"2011-12-14","68.52"
"2011-12-13","69.85"
"2011-12-12","70.48"
"2011-12-09","71.95"
"2011-12-08","71.02"
"2011-12-07","72.41"
"2011-12-06","72.54"
"2011-12-05","72.82"
"2011-12-02","72.55"
"2011-12-01","71.76"
"2011-11-30","71.32"
"2011-11-29","68.14"
"2011-11-28","67.27"
"2011-11-25","66.14"
"2011-11-23","66.93"
"2011-11-22","68.14"
"2011-11-21","68.85"
"2011-11-18","69.27"
"2011-11-17","69.56"
"2011-11-16","69.76"
"2011-11-15","71.99"
"2011-11-14","71.70"
"2011-11-11","72.14"
"2011-11-10","71.44"
"2011-11-09","70.22"
"2011-11-08","72.74"
"2011-11-07","71.58"
"2011-11-04","70.71"
"2011-11-03","70.50"
"2011-11-02","69.10"
"2011-11-01","67.92"
"2011-10-31","69.65"
"2011-10-28","71.74"
"2011-10-27","72.85"
"2011-10-26","71.89"
"2011-10-25","70.68"
"2011-10-24","72.12"
"2011-10-21","71.83"
"2011-10-20","70.27"
"2011-10-19","69.56"
"2011-10-18","69.21"
"2011-10-17","68.34"
"2011-10-14","68.99"
"2011-10-13","67.04"
"2011-10-12","67.85"
"2011-10-11","67.02"
"2011-10-10","66.95"
"2011-10-07","64.16"
"2011-10-06","64.35"
"2011-10-05","63.93"
"2011-10-04","62.27"
"2011-10-03","60.99"
"2011-09-30","63.32"
"2011-09-29","64.37"
"2011-09-28","63.23"
"2011-09-27","64.26"
"2011-09-26","64.13"
"2011-09-23","62.51"
"2011-09-22","62.87"
"2011-09-21","64.95"
"2011-09-20","67.01"
"2011-09-19","66.77"
"2011-09-16","67.29"
"2011-09-15","66.92"
"2011-09-14","65.97"
"2011-09-13","64.76"
"2011-09-12","64.24"
"2011-09-09","64.23"
"2011-09-08","65.88"
"2011-09-07","67.31"
"2011-09-06","65.70"
"2011-09-02","66.44"
"2011-09-01","67.97"
"2011-08-31","68.07"
"2011-08-30","67.84"
"2011-08-29","67.78"
"2011-08-26","65.51"
"2011-08-25","64.78"
"2011-08-24","66.12"
"2011-08-23","65.71"
"2011-08-22","63.33"
"2011-08-19","63.59"
"2011-08-18","63.79"
"2011-08-17","66.82"
"2011-08-16","66.54"
"2011-08-15","67.48"
"2011-08-12","66.05"
"2011-08-11","65.52"
"2011-08-10","62.71"
"2011-08-09","64.56"
