"Date","Close"
"2013-12-31","119.02"
"2013-12-30","118.77"
"2013-12-27","118.53"
"2013-12-26","118.63"
"2013-12-24","118.69"
"2013-12-23","118.69"
"2013-12-20","118.53"
"2013-12-19","117.99"
"2013-12-18","118.50"
"2013-12-17","117.55"
"2013-12-16","118.00"
"2013-12-13","117.91"
"2013-12-12","118.22"
"2013-12-11","118.57"
"2013-12-10","120.04"
"2013-12-09","121.66"
"2013-12-06","122.06"
"2013-12-05","120.95"
"2013-12-04","122.97"
"2013-12-03","123.82"
"2013-12-02","123.69"
"2013-11-29","125.43"
"2013-11-27","125.38"
"2013-11-26","125.18"
"2013-11-25","125.17"
"2013-11-22","125.21"
"2013-11-21","123.89"
"2013-11-20","122.76"
"2013-11-19","123.63"
"2013-11-18","123.31"
"2013-11-15","124.29"
"2013-11-14","123.74"
"2013-11-13","123.17"
"2013-11-12","122.45"
"2013-11-11","123.02"
"2013-11-08","122.78"
"2013-11-07","122.78"
"2013-11-06","124.07"
"2013-11-05","120.13"
"2013-11-04","120.34"
"2013-11-01","119.62"
"2013-10-31","118.00"
"2013-10-30","117.76"
"2013-10-29","118.75"
"2013-10-28","117.35"
"2013-10-25","116.44"
"2013-10-24","116.24"
"2013-10-23","117.16"
"2013-10-22","117.81"
"2013-10-21","117.38"
"2013-10-18","117.64"
"2013-10-17","118.26"
"2013-10-16","117.36"
"2013-10-15","115.36"
"2013-10-14","116.26"
"2013-10-11","115.90"
"2013-10-10","115.70"
"2013-10-09","114.59"
"2013-10-08","112.21"
"2013-10-07","113.41"
"2013-10-04","114.44"
"2013-10-03","114.42"
"2013-10-02","114.82"
"2013-10-01","115.00"
"2013-09-30","115.17"
"2013-09-27","115.72"
"2013-09-26","116.40"
"2013-09-25","115.41"
"2013-09-24","116.34"
"2013-09-23","117.57"
"2013-09-20","117.94"
"2013-09-19","119.20"
"2013-09-18","118.64"
"2013-09-17","117.91"
"2013-09-16","117.35"
"2013-09-13","117.03"
"2013-09-12","118.19"
"2013-09-11","119.25"
"2013-09-10","117.32"
"2013-09-09","115.35"
"2013-09-06","114.35"
"2013-09-05","114.62"
"2013-09-04","111.50"
"2013-09-03","111.98"
"2013-08-30","111.87"
"2013-08-29","111.39"
"2013-08-28","110.46"
"2013-08-27","111.67"
"2013-08-26","111.87"
"2013-08-23","113.07"
"2013-08-22","112.24"
"2013-08-21","111.96"
"2013-08-20","112.84"
"2013-08-19","112.08"
"2013-08-16","111.90"
"2013-08-15","111.79"
"2013-08-14","113.78"
"2013-08-13","115.65"
"2013-08-12","115.73"
"2013-08-09","115.63"
"2013-08-08","117.39"
"2013-08-07","119.34"
"2013-08-06","119.50"
"2013-08-05","120.07"
"2013-08-02","119.37"
"2013-08-01","118.34"
"2013-07-31","117.42"
"2013-07-30","116.93"
"2013-07-29","117.14"
"2013-07-26","116.57"
"2013-07-25","117.45"
"2013-07-24","117.90"
"2013-07-23","119.10"
"2013-07-22","118.05"
"2013-07-19","118.07"
"2013-07-18","117.06"
"2013-07-17","117.40"
"2013-07-16","116.53"
