"Date","Close"
"2013-12-31","43.28"
"2013-12-30","43.37"
"2013-12-27","43.30"
"2013-12-26","42.82"
"2013-12-24","42.83"
"2013-12-23","42.79"
"2013-12-20","42.70"
"2013-12-19","43.20"
"2013-12-18","43.33"
"2013-12-17","42.74"
"2013-12-16","40.97"
"2013-12-13","40.75"
"2013-12-12","40.81"
"2013-12-11","40.64"
"2013-12-10","40.96"
"2013-12-09","42.55"
"2013-12-06","42.43"
"2013-12-05","40.10"
"2013-12-04","40.04"
"2013-12-03","38.81"
"2013-12-02","38.62"
"2013-11-29","38.73"
"2013-11-27","38.72"
"2013-11-26","38.77"
"2013-11-25","38.80"
"2013-11-22","39.37"
"2013-11-21","38.89"
"2013-11-20","38.60"
"2013-11-19","39.20"
"2013-11-18","41.81"
"2013-11-15","42.42"
"2013-11-14","42.54"
"2013-11-13","42.18"
"2013-11-12","41.61"
"2013-11-11","41.97"
"2013-11-08","41.93"
"2013-11-07","41.80"
"2013-11-06","42.77"
"2013-11-05","42.34"
"2013-11-04","42.31"
"2013-11-01","42.69"
"2013-10-31","42.57"
"2013-10-30","42.97"
"2013-10-29","43.26"
"2013-10-28","42.86"
"2013-10-25","42.56"
"2013-10-24","42.40"
"2013-10-23","42.65"
"2013-10-22","42.69"
"2013-10-21","41.84"
"2013-10-18","41.59"
"2013-10-17","41.63"
"2013-10-16","41.53"
"2013-10-15","40.87"
"2013-10-14","40.82"
"2013-10-11","40.88"
"2013-10-10","41.00"
"2013-10-09","40.08"
"2013-10-08","40.00"
"2013-10-07","40.24"
"2013-10-04","40.52"
"2013-10-03","40.87"
"2013-10-02","40.96"
"2013-10-01","41.21"
"2013-09-30","40.71"
"2013-09-27","40.96"
"2013-09-26","41.37"
"2013-09-25","41.28"
"2013-09-24","41.50"
"2013-09-23","41.76"
"2013-09-20","41.80"
"2013-09-19","42.20"
"2013-09-18","42.60"
"2013-09-17","41.96"
"2013-09-16","42.42"
"2013-09-13","42.28"
"2013-09-12","41.22"
"2013-09-11","41.47"
"2013-09-10","41.24"
"2013-09-09","41.99"
"2013-09-06","41.99"
"2013-09-05","41.88"
"2013-09-04","42.92"
"2013-09-03","42.75"
"2013-08-30","43.18"
"2013-08-29","43.33"
"2013-08-28","44.71"
"2013-08-27","45.07"
"2013-08-26","45.40"
"2013-08-23","46.39"
"2013-08-22","45.85"
"2013-08-21","45.43"
"2013-08-20","46.07"
"2013-08-19","46.04"
"2013-08-16","46.00"
"2013-08-15","46.14"
"2013-08-14","47.03"
"2013-08-13","47.89"
"2013-08-12","47.83"
"2013-08-09","47.74"
"2013-08-08","47.61"
"2013-08-07","47.08"
"2013-08-06","47.48"
"2013-08-05","47.51"
"2013-08-02","47.41"
"2013-08-01","47.52"
"2013-07-31","46.80"
"2013-07-30","46.55"
"2013-07-29","47.09"
"2013-07-26","47.07"
"2013-07-25","46.64"
"2013-07-24","46.41"
"2013-07-23","47.33"
"2013-07-22","47.35"
"2013-07-19","47.27"
"2013-07-18","46.38"
"2013-07-17","46.01"
"2013-07-16","46.10"
"2013-07-15","46.22"
"2013-07-12","45.73"
"2013-07-11","46.39"
"2013-07-10","45.21"
"2013-07-09","45.34"
"2013-07-08","45.12"
"2013-07-05","44.56"
"2013-07-03","44.22"
"2013-07-02","44.99"
"2013-07-01","45.15"
"2013-06-28","44.79"
"2013-06-27","44.88"
"2013-06-26","44.36"
"2013-06-25","43.93"
"2013-06-24","43.60"
"2013-06-21","43.57"
"2013-06-20","43.36"
"2013-06-19","44.74"
"2013-06-18","45.73"
"2013-06-17","45.13"
"2013-06-14","44.79"
"2013-06-13","44.54"
"2013-06-12","44.26"
"2013-06-11","44.05"
"2013-06-10","43.94"
"2013-06-07","44.67"
"2013-06-06","43.19"
"2013-06-05","42.91"
"2013-06-04","43.53"
"2013-06-03","43.13"
"2013-05-31","42.81"
"2013-05-30","44.16"
"2013-05-29","44.66"
"2013-05-28","45.85"
"2013-05-24","45.64"
"2013-05-23","45.76"
"2013-05-22","45.91"
"2013-05-21","46.05"
"2013-05-20","45.78"
"2013-05-17","47.63"
"2013-05-16","47.85"
"2013-05-15","48.14"
"2013-05-14","47.64"
"2013-05-13","46.41"
"2013-05-10","46.29"
"2013-05-09","46.06"
"2013-05-08","46.52"
"2013-05-07","46.60"
"2013-05-06","46.29"
"2013-05-03","46.84"
"2013-05-02","46.51"
"2013-05-01","46.15"
"2013-04-30","46.41"
"2013-04-29","46.38"
"2013-04-26","46.20"
"2013-04-25","46.20"
"2013-04-24","46.05"
"2013-04-23","46.73"
"2013-04-22","46.42"
"2013-04-19","46.46"
"2013-04-18","45.97"
"2013-04-17","45.88"
"2013-04-16","46.53"
"2013-04-15","45.26"
"2013-04-12","45.50"
"2013-04-11","45.37"
"2013-04-10","45.51"
"2013-04-09","44.92"
"2013-04-08","45.19"
"2013-04-05","44.77"
"2013-04-04","45.22"
"2013-04-03","45.48"
"2013-04-02","46.00"
"2013-04-01","45.75"
"2013-03-28","45.36"
"2013-03-27","44.82"
"2013-03-26","44.30"
"2013-03-25","43.60"
"2013-03-22","43.35"
"2013-03-21","42.70"
"2013-03-20","42.95"
"2013-03-19","42.19"
"2013-03-18","41.80"
"2013-03-15","41.61"
"2013-03-14","41.88"
"2013-03-13","41.84"
"2013-03-12","41.52"
"2013-03-11","41.50"
"2013-03-08","41.38"
"2013-03-07","41.41"
"2013-03-06","41.41"
"2013-03-05","41.69"
"2013-03-04","41.77"
"2013-03-01","42.11"
"2013-02-28","41.16"
"2013-02-27","40.62"
"2013-02-26","40.38"
"2013-02-25","39.98"
"2013-02-22","40.13"
"2013-02-21","39.67"
"2013-02-20","40.01"
"2013-02-19","40.00"
"2013-02-15","39.40"
"2013-02-14","38.72"
"2013-02-13","38.18"
"2013-02-12","38.26"
"2013-02-11","38.12"
"2013-02-08","37.93"
"2013-02-07","37.38"
"2013-02-06","37.09"
"2013-02-05","36.87"
"2013-02-04","36.55"
"2013-02-01","36.79"
"2013-01-31","36.71"
"2013-01-30","36.54"
"2013-01-29","36.16"
"2013-01-28","36.25"
"2013-01-25","36.53"
"2013-01-24","36.42"
"2013-01-23","36.36"
"2013-01-22","36.44"
"2013-01-18","36.29"
"2013-01-17","36.12"
"2013-01-16","35.71"
"2013-01-15","35.66"
"2013-01-14","35.53"
"2013-01-11","35.22"
"2013-01-10","35.31"
"2013-01-09","35.21"
"2013-01-08","34.99"
"2013-01-07","35.50"
"2013-01-04","35.68"
"2013-01-03","35.99"
"2013-01-02","35.92"
"2012-12-31","34.89"
"2012-12-28","34.56"
"2012-12-27","34.87"
"2012-12-26","35.04"
"2012-12-24","35.36"
"2012-12-21","35.50"
"2012-12-20","35.89"
"2012-12-19","35.98"
"2012-12-18","36.25"
"2012-12-17","36.16"
"2012-12-14","35.58"
"2012-12-13","35.82"
"2012-12-12","35.87"
"2012-12-11","36.43"
"2012-12-10","36.63"
"2012-12-07","36.63"
"2012-12-06","36.43"
"2012-12-05","36.68"
"2012-12-04","36.55"
"2012-12-03","36.64"
