"Date","Close"
"2013-12-31","22.43"
"2013-12-30","22.25"
"2013-12-27","22.02"
"2013-12-26","21.80"
"2013-12-24","21.69"
"2013-12-23","21.57"
"2013-12-20","21.13"
"2013-12-19","21.07"
"2013-12-18","21.00"
"2013-12-17","20.92"
"2013-12-16","20.68"
"2013-12-13","20.24"
"2013-12-12","20.51"
"2013-12-11","20.88"
"2013-12-10","21.21"
"2013-12-09","21.22"
"2013-12-06","21.28"
"2013-12-05","20.91"
"2013-12-04","21.25"
"2013-12-03","21.26"
"2013-12-02","21.09"
"2013-11-29","21.25"
"2013-11-27","21.27"
"2013-11-26","21.21"
"2013-11-25","21.27"
"2013-11-22","21.46"
"2013-11-21","21.47"
"2013-11-20","21.23"
"2013-11-19","21.42"
"2013-11-18","21.29"
"2013-11-15","21.54"
"2013-11-14","21.37"
"2013-11-13","24.00"
"2013-11-12","23.73"
"2013-11-11","23.45"
"2013-11-08","23.51"
"2013-11-07","23.11"
"2013-11-06","23.28"
"2013-11-05","23.07"
"2013-11-04","22.58"
"2013-11-01","22.57"
"2013-10-31","22.56"
"2013-10-30","22.71"
"2013-10-29","22.83"
"2013-10-28","22.55"
"2013-10-25","22.46"
"2013-10-24","22.37"
"2013-10-23","22.26"
"2013-10-22","22.65"
"2013-10-21","22.93"
"2013-10-18","22.96"
"2013-10-17","22.78"
"2013-10-16","23.00"
"2013-10-15","23.18"
"2013-10-14","23.34"
"2013-10-11","23.28"
"2013-10-10","23.01"
"2013-10-09","22.50"
"2013-10-08","22.64"
"2013-10-07","22.89"
"2013-10-04","23.02"
"2013-10-03","23.01"
"2013-10-02","23.32"
"2013-10-01","23.24"
"2013-09-30","23.43"
"2013-09-27","23.33"
"2013-09-26","23.77"
"2013-09-25","24.43"
"2013-09-24","24.14"
"2013-09-23","24.27"
"2013-09-20","24.51"
"2013-09-19","24.61"
"2013-09-18","24.80"
"2013-09-17","24.37"
"2013-09-16","24.38"
"2013-09-13","24.32"
"2013-09-12","24.29"
"2013-09-11","24.38"
"2013-09-10","24.16"
"2013-09-09","23.92"
"2013-09-06","23.55"
"2013-09-05","23.69"
"2013-09-04","23.77"
"2013-09-03","23.48"
"2013-08-30","23.31"
"2013-08-29","23.45"
"2013-08-28","23.45"
"2013-08-27","23.48"
"2013-08-26","23.83"
"2013-08-23","23.86"
"2013-08-22","24.01"
"2013-08-21","24.07"
"2013-08-20","24.32"
"2013-08-19","24.27"
"2013-08-16","24.27"
"2013-08-15","24.48"
"2013-08-14","26.38"
"2013-08-13","26.32"
"2013-08-12","26.34"
"2013-08-09","26.05"
"2013-08-08","26.26"
"2013-08-07","26.12"
"2013-08-06","26.21"
"2013-08-05","26.31"
"2013-08-02","26.19"
"2013-08-01","25.89"
"2013-07-31","25.59"
"2013-07-30","25.67"
"2013-07-29","25.33"
"2013-07-26","25.50"
"2013-07-25","25.50"
"2013-07-24","25.59"
"2013-07-23","25.56"
"2013-07-22","25.72"
"2013-07-19","25.82"
"2013-07-18","25.86"
"2013-07-17","25.72"
"2013-07-16","25.71"
"2013-07-15","25.93"
"2013-07-12","25.94"
"2013-07-11","25.87"
"2013-07-10","25.41"
"2013-07-09","25.16"
"2013-07-08","24.63"
"2013-07-05","24.57"
"2013-07-03","24.59"
"2013-07-02","24.32"
"2013-07-01","24.34"
"2013-06-28","24.34"
"2013-06-27","24.63"
"2013-06-26","24.39"
"2013-06-25","24.01"
"2013-06-24","24.06"
"2013-06-21","24.48"
"2013-06-20","24.44"
"2013-06-19","24.68"
"2013-06-18","24.82"
"2013-06-17","24.70"
"2013-06-14","24.09"
"2013-06-13","24.35"
"2013-06-12","23.99"
"2013-06-11","24.07"
"2013-06-10","24.36"
"2013-06-07","24.49"
"2013-06-06","24.55"
"2013-06-05","24.32"
"2013-06-04","24.36"
"2013-06-03","24.38"
"2013-05-31","24.12"
"2013-05-30","24.37"
"2013-05-29","24.12"
"2013-05-28","23.89"
"2013-05-24","23.53"
"2013-05-23","23.51"
"2013-05-22","23.34"
"2013-05-21","24.01"
"2013-05-20","23.95"
"2013-05-17","24.24"
"2013-05-16","23.89"
"2013-05-15","21.21"
"2013-05-14","21.27"
"2013-05-13","21.27"
"2013-05-10","21.10"
"2013-05-09","20.83"
"2013-05-08","20.72"
"2013-05-07","20.38"
"2013-05-06","20.81"
"2013-05-03","20.83"
"2013-05-02","20.73"
"2013-05-01","20.38"
"2013-04-30","20.92"
"2013-04-29","20.98"
"2013-04-26","20.67"
"2013-04-25","20.64"
"2013-04-24","20.39"
"2013-04-23","20.91"
"2013-04-22","20.59"
"2013-04-19","20.46"
"2013-04-18","20.58"
"2013-04-17","20.63"
"2013-04-16","21.16"
"2013-04-15","21.05"
"2013-04-12","21.54"
"2013-04-11","21.69"
"2013-04-10","21.47"
"2013-04-09","20.97"
"2013-04-08","20.57"
"2013-04-05","20.61"
"2013-04-04","21.04"
"2013-04-03","21.20"
"2013-04-02","21.22"
"2013-04-01","20.83"
"2013-03-28","20.90"
"2013-03-27","20.83"
"2013-03-26","20.85"
"2013-03-25","20.85"
"2013-03-22","20.75"
"2013-03-21","20.84"
"2013-03-20","21.67"
"2013-03-19","21.52"
"2013-03-18","21.67"
"2013-03-15","21.93"
"2013-03-14","21.59"
"2013-03-13","21.58"
"2013-03-12","21.70"
"2013-03-11","21.88"
"2013-03-08","21.83"
"2013-03-07","21.80"
"2013-03-06","21.72"
"2013-03-05","21.22"
"2013-03-04","20.74"
"2013-03-01","20.83"
"2013-02-28","20.86"
"2013-02-27","20.89"
"2013-02-26","20.61"
"2013-02-25","20.66"
"2013-02-22","20.90"
"2013-02-21","20.76"
"2013-02-20","21.11"
"2013-02-19","21.46"
"2013-02-15","20.99"
"2013-02-14","20.99"
"2013-02-13","21.14"
"2013-02-12","20.97"
"2013-02-11","21.27"
"2013-02-08","21.16"
"2013-02-07","21.10"
"2013-02-06","21.19"
"2013-02-05","21.08"
"2013-02-04","20.82"
"2013-02-01","20.83"
"2013-01-31","20.57"
"2013-01-30","20.58"
"2013-01-29","20.78"
"2013-01-28","21.06"
"2013-01-25","21.15"
"2013-01-24","21.02"
"2013-01-23","20.62"
"2013-01-22","20.87"
"2013-01-18","21.02"
"2013-01-17","20.95"
"2013-01-16","21.03"
"2013-01-15","20.98"
"2013-01-14","20.97"
"2013-01-11","20.48"
"2013-01-10","20.44"
"2013-01-09","20.30"
"2013-01-08","20.31"
"2013-01-07","20.29"
"2013-01-04","20.48"
"2013-01-03","20.45"
"2013-01-02","20.34"
"2012-12-31","19.65"
"2012-12-28","19.45"
"2012-12-27","19.65"
"2012-12-26","19.92"
"2012-12-24","19.83"
"2012-12-21","19.96"
"2012-12-20","20.24"
"2012-12-19","20.27"
"2012-12-18","20.38"
"2012-12-17","20.11"
"2012-12-14","19.86"
"2012-12-13","19.74"
"2012-12-12","19.73"
"2012-12-11","19.78"
"2012-12-10","19.79"
"2012-12-07","19.34"
"2012-12-06","19.48"
"2012-12-05","19.21"
"2012-12-04","19.17"
"2012-12-03","19.03"
"2012-11-30","18.91"
"2012-11-29","19.01"
"2012-11-28","18.83"
"2012-11-27","18.96"
"2012-11-26","19.06"
"2012-11-23","18.84"
"2012-11-21","18.48"
"2012-11-20","18.34"
"2012-11-19","18.30"
"2012-11-16","17.99"
"2012-11-15","17.94"
"2012-11-14","17.66"
"2012-11-13","16.85"
"2012-11-12","16.86"
"2012-11-09","16.82"
"2012-11-08","16.83"
"2012-11-07","17.21"
"2012-11-06","17.48"
"2012-11-05","17.40"
"2012-11-02","17.35"
"2012-11-01","17.51"
"2012-10-31","17.15"
"2012-10-26","17.29"
"2012-10-25","17.20"
"2012-10-24","17.38"
"2012-10-23","18.01"
"2012-10-22","18.19"
"2012-10-19","18.04"
"2012-10-18","18.61"
"2012-10-17","18.71"
"2012-10-16","18.85"
"2012-10-15","18.55"
"2012-10-12","18.41"
"2012-10-11","18.26"
"2012-10-10","18.31"
"2012-10-09","18.80"
"2012-10-08","18.90"
"2012-10-05","18.86"
"2012-10-04","18.90"
"2012-10-03","18.93"
"2012-10-02","18.87"
"2012-10-01","19.04"
"2012-09-28","19.10"
"2012-09-27","18.80"
"2012-09-26","18.58"
"2012-09-25","18.67"
"2012-09-24","18.81"
"2012-09-21","18.90"
"2012-09-20","19.11"
"2012-09-19","19.12"
"2012-09-18","19.05"
"2012-09-17","19.16"
"2012-09-14","19.49"
"2012-09-13","19.36"
"2012-09-12","19.08"
"2012-09-11","19.04"
"2012-09-10","19.15"
"2012-09-07","19.56"
"2012-09-06","19.73"
"2012-09-05","18.90"
"2012-09-04","19.00"
"2012-08-31","19.08"
"2012-08-30","18.90"
"2012-08-29","19.20"
"2012-08-28","19.22"
"2012-08-27","19.36"
"2012-08-24","19.20"
"2012-08-23","19.13"
"2012-08-22","19.22"
"2012-08-21","19.16"
"2012-08-20","18.94"
"2012-08-17","19.06"
"2012-08-16","19.02"
"2012-08-15","17.35"
"2012-08-14","17.17"
"2012-08-13","17.34"
"2012-08-10","17.54"
"2012-08-09","17.70"
"2012-08-08","17.16"
"2012-08-07","17.14"
"2012-08-06","16.69"
"2012-08-03","16.35"
"2012-08-02","15.74"
"2012-08-01","15.98"
"2012-07-31","15.95"
"2012-07-30","15.87"
"2012-07-27","15.69"
"2012-07-26","15.38"
"2012-07-25","15.42"
"2012-07-24","15.12"
"2012-07-23","16.07"
"2012-07-20","16.36"
"2012-07-19","16.68"
"2012-07-18","16.70"
"2012-07-17","16.23"
"2012-07-16","16.19"
"2012-07-13","16.31"
"2012-07-12","15.98"
"2012-07-11","16.38"
"2012-07-10","16.41"
"2012-07-09","16.65"
"2012-07-06","16.77"
"2012-07-05","16.94"
"2012-07-03","17.15"
"2012-07-02","17.08"
"2012-06-29","17.17"
"2012-06-28","16.48"
"2012-06-27","16.73"
"2012-06-26","16.82"
"2012-06-25","16.94"
"2012-06-22","17.13"
"2012-06-21","16.93"
"2012-06-20","17.51"
"2012-06-19","17.18"
"2012-06-18","17.14"
"2012-06-15","17.10"
"2012-06-14","16.92"
"2012-06-13","16.66"
"2012-06-12","16.79"
"2012-06-11","16.48"
"2012-06-08","16.73"
"2012-06-07","16.58"
"2012-06-06","16.69"
"2012-06-05","16.12"
"2012-06-04","16.11"
"2012-06-01","15.96"
"2012-05-31","16.33"
"2012-05-30","16.39"
"2012-05-29","16.59"
"2012-05-25","16.33"
"2012-05-24","16.39"
"2012-05-23","16.69"
"2012-05-22","16.73"
"2012-05-21","16.67"
"2012-05-18","16.47"
"2012-05-17","16.55"
"2012-05-16","16.69"
"2012-05-15","16.54"
"2012-05-14","16.71"
"2012-05-11","16.51"
"2012-05-10","16.81"
"2012-05-09","18.78"
"2012-05-08","18.71"
"2012-05-07","19.08"
"2012-05-04","19.12"
"2012-05-03","19.72"
"2012-05-02","19.84"
"2012-05-01","19.98"
"2012-04-30","20.16"
"2012-04-27","19.98"
"2012-04-26","19.60"
"2012-04-25","19.49"
"2012-04-24","19.42"
"2012-04-23","19.68"
"2012-04-20","19.91"
"2012-04-19","19.91"
"2012-04-18","20.06"
"2012-04-17","20.08"
"2012-04-16","19.73"
"2012-04-13","19.85"
"2012-04-12","20.06"
"2012-04-11","20.02"
"2012-04-10","19.55"
"2012-04-09","19.96"
"2012-04-05","20.22"
"2012-04-04","20.36"
"2012-04-03","20.82"
"2012-04-02","21.19"
"2012-03-30","21.15"
"2012-03-29","21.03"
"2012-03-28","21.08"
"2012-03-27","20.91"
"2012-03-26","20.84"
"2012-03-23","20.53"
"2012-03-22","20.38"
"2012-03-21","20.50"
"2012-03-20","20.57"
"2012-03-19","20.14"
"2012-03-16","20.03"
"2012-03-15","19.91"
"2012-03-14","20.20"
"2012-03-13","20.22"
"2012-03-12","19.83"
"2012-03-09","19.80"
"2012-03-08","19.68"
"2012-03-07","19.41"
"2012-03-06","19.48"
"2012-03-05","19.60"
"2012-03-02","19.76"
"2012-03-01","19.88"
"2012-02-29","19.88"
"2012-02-28","20.20"
"2012-02-27","20.17"
"2012-02-24","20.14"
"2012-02-23","20.23"
"2012-02-22","20.12"
"2012-02-21","20.36"
"2012-02-17","20.29"
"2012-02-16","20.19"
"2012-02-15","19.91"
"2012-02-14","20.07"
"2012-02-13","20.03"
"2012-02-10","19.90"
"2012-02-09","20.00"
"2012-02-08","20.43"
"2012-02-07","20.20"
"2012-02-06","20.19"
"2012-02-03","20.09"
"2012-02-02","19.80"
"2012-02-01","19.80"
"2012-01-31","19.65"
"2012-01-30","19.56"
"2012-01-27","19.56"
"2012-01-26","19.83"
"2012-01-25","19.83"
"2012-01-24","19.82"
"2012-01-23","19.83"
"2012-01-20","19.92"
"2012-01-19","19.79"
"2012-01-18","19.54"
"2012-01-17","19.31"
"2012-01-13","19.06"
"2012-01-12","19.15"
"2012-01-11","19.07"
"2012-01-10","18.83"
"2012-01-09","18.97"
"2012-01-06","18.85"
"2012-01-05","18.92"
"2012-01-04","18.99"
"2012-01-03","18.63"
"2011-12-30","18.08"
"2011-12-29","18.25"
"2011-12-28","18.16"
"2011-12-27","18.58"
"2011-12-23","18.47"
"2011-12-22","18.13"
"2011-12-21","17.92"
"2011-12-20","18.41"
"2011-12-19","17.69"
"2011-12-16","17.94"
"2011-12-15","18.04"
"2011-12-14","17.98"
"2011-12-13","18.47"
"2011-12-12","18.53"
"2011-12-09","18.88"
"2011-12-08","18.57"
"2011-12-07","18.99"
"2011-12-06","18.73"
"2011-12-05","18.79"
"2011-12-02","18.55"
"2011-12-01","18.58"
"2011-11-30","18.64"
"2011-11-29","17.68"
"2011-11-28","18.01"
"2011-11-25","17.50"
"2011-11-23","17.41"
"2011-11-22","17.92"
"2011-11-21","18.00"
"2011-11-18","18.42"
"2011-11-17","18.48"
"2011-11-16","18.80"
"2011-11-15","19.12"
"2011-11-14","18.94"
"2011-11-11","19.02"
"2011-11-10","18.61"
"2011-11-09","17.61"
"2011-11-08","18.31"
"2011-11-07","18.01"
"2011-11-04","18.03"
"2011-11-03","18.18"
"2011-11-02","17.85"
"2011-11-01","17.59"
"2011-10-31","18.53"
"2011-10-28","18.56"
"2011-10-27","18.44"
"2011-10-26","17.61"
"2011-10-25","17.62"
"2011-10-24","17.54"
"2011-10-21","17.38"
"2011-10-20","17.19"
"2011-10-19","17.16"
"2011-10-18","17.51"
"2011-10-17","17.17"
"2011-10-14","17.55"
"2011-10-13","17.42"
"2011-10-12","17.25"
"2011-10-11","16.99"
"2011-10-10","17.09"
"2011-10-07","16.66"
"2011-10-06","16.75"
"2011-10-05","16.16"
"2011-10-04","15.58"
"2011-10-03","15.19"
"2011-09-30","15.50"
"2011-09-29","15.85"
"2011-09-28","15.84"
"2011-09-27","16.07"
"2011-09-26","15.99"
"2011-09-23","15.61"
"2011-09-22","15.33"
"2011-09-21","15.84"
"2011-09-20","16.53"
"2011-09-19","16.51"
"2011-09-16","16.62"
"2011-09-15","16.67"
"2011-09-14","16.33"
"2011-09-13","16.35"
"2011-09-12","16.09"
"2011-09-09","15.82"
"2011-09-08","16.29"
"2011-09-07","15.88"
"2011-09-06","15.28"
"2011-09-02","15.41"
"2011-09-01","15.82"
"2011-08-31","15.67"
"2011-08-30","15.63"
"2011-08-29","15.74"
"2011-08-26","15.32"
"2011-08-25","15.08"
"2011-08-24","15.46"
"2011-08-23","15.44"
"2011-08-22","15.01"
"2011-08-19","15.08"
"2011-08-18","15.01"
"2011-08-17","15.85"
"2011-08-16","16.00"
"2011-08-15","16.03"
"2011-08-12","15.99"
"2011-08-11","15.92"
"2011-08-10","13.73"
"2011-08-09","14.06"
"2011-08-08","13.94"
"2011-08-05","14.94"
"2011-08-04","14.82"
"2011-08-03","15.49"
"2011-08-02","15.46"
"2011-08-01","15.83"
"2011-07-29","15.97"
"2011-07-28","16.01"
"2011-07-27","15.69"
"2011-07-26","16.29"
"2011-07-25","16.28"
"2011-07-22","16.46"
"2011-07-21","16.35"
"2011-07-20","15.82"
"2011-07-19","15.66"
"2011-07-18","15.44"
"2011-07-15","15.59"
"2011-07-14","15.43"
"2011-07-13","15.57"
"2011-07-12","15.60"
"2011-07-11","15.43"
"2011-07-08","15.74"
"2011-07-07","15.90"
"2011-07-06","15.56"
"2011-07-05","15.67"
"2011-07-01","15.86"
"2011-06-30","15.61"
"2011-06-29","15.34"
"2011-06-28","15.13"
"2011-06-27","15.05"
"2011-06-24","14.93"
"2011-06-23","15.47"
"2011-06-22","15.36"
"2011-06-21","15.51"
"2011-06-20","15.14"
"2011-06-17","14.97"
"2011-06-16","15.05"
"2011-06-15","14.84"
"2011-06-14","15.08"
"2011-06-13","15.06"
"2011-06-10","15.12"
"2011-06-09","15.31"
"2011-06-08","15.30"
"2011-06-07","15.51"
"2011-06-06","15.99"
"2011-06-03","16.01"
"2011-06-02","16.25"
"2011-06-01","16.38"
"2011-05-31","16.80"
"2011-05-27","16.46"
"2011-05-26","16.25"
"2011-05-25","16.19"
"2011-05-24","16.27"
"2011-05-23","16.35"
"2011-05-20","16.53"
"2011-05-19","16.66"
"2011-05-18","16.65"
"2011-05-17","16.64"
"2011-05-16","16.60"
"2011-05-13","16.88"
"2011-05-12","16.93"
"2011-05-11","17.78"
"2011-05-10","17.79"
"2011-05-09","17.60"
"2011-05-06","17.56"
"2011-05-05","17.48"
"2011-05-04","17.47"
"2011-05-03","17.41"
"2011-05-02","17.58"
"2011-04-29","17.52"
"2011-04-28","17.29"
"2011-04-27","17.19"
"2011-04-26","17.52"
"2011-04-25","17.10"
"2011-04-21","16.94"
"2011-04-20","16.93"
"2011-04-19","16.61"
"2011-04-18","16.73"
"2011-04-15","17.03"
"2011-04-14","17.17"
"2011-04-13","17.25"
"2011-04-12","17.44"
"2011-04-11","17.47"
"2011-04-08","17.65"
"2011-04-07","17.91"
"2011-04-06","18.07"
"2011-04-05","17.22"
"2011-04-04","17.06"
"2011-04-01","17.04"
"2011-03-31","17.15"
"2011-03-30","17.33"
"2011-03-29","17.44"
"2011-03-28","17.19"
"2011-03-25","17.28"
"2011-03-24","17.36"
"2011-03-23","17.58"
"2011-03-22","17.45"
"2011-03-21","17.39"
"2011-03-18","17.14"
"2011-03-17","17.00"
"2011-03-16","17.05"
"2011-03-15","17.39"
"2011-03-14","17.85"
"2011-03-11","17.95"
"2011-03-10","17.92"
"2011-03-09","18.12"
"2011-03-08","18.22"
"2011-03-07","18.20"
"2011-03-04","18.40"
"2011-03-03","18.53"
"2011-03-02","18.50"
"2011-03-01","18.56"
"2011-02-28","18.56"
"2011-02-25","18.64"
"2011-02-24","18.36"
"2011-02-23","18.40"
"2011-02-22","18.59"
"2011-02-18","18.85"
"2011-02-17","18.68"
"2011-02-16","18.58"
"2011-02-15","18.67"
"2011-02-14","18.81"
"2011-02-11","18.70"
"2011-02-10","18.92"
"2011-02-09","22.04"
"2011-02-08","21.99"
"2011-02-07","22.03"
"2011-02-04","22.05"
"2011-02-03","21.91"
"2011-02-02","21.62"
"2011-02-01","21.47"
"2011-01-31","21.15"
"2011-01-28","20.93"
"2011-01-27","21.44"
"2011-01-26","21.42"
"2011-01-25","21.54"
"2011-01-24","21.17"
"2011-01-21","20.73"
"2011-01-20","20.77"
"2011-01-19","20.82"
"2011-01-18","21.22"
"2011-01-14","21.21"
"2011-01-13","21.08"
"2011-01-12","21.12"
"2011-01-11","20.88"
"2011-01-10","20.79"
"2011-01-07","20.97"
"2011-01-06","20.95"
"2011-01-05","20.77"
"2011-01-04","20.52"
"2011-01-03","20.49"
"2010-12-31","20.23"
"2010-12-30","20.23"
"2010-12-29","20.25"
"2010-12-28","20.35"
"2010-12-27","20.16"
"2010-12-23","19.69"
