"Date","Close"
"2013-12-31","28.77"
"2013-12-30","28.34"
"2013-12-27","28.29"
"2013-12-26","28.43"
"2013-12-24","28.36"
"2013-12-23","28.24"
"2013-12-20","28.08"
"2013-12-19","27.88"
"2013-12-18","27.93"
"2013-12-17","27.67"
"2013-12-16","27.84"
"2013-12-13","27.57"
"2013-12-12","27.28"
"2013-12-11","27.35"
"2013-12-10","27.99"
"2013-12-09","28.08"
"2013-12-06","27.75"
"2013-12-05","27.58"
"2013-12-04","27.20"
"2013-12-03","27.41"
"2013-12-02","27.33"
"2013-11-29","27.27"
"2013-11-27","27.30"
"2013-11-26","27.11"
"2013-11-25","27.40"
"2013-11-22","27.35"
"2013-11-21","27.05"
"2013-11-20","26.91"
"2013-11-19","26.90"
"2013-11-18","27.23"
"2013-11-15","27.00"
"2013-11-14","27.00"
"2013-11-13","26.89"
"2013-11-12","26.78"
"2013-11-11","26.94"
"2013-11-08","26.61"
"2013-11-07","26.23"
"2013-11-06","26.25"
"2013-11-05","26.46"
"2013-11-04","26.48"
"2013-11-01","26.28"
"2013-10-31","26.06"
"2013-10-30","26.19"
"2013-10-29","26.66"
"2013-10-28","26.69"
"2013-10-25","26.61"
"2013-10-24","26.45"
"2013-10-23","26.17"
"2013-10-22","26.09"
"2013-10-21","26.03"
"2013-10-18","25.70"
"2013-10-17","25.37"
"2013-10-16","25.89"
"2013-10-15","26.10"
"2013-10-14","26.02"
"2013-10-11","25.83"
"2013-10-10","26.07"
"2013-10-09","25.46"
"2013-10-08","25.25"
"2013-10-07","25.36"
"2013-10-04","25.57"
"2013-10-03","25.68"
"2013-10-02","26.07"
"2013-10-01","26.15"
"2013-09-30","25.74"
"2013-09-27","25.85"
"2013-09-26","25.98"
"2013-09-25","25.94"
"2013-09-24","26.08"
"2013-09-23","26.20"
"2013-09-20","26.42"
"2013-09-19","26.75"
"2013-09-18","26.69"
"2013-09-17","26.21"
"2013-09-16","26.21"
"2013-09-13","26.06"
"2013-09-12","25.79"
"2013-09-11","26.17"
"2013-09-10","26.06"
"2013-09-09","25.66"
"2013-09-06","25.45"
"2013-09-05","25.43"
"2013-09-04","25.29"
"2013-09-03","24.91"
"2013-08-30","24.61"
"2013-08-29","24.83"
"2013-08-28","24.73"
"2013-08-27","24.81"
"2013-08-26","25.45"
"2013-08-23","25.36"
"2013-08-22","25.18"
"2013-08-21","24.63"
"2013-08-20","24.82"
"2013-08-19","24.89"
"2013-08-16","25.16"
"2013-08-15","25.16"
"2013-08-14","25.30"
"2013-08-13","25.32"
"2013-08-12","25.40"
"2013-08-09","25.70"
"2013-08-08","25.82"
"2013-08-07","25.41"
"2013-08-06","25.61"
"2013-08-05","25.86"
"2013-08-02","26.05"
"2013-08-01","25.44"
"2013-07-31","24.81"
"2013-07-30","24.71"
"2013-07-29","24.65"
"2013-07-26","24.68"
"2013-07-25","24.96"
"2013-07-24","24.94"
"2013-07-23","25.27"
"2013-07-22","25.32"
"2013-07-19","25.39"
"2013-07-18","25.55"
"2013-07-17","25.10"
"2013-07-16","24.64"
"2013-07-15","24.34"
"2013-07-12","24.36"
"2013-07-11","24.39"
"2013-07-10","23.91"
"2013-07-09","24.06"
"2013-07-08","23.27"
"2013-07-05","23.26"
"2013-07-03","23.03"
"2013-07-02","23.11"
"2013-07-01","23.22"
"2013-06-28","23.19"
"2013-06-27","23.46"
"2013-06-26","23.23"
"2013-06-25","23.14"
"2013-06-24","22.65"
"2013-06-21","23.47"
"2013-06-20","23.96"
"2013-06-19","24.60"
"2013-06-18","25.29"
"2013-06-17","24.84"
"2013-06-14","24.94"
"2013-06-13","25.06"
"2013-06-12","24.85"
"2013-06-11","24.77"
"2013-06-10","25.08"
"2013-06-07","25.02"
"2013-06-06","24.73"
"2013-06-05","24.22"
"2013-06-04","24.74"
"2013-06-03","25.18"
"2013-05-31","25.21"
"2013-05-30","25.46"
"2013-05-29","25.19"
"2013-05-28","25.30"
"2013-05-24","25.50"
"2013-05-23","25.35"
"2013-05-22","25.76"
"2013-05-21","26.14"
"2013-05-20","26.12"
"2013-05-17","25.92"
"2013-05-16","25.70"
"2013-05-15","25.90"
"2013-05-14","25.76"
"2013-05-13","25.31"
"2013-05-10","25.43"
"2013-05-09","25.43"
"2013-05-08","25.63"
"2013-05-07","25.33"
"2013-05-06","25.23"
"2013-05-03","24.81"
"2013-05-02","24.31"
"2013-05-01","24.07"
"2013-04-30","24.59"
"2013-04-29","24.61"
"2013-04-26","24.37"
"2013-04-25","24.30"
"2013-04-24","23.99"
"2013-04-23","23.80"
"2013-04-22","23.80"
"2013-04-19","23.70"
"2013-04-18","23.76"
"2013-04-17","23.51"
"2013-04-16","24.14"
"2013-04-15","23.47"
"2013-04-12","24.51"
"2013-04-11","24.28"
"2013-04-10","24.24"
"2013-04-09","23.90"
"2013-04-08","23.95"
"2013-04-05","23.84"
"2013-04-04","23.77"
"2013-04-03","23.95"
"2013-04-02","24.19"
"2013-04-01","24.20"
"2013-03-28","24.63"
"2013-03-27","24.35"
"2013-03-26","24.14"
"2013-03-25","23.89"
"2013-03-22","24.03"
"2013-03-21","23.92"
"2013-03-20","24.30"
"2013-03-19","23.95"
"2013-03-18","23.94"
"2013-03-15","24.02"
"2013-03-14","23.86"
"2013-03-13","23.58"
"2013-03-12","23.38"
"2013-03-11","23.34"
"2013-03-08","22.99"
"2013-03-07","22.71"
"2013-03-06","23.20"
"2013-03-05","23.58"
"2013-03-04","23.15"
"2013-03-01","22.97"
"2013-02-28","22.94"
"2013-02-27","22.80"
"2013-02-26","22.14"
"2013-02-25","22.22"
"2013-02-22","22.86"
"2013-02-21","22.55"
"2013-02-20","22.82"
"2013-02-19","23.08"
"2013-02-15","22.79"
"2013-02-14","22.93"
"2013-02-13","22.87"
"2013-02-12","22.64"
"2013-02-11","22.65"
"2013-02-08","21.97"
"2013-02-07","21.72"
"2013-02-06","21.57"
"2013-02-05","21.64"
"2013-02-04","21.65"
"2013-02-01","21.92"
"2013-01-31","22.03"
"2013-01-30","22.13"
"2013-01-29","22.52"
"2013-01-28","22.32"
"2013-01-25","22.24"
"2013-01-24","22.09"
"2013-01-23","21.68"
"2013-01-22","20.81"
"2013-01-18","20.91"
"2013-01-17","20.89"
"2013-01-16","20.82"
"2013-01-15","20.78"
"2013-01-14","20.65"
"2013-01-11","20.54"
"2013-01-10","20.54"
"2013-01-09","20.54"
"2013-01-08","20.51"
"2013-01-07","20.46"
"2013-01-04","20.94"
"2013-01-03","20.36"
"2013-01-02","20.17"
"2012-12-31","19.73"
"2012-12-28","19.43"
"2012-12-27","19.62"
"2012-12-26","19.70"
"2012-12-24","19.85"
"2012-12-21","19.95"
"2012-12-20","20.10"
"2012-12-19","20.01"
"2012-12-18","20.24"
"2012-12-17","19.91"
"2012-12-14","19.77"
"2012-12-13","19.74"
"2012-12-12","19.64"
"2012-12-11","19.59"
"2012-12-10","19.93"
"2012-12-07","19.91"
"2012-12-06","20.25"
"2012-12-05","20.16"
"2012-12-04","19.64"
"2012-12-03","19.57"
"2012-11-30","19.76"
"2012-11-29","19.84"
"2012-11-28","19.78"
"2012-11-27","20.01"
"2012-11-26","20.01"
"2012-11-23","19.71"
"2012-11-21","19.37"
"2012-11-20","19.52"
"2012-11-19","19.68"
"2012-11-16","19.01"
"2012-11-15","19.37"
"2012-11-14","19.59"
"2012-11-13","19.90"
"2012-11-12","19.96"
"2012-11-09","19.88"
"2012-11-08","20.04"
"2012-11-07","20.23"
"2012-11-06","20.86"
"2012-11-05","20.71"
"2012-11-02","20.66"
"2012-11-01","20.83"
"2012-10-31","20.47"
"2012-10-26","20.55"
"2012-10-25","20.58"
"2012-10-24","20.59"
"2012-10-23","21.31"
"2012-10-22","21.29"
"2012-10-19","21.10"
"2012-10-18","21.36"
"2012-10-17","21.19"
"2012-10-16","21.63"
"2012-10-15","21.45"
"2012-10-12","21.31"
"2012-10-11","21.16"
"2012-10-10","21.09"
"2012-10-09","21.21"
"2012-10-08","21.61"
"2012-10-05","21.42"
"2012-10-04","21.29"
"2012-10-03","21.18"
"2012-10-02","20.70"
"2012-10-01","20.81"
"2012-09-28","20.75"
"2012-09-27","21.11"
"2012-09-26","21.00"
"2012-09-25","21.17"
"2012-09-24","21.36"
"2012-09-21","21.13"
"2012-09-20","21.49"
"2012-09-19","22.79"
"2012-09-18","23.01"
"2012-09-17","23.26"
"2012-09-14","23.16"
"2012-09-13","23.04"
"2012-09-12","22.84"
"2012-09-11","22.66"
"2012-09-10","22.28"
"2012-09-07","22.31"
"2012-09-06","22.06"
"2012-09-05","21.40"
"2012-09-04","21.73"
"2012-08-31","22.46"
"2012-08-30","22.41"
"2012-08-29","22.60"
"2012-08-28","22.70"
"2012-08-27","22.78"
"2012-08-24","22.99"
"2012-08-23","22.84"
"2012-08-22","23.22"
"2012-08-21","23.26"
"2012-08-20","23.39"
"2012-08-17","23.39"
"2012-08-16","23.19"
"2012-08-15","23.00"
"2012-08-14","22.96"
"2012-08-13","22.88"
"2012-08-10","22.98"
"2012-08-09","22.65"
"2012-08-08","22.81"
"2012-08-07","22.84"
"2012-08-06","22.91"
"2012-08-03","23.11"
"2012-08-02","22.60"
"2012-08-01","22.51"
"2012-07-31","22.94"
"2012-07-30","22.89"
"2012-07-27","22.85"
"2012-07-26","22.25"
"2012-07-25","21.83"
"2012-07-24","21.65"
"2012-07-23","21.89"
"2012-07-20","22.37"
"2012-07-19","22.78"
"2012-07-18","22.63"
"2012-07-17","22.79"
"2012-07-16","22.59"
"2012-07-13","22.66"
"2012-07-12","22.12"
"2012-07-11","22.25"
"2012-07-10","22.22"
"2012-07-09","22.40"
"2012-07-06","22.41"
"2012-07-05","22.27"
"2012-07-03","22.22"
"2012-07-02","22.18"
"2012-06-29","22.36"
"2012-06-28","21.88"
"2012-06-27","21.84"
"2012-06-26","21.43"
"2012-06-25","21.30"
"2012-06-22","21.63"
"2012-06-21","22.10"
"2012-06-20","22.47"
"2012-06-19","22.65"
"2012-06-18","22.69"
"2012-06-15","22.30"
"2012-06-14","21.93"
"2012-06-13","21.74"
"2012-06-12","21.77"
"2012-06-11","20.98"
"2012-06-08","21.08"
"2012-06-07","20.99"
"2012-06-06","20.89"
"2012-06-05","20.33"
"2012-06-04","20.34"
"2012-06-01","20.32"
"2012-05-31","20.89"
"2012-05-30","20.88"
"2012-05-29","21.40"
"2012-05-25","21.37"
"2012-05-24","21.35"
"2012-05-23","21.47"
"2012-05-22","21.13"
"2012-05-21","21.33"
"2012-05-18","20.78"
"2012-05-17","21.02"
"2012-05-16","21.52"
"2012-05-15","21.51"
"2012-05-14","21.54"
"2012-05-11","21.66"
"2012-05-10","21.68"
"2012-05-09","21.66"
"2012-05-08","21.99"
"2012-05-07","21.99"
"2012-05-04","22.15"
"2012-05-03","22.46"
"2012-05-02","22.55"
"2012-05-01","22.68"
"2012-04-30","22.29"
"2012-04-27","22.39"
"2012-04-26","22.39"
"2012-04-25","22.16"
"2012-04-24","21.81"
"2012-04-23","21.49"
"2012-04-20","21.61"
"2012-04-19","21.56"
"2012-04-18","22.21"
"2012-04-17","22.44"
"2012-04-16","22.08"
"2012-04-13","21.92"
"2012-04-12","22.06"
"2012-04-11","21.31"
"2012-04-10","21.06"
"2012-04-09","21.68"
"2012-04-05","22.32"
"2012-04-04","22.49"
"2012-04-03","22.15"
"2012-04-02","22.12"
"2012-03-30","21.52"
"2012-03-29","21.59"
"2012-03-28","21.52"
"2012-03-27","22.06"
"2012-03-26","21.55"
"2012-03-23","21.17"
"2012-03-22","21.02"
"2012-03-21","21.76"
"2012-03-20","21.73"
"2012-03-19","22.07"
"2012-03-16","22.25"
"2012-03-15","21.92"
"2012-03-14","20.21"
"2012-03-13","20.81"
"2012-03-12","20.62"
"2012-03-09","20.90"
"2012-03-08","20.89"
"2012-03-07","20.25"
"2012-03-06","20.16"
"2012-03-05","20.46"
"2012-03-02","20.76"
"2012-03-01","21.09"
"2012-02-29","21.01"
"2012-02-28","21.52"
"2012-02-27","21.84"
"2012-02-24","21.66"
"2012-02-23","21.69"
"2012-02-22","21.33"
"2012-02-21","21.15"
"2012-02-17","21.59"
"2012-02-16","21.52"
"2012-02-15","21.19"
"2012-02-14","21.82"
"2012-02-13","21.94"
"2012-02-10","22.05"
"2012-02-09","22.28"
"2012-02-08","21.95"
"2012-02-07","22.15"
"2012-02-06","22.32"
"2012-02-03","23.17"
"2012-02-02","22.58"
"2012-02-01","22.65"
"2012-01-31","22.55"
"2012-01-30","22.67"
"2012-01-27","22.76"
"2012-01-26","22.98"
"2012-01-25","22.66"
"2012-01-24","21.85"
"2012-01-23","22.69"
"2012-01-20","22.82"
"2012-01-19","23.05"
"2012-01-18","22.86"
"2012-01-17","22.95"
"2012-01-13","22.94"
"2012-01-12","23.68"
"2012-01-11","23.48"
"2012-01-10","23.53"
"2012-01-09","23.03"
"2012-01-06","22.69"
"2012-01-05","22.76"
"2012-01-04","22.66"
"2012-01-03","22.04"
"2011-12-30","21.06"
"2011-12-29","21.02"
"2011-12-28","20.86"
"2011-12-27","21.25"
"2011-12-23","21.34"
"2011-12-22","21.09"
"2011-12-21","21.02"
"2011-12-20","20.94"
"2011-12-19","20.24"
"2011-12-16","20.41"
"2011-12-15","19.98"
"2011-12-14","20.04"
"2011-12-13","20.43"
"2011-12-12","20.90"
"2011-12-09","21.32"
"2011-12-08","21.04"
"2011-12-07","21.52"
"2011-12-06","21.83"
"2011-12-05","22.03"
"2011-12-02","21.65"
"2011-12-01","21.73"
"2011-11-30","21.71"
"2011-11-29","20.68"
"2011-11-28","20.68"
"2011-11-25","20.00"
"2011-11-23","20.23"
"2011-11-22","20.94"
"2011-11-21","20.94"
"2011-11-18","21.64"
"2011-11-17","21.45"
"2011-11-16","22.03"
"2011-11-15","22.35"
"2011-11-14","22.31"
"2011-11-11","22.49"
"2011-11-10","21.70"
"2011-11-09","21.17"
"2011-11-08","22.16"
"2011-11-07","21.92"
"2011-11-04","21.76"
"2011-11-03","21.85"
"2011-11-02","21.68"
"2011-11-01","21.49"
"2011-10-31","22.21"
"2011-10-28","23.11"
"2011-10-27","22.69"
"2011-10-26","21.43"
"2011-10-25","21.17"
"2011-10-24","21.86"
"2011-10-21","21.86"
"2011-10-20","21.21"
"2011-10-19","21.05"
"2011-10-18","21.34"
"2011-10-17","20.39"
"2011-10-14","21.13"
"2011-10-13","20.77"
"2011-10-12","21.11"
"2011-10-11","20.85"
"2011-10-10","20.88"
"2011-10-07","20.09"
"2011-10-06","20.21"
"2011-10-05","19.63"
"2011-10-04","19.21"
"2011-10-03","18.39"
"2011-09-30","18.67"
"2011-09-29","19.58"
"2011-09-28","18.90"
"2011-09-27","19.58"
"2011-09-26","19.05"
"2011-09-23","19.25"
"2011-09-22","18.61"
"2011-09-21","18.59"
"2011-09-20","20.23"
"2011-09-19","20.51"
"2011-09-16","21.43"
"2011-09-15","21.04"
"2011-09-14","20.60"
"2011-09-13","20.22"
"2011-09-12","19.51"
"2011-09-09","19.58"
"2011-09-08","20.20"
"2011-09-07","20.82"
"2011-09-06","20.36"
"2011-09-02","20.56"
"2011-09-01","21.53"
"2011-08-31","21.94"
"2011-08-30","21.89"
"2011-08-29","21.80"
"2011-08-26","21.45"
"2011-08-25","20.91"
"2011-08-24","21.00"
"2011-08-23","20.50"
"2011-08-22","20.19"
"2011-08-19","20.40"
"2011-08-18","21.18"
"2011-08-17","22.56"
"2011-08-16","22.41"
"2011-08-15","22.98"
"2011-08-12","22.60"
"2011-08-11","22.30"
"2011-08-10","21.54"
"2011-08-09","22.08"
"2011-08-08","20.59"
"2011-08-05","21.97"
"2011-08-04","22.03"
"2011-08-03","23.62"
"2011-08-02","23.47"
"2011-08-01","24.70"
"2011-07-29","24.57"
"2011-07-28","24.73"
"2011-07-27","24.68"
"2011-07-26","25.05"
"2011-07-25","25.46"
"2011-07-22","25.38"
"2011-07-21","25.49"
"2011-07-20","25.05"
"2011-07-19","25.48"
