"Date","Close"
"2013-12-31","17.93"
"2013-12-30","17.76"
"2013-12-27","17.78"
"2013-12-26","17.72"
"2013-12-24","17.71"
"2013-12-23","17.56"
"2013-12-20","17.21"
"2013-12-19","17.16"
"2013-12-18","16.48"
"2013-12-17","16.41"
"2013-12-16","16.38"
"2013-12-13","16.30"
"2013-12-12","16.02"
"2013-12-11","16.22"
"2013-12-10","16.51"
"2013-12-09","16.36"
"2013-12-06","16.00"
"2013-12-05","16.21"
"2013-12-04","16.29"
"2013-12-03","16.16"
"2013-12-02","16.80"
"2013-11-29","16.77"
"2013-11-27","16.56"
"2013-11-26","15.76"
"2013-11-25","15.30"
"2013-11-22","15.80"
"2013-11-21","14.92"
"2013-11-20","14.83"
"2013-11-19","14.94"
"2013-11-18","14.90"
"2013-11-15","14.93"
"2013-11-14","15.16"
"2013-11-13","15.31"
"2013-11-12","15.04"
"2013-11-11","15.35"
"2013-11-08","15.08"
"2013-11-07","15.63"
"2013-11-06","15.96"
"2013-11-05","16.20"
"2013-11-04","16.20"
"2013-11-01","16.08"
"2013-10-31","15.55"
"2013-10-30","15.65"
"2013-10-29","15.91"
"2013-10-28","15.97"
"2013-10-25","15.81"
"2013-10-24","15.82"
"2013-10-23","15.57"
"2013-10-22","15.64"
"2013-10-21","15.54"
"2013-10-18","15.66"
"2013-10-17","15.73"
"2013-10-16","15.99"
"2013-10-15","16.24"
"2013-10-14","16.41"
"2013-10-11","16.27"
"2013-10-10","16.43"
"2013-10-09","16.22"
"2013-10-08","16.20"
"2013-10-07","16.64"
"2013-10-04","16.94"
"2013-10-03","16.75"
"2013-10-02","17.04"
"2013-10-01","16.91"
"2013-09-30","16.84"
"2013-09-27","16.83"
"2013-09-26","17.12"
"2013-09-25","16.94"
"2013-09-24","17.18"
"2013-09-23","17.29"
"2013-09-20","17.62"
"2013-09-19","17.88"
"2013-09-18","17.58"
"2013-09-17","17.45"
"2013-09-16","17.65"
"2013-09-13","17.65"
"2013-09-12","17.65"
"2013-09-11","17.72"
"2013-09-10","17.84"
"2013-09-09","17.88"
"2013-09-06","17.95"
"2013-09-05","17.72"
"2013-09-04","17.93"
"2013-09-03","17.76"
"2013-08-30","17.73"
"2013-08-29","17.78"
"2013-08-28","17.90"
"2013-08-27","17.39"
"2013-08-26","17.68"
"2013-08-23","17.78"
"2013-08-22","17.79"
"2013-08-21","17.62"
"2013-08-20","18.40"
"2013-08-19","17.81"
"2013-08-16","18.43"
"2013-08-15","18.63"
"2013-08-14","19.13"
"2013-08-13","19.37"
"2013-08-12","19.79"
"2013-08-09","19.61"
"2013-08-08","19.48"
"2013-08-07","19.64"
"2013-08-06","19.00"
"2013-08-05","19.65"
"2013-08-02","19.61"
"2013-08-01","18.64"
"2013-07-31","18.69"
"2013-07-30","18.49"
"2013-07-29","18.67"
"2013-07-26","18.83"
"2013-07-25","18.73"
"2013-07-24","18.70"
"2013-07-23","18.70"
"2013-07-22","18.89"
"2013-07-19","18.96"
"2013-07-18","18.80"
"2013-07-17","18.94"
"2013-07-16","18.58"
"2013-07-15","18.93"
"2013-07-12","18.81"
"2013-07-11","18.99"
"2013-07-10","18.85"
"2013-07-09","18.70"
"2013-07-08","19.05"
"2013-07-05","19.22"
"2013-07-03","18.76"
"2013-07-02","19.02"
"2013-07-01","18.44"
"2013-06-28","16.82"
"2013-06-27","16.28"
"2013-06-26","15.42"
"2013-06-25","15.03"
"2013-06-24","14.79"
"2013-06-21","14.96"
"2013-06-20","14.80"
"2013-06-19","15.19"
"2013-06-18","15.30"
"2013-06-17","15.13"
"2013-06-14","14.68"
"2013-06-13","14.17"
"2013-06-12","13.93"
"2013-06-11","14.14"
"2013-06-10","14.31"
"2013-06-07","14.65"
"2013-06-06","14.62"
"2013-06-05","14.82"
"2013-06-04","15.11"
"2013-06-03","15.05"
"2013-05-31","15.12"
"2013-05-30","15.47"
"2013-05-29","15.35"
"2013-05-28","15.50"
"2013-05-24","15.34"
"2013-05-23","15.45"
"2013-05-22","15.34"
"2013-05-21","15.70"
"2013-05-20","15.29"
"2013-05-17","15.43"
"2013-05-16","15.20"
"2013-05-15","15.58"
"2013-05-14","15.58"
"2013-05-13","15.45"
"2013-05-10","15.83"
"2013-05-09","15.59"
"2013-05-08","15.47"
"2013-05-07","15.23"
"2013-05-06","15.08"
"2013-05-03","15.28"
"2013-05-02","15.07"
"2013-05-01","14.79"
"2013-04-30","14.86"
"2013-04-29","14.99"
"2013-04-26","14.80"
"2013-04-25","14.48"
"2013-04-24","14.38"
"2013-04-23","14.49"
"2013-04-22","14.35"
"2013-04-19","14.27"
"2013-04-18","14.10"
"2013-04-17","14.17"
"2013-04-16","14.56"
"2013-04-15","14.51"
"2013-04-12","14.84"
"2013-04-11","14.40"
"2013-04-10","14.51"
"2013-04-09","14.41"
"2013-04-08","14.45"
"2013-04-05","14.41"
"2013-04-04","14.41"
"2013-04-03","14.30"
"2013-04-02","14.65"
"2013-04-01","14.80"
"2013-03-28","14.96"
"2013-03-27","14.92"
"2013-03-26","14.86"
"2013-03-25","14.84"
"2013-03-22","14.94"
"2013-03-21","14.70"
"2013-03-20","14.81"
"2013-03-19","14.57"
"2013-03-18","14.25"
"2013-03-15","14.08"
"2013-03-14","13.74"
"2013-03-13","13.73"
"2013-03-12","14.07"
"2013-03-11","14.27"
"2013-03-08","13.96"
"2013-03-07","13.98"
"2013-03-06","13.77"
"2013-03-05","13.88"
"2013-03-04","13.89"
"2013-03-01","13.76"
"2013-02-28","13.99"
"2013-02-27","15.47"
"2013-02-26","15.29"
"2013-02-25","15.02"
"2013-02-22","15.13"
"2013-02-21","14.43"
"2013-02-20","15.04"
"2013-02-19","15.28"
"2013-02-15","15.15"
"2013-02-14","14.96"
"2013-02-13","15.11"
"2013-02-12","15.02"
"2013-02-11","14.91"
"2013-02-08","14.97"
"2013-02-07","15.17"
"2013-02-06","14.37"
"2013-02-05","14.61"
"2013-02-04","14.17"
"2013-02-01","14.27"
"2013-01-31","14.64"
"2013-01-30","15.05"
"2013-01-29","15.25"
"2013-01-28","15.75"
"2013-01-25","15.20"
"2013-01-24","15.09"
"2013-01-23","15.18"
"2013-01-22","15.41"
"2013-01-18","15.33"
"2013-01-17","15.34"
"2013-01-16","15.23"
"2013-01-15","15.50"
"2013-01-14","15.65"
"2013-01-11","15.39"
"2013-01-10","15.41"
"2013-01-09","14.99"
"2013-01-08","14.91"
"2013-01-07","15.08"
"2013-01-04","15.31"
"2013-01-03","15.03"
"2013-01-02","15.21"
"2012-12-31","14.94"
"2012-12-28","14.73"
"2012-12-27","14.82"
"2012-12-26","14.92"
"2012-12-24","14.89"
"2012-12-21","14.74"
"2012-12-20","14.86"
"2012-12-19","14.94"
"2012-12-18","15.06"
"2012-12-17","14.89"
"2012-12-14","14.46"
"2012-12-13","14.40"
"2012-12-12","14.53"
"2012-12-11","14.27"
"2012-12-10","14.32"
"2012-12-07","14.35"
"2012-12-06","14.16"
"2012-12-05","13.80"
"2012-12-04","13.94"
"2012-12-03","13.82"
"2012-11-30","13.84"
"2012-11-29","13.81"
"2012-11-28","13.86"
"2012-11-27","13.71"
"2012-11-26","14.02"
"2012-11-23","13.98"
"2012-11-21","14.06"
"2012-11-20","14.07"
"2012-11-19","13.90"
"2012-11-16","14.02"
"2012-11-15","13.63"
"2012-11-14","13.65"
"2012-11-13","14.24"
"2012-11-12","14.46"
"2012-11-09","14.79"
"2012-11-08","14.67"
"2012-11-07","14.98"
"2012-11-06","15.49"
"2012-11-05","16.53"
"2012-11-02","16.94"
"2012-11-01","17.46"
"2012-10-31","17.42"
"2012-10-26","17.89"
"2012-10-25","17.89"
"2012-10-24","17.84"
"2012-10-23","18.09"
"2012-10-22","18.45"
"2012-10-19","18.39"
"2012-10-18","18.52"
"2012-10-17","17.75"
"2012-10-16","17.72"
"2012-10-15","17.73"
"2012-10-12","16.91"
"2012-10-11","16.73"
"2012-10-10","16.71"
"2012-10-09","16.78"
"2012-10-08","17.24"
"2012-10-05","16.96"
"2012-10-04","16.88"
"2012-10-03","16.47"
"2012-10-02","16.14"
"2012-10-01","15.79"
"2012-09-28","15.85"
"2012-09-27","16.02"
"2012-09-26","15.87"
"2012-09-25","15.90"
"2012-09-24","16.38"
"2012-09-21","16.32"
"2012-09-20","16.49"
"2012-09-19","16.72"
"2012-09-18","16.56"
"2012-09-17","16.82"
"2012-09-14","16.98"
"2012-09-13","16.61"
"2012-09-12","16.33"
"2012-09-11","15.77"
"2012-09-10","15.75"
"2012-09-07","15.65"
"2012-09-06","15.44"
"2012-09-05","15.11"
"2012-09-04","14.81"
"2012-08-31","14.95"
"2012-08-30","14.71"
"2012-08-29","14.77"
"2012-08-28","14.83"
"2012-08-27","14.99"
"2012-08-24","15.17"
"2012-08-23","15.05"
"2012-08-22","15.28"
"2012-08-21","15.42"
"2012-08-20","15.35"
"2012-08-17","15.14"
"2012-08-16","15.06"
"2012-08-15","15.37"
"2012-08-14","15.50"
"2012-08-13","15.48"
"2012-08-10","15.50"
"2012-08-09","15.75"
"2012-08-08","15.92"
"2012-08-07","15.83"
"2012-08-06","15.83"
"2012-08-03","15.54"
"2012-08-02","14.98"
"2012-08-01","15.34"
"2012-07-31","15.34"
"2012-07-30","15.21"
"2012-07-27","15.07"
"2012-07-26","14.77"
"2012-07-25","14.70"
"2012-07-24","14.52"
"2012-07-23","14.61"
"2012-07-20","14.57"
"2012-07-19","14.16"
"2012-07-18","13.38"
"2012-07-17","13.39"
"2012-07-16","13.06"
"2012-07-13","13.10"
"2012-07-12","12.80"
"2012-07-11","12.95"
"2012-07-10","12.95"
"2012-07-09","13.10"
"2012-07-06","13.32"
"2012-07-05","13.50"
"2012-07-03","13.75"
"2012-07-02","13.56"
"2012-06-29","13.29"
"2012-06-28","12.96"
"2012-06-27","12.71"
"2012-06-26","12.18"
"2012-06-25","12.10"
"2012-06-22","12.41"
"2012-06-21","12.21"
"2012-06-20","12.61"
"2012-06-19","12.53"
"2012-06-18","12.39"
"2012-06-15","12.46"
"2012-06-14","12.19"
"2012-06-13","11.58"
"2012-06-12","11.54"
"2012-06-11","11.32"
"2012-06-08","11.55"
"2012-06-07","11.58"
"2012-06-06","11.74"
"2012-06-05","11.44"
"2012-06-04","11.01"
"2012-06-01","10.97"
"2012-05-31","11.44"
"2012-05-30","11.43"
"2012-05-29","11.80"
"2012-05-25","11.66"
"2012-05-24","11.66"
"2012-05-23","11.40"
"2012-05-22","11.48"
"2012-05-21","11.41"
"2012-05-18","11.09"
"2012-05-17","11.12"
"2012-05-16","11.47"
"2012-05-15","11.96"
"2012-05-14","12.36"
"2012-05-11","12.56"
"2012-05-10","12.49"
"2012-05-09","12.53"
"2012-05-08","12.89"
"2012-05-07","13.00"
"2012-05-04","13.07"
"2012-05-03","13.54"
"2012-05-02","14.70"
"2012-05-01","15.02"
"2012-04-30","14.82"
"2012-04-27","14.56"
"2012-04-26","14.49"
"2012-04-25","14.19"
"2012-04-24","13.78"
"2012-04-23","13.63"
"2012-04-20","13.79"
"2012-04-19","13.69"
"2012-04-18","13.74"
"2012-04-17","13.62"
"2012-04-16","13.34"
"2012-04-13","13.21"
"2012-04-12","13.42"
"2012-04-11","13.43"
"2012-04-10","13.41"
"2012-04-09","13.66"
"2012-04-05","14.00"
"2012-04-04","14.01"
"2012-04-03","14.29"
"2012-04-02","14.63"
"2012-03-30","14.68"
"2012-03-29","14.80"
"2012-03-28","14.78"
"2012-03-27","14.90"
"2012-03-26","15.08"
"2012-03-23","14.70"
"2012-03-22","14.73"
"2012-03-21","14.74"
"2012-03-20","14.64"
"2012-03-19","14.74"
"2012-03-16","14.65"
"2012-03-15","14.85"
"2012-03-14","14.73"
"2012-03-13","14.87"
"2012-03-12","14.56"
"2012-03-09","14.41"
"2012-03-08","14.23"
"2012-03-07","13.93"
"2012-03-06","13.93"
"2012-03-05","14.29"
"2012-03-02","14.76"
"2012-03-01","14.11"
"2012-02-29","14.23"
"2012-02-28","14.13"
"2012-02-27","15.64"
"2012-02-24","15.62"
"2012-02-23","15.65"
"2012-02-22","15.07"
"2012-02-21","15.33"
"2012-02-17","15.37"
"2012-02-16","15.16"
"2012-02-15","14.87"
"2012-02-14","14.55"
"2012-02-13","14.66"
"2012-02-10","14.82"
"2012-02-09","15.24"
"2012-02-08","14.73"
"2012-02-07","14.73"
"2012-02-06","14.91"
"2012-02-03","14.52"
"2012-02-02","14.34"
"2012-02-01","14.54"
"2012-01-31","14.55"
"2012-01-30","14.70"
"2012-01-27","14.39"
"2012-01-26","14.68"
"2012-01-25","14.73"
"2012-01-24","14.16"
"2012-01-23","14.77"
"2012-01-20","14.58"
"2012-01-19","14.24"
"2012-01-18","13.75"
"2012-01-17","13.97"
"2012-01-13","13.97"
"2012-01-12","14.10"
"2012-01-11","14.35"
"2012-01-10","14.40"
"2012-01-09","14.91"
"2012-01-06","14.85"
"2012-01-05","14.85"
"2012-01-04","14.93"
"2012-01-03","14.78"
"2011-12-30","14.22"
"2011-12-29","14.30"
"2011-12-28","14.08"
"2011-12-27","14.44"
"2011-12-23","14.64"
"2011-12-22","14.33"
"2011-12-21","13.82"
"2011-12-20","13.36"
"2011-12-19","13.00"
"2011-12-16","12.75"
"2011-12-15","13.93"
"2011-12-14","14.00"
"2011-12-13","14.14"
"2011-12-12","14.48"
"2011-12-09","14.23"
"2011-12-08","14.04"
"2011-12-07","14.95"
"2011-12-06","14.87"
"2011-12-05","14.94"
"2011-12-02","15.14"
"2011-12-01","14.94"
"2011-11-30","15.00"
"2011-11-29","14.74"
"2011-11-28","14.75"
"2011-11-25","14.48"
"2011-11-23","14.22"
"2011-11-22","14.64"
"2011-11-21","14.66"
"2011-11-18","14.85"
"2011-11-17","14.96"
"2011-11-16","15.19"
"2011-11-15","15.25"
"2011-11-14","15.11"
"2011-11-11","15.43"
"2011-11-10","14.96"
"2011-11-09","14.62"
"2011-11-08","15.21"
"2011-11-07","15.30"
"2011-11-04","14.87"
"2011-11-03","15.00"
"2011-11-02","14.45"
"2011-11-01","14.59"
"2011-10-31","14.47"
"2011-10-28","15.14"
"2011-10-27","17.31"
"2011-10-26","17.51"
"2011-10-25","17.49"
"2011-10-24","18.07"
"2011-10-21","17.57"
"2011-10-20","16.96"
"2011-10-19","17.31"
"2011-10-18","17.54"
"2011-10-17","17.22"
"2011-10-14","18.11"
"2011-10-13","17.54"
"2011-10-12","17.04"
"2011-10-11","17.20"
"2011-10-10","17.48"
"2011-10-07","16.37"
"2011-10-06","16.69"
"2011-10-05","16.21"
"2011-10-04","15.88"
"2011-10-03","15.02"
"2011-09-30","15.73"
"2011-09-29","16.67"
"2011-09-28","17.06"
"2011-09-27","17.94"
"2011-09-26","17.44"
"2011-09-23","16.99"
"2011-09-22","16.25"
"2011-09-21","16.84"
"2011-09-20","17.49"
"2011-09-19","17.54"
"2011-09-16","17.86"
"2011-09-15","17.48"
"2011-09-14","17.83"
"2011-09-13","16.67"
"2011-09-12","15.97"
"2011-09-09","15.99"
"2011-09-08","16.67"
"2011-09-07","17.10"
"2011-09-06","16.57"
"2011-09-02","16.94"
"2011-09-01","17.84"
"2011-08-31","18.06"
"2011-08-30","17.98"
"2011-08-29","18.01"
"2011-08-26","17.35"
"2011-08-25","17.01"
"2011-08-24","17.16"
"2011-08-23","17.32"
"2011-08-22","16.50"
"2011-08-19","16.97"
"2011-08-18","17.17"
"2011-08-17","18.66"
"2011-08-16","18.73"
"2011-08-15","19.13"
"2011-08-12","18.74"
"2011-08-11","18.47"
"2011-08-10","16.86"
"2011-08-09","17.02"
"2011-08-08","19.52"
"2011-08-05","21.50"
"2011-08-04","21.80"
"2011-08-03","23.10"
"2011-08-02","23.03"
"2011-08-01","24.04"
"2011-07-29","24.36"
"2011-07-28","24.77"
"2011-07-27","25.19"
"2011-07-26","25.49"
"2011-07-25","25.55"
"2011-07-22","26.00"
"2011-07-21","26.00"
"2011-07-20","25.85"
"2011-07-19","26.23"
"2011-07-18","25.64"
"2011-07-15","25.91"
"2011-07-14","26.10"
"2011-07-13","26.27"
"2011-07-12","26.31"
"2011-07-11","26.56"
"2011-07-08","27.22"
"2011-07-07","27.48"
"2011-07-06","27.36"
"2011-07-05","26.37"
"2011-07-01","25.96"
"2011-06-30","36.21"
"2011-06-29","35.76"
"2011-06-28","35.33"
"2011-06-27","34.57"
"2011-06-24","34.53"
"2011-06-23","34.73"
"2011-06-22","35.36"
"2011-06-21","35.97"
"2011-06-20","35.30"
"2011-06-17","36.04"
"2011-06-16","35.93"
"2011-06-15","36.02"
"2011-06-14","36.42"
"2011-06-13","35.48"
"2011-06-10","35.26"
"2011-06-09","35.42"
"2011-06-08","35.26"
"2011-06-07","35.65"
"2011-06-06","34.12"
"2011-06-03","34.66"
"2011-06-02","35.18"
"2011-06-01","34.59"
"2011-05-31","35.52"
"2011-05-27","34.90"
"2011-05-26","34.63"
"2011-05-25","33.82"
"2011-05-24","33.89"
"2011-05-23","34.10"
"2011-05-20","34.50"
"2011-05-19","34.08"
"2011-05-18","33.73"
"2011-05-17","33.36"
"2011-05-16","34.40"
"2011-05-13","34.90"
"2011-05-12","35.06"
"2011-05-11","35.23"
"2011-05-10","35.08"
"2011-05-09","34.11"
"2011-05-06","34.38"
"2011-05-05","33.91"
"2011-05-04","35.27"
"2011-05-03","35.32"
"2011-05-02","35.37"
"2011-04-29","35.23"
"2011-04-28","35.38"
"2011-04-27","34.80"
"2011-04-26","34.94"
"2011-04-25","34.72"
"2011-04-21","34.56"
"2011-04-20","34.38"
"2011-04-19","33.34"
"2011-04-18","32.97"
"2011-04-15","33.63"
"2011-04-14","33.65"
"2011-04-13","33.72"
"2011-04-12","33.55"
"2011-04-11","33.69"
"2011-04-08","33.31"
"2011-04-07","33.76"
"2011-04-06","33.73"
"2011-04-05","34.87"
"2011-04-04","34.95"
"2011-04-01","34.66"
"2011-03-31","34.61"
"2011-03-30","34.33"
"2011-03-29","34.32"
"2011-03-28","34.35"
"2011-03-25","34.85"
"2011-03-24","34.86"
"2011-03-23","34.53"
"2011-03-22","34.75"
"2011-03-21","35.14"
"2011-03-18","34.97"
"2011-03-17","34.84"
"2011-03-16","34.34"
"2011-03-15","34.91"
"2011-03-14","35.06"
"2011-03-11","35.43"
"2011-03-10","35.21"
"2011-03-09","35.62"
"2011-03-08","36.10"
"2011-03-07","35.88"
"2011-03-04","36.34"
"2011-03-03","37.14"
"2011-03-02","36.46"
"2011-03-01","36.05"
"2011-02-28","36.85"
"2011-02-25","36.98"
"2011-02-24","36.36"
"2011-02-23","36.26"
"2011-02-22","36.78"
"2011-02-18","37.62"
"2011-02-17","37.46"
"2011-02-16","36.76"
"2011-02-15","37.42"
"2011-02-14","37.72"
"2011-02-11","37.69"
"2011-02-10","37.30"
"2011-02-09","37.14"
"2011-02-08","36.16"
"2011-02-07","36.07"
"2011-02-04","36.03"
"2011-02-03","35.38"
"2011-02-02","34.56"
"2011-02-01","34.69"
"2011-01-31","33.85"
"2011-01-28","34.05"
"2011-01-27","34.74"
"2011-01-26","34.48"
"2011-01-25","34.44"
"2011-01-24","34.45"
"2011-01-21","34.23"
"2011-01-20","34.15"
"2011-01-19","33.73"
"2011-01-18","34.00"
"2011-01-14","33.85"
