"Date","Close"
"2013-12-31","71.57"
"2013-12-30","71.58"
"2013-12-27","71.56"
"2013-12-26","71.28"
"2013-12-24","70.98"
"2013-12-23","70.52"
"2013-12-20","70.06"
"2013-12-19","70.14"
"2013-12-18","69.69"
"2013-12-17","66.81"
"2013-12-16","67.79"
"2013-12-13","67.31"
"2013-12-12","67.57"
"2013-12-11","68.14"
"2013-12-10","67.99"
"2013-12-09","66.73"
"2013-12-06","66.75"
"2013-12-05","65.87"
"2013-12-04","66.12"
"2013-12-03","66.75"
"2013-12-02","66.65"
"2013-11-29","66.96"
"2013-11-27","66.76"
"2013-11-26","66.09"
"2013-11-25","66.78"
"2013-11-22","66.68"
"2013-11-21","66.09"
"2013-11-20","65.42"
"2013-11-19","65.22"
"2013-11-18","65.44"
"2013-11-15","65.62"
"2013-11-14","65.27"
"2013-11-13","64.38"
"2013-11-12","63.96"
"2013-11-11","63.93"
"2013-11-08","63.78"
"2013-11-07","63.54"
"2013-11-06","63.87"
"2013-11-05","63.22"
"2013-11-04","61.98"
"2013-11-01","62.59"
"2013-10-31","62.26"
"2013-10-30","62.22"
"2013-10-29","62.55"
"2013-10-28","61.74"
"2013-10-25","61.41"
"2013-10-24","62.07"
"2013-10-23","61.46"
"2013-10-22","61.38"
"2013-10-21","60.38"
"2013-10-18","61.01"
"2013-10-17","60.00"
"2013-10-16","59.16"
"2013-10-15","59.06"
"2013-10-14","59.69"
"2013-10-11","59.57"
"2013-10-10","58.72"
"2013-10-09","58.04"
"2013-10-08","57.05"
"2013-10-07","56.73"
"2013-10-04","56.88"
"2013-10-03","56.64"
"2013-10-02","57.10"
"2013-10-01","57.54"
"2013-09-30","56.75"
"2013-09-27","57.80"
"2013-09-26","58.17"
"2013-09-25","57.78"
"2013-09-24","57.92"
"2013-09-23","58.20"
"2013-09-20","58.53"
"2013-09-19","59.80"
"2013-09-18","60.56"
"2013-09-17","61.01"
"2013-09-16","60.95"
"2013-09-13","59.90"
"2013-09-12","59.51"
"2013-09-11","59.60"
"2013-09-10","59.22"
"2013-09-09","58.77"
"2013-09-06","58.63"
"2013-09-05","58.46"
"2013-09-04","58.62"
"2013-09-03","58.52"
"2013-08-30","58.05"
"2013-08-29","57.82"
"2013-08-28","57.28"
"2013-08-27","57.69"
"2013-08-26","58.24"
"2013-08-23","57.97"
"2013-08-22","58.38"
"2013-08-21","58.09"
"2013-08-20","59.28"
"2013-08-19","58.45"
"2013-08-16","58.57"
"2013-08-15","58.65"
"2013-08-14","59.62"
"2013-08-13","60.32"
"2013-08-12","59.88"
"2013-08-09","59.48"
"2013-08-08","59.34"
"2013-08-07","59.12"
"2013-08-06","59.89"
"2013-08-05","61.62"
"2013-08-02","61.84"
"2013-08-01","62.17"
"2013-07-31","61.49"
"2013-07-30","60.96"
"2013-07-29","61.62"
"2013-07-26","61.96"
"2013-07-25","61.93"
"2013-07-24","61.66"
"2013-07-23","61.89"
"2013-07-22","61.82"
"2013-07-19","61.63"
"2013-07-18","61.20"
"2013-07-17","60.95"
"2013-07-16","60.89"
"2013-07-15","60.65"
"2013-07-12","60.95"
"2013-07-11","61.00"
"2013-07-10","59.88"
"2013-07-09","60.15"
"2013-07-08","59.53"
"2013-07-05","58.64"
"2013-07-03","58.30"
"2013-07-02","58.49"
"2013-07-01","57.59"
"2013-06-28","57.18"
"2013-06-27","57.26"
"2013-06-26","57.36"
"2013-06-25","56.62"
"2013-06-24","56.84"
"2013-06-21","57.57"
"2013-06-20","56.99"
"2013-06-19","59.09"
"2013-06-18","59.91"
"2013-06-17","59.27"
"2013-06-14","59.03"
"2013-06-13","59.27"
"2013-06-12","58.38"
"2013-06-11","58.67"
"2013-06-10","58.60"
"2013-06-07","58.49"
"2013-06-06","57.89"
"2013-06-05","57.23"
"2013-06-04","57.49"
"2013-06-03","58.65"
"2013-05-31","57.58"
"2013-05-30","58.79"
"2013-05-29","59.24"
"2013-05-28","60.21"
"2013-05-24","59.20"
"2013-05-23","58.33"
"2013-05-22","58.70"
"2013-05-21","59.51"
"2013-05-20","58.98"
"2013-05-17","59.44"
"2013-05-16","59.37"
"2013-05-15","60.35"
"2013-05-14","60.07"
"2013-05-13","58.55"
"2013-05-10","58.03"
"2013-05-09","57.49"
"2013-05-08","58.29"
"2013-05-07","58.54"
"2013-05-06","57.94"
"2013-05-03","58.64"
"2013-05-02","58.95"
"2013-05-01","58.75"
"2013-04-30","58.18"
"2013-04-29","57.44"
"2013-04-26","57.73"
"2013-04-25","57.94"
"2013-04-24","57.58"
"2013-04-23","58.02"
"2013-04-22","58.11"
"2013-04-19","58.00"
"2013-04-18","56.87"
"2013-04-17","57.21"
"2013-04-16","57.63"
"2013-04-15","56.31"
"2013-04-12","57.52"
"2013-04-11","57.76"
"2013-04-10","56.96"
"2013-04-09","56.58"
"2013-04-08","56.44"
"2013-04-05","55.64"
"2013-04-04","55.35"
"2013-04-03","54.13"
"2013-04-02","55.24"
"2013-04-01","54.53"
"2013-03-28","54.99"
"2013-03-27","54.99"
"2013-03-26","55.29"
"2013-03-25","55.30"
"2013-03-22","55.20"
"2013-03-21","54.65"
"2013-03-20","55.15"
"2013-03-19","54.38"
"2013-03-18","53.80"
"2013-03-15","53.58"
"2013-03-14","53.26"
"2013-03-13","52.90"
"2013-03-12","52.08"
"2013-03-11","52.63"
"2013-03-08","52.28"
"2013-03-07","52.09"
"2013-03-06","52.22"
"2013-03-05","52.30"
"2013-03-04","51.87"
"2013-03-01","51.56"
"2013-02-28","51.12"
"2013-02-27","51.16"
"2013-02-26","50.64"
"2013-02-25","50.53"
"2013-02-22","51.35"
"2013-02-21","51.86"
"2013-02-20","51.85"
"2013-02-19","52.66"
"2013-02-15","51.12"
"2013-02-14","51.89"
"2013-02-13","51.06"
"2013-02-12","51.17"
"2013-02-11","51.24"
"2013-02-08","51.20"
"2013-02-07","51.19"
"2013-02-06","51.24"
"2013-02-05","51.72"
"2013-02-04","51.00"
"2013-02-01","51.58"
"2013-01-31","51.20"
"2013-01-30","51.65"
"2013-01-29","51.34"
"2013-01-28","51.34"
"2013-01-25","51.86"
"2013-01-24","52.06"
"2013-01-23","52.61"
"2013-01-22","52.11"
"2013-01-18","52.11"
"2013-01-17","52.17"
"2013-01-16","51.76"
"2013-01-15","51.79"
"2013-01-14","51.89"
"2013-01-11","51.30"
"2013-01-10","51.23"
"2013-01-09","50.28"
"2013-01-08","49.85"
"2013-01-07","50.03"
"2013-01-04","49.99"
"2013-01-03","49.78"
"2013-01-02","49.68"
"2012-12-31","48.35"
"2012-12-28","47.92"
"2012-12-27","48.40"
"2012-12-26","48.30"
"2012-12-24","48.63"
"2012-12-21","48.67"
"2012-12-20","49.13"
"2012-12-19","48.75"
"2012-12-18","49.20"
"2012-12-17","49.04"
"2012-12-14","49.24"
"2012-12-13","48.50"
"2012-12-12","47.54"
"2012-12-11","47.55"
"2012-12-10","47.24"
"2012-12-07","46.84"
"2012-12-06","46.71"
"2012-12-05","46.18"
"2012-12-04","45.94"
"2012-12-03","46.28"
"2012-11-30","46.51"
"2012-11-29","46.34"
"2012-11-28","45.88"
"2012-11-27","45.25"
"2012-11-26","45.30"
"2012-11-23","45.83"
"2012-11-21","45.74"
"2012-11-20","45.57"
"2012-11-19","45.08"
"2012-11-16","44.80"
"2012-11-15","44.70"
"2012-11-14","45.41"
"2012-11-13","46.23"
"2012-11-12","46.25"
"2012-11-09","46.36"
"2012-11-08","46.43"
"2012-11-07","46.69"
"2012-11-06","46.88"
"2012-11-05","46.63"
"2012-11-02","46.56"
"2012-11-01","46.49"
"2012-10-31","46.40"
"2012-10-26","46.06"
"2012-10-25","46.11"
"2012-10-24","45.95"
"2012-10-23","45.88"
"2012-10-22","46.26"
"2012-10-19","46.20"
"2012-10-18","46.59"
"2012-10-17","46.65"
"2012-10-16","46.90"
"2012-10-15","47.07"
"2012-10-12","47.08"
"2012-10-11","47.60"
"2012-10-10","48.06"
"2012-10-09","48.02"
"2012-10-08","48.63"
"2012-10-05","48.86"
"2012-10-04","48.88"
"2012-10-03","48.86"
"2012-10-02","48.49"
"2012-10-01","48.67"
"2012-09-28","48.42"
"2012-09-27","48.24"
"2012-09-26","47.83"
"2012-09-25","47.63"
"2012-09-24","48.07"
"2012-09-21","47.87"
"2012-09-20","47.81"
"2012-09-19","47.71"
"2012-09-18","47.40"
"2012-09-17","46.90"
"2012-09-14","46.97"
"2012-09-13","47.45"
"2012-09-12","46.47"
"2012-09-11","46.05"
"2012-09-10","46.19"
"2012-09-07","46.06"
"2012-09-06","46.50"
"2012-09-05","45.53"
"2012-09-04","45.93"
"2012-08-31","45.55"
"2012-08-30","45.20"
"2012-08-29","45.43"
"2012-08-28","45.36"
"2012-08-27","45.44"
"2012-08-24","45.56"
"2012-08-23","45.35"
"2012-08-22","45.70"
"2012-08-21","45.63"
"2012-08-20","45.81"
"2012-08-17","45.31"
"2012-08-16","44.75"
"2012-08-15","44.22"
"2012-08-14","44.12"
"2012-08-13","44.70"
"2012-08-10","44.95"
"2012-08-09","45.02"
"2012-08-08","45.56"
"2012-08-07","44.12"
"2012-08-06","44.90"
"2012-08-03","44.75"
"2012-08-02","44.91"
"2012-08-01","44.84"
"2012-07-31","45.25"
"2012-07-30","45.33"
"2012-07-27","44.94"
"2012-07-26","44.56"
"2012-07-25","44.54"
"2012-07-24","44.59"
"2012-07-23","44.81"
"2012-07-20","45.08"
"2012-07-19","45.43"
"2012-07-18","48.61"
"2012-07-17","48.44"
"2012-07-16","48.07"
"2012-07-13","48.05"
"2012-07-12","47.52"
"2012-07-11","46.90"
"2012-07-10","46.93"
"2012-07-09","47.29"
"2012-07-06","48.12"
"2012-07-05","48.11"
"2012-07-03","47.83"
"2012-07-02","47.81"
"2012-06-29","46.73"
"2012-06-28","45.99"
"2012-06-27","45.99"
"2012-06-26","45.44"
"2012-06-25","45.20"
"2012-06-22","45.90"
"2012-06-21","45.39"
"2012-06-20","45.99"
"2012-06-19","46.25"
"2012-06-18","45.67"
"2012-06-15","45.65"
"2012-06-14","45.81"
"2012-06-13","45.19"
"2012-06-12","45.39"
"2012-06-11","44.73"
"2012-06-08","44.89"
"2012-06-07","44.45"
"2012-06-06","44.84"
"2012-06-05","44.03"
"2012-06-04","44.11"
"2012-06-01","43.60"
"2012-05-31","44.94"
"2012-05-30","45.33"
"2012-05-29","45.64"
"2012-05-25","44.98"
"2012-05-24","45.17"
"2012-05-23","44.79"
"2012-05-22","44.94"
"2012-05-21","44.88"
"2012-05-18","44.43"
"2012-05-17","44.87"
"2012-05-16","45.16"
"2012-05-15","45.32"
"2012-05-14","45.12"
"2012-05-11","45.32"
"2012-05-10","45.97"
"2012-05-09","45.23"
"2012-05-08","45.27"
"2012-05-07","45.26"
"2012-05-04","45.42"
"2012-05-03","46.14"
"2012-05-02","45.92"
"2012-05-01","44.71"
"2012-04-30","44.62"
"2012-04-27","44.88"
"2012-04-26","44.58"
"2012-04-25","43.80"
"2012-04-24","43.42"
"2012-04-23","43.25"
"2012-04-20","44.33"
"2012-04-19","43.33"
"2012-04-18","43.60"
"2012-04-17","43.94"
"2012-04-16","43.61"
"2012-04-13","43.43"
"2012-04-12","43.48"
"2012-04-11","43.75"
"2012-04-10","43.53"
"2012-04-09","43.94"
"2012-04-05","44.62"
"2012-04-04","44.31"
"2012-04-03","44.91"
"2012-04-02","45.07"
"2012-03-30","44.80"
"2012-03-29","44.29"
"2012-03-28","44.60"
"2012-03-27","45.34"
"2012-03-26","45.65"
"2012-03-23","45.14"
"2012-03-22","44.75"
"2012-03-21","44.91"
"2012-03-20","44.68"
"2012-03-19","45.13"
"2012-03-16","45.28"
"2012-03-15","44.88"
"2012-03-14","45.10"
"2012-03-13","45.23"
"2012-03-12","45.36"
"2012-03-09","45.64"
"2012-03-08","45.21"
"2012-03-07","44.71"
"2012-03-06","44.79"
"2012-03-05","45.17"
"2012-03-02","45.03"
"2012-03-01","45.21"
"2012-02-29","45.10"
"2012-02-28","44.91"
"2012-02-27","44.53"
"2012-02-24","44.07"
"2012-02-23","44.04"
"2012-02-22","43.69"
"2012-02-21","44.01"
"2012-02-17","44.27"
"2012-02-16","44.55"
"2012-02-15","43.53"
"2012-02-14","43.38"
"2012-02-13","42.83"
"2012-02-10","43.18"
"2012-02-09","43.00"
"2012-02-08","43.57"
"2012-02-07","43.08"
"2012-02-06","43.27"
"2012-02-03","43.51"
"2012-02-02","42.66"
"2012-02-01","42.65"
"2012-01-31","41.75"
"2012-01-30","41.92"
"2012-01-27","42.26"
"2012-01-26","42.18"
"2012-01-25","42.18"
"2012-01-24","42.44"
"2012-01-23","43.02"
"2012-01-20","42.77"
"2012-01-19","42.88"
"2012-01-18","43.10"
"2012-01-17","42.54"
"2012-01-13","42.15"
"2012-01-12","42.15"
"2012-01-11","42.04"
"2012-01-10","41.95"
"2012-01-09","41.79"
"2012-01-06","41.46"
"2012-01-05","41.75"
"2012-01-04","41.80"
"2012-01-03","41.52"
