"Date","Close"
"2013-12-31","91.33"
"2013-12-30","90.82"
"2013-12-27","90.70"
"2013-12-26","91.12"
"2013-12-24","90.86"
"2013-12-23","90.64"
"2013-12-20","90.08"
"2013-12-19","89.41"
"2013-12-18","89.41"
"2013-12-17","88.30"
"2013-12-16","88.87"
"2013-12-13","87.18"
"2013-12-12","86.84"
"2013-12-11","87.28"
"2013-12-10","88.04"
"2013-12-09","87.20"
"2013-12-06","85.32"
"2013-12-05","84.86"
"2013-12-04","85.38"
"2013-12-03","82.71"
"2013-12-02","83.87"
"2013-11-29","84.24"
"2013-11-27","83.80"
"2013-11-26","83.84"
"2013-11-25","84.68"
"2013-11-22","84.77"
"2013-11-21","83.85"
"2013-11-20","84.52"
"2013-11-19","82.81"
"2013-11-18","83.66"
"2013-11-15","82.83"
"2013-11-14","82.85"
"2013-11-13","82.84"
"2013-11-12","82.12"
"2013-11-11","81.86"
"2013-11-08","81.50"
"2013-11-07","81.56"
"2013-11-06","81.80"
"2013-11-05","81.80"
"2013-11-04","81.79"
"2013-11-01","81.64"
"2013-10-31","81.84"
"2013-10-30","82.21"
"2013-10-29","82.65"
"2013-10-28","83.47"
"2013-10-25","83.55"
"2013-10-24","84.28"
"2013-10-23","84.08"
"2013-10-22","84.54"
"2013-10-21","84.17"
"2013-10-18","84.19"
"2013-10-17","83.65"
"2013-10-16","82.97"
"2013-10-15","82.36"
"2013-10-14","83.10"
"2013-10-11","82.31"
"2013-10-10","82.92"
"2013-10-09","82.60"
"2013-10-08","82.21"
"2013-10-07","82.46"
"2013-10-04","82.55"
"2013-10-03","82.09"
"2013-10-02","82.30"
"2013-10-01","82.22"
"2013-09-30","81.39"
"2013-09-27","82.37"
"2013-09-26","83.08"
"2013-09-25","84.64"
"2013-09-24","84.26"
"2013-09-23","84.01"
"2013-09-20","83.82"
"2013-09-19","85.10"
"2013-09-18","84.51"
"2013-09-17","83.71"
"2013-09-16","83.54"
"2013-09-13","82.49"
"2013-09-12","83.19"
"2013-09-11","84.31"
"2013-09-10","84.18"
"2013-09-09","83.88"
"2013-09-06","82.61"
"2013-09-05","82.55"
"2013-09-04","84.48"
"2013-09-03","84.06"
"2013-08-30","83.64"
"2013-08-29","83.80"
"2013-08-28","84.12"
"2013-08-27","83.48"
"2013-08-26","84.77"
"2013-08-23","83.50"
"2013-08-22","83.25"
"2013-08-21","82.51"
"2013-08-20","83.25"
"2013-08-19","84.52"
"2013-08-16","84.11"
"2013-08-15","84.36"
"2013-08-14","82.34"
"2013-08-13","83.91"
"2013-08-12","83.38"
"2013-08-09","81.74"
"2013-08-08","82.32"
"2013-08-07","80.99"
"2013-08-06","81.20"
"2013-08-05","82.80"
"2013-08-02","83.40"
"2013-08-01","83.05"
"2013-07-31","83.07"
"2013-07-30","82.98"
"2013-07-29","83.02"
"2013-07-26","82.81"
"2013-07-25","82.90"
"2013-07-24","82.59"
"2013-07-23","83.90"
"2013-07-22","84.78"
"2013-07-19","84.05"
"2013-07-18","83.66"
"2013-07-17","83.60"
"2013-07-16","83.96"
"2013-07-15","84.42"
"2013-07-12","83.94"
"2013-07-11","84.25"
"2013-07-10","82.87"
"2013-07-09","83.91"
"2013-07-08","81.35"
"2013-07-05","81.44"
"2013-07-03","80.99"
"2013-07-02","80.90"
"2013-07-01","81.31"
"2013-06-28","81.25"
"2013-06-27","82.95"
"2013-06-26","82.15"
"2013-06-25","82.45"
"2013-06-24","81.00"
"2013-06-21","82.47"
"2013-06-20","82.89"
"2013-06-19","85.08"
"2013-06-18","85.00"
"2013-06-17","84.81"
"2013-06-14","84.88"
"2013-06-13","85.60"
"2013-06-12","84.32"
"2013-06-11","85.24"
"2013-06-10","86.20"
"2013-06-07","86.81"
"2013-06-06","86.09"
"2013-06-05","85.90"
"2013-06-04","87.15"
"2013-06-03","88.35"
"2013-05-31","87.11"
"2013-05-30","87.41"
"2013-05-29","87.35"
"2013-05-28","86.34"
"2013-05-24","86.29"
"2013-05-23","87.18"
"2013-05-22","86.83"
"2013-05-21","87.59"
"2013-05-20","88.04"
"2013-05-17","86.97"
"2013-05-16","89.39"
"2013-05-15","89.64"
"2013-05-14","93.77"
"2013-05-13","92.58"
"2013-05-10","92.30"
"2013-05-09","92.19"
"2013-05-08","92.35"
"2013-05-07","91.73"
"2013-05-06","91.13"
"2013-05-03","90.54"
"2013-05-02","89.54"
"2013-05-01","87.77"
"2013-04-30","89.30"
"2013-04-29","88.83"
"2013-04-26","85.49"
"2013-04-25","86.03"
"2013-04-24","85.12"
"2013-04-23","84.78"
"2013-04-22","83.82"
"2013-04-19","83.46"
"2013-04-18","82.57"
"2013-04-17","82.56"
"2013-04-16","83.18"
"2013-04-15","82.95"
"2013-04-12","86.14"
"2013-04-11","87.58"
"2013-04-10","87.10"
"2013-04-09","86.68"
"2013-04-08","86.48"
"2013-04-05","85.68"
"2013-04-04","85.69"
"2013-04-03","84.80"
"2013-04-02","84.04"
"2013-04-01","85.08"
"2013-03-28","85.98"
"2013-03-27","87.45"
"2013-03-26","87.26"
"2013-03-25","86.88"
"2013-03-22","87.72"
"2013-03-21","86.89"
"2013-03-20","87.74"
"2013-03-19","90.57"
"2013-03-18","91.82"
"2013-03-15","92.24"
"2013-03-14","92.20"
"2013-03-13","91.34"
"2013-03-12","90.85"
"2013-03-11","91.44"
"2013-03-08","90.88"
"2013-03-07","89.77"
"2013-03-06","89.27"
"2013-03-05","90.11"
"2013-03-04","87.97"
"2013-03-01","87.89"
"2013-02-28","87.83"
"2013-02-27","87.82"
"2013-02-26","86.50"
"2013-02-25","85.55"
"2013-02-22","87.13"
"2013-02-21","87.06"
"2013-02-20","88.23"
"2013-02-19","90.37"
"2013-02-15","89.75"
"2013-02-14","90.57"
"2013-02-13","90.68"
"2013-02-12","93.97"
"2013-02-11","93.23"
"2013-02-08","92.81"
"2013-02-07","92.17"
"2013-02-06","92.69"
"2013-02-05","93.39"
"2013-02-04","93.15"
"2013-02-01","94.65"
"2013-01-31","94.06"
"2013-01-30","94.94"
"2013-01-29","95.05"
"2013-01-28","93.99"
"2013-01-25","93.47"
"2013-01-24","93.24"
"2013-01-23","92.77"
"2013-01-22","92.66"
