"Date","Close"
"2013-12-31","55.95"
"2013-12-30","55.07"
"2013-12-27","54.50"
"2013-12-26","54.60"
"2013-12-24","54.36"
"2013-12-23","54.02"
"2013-12-20","54.00"
"2013-12-19","53.90"
"2013-12-18","54.45"
"2013-12-17","53.35"
"2013-12-16","53.72"
"2013-12-13","53.02"
"2013-12-12","52.59"
"2013-12-11","52.68"
"2013-12-10","53.21"
"2013-12-09","53.47"
"2013-12-06","52.77"
"2013-12-05","51.92"
"2013-12-04","52.11"
"2013-12-03","51.81"
"2013-12-02","52.89"
"2013-11-29","53.30"
"2013-11-27","53.27"
"2013-11-26","53.04"
"2013-11-25","53.22"
"2013-11-22","52.40"
"2013-11-21","52.21"
"2013-11-20","51.50"
"2013-11-19","51.69"
"2013-11-18","51.93"
"2013-11-15","52.39"
"2013-11-14","51.72"
"2013-11-13","50.92"
"2013-11-12","50.92"
"2013-11-11","52.12"
"2013-11-08","52.26"
"2013-11-07","52.04"
"2013-11-06","52.64"
"2013-11-05","51.92"
"2013-11-04","52.42"
"2013-11-01","52.00"
"2013-10-31","51.88"
"2013-10-30","52.46"
"2013-10-29","52.54"
"2013-10-28","51.70"
"2013-10-25","51.00"
"2013-10-24","51.44"
"2013-10-23","51.29"
"2013-10-22","51.80"
"2013-10-21","53.74"
"2013-10-18","53.95"
"2013-10-17","53.72"
"2013-10-16","52.81"
"2013-10-15","51.85"
"2013-10-14","52.83"
"2013-10-11","51.78"
"2013-10-10","51.19"
"2013-10-09","48.93"
"2013-10-08","48.74"
"2013-10-07","49.68"
"2013-10-04","50.57"
"2013-10-03","50.26"
"2013-10-02","50.70"
"2013-10-01","51.23"
"2013-09-30","50.54"
"2013-09-27","51.29"
"2013-09-26","51.47"
"2013-09-25","50.83"
"2013-09-24","50.80"
"2013-09-23","51.01"
"2013-09-20","52.12"
"2013-09-19","52.67"
"2013-09-18","52.82"
"2013-09-17","52.59"
"2013-09-16","51.88"
"2013-09-13","50.98"
"2013-09-12","50.85"
"2013-09-11","50.59"
"2013-09-10","50.14"
"2013-09-09","49.17"
"2013-09-06","48.59"
"2013-09-05","48.62"
"2013-09-04","48.33"
"2013-09-03","47.76"
"2013-08-30","47.25"
"2013-08-29","47.59"
"2013-08-28","47.36"
"2013-08-27","47.21"
"2013-08-26","49.19"
"2013-08-23","49.54"
"2013-08-22","49.01"
"2013-08-21","48.71"
"2013-08-20","49.42"
"2013-08-19","48.69"
"2013-08-16","49.78"
"2013-08-15","49.58"
"2013-08-14","50.33"
"2013-08-13","50.65"
"2013-08-12","50.29"
"2013-08-09","50.18"
"2013-08-08","50.88"
"2013-08-07","50.37"
"2013-08-06","50.81"
"2013-08-05","50.93"
"2013-08-02","51.13"
"2013-08-01","51.03"
"2013-07-31","49.51"
"2013-07-30","50.14"
"2013-07-29","49.61"
"2013-07-26","49.45"
"2013-07-25","50.36"
"2013-07-24","50.43"
"2013-07-23","50.71"
"2013-07-22","50.88"
"2013-07-19","50.62"
"2013-07-18","50.58"
"2013-07-17","50.20"
"2013-07-16","49.64"
"2013-07-15","50.28"
"2013-07-12","50.89"
"2013-07-11","50.35"
"2013-07-10","49.74"
"2013-07-09","50.28"
"2013-07-08","50.14"
"2013-07-05","49.99"
"2013-07-03","48.34"
"2013-07-02","48.03"
"2013-07-01","48.58"
"2013-06-28","47.64"
"2013-06-27","47.46"
"2013-06-26","46.89"
"2013-06-25","46.22"
"2013-06-24","45.33"
