"Date","Close"
"2013-12-31","22.32"
"2013-12-30","21.93"
"2013-12-27","21.67"
"2013-12-26","21.37"
"2013-12-24","21.29"
"2013-12-23","21.13"
"2013-12-20","20.58"
"2013-12-19","20.16"
"2013-12-18","20.11"
"2013-12-17","18.91"
"2013-12-16","19.15"
"2013-12-13","18.96"
"2013-12-12","18.99"
"2013-12-11","19.01"
"2013-12-10","19.53"
"2013-12-09","19.45"
"2013-12-06","19.08"
"2013-12-05","18.79"
"2013-12-04","19.08"
"2013-12-03","19.13"
"2013-12-02","19.33"
"2013-11-29","19.88"
"2013-11-27","20.06"
"2013-11-26","19.93"
"2013-11-25","19.05"
"2013-11-22","19.05"
"2013-11-21","19.44"
"2013-11-20","19.06"
"2013-11-19","19.29"
"2013-11-18","19.30"
"2013-11-15","19.59"
"2013-11-14","19.59"
"2013-11-13","19.05"
"2013-11-12","18.91"
"2013-11-11","18.06"
"2013-11-08","18.14"
"2013-11-07","18.55"
"2013-11-06","18.73"
"2013-11-05","18.41"
"2013-11-04","18.82"
"2013-11-01","18.51"
"2013-10-31","18.95"
"2013-10-30","19.52"
"2013-10-29","19.97"
"2013-10-28","19.66"
"2013-10-25","19.77"
"2013-10-24","19.87"
"2013-10-23","19.47"
"2013-10-22","19.23"
"2013-10-21","18.67"
"2013-10-18","19.02"
"2013-10-17","19.14"
"2013-10-16","18.05"
"2013-10-15","17.69"
"2013-10-14","18.25"
"2013-10-11","18.65"
"2013-10-10","18.29"
"2013-10-09","17.93"
"2013-10-08","17.99"
"2013-10-07","18.50"
"2013-10-04","18.54"
"2013-10-03","19.07"
"2013-10-02","19.54"
"2013-10-01","19.38"
"2013-09-30","19.43"
"2013-09-27","19.63"
"2013-09-26","19.99"
"2013-09-25","20.16"
"2013-09-24","20.06"
"2013-09-23","19.81"
"2013-09-20","20.20"
"2013-09-19","21.01"
"2013-09-18","21.33"
"2013-09-17","19.95"
"2013-09-16","19.84"
"2013-09-13","19.14"
"2013-09-12","19.36"
"2013-09-11","19.50"
