"Date","Close"
"2013-12-31","77.20"
"2013-12-30","76.82"
"2013-12-27","77.05"
"2013-12-26","76.92"
"2013-12-24","76.79"
"2013-12-23","76.74"
"2013-12-20","76.54"
"2013-12-19","76.58"
"2013-12-18","76.86"
"2013-12-17","74.76"
"2013-12-16","75.31"
"2013-12-13","74.01"
"2013-12-12","74.25"
"2013-12-11","73.93"
"2013-12-10","75.15"
"2013-12-09","75.38"
"2013-12-06","75.12"
"2013-12-05","73.64"
"2013-12-04","73.66"
"2013-12-03","73.77"
"2013-12-02","74.57"
"2013-11-29","74.80"
"2013-11-27","75.36"
"2013-11-26","75.37"
"2013-11-25","74.52"
"2013-11-22","74.65"
"2013-11-21","74.33"
"2013-11-20","73.79"
"2013-11-19","74.13"
"2013-11-18","74.55"
"2013-11-15","74.49"
"2013-11-14","74.44"
"2013-11-13","73.76"
"2013-11-12","73.90"
"2013-11-11","74.36"
"2013-11-08","74.60"
"2013-11-07","71.81"
"2013-11-06","72.98"
"2013-11-05","72.59"
"2013-11-04","72.75"
"2013-11-01","72.63"
"2013-10-31","72.09"
"2013-10-30","72.04"
"2013-10-29","72.54"
"2013-10-28","72.16"
"2013-10-25","72.11"
"2013-10-24","72.05"
"2013-10-23","71.90"
"2013-10-22","72.24"
"2013-10-21","71.93"
"2013-10-18","72.00"
"2013-10-17","72.31"
"2013-10-16","69.15"
"2013-10-15","69.02"
"2013-10-14","69.55"
"2013-10-11","69.44"
"2013-10-10","68.98"
"2013-10-09","67.14"
"2013-10-08","67.31"
"2013-10-07","67.86"
"2013-10-04","68.52"
"2013-10-03","67.99"
"2013-10-02","69.13"
"2013-10-01","69.47"
"2013-09-30","69.32"
"2013-09-27","69.87"
"2013-09-26","69.77"
"2013-09-25","69.56"
"2013-09-24","68.94"
"2013-09-23","69.55"
"2013-09-20","69.57"
"2013-09-19","70.28"
"2013-09-18","70.49"
"2013-09-17","70.03"
"2013-09-16","70.11"
"2013-09-13","69.76"
"2013-09-12","69.45"
"2013-09-11","69.31"
"2013-09-10","68.46"
"2013-09-09","67.65"
"2013-09-06","66.83"
"2013-09-05","67.22"
"2013-09-04","67.01"
"2013-09-03","65.87"
"2013-08-30","65.52"
"2013-08-29","65.61"
"2013-08-28","65.29"
"2013-08-27","65.40"
"2013-08-26","66.64"
"2013-08-23","67.34"
"2013-08-22","67.29"
"2013-08-21","66.18"
"2013-08-20","66.32"
"2013-08-19","66.86"
"2013-08-16","66.73"
"2013-08-15","66.51"
"2013-08-14","66.67"
"2013-08-13","67.63"
"2013-08-12","66.52"
"2013-08-09","66.99"
"2013-08-08","67.33"
"2013-08-07","67.49"
"2013-08-06","67.05"
"2013-08-05","67.12"
"2013-08-02","67.23"
"2013-08-01","67.64"
"2013-07-31","67.34"
"2013-07-30","67.17"
"2013-07-29","67.19"
"2013-07-26","66.72"
"2013-07-25","67.28"
"2013-07-24","67.63"
"2013-07-23","67.90"
"2013-07-22","68.17"
"2013-07-19","68.69"
"2013-07-18","67.75"
"2013-07-17","68.41"
"2013-07-16","68.07"
"2013-07-15","68.40"
"2013-07-12","68.19"
"2013-07-11","68.35"
"2013-07-10","67.80"
"2013-07-09","66.62"
"2013-07-08","64.44"
"2013-07-05","64.60"
"2013-07-03","63.63"
"2013-07-02","63.68"
"2013-07-01","64.70"
"2013-06-28","63.30"
"2013-06-27","63.64"
"2013-06-26","63.35"
"2013-06-25","62.30"
"2013-06-24","61.66"
"2013-06-21","62.11"
"2013-06-20","62.26"
"2013-06-19","63.68"
"2013-06-18","64.36"
"2013-06-17","63.37"
"2013-06-14","62.52"
"2013-06-13","62.48"
"2013-06-12","61.40"
"2013-06-11","62.21"
"2013-06-10","62.29"
"2013-06-07","62.10"
"2013-06-06","60.43"
"2013-06-05","60.44"
"2013-06-04","61.79"
"2013-06-03","62.37"
"2013-05-31","61.82"
"2013-05-30","62.50"
"2013-05-29","62.21"
"2013-05-28","62.59"
"2013-05-24","62.10"
"2013-05-23","62.39"
"2013-05-22","62.76"
"2013-05-21","63.84"
"2013-05-20","64.07"
"2013-05-17","63.25"
"2013-05-16","62.27"
"2013-05-15","62.06"
"2013-05-14","61.85"
"2013-05-13","61.60"
"2013-05-10","61.90"
"2013-05-09","61.74"
"2013-05-08","61.64"
"2013-05-07","61.53"
"2013-05-06","61.31"
"2013-05-03","60.80"
"2013-05-02","60.46"
"2013-05-01","60.14"
"2013-04-30","60.94"
"2013-04-29","60.23"
"2013-04-26","59.94"
"2013-04-25","60.44"
"2013-04-24","59.96"
"2013-04-23","59.09"
"2013-04-22","58.99"
"2013-04-19","59.10"
"2013-04-18","58.05"
"2013-04-17","59.74"
"2013-04-16","60.96"
"2013-04-15","59.91"
"2013-04-12","61.56"
"2013-04-11","61.94"
"2013-04-10","61.78"
"2013-04-09","60.54"
"2013-04-08","60.77"
"2013-04-05","60.55"
"2013-04-04","60.75"
"2013-04-03","61.09"
"2013-04-02","61.74"
"2013-04-01","61.79"
"2013-03-28","62.15"
"2013-03-27","61.84"
"2013-03-26","61.84"
"2013-03-25","61.04"
"2013-03-22","61.67"
"2013-03-21","61.19"
"2013-03-20","61.31"
"2013-03-19","61.28"
"2013-03-18","61.81"
"2013-03-15","62.65"
"2013-03-14","62.60"
"2013-03-13","62.12"
"2013-03-12","62.16"
"2013-03-11","62.26"
"2013-03-08","61.94"
"2013-03-07","61.42"
"2013-03-06","61.77"
"2013-03-05","62.22"
"2013-03-04","61.66"
"2013-03-01","61.57"
"2013-02-28","61.60"
"2013-02-27","61.24"
"2013-02-26","60.30"
"2013-02-25","59.89"
"2013-02-22","61.46"
"2013-02-21","60.99"
"2013-02-20","60.97"
"2013-02-19","61.80"
"2013-02-15","61.68"
"2013-02-14","61.16"
"2013-02-13","61.02"
"2013-02-12","60.97"
"2013-02-11","60.68"
