"Date","Close"
"2013-12-31","76.40"
"2013-12-30","76.23"
"2013-12-27","74.35"
"2013-12-26","74.62"
"2013-12-24","73.85"
"2013-12-23","73.28"
"2013-12-20","72.40"
"2013-12-19","72.97"
"2013-12-18","72.20"
"2013-12-17","70.66"
"2013-12-16","70.51"
"2013-12-13","69.62"
"2013-12-12","69.63"
"2013-12-11","70.52"
"2013-12-10","71.57"
"2013-12-09","71.11"
"2013-12-06","71.46"
"2013-12-05","70.23"
"2013-12-04","69.97"
"2013-12-03","69.90"
"2013-12-02","70.91"
"2013-11-29","70.54"
"2013-11-27","70.77"
"2013-11-26","71.18"
"2013-11-25","69.74"
"2013-11-22","70.20"
"2013-11-21","69.94"
"2013-11-20","69.23"
"2013-11-19","69.12"
"2013-11-18","69.50"
"2013-11-15","70.00"
"2013-11-14","70.02"
"2013-11-13","68.97"
"2013-11-12","67.77"
"2013-11-11","68.34"
"2013-11-08","68.58"
"2013-11-07","67.15"
"2013-11-06","69.00"
"2013-11-05","68.85"
"2013-11-04","68.81"
"2013-11-01","69.01"
"2013-10-31","68.59"
"2013-10-30","68.47"
"2013-10-29","68.92"
"2013-10-28","69.00"
"2013-10-25","69.26"
"2013-10-24","69.05"
"2013-10-23","68.12"
"2013-10-22","69.00"
"2013-10-21","67.61"
"2013-10-18","67.15"
"2013-10-17","66.42"
"2013-10-16","66.35"
"2013-10-15","66.44"
"2013-10-14","66.83"
"2013-10-11","66.21"
"2013-10-10","65.58"
"2013-10-09","63.59"
"2013-10-08","64.00"
"2013-10-07","64.59"
"2013-10-04","65.30"
"2013-10-03","64.02"
"2013-10-02","64.88"
"2013-10-01","64.83"
"2013-09-30","64.49"
"2013-09-27","65.19"
"2013-09-26","65.24"
"2013-09-25","64.45"
"2013-09-24","64.32"
"2013-09-23","64.75"
"2013-09-20","65.01"
"2013-09-19","65.72"
"2013-09-18","67.11"
"2013-09-17","66.98"
"2013-09-16","66.94"
"2013-09-13","66.69"
"2013-09-12","65.49"
"2013-09-11","63.94"
"2013-09-10","62.83"
"2013-09-09","61.59"
"2013-09-06","61.39"
"2013-09-05","61.30"
"2013-09-04","61.11"
"2013-09-03","60.93"
"2013-08-30","60.83"
"2013-08-29","61.08"
"2013-08-28","60.81"
"2013-08-27","60.69"
"2013-08-26","61.35"
"2013-08-23","61.73"
"2013-08-22","61.64"
"2013-08-21","61.14"
"2013-08-20","61.88"
"2013-08-19","61.83"
"2013-08-16","62.17"
"2013-08-15","62.38"
"2013-08-14","63.96"
"2013-08-13","63.98"
"2013-08-12","63.93"
"2013-08-09","64.73"
"2013-08-08","65.75"
"2013-08-07","65.91"
"2013-08-06","67.05"
"2013-08-05","66.02"
"2013-08-02","66.51"
"2013-08-01","65.36"
"2013-07-31","64.65"
"2013-07-30","64.18"
"2013-07-29","64.61"
"2013-07-26","64.98"
"2013-07-25","64.55"
"2013-07-24","64.64"
"2013-07-23","64.45"
"2013-07-22","64.40"
"2013-07-19","65.16"
"2013-07-18","65.82"
"2013-07-17","65.36"
"2013-07-16","65.03"
"2013-07-15","65.93"
"2013-07-12","66.98"
"2013-07-11","66.58"
"2013-07-10","64.91"
"2013-07-09","64.94"
