"Date","Close"
"2013-12-31","90.42"
"2013-12-30","90.46"
"2013-12-27","88.95"
"2013-12-26","88.69"
"2013-12-24","88.87"
"2013-12-23","88.42"
"2013-12-20","87.75"
"2013-12-19","86.32"
"2013-12-18","86.29"
"2013-12-17","83.71"
"2013-12-16","84.04"
"2013-12-13","82.45"
"2013-12-12","82.94"
"2013-12-11","84.53"
"2013-12-10","85.17"
"2013-12-09","85.41"
"2013-12-06","85.06"
"2013-12-05","83.99"
"2013-12-04","84.18"
"2013-12-03","85.41"
"2013-12-02","86.21"
"2013-11-29","87.27"
"2013-11-27","86.91"
"2013-11-26","86.56"
"2013-11-25","85.70"
"2013-11-22","85.87"
"2013-11-21","85.24"
"2013-11-20","85.23"
"2013-11-19","85.23"
"2013-11-18","85.42"
"2013-11-15","85.43"
"2013-11-14","85.83"
"2013-11-13","85.55"
"2013-11-12","84.41"
"2013-11-11","84.59"
"2013-11-08","85.36"
"2013-11-07","84.19"
"2013-11-06","85.65"
"2013-11-05","86.90"
"2013-11-04","87.07"
"2013-11-01","87.80"
"2013-10-31","88.86"
"2013-10-30","84.36"
"2013-10-29","85.40"
"2013-10-28","85.40"
"2013-10-25","85.66"
"2013-10-24","84.95"
"2013-10-23","84.50"
"2013-10-22","85.01"
"2013-10-21","82.81"
"2013-10-18","82.47"
"2013-10-17","81.37"
"2013-10-16","80.78"
"2013-10-15","79.12"
"2013-10-14","80.16"
"2013-10-11","80.54"
"2013-10-10","80.15"
"2013-10-09","77.93"
"2013-10-08","78.23"
"2013-10-07","79.77"
"2013-10-04","81.27"
"2013-10-03","81.24"
"2013-10-02","82.52"
"2013-10-01","83.23"
"2013-09-30","84.42"
"2013-09-27","84.84"
"2013-09-26","83.99"
"2013-09-25","80.97"
"2013-09-24","80.35"
"2013-09-23","80.58"
"2013-09-20","81.80"
"2013-09-19","81.76"
"2013-09-18","80.44"
"2013-09-17","79.49"
"2013-09-16","78.65"
"2013-09-13","77.83"
"2013-09-12","78.04"
"2013-09-11","78.29"
"2013-09-10","77.94"
"2013-09-09","78.46"
"2013-09-06","77.55"
"2013-09-05","77.59"
"2013-09-04","76.92"
"2013-09-03","77.34"
"2013-08-30","77.51"
"2013-08-29","78.03"
"2013-08-28","78.19"
"2013-08-27","78.28"
"2013-08-26","80.49"
"2013-08-23","80.56"
"2013-08-22","80.30"
"2013-08-21","79.43"
"2013-08-20","80.02"
"2013-08-19","80.22"
"2013-08-16","80.34"
"2013-08-15","80.35"
"2013-08-14","82.84"
"2013-08-13","83.49"
"2013-08-12","82.84"
"2013-08-09","83.13"
"2013-08-08","82.93"
"2013-08-07","82.73"
"2013-08-06","82.59"
"2013-08-05","82.43"
"2013-08-02","82.19"
"2013-08-01","81.92"
"2013-07-31","79.72"
"2013-07-30","81.00"
"2013-07-29","84.41"
"2013-07-26","85.06"
"2013-07-25","85.08"
"2013-07-24","84.63"
"2013-07-23","85.01"
"2013-07-22","84.37"
"2013-07-19","84.31"
"2013-07-18","85.49"
"2013-07-17","84.68"
"2013-07-16","84.33"
"2013-07-15","84.44"
"2013-07-12","85.07"
"2013-07-11","84.49"
"2013-07-10","82.86"
"2013-07-09","81.91"
"2013-07-08","82.02"
"2013-07-05","81.12"
"2013-07-03","80.63"
"2013-07-02","78.51"
"2013-07-01","77.79"
"2013-06-28","77.24"
"2013-06-27","76.68"
"2013-06-26","75.72"
"2013-06-25","75.46"
"2013-06-24","75.14"
"2013-06-21","75.42"
"2013-06-20","74.57"
"2013-06-19","76.53"
"2013-06-18","77.85"
"2013-06-17","77.05"
"2013-06-14","76.38"
"2013-06-13","76.06"
"2013-06-12","73.57"
"2013-06-11","73.87"
"2013-06-10","74.35"
"2013-06-07","76.39"
"2013-06-06","75.02"
"2013-06-05","75.88"
"2013-06-04","78.69"
"2013-06-03","79.01"
"2013-05-31","78.87"
"2013-05-30","79.89"
"2013-05-29","79.30"
"2013-05-28","80.80"
"2013-05-24","79.53"
"2013-05-23","79.78"
"2013-05-22","79.15"
"2013-05-21","80.00"
"2013-05-20","78.84"
"2013-05-17","78.85"
"2013-05-16","78.79"
"2013-05-15","79.35"
"2013-05-14","78.32"
"2013-05-13","77.58"
"2013-05-10","78.68"
"2013-05-09","77.66"
"2013-05-08","76.94"
"2013-05-07","77.87"
"2013-05-06","79.02"
"2013-05-03","79.21"
"2013-05-02","79.49"
"2013-05-01","78.14"
"2013-04-30","78.82"
"2013-04-29","78.83"
"2013-04-26","79.21"
"2013-04-25","79.89"
"2013-04-24","79.15"
"2013-04-23","78.98"
"2013-04-22","78.22"
"2013-04-19","77.85"
"2013-04-18","76.64"
"2013-04-17","78.31"
"2013-04-16","79.39"
"2013-04-15","78.83"
"2013-04-12","81.03"
"2013-04-11","80.71"
"2013-04-10","80.44"
"2013-04-09","78.60"
"2013-04-08","78.88"
"2013-04-05","78.56"
"2013-04-04","77.68"
"2013-04-03","78.04"
"2013-04-02","78.69"
"2013-04-01","77.98"
"2013-03-28","78.74"
"2013-03-27","78.59"
"2013-03-26","79.53"
"2013-03-25","79.07"
"2013-03-22","79.13"
"2013-03-21","78.41"
"2013-03-20","78.96"
"2013-03-19","77.78"
"2013-03-18","77.41"
"2013-03-15","77.32"
"2013-03-14","78.72"
"2013-03-13","78.28"
"2013-03-12","77.91"
"2013-03-11","77.80"
"2013-03-08","77.90"
"2013-03-07","77.16"
"2013-03-06","75.35"
"2013-03-05","76.60"
"2013-03-04","75.59"
"2013-03-01","74.88"
"2013-02-28","73.34"
"2013-02-27","73.31"
"2013-02-26","70.96"
"2013-02-25","69.90"
"2013-02-22","70.47"
"2013-02-21","68.71"
"2013-02-20","69.67"
"2013-02-19","70.63"
"2013-02-15","70.30"
"2013-02-14","70.84"
"2013-02-13","71.52"
"2013-02-12","71.03"
"2013-02-11","70.95"
"2013-02-08","71.47"
"2013-02-07","70.62"
"2013-02-06","70.00"
"2013-02-05","70.30"
"2013-02-04","69.51"
"2013-02-01","70.31"
"2013-01-31","69.38"
"2013-01-30","68.84"
"2013-01-29","68.62"
"2013-01-28","68.82"
"2013-01-25","69.00"
"2013-01-24","68.28"
"2013-01-23","68.18"
"2013-01-22","67.77"
"2013-01-18","67.72"
"2013-01-17","67.35"
"2013-01-16","66.93"
"2013-01-15","67.09"
"2013-01-14","67.80"
"2013-01-11","68.16"
"2013-01-10","67.39"
"2013-01-09","67.76"
"2013-01-08","67.85"
"2013-01-07","65.92"
"2013-01-04","66.08"
"2013-01-03","65.53"
"2013-01-02","65.48"
"2012-12-31","63.48"
"2012-12-28","61.89"
"2012-12-27","62.38"
"2012-12-26","62.94"
