"Date","Close"
"2013-12-31","122.75"
"2013-12-30","122.68"
"2013-12-27","123.42"
"2013-12-26","123.32"
"2013-12-24","122.90"
"2013-12-23","122.86"
"2013-12-20","120.61"
"2013-12-19","117.97"
"2013-12-18","116.57"
"2013-12-17","115.16"
"2013-12-16","115.83"
"2013-12-13","115.19"
"2013-12-12","116.32"
"2013-12-11","115.59"
"2013-12-10","116.43"
"2013-12-09","118.29"
"2013-12-06","119.44"
"2013-12-05","116.15"
"2013-12-04","115.99"
"2013-12-03","117.24"
"2013-12-02","117.28"
"2013-11-29","116.85"
"2013-11-27","117.30"
"2013-11-26","116.78"
"2013-11-25","115.80"
"2013-11-22","116.56"
"2013-11-21","116.04"
"2013-11-20","115.06"
"2013-11-19","115.01"
"2013-11-18","116.08"
"2013-11-15","113.43"
"2013-11-14","110.76"
"2013-11-13","110.96"
"2013-11-12","110.94"
"2013-11-11","111.18"
"2013-11-08","111.45"
"2013-11-07","108.22"
"2013-11-06","108.24"
"2013-11-05","106.76"
"2013-11-04","109.24"
"2013-11-01","108.49"
"2013-10-31","108.79"
"2013-10-30","107.99"
"2013-10-29","109.63"
"2013-10-28","109.09"
"2013-10-25","108.45"
"2013-10-24","106.82"
"2013-10-23","106.43"
"2013-10-22","107.10"
"2013-10-21","106.73"
"2013-10-18","106.57"
"2013-10-17","107.07"
"2013-10-16","106.17"
"2013-10-15","103.64"
"2013-10-14","104.94"
"2013-10-11","104.51"
"2013-10-10","103.13"
"2013-10-09","100.35"
"2013-10-08","101.52"
"2013-10-07","102.69"
"2013-10-04","103.57"
"2013-10-03","102.83"
"2013-10-02","104.06"
"2013-10-01","104.86"
"2013-09-30","103.85"
"2013-09-27","104.17"
"2013-09-26","104.37"
"2013-09-25","104.00"
"2013-09-24","103.98"
"2013-09-23","104.53"
"2013-09-20","103.87"
"2013-09-19","107.86"
"2013-09-18","107.91"
"2013-09-17","107.00"
"2013-09-16","105.44"
"2013-09-13","104.86"
"2013-09-12","103.81"
"2013-09-11","103.65"
"2013-09-10","103.77"
"2013-09-09","102.17"
"2013-09-06","100.74"
"2013-09-05","100.82"
"2013-09-04","100.31"
"2013-09-03","99.69"
"2013-08-30","99.48"
"2013-08-29","100.51"
"2013-08-28","100.38"
"2013-08-27","100.81"
"2013-08-26","103.48"
"2013-08-23","104.12"
"2013-08-22","103.94"
"2013-08-21","101.72"
"2013-08-20","102.47"
"2013-08-19","101.35"
"2013-08-16","102.28"
"2013-08-15","102.81"
"2013-08-14","105.48"
"2013-08-13","107.61"
"2013-08-12","106.50"
"2013-08-09","107.11"
"2013-08-08","107.09"
"2013-08-07","104.93"
"2013-08-06","105.81"
"2013-08-05","106.96"
"2013-08-02","107.04"
"2013-08-01","105.99"
"2013-07-31","103.63"
"2013-07-30","102.69"
"2013-07-29","102.75"
"2013-07-26","103.12"
"2013-07-25","106.75"
"2013-07-24","106.48"
"2013-07-23","106.98"
"2013-07-22","106.56"
"2013-07-19","107.00"
"2013-07-18","106.76"
"2013-07-17","105.97"
"2013-07-16","106.22"
"2013-07-15","106.67"
"2013-07-12","107.59"
"2013-07-11","107.79"
"2013-07-10","105.00"
"2013-07-09","102.92"
"2013-07-08","101.03"
"2013-07-05","99.22"
"2013-07-03","98.00"
"2013-07-02","98.25"
"2013-07-01","98.23"
"2013-06-28","97.45"
"2013-06-27","97.75"
"2013-06-26","96.20"
"2013-06-25","95.07"
"2013-06-24","94.31"
"2013-06-21","95.69"
"2013-06-20","96.30"
"2013-06-19","97.85"
"2013-06-18","99.33"
"2013-06-17","99.02"
"2013-06-14","98.76"
"2013-06-13","99.62"
"2013-06-12","98.01"
"2013-06-11","98.38"
"2013-06-10","99.38"
"2013-06-07","99.24"
"2013-06-06","97.46"
"2013-06-05","96.04"
"2013-06-04","98.22"
"2013-06-03","97.33"
"2013-05-31","98.14"
"2013-05-30","98.99"
"2013-05-29","97.45"
"2013-05-28","98.84"
"2013-05-24","97.59"
"2013-05-23","98.24"
"2013-05-22","98.99"
"2013-05-21","98.63"
"2013-05-20","98.83"
"2013-05-17","98.98"
"2013-05-16","97.78"
"2013-05-15","96.37"
"2013-05-14","96.25"
"2013-05-13","93.66"
"2013-05-10","92.46"
"2013-05-09","92.45"
"2013-05-08","92.00"
"2013-05-07","91.26"
"2013-05-06","89.93"
"2013-05-03","90.00"
"2013-05-02","89.00"
"2013-05-01","88.10"
"2013-04-30","88.45"
"2013-04-29","88.30"
"2013-04-26","87.89"
"2013-04-25","87.71"
"2013-04-24","86.35"
"2013-04-23","86.20"
"2013-04-22","85.41"
"2013-04-19","84.72"
"2013-04-18","85.05"
"2013-04-17","85.46"
"2013-04-16","86.04"
"2013-04-15","84.68"
"2013-04-12","86.00"
"2013-04-11","86.00"
"2013-04-10","86.09"
"2013-04-09","84.42"
"2013-04-08","83.44"
"2013-04-05","82.75"
"2013-04-04","84.37"
"2013-04-03","83.91"
"2013-04-02","84.45"
"2013-04-01","83.76"
