"Date","Close"
"2013-12-31","56.92"
"2013-12-30","56.37"
"2013-12-27","56.81"
"2013-12-26","55.93"
"2013-12-24","56.11"
"2013-12-23","55.39"
"2013-12-20","55.83"
"2013-12-19","55.62"
"2013-12-18","55.91"
"2013-12-17","56.09"
"2013-12-16","56.15"
"2013-12-13","56.19"
"2013-12-12","56.40"
"2013-12-11","56.85"
"2013-12-10","58.26"
"2013-12-09","58.85"
"2013-12-06","58.87"
"2013-12-05","59.32"
"2013-12-04","60.24"
"2013-12-03","59.74"
"2013-12-02","59.92"
"2013-11-29","60.05"
"2013-11-27","59.94"
"2013-11-26","59.35"
"2013-11-25","59.41"
"2013-11-22","60.89"
"2013-11-21","60.70"
"2013-11-20","61.06"
"2013-11-19","60.86"
"2013-11-18","60.28"
"2013-11-15","61.42"
"2013-11-14","60.92"
"2013-11-13","61.22"
"2013-11-12","61.03"
"2013-11-11","61.59"
"2013-11-08","61.74"
"2013-11-07","60.37"
"2013-11-06","60.35"
"2013-11-05","59.31"
"2013-11-04","60.48"
"2013-11-01","60.27"
"2013-10-31","61.93"
"2013-10-30","62.73"
"2013-10-29","62.59"
"2013-10-28","63.01"
"2013-10-25","61.27"
"2013-10-24","60.96"
"2013-10-23","63.23"
"2013-10-22","64.63"
"2013-10-21","63.30"
"2013-10-18","63.15"
"2013-10-17","62.50"
"2013-10-16","63.14"
"2013-10-15","63.00"
"2013-10-14","63.88"
"2013-10-11","63.57"
"2013-10-10","63.23"
"2013-10-09","62.07"
"2013-10-08","62.09"
"2013-10-07","62.63"
"2013-10-04","63.45"
"2013-10-03","62.43"
"2013-10-02","62.71"
"2013-10-01","62.41"
"2013-09-30","62.32"
"2013-09-27","62.77"
"2013-09-26","63.28"
"2013-09-25","63.38"
"2013-09-24","62.13"
"2013-09-23","62.95"
"2013-09-20","62.61"
"2013-09-19","64.27"
"2013-09-18","65.43"
"2013-09-17","65.01"
"2013-09-16","64.39"
"2013-09-13","64.41"
"2013-09-12","64.88"
"2013-09-11","65.29"
"2013-09-10","65.18"
"2013-09-09","65.02"
"2013-09-06","64.33"
"2013-09-05","63.90"
"2013-09-04","63.41"
"2013-09-03","63.46"
"2013-08-30","64.03"
"2013-08-29","64.17"
"2013-08-28","65.27"
"2013-08-27","65.00"
"2013-08-26","65.53"
"2013-08-23","65.84"
"2013-08-22","65.40"
"2013-08-21","64.39"
"2013-08-20","65.32"
"2013-08-19","65.59"
"2013-08-16","66.04"
"2013-08-15","66.80"
"2013-08-14","67.17"
"2013-08-13","67.62"
"2013-08-12","67.70"
"2013-08-09","68.20"
"2013-08-08","68.88"
"2013-08-07","68.61"
"2013-08-06","67.35"
"2013-08-05","67.61"
"2013-08-02","67.96"
"2013-08-01","68.79"
"2013-07-31","67.44"
"2013-07-30","67.87"
"2013-07-29","67.44"
"2013-07-26","67.93"
"2013-07-25","69.29"
"2013-07-24","71.50"
"2013-07-23","72.15"
"2013-07-22","72.20"
"2013-07-19","72.65"
"2013-07-18","72.24"
"2013-07-17","71.07"
"2013-07-16","70.55"
"2013-07-15","71.99"
"2013-07-12","72.11"
"2013-07-11","71.04"
"2013-07-10","70.01"
"2013-07-09","70.04"
"2013-07-08","69.53"
"2013-07-05","69.25"
"2013-07-03","67.90"
"2013-07-02","68.37"
"2013-07-01","68.78"
"2013-06-28","68.79"
"2013-06-27","68.64"
"2013-06-26","67.61"
"2013-06-25","67.14"
"2013-06-24","66.22"
"2013-06-21","66.91"
"2013-06-20","66.50"
"2013-06-19","67.81"
"2013-06-18","68.53"
"2013-06-17","68.21"
"2013-06-14","67.16"
"2013-06-13","67.78"
