"Date","Close"
"2013-12-31","96.54"
"2013-12-30","96.38"
"2013-12-27","96.32"
"2013-12-26","96.12"
"2013-12-24","95.48"
"2013-12-23","94.87"
"2013-12-20","94.56"
"2013-12-19","93.17"
"2013-12-18","91.91"
"2013-12-17","91.21"
"2013-12-16","91.71"
"2013-12-13","89.59"
"2013-12-12","89.66"
"2013-12-11","89.47"
"2013-12-10","90.87"
"2013-12-09","91.35"
"2013-12-06","91.65"
"2013-12-05","89.72"
"2013-12-04","88.41"
"2013-12-03","89.43"
"2013-12-02","89.54"
"2013-11-29","90.74"
"2013-11-27","90.63"
"2013-11-26","91.42"
"2013-11-25","91.89"
"2013-11-22","93.41"
"2013-11-21","92.77"
"2013-11-20","90.93"
"2013-11-19","91.75"
"2013-11-18","92.85"
"2013-11-15","93.30"
"2013-11-14","93.60"
"2013-11-13","92.93"
"2013-11-12","91.88"
"2013-11-11","91.91"
"2013-11-08","92.24"
"2013-11-07","90.18"
"2013-11-06","91.38"
"2013-11-05","91.33"
"2013-11-04","91.54"
"2013-11-01","91.26"
"2013-10-31","91.79"
"2013-10-30","91.84"
"2013-10-29","92.07"
"2013-10-28","91.36"
"2013-10-25","90.95"
"2013-10-24","91.75"
"2013-10-23","90.38"
"2013-10-22","90.41"
"2013-10-21","89.41"
"2013-10-18","88.93"
"2013-10-17","87.40"
"2013-10-16","88.32"
"2013-10-15","89.49"
"2013-10-14","90.78"
"2013-10-11","90.35"
"2013-10-10","89.14"
"2013-10-09","86.86"
"2013-10-08","87.50"
"2013-10-07","88.51"
"2013-10-04","88.97"
"2013-10-03","88.48"
"2013-10-02","90.21"
"2013-10-01","90.66"
"2013-09-30","89.83"
"2013-09-27","89.36"
"2013-09-26","90.01"
"2013-09-25","90.21"
"2013-09-24","90.89"
"2013-09-23","90.91"
"2013-09-20","90.65"
"2013-09-19","92.46"
"2013-09-18","90.91"
"2013-09-17","89.67"
"2013-09-16","89.94"
"2013-09-13","88.99"
"2013-09-12","88.99"
"2013-09-11","89.44"
"2013-09-10","89.54"
"2013-09-09","88.15"
"2013-09-06","87.60"
"2013-09-05","87.51"
"2013-09-04","86.88"
"2013-09-03","85.64"
"2013-08-30","85.05"
"2013-08-29","85.92"
"2013-08-28","85.61"
"2013-08-27","85.25"
"2013-08-26","87.09"
"2013-08-23","87.09"
"2013-08-22","86.63"
"2013-08-21","85.97"
"2013-08-20","86.83"
"2013-08-19","86.65"
"2013-08-16","87.15"
"2013-08-15","87.11"
"2013-08-14","88.55"
"2013-08-13","88.61"
"2013-08-12","88.27"
"2013-08-09","87.92"
"2013-08-08","87.80"
"2013-08-07","87.21"
"2013-08-06","86.64"
"2013-08-05","87.25"
"2013-08-02","87.01"
"2013-08-01","87.65"
"2013-07-31","85.64"
"2013-07-30","84.87"
"2013-07-29","85.06"
"2013-07-26","84.67"
"2013-07-25","85.44"
"2013-07-24","85.22"
"2013-07-23","86.40"
"2013-07-22","85.27"
"2013-07-19","85.31"
"2013-07-18","83.63"
"2013-07-17","80.41"
"2013-07-16","80.17"
"2013-07-15","80.71"
"2013-07-12","81.00"
"2013-07-11","81.33"
"2013-07-10","79.53"
"2013-07-09","79.53"
"2013-07-08","78.44"
"2013-07-05","78.00"
"2013-07-03","76.58"
"2013-07-02","76.76"
"2013-07-01","77.84"
"2013-06-28","77.66"
"2013-06-27","78.04"
"2013-06-26","77.65"
"2013-06-25","76.70"
"2013-06-24","75.83"
"2013-06-21","77.37"
"2013-06-20","77.06"
"2013-06-19","79.39"
"2013-06-18","80.62"
"2013-06-17","79.14"
"2013-06-14","78.60"
"2013-06-13","78.61"
"2013-06-12","77.30"
"2013-06-11","78.25"
"2013-06-10","78.79"
"2013-06-07","79.52"
"2013-06-06","79.04"
"2013-06-05","77.59"
"2013-06-04","79.21"
"2013-06-03","79.03"
"2013-05-31","78.25"
"2013-05-30","78.57"
"2013-05-29","77.95"
"2013-05-28","79.19"
"2013-05-24","79.19"
"2013-05-23","79.54"
"2013-05-22","76.41"
"2013-05-21","77.87"
"2013-05-20","77.82"
"2013-05-17","77.21"
"2013-05-16","75.77"
"2013-05-15","76.00"
"2013-05-14","75.43"
"2013-05-13","73.99"
"2013-05-10","74.00"
"2013-05-09","73.24"
"2013-05-08","73.01"
"2013-05-07","72.20"
"2013-05-06","71.98"
"2013-05-03","71.16"
"2013-05-02","69.33"
"2013-05-01","68.03"
"2013-04-30","68.98"
"2013-04-29","69.70"
"2013-04-26","69.10"
"2013-04-25","69.94"
"2013-04-24","70.07"
"2013-04-23","69.10"
"2013-04-22","68.00"
"2013-04-19","68.15"
"2013-04-18","68.59"
"2013-04-17","69.91"
"2013-04-16","72.22"
"2013-04-15","70.47"
"2013-04-12","73.41"
"2013-04-11","74.70"
"2013-04-10","74.41"
"2013-04-09","73.03"
"2013-04-08","72.94"
"2013-04-05","71.75"
"2013-04-04","71.92"
"2013-04-03","70.92"
"2013-04-02","71.17"
"2013-04-01","71.77"
"2013-03-28","72.88"
"2013-03-27","72.34"
"2013-03-26","72.76"
"2013-03-25","72.22"
"2013-03-22","72.79"
"2013-03-21","72.35"
"2013-03-20","73.38"
"2013-03-19","73.58"
"2013-03-18","73.89"
