"Date","Close"
"2013-12-31","69.06"
"2013-12-30","68.40"
"2013-12-27","67.82"
"2013-12-26","67.39"
"2013-12-24","67.47"
"2013-12-23","66.67"
"2013-12-20","66.28"
"2013-12-19","65.93"
"2013-12-18","66.49"
"2013-12-17","65.37"
"2013-12-16","65.75"
"2013-12-13","66.63"
"2013-12-12","67.02"
"2013-12-11","66.92"
"2013-12-10","67.97"
"2013-12-09","67.90"
"2013-12-06","66.44"
"2013-12-05","65.38"
"2013-12-04","65.75"
"2013-12-03","66.02"
"2013-12-02","66.94"
"2013-11-29","66.11"
"2013-11-27","66.05"
"2013-11-26","65.90"
"2013-11-25","65.04"
"2013-11-22","64.95"
"2013-11-21","62.86"
"2013-11-20","63.45"
"2013-11-19","65.47"
"2013-11-18","65.04"
"2013-11-15","64.88"
"2013-11-14","64.35"
"2013-11-13","63.87"
"2013-11-12","64.02"
"2013-11-11","64.17"
"2013-11-08","63.89"
"2013-11-07","63.10"
"2013-11-06","63.50"
"2013-11-05","63.53"
"2013-11-04","64.37"
"2013-11-01","63.67"
"2013-10-31","62.49"
"2013-10-30","62.57"
"2013-10-29","62.74"
"2013-10-28","63.09"
"2013-10-25","62.81"
"2013-10-24","62.97"
"2013-10-23","62.09"
"2013-10-22","62.26"
"2013-10-21","61.76"
"2013-10-18","61.65"
"2013-10-17","62.40"
"2013-10-16","61.35"
"2013-10-15","60.87"
"2013-10-14","61.18"
"2013-10-11","60.65"
"2013-10-10","60.15"
"2013-10-09","57.95"
"2013-10-08","58.05"
"2013-10-07","58.83"
"2013-10-04","59.36"
"2013-10-03","58.78"
"2013-10-02","59.79"
"2013-10-01","59.80"
"2013-09-30","59.78"
"2013-09-27","59.96"
"2013-09-26","59.94"
"2013-09-25","59.84"
"2013-09-24","60.64"
"2013-09-23","62.29"
"2013-09-20","63.41"
"2013-09-19","63.26"
"2013-09-18","62.90"
"2013-09-17","62.40"
"2013-09-16","61.92"
"2013-09-13","61.77"
"2013-09-12","61.34"
"2013-09-11","61.51"
"2013-09-10","60.84"
"2013-09-09","59.66"
"2013-09-06","58.67"
"2013-09-05","58.97"
"2013-09-04","58.38"
"2013-09-03","58.57"
"2013-08-30","58.18"
"2013-08-29","58.20"
"2013-08-28","58.34"
"2013-08-27","57.98"
"2013-08-26","57.49"
"2013-08-23","57.88"
"2013-08-22","58.16"
"2013-08-21","57.54"
"2013-08-20","58.64"
"2013-08-19","59.06"
"2013-08-16","59.57"
"2013-08-15","59.95"
"2013-08-14","61.41"
"2013-08-13","61.85"
"2013-08-12","62.10"
"2013-08-09","62.29"
"2013-08-08","63.22"
"2013-08-07","61.90"
"2013-08-06","61.11"
"2013-08-05","61.73"
"2013-08-02","61.41"
"2013-08-01","62.00"
"2013-07-31","63.28"
"2013-07-30","62.63"
"2013-07-29","63.11"
"2013-07-26","63.74"
"2013-07-25","64.13"
"2013-07-24","63.68"
"2013-07-23","64.60"
"2013-07-22","65.29"
"2013-07-19","65.20"
"2013-07-18","64.99"
"2013-07-17","64.55"
"2013-07-16","65.04"
"2013-07-15","65.25"
"2013-07-12","64.91"
"2013-07-11","64.40"
"2013-07-10","62.23"
"2013-07-09","62.41"
"2013-07-08","63.46"
"2013-07-05","63.64"
"2013-07-03","63.08"
"2013-07-02","62.15"
"2013-07-01","62.38"
"2013-06-28","61.64"
"2013-06-27","60.73"
"2013-06-26","61.08"
"2013-06-25","60.41"
"2013-06-24","60.74"
"2013-06-21","61.73"
"2013-06-20","60.07"
"2013-06-19","62.08"
"2013-06-18","63.58"
"2013-06-17","61.87"
"2013-06-14","62.00"
"2013-06-13","61.16"
"2013-06-12","60.16"
"2013-06-11","61.39"
"2013-06-10","62.09"
"2013-06-07","62.20"
"2013-06-06","61.81"
"2013-06-05","60.89"
"2013-06-04","61.57"
"2013-06-03","61.66"
"2013-05-31","61.19"
"2013-05-30","63.10"
"2013-05-29","63.42"
"2013-05-28","63.80"
"2013-05-24","63.74"
"2013-05-23","63.92"
"2013-05-22","63.97"
"2013-05-21","65.00"
"2013-05-20","64.44"
"2013-05-17","65.21"
"2013-05-16","64.72"
"2013-05-15","65.17"
"2013-05-14","64.41"
"2013-05-13","63.99"
"2013-05-10","63.80"
"2013-05-09","62.98"
"2013-05-08","61.90"
"2013-05-07","61.95"
"2013-05-06","57.96"
"2013-05-03","57.89"
"2013-05-02","57.77"
"2013-05-01","56.65"
"2013-04-30","56.56"
"2013-04-29","57.15"
"2013-04-26","56.33"
"2013-04-25","56.25"
"2013-04-24","56.30"
"2013-04-23","56.06"
"2013-04-22","55.96"
"2013-04-19","55.18"
"2013-04-18","53.95"
"2013-04-17","54.16"
"2013-04-16","55.62"
"2013-04-15","55.05"
"2013-04-12","56.05"
"2013-04-11","55.67"
"2013-04-10","55.98"
"2013-04-09","55.42"
"2013-04-08","55.71"
"2013-04-05","55.40"
"2013-04-04","55.62"
"2013-04-03","56.09"
"2013-04-02","56.47"
"2013-04-01","56.74"
"2013-03-28","56.59"
"2013-03-27","57.24"
"2013-03-26","56.86"
"2013-03-25","55.74"
"2013-03-22","55.37"
"2013-03-21","54.75"
"2013-03-20","55.33"
"2013-03-19","54.83"
"2013-03-18","54.75"
"2013-03-15","54.99"
"2013-03-14","52.60"
"2013-03-13","51.96"
"2013-03-12","51.28"
"2013-03-11","50.90"
"2013-03-08","50.08"
"2013-03-07","49.24"
"2013-03-06","49.00"
"2013-03-05","48.94"
"2013-03-04","48.94"
"2013-03-01","48.55"
"2013-02-28","48.17"
"2013-02-27","48.45"
"2013-02-26","48.16"
"2013-02-25","48.41"
"2013-02-22","49.09"
"2013-02-21","47.77"
"2013-02-20","48.12"
"2013-02-19","49.26"
"2013-02-15","49.19"
"2013-02-14","50.21"
"2013-02-13","51.67"
"2013-02-12","52.23"
"2013-02-11","52.89"
"2013-02-08","53.06"
"2013-02-07","52.59"
"2013-02-06","52.47"
"2013-02-05","52.37"
"2013-02-04","51.18"
"2013-02-01","51.74"
"2013-01-31","51.14"
"2013-01-30","52.22"
"2013-01-29","53.16"
"2013-01-28","53.41"
"2013-01-25","53.65"
"2013-01-24","53.49"
"2013-01-23","53.13"
"2013-01-22","53.40"
"2013-01-18","53.36"
"2013-01-17","53.03"
"2013-01-16","52.79"
"2013-01-15","52.75"
"2013-01-14","53.35"
"2013-01-11","52.40"
"2013-01-10","52.44"
"2013-01-09","51.86"
"2013-01-08","50.46"
"2013-01-07","50.56"
"2013-01-04","51.14"
"2013-01-03","51.62"
"2013-01-02","51.67"
"2012-12-31","50.16"
"2012-12-28","49.42"
"2012-12-27","49.71"
"2012-12-26","49.60"
"2012-12-24","50.14"
"2012-12-21","50.27"
"2012-12-20","51.30"
"2012-12-19","51.20"
"2012-12-18","51.84"
"2012-12-17","50.56"
"2012-12-14","49.82"
"2012-12-13","49.97"
"2012-12-12","50.27"
"2012-12-11","50.29"
"2012-12-10","49.77"
"2012-12-07","50.20"
"2012-12-06","50.05"
"2012-12-05","49.57"
"2012-12-04","49.31"
"2012-12-03","49.31"
"2012-11-30","49.70"
"2012-11-29","49.36"
"2012-11-28","49.16"
"2012-11-27","49.19"
"2012-11-26","49.00"
"2012-11-23","49.49"
"2012-11-21","49.34"
"2012-11-20","49.10"
"2012-11-19","49.06"
"2012-11-16","48.99"
"2012-11-15","49.02"
"2012-11-14","48.24"
"2012-11-13","48.54"
"2012-11-12","48.17"
"2012-11-09","48.83"
"2012-11-08","49.33"
"2012-11-07","49.49"
"2012-11-06","50.51"
"2012-11-05","50.66"
"2012-11-02","50.35"
"2012-11-01","51.26"
"2012-10-31","51.14"
"2012-10-26","51.27"
"2012-10-25","51.32"
"2012-10-24","50.88"
"2012-10-23","51.11"
"2012-10-22","51.33"
"2012-10-19","51.35"
"2012-10-18","52.07"
"2012-10-17","51.68"
"2012-10-16","50.85"
"2012-10-15","50.52"
"2012-10-12","49.84"
"2012-10-11","50.13"
"2012-10-10","50.71"
"2012-10-09","51.02"
"2012-10-08","52.80"
"2012-10-05","53.12"
"2012-10-04","53.24"
"2012-10-03","52.62"
"2012-10-02","52.11"
"2012-10-01","52.04"
"2012-09-28","52.44"
"2012-09-27","51.99"
"2012-09-26","52.00"
"2012-09-25","53.01"
"2012-09-24","52.70"
"2012-09-21","52.31"
"2012-09-20","52.35"
"2012-09-19","53.64"
"2012-09-18","53.44"
"2012-09-17","54.18"
"2012-09-14","54.13"
"2012-09-13","54.19"
"2012-09-12","53.26"
"2012-09-11","52.84"
"2012-09-10","53.42"
"2012-09-07","53.29"
"2012-09-06","53.26"
"2012-09-05","52.86"
"2012-09-04","52.30"
"2012-08-31","52.09"
"2012-08-30","52.36"
"2012-08-29","52.55"
"2012-08-28","52.31"
"2012-08-27","52.56"
"2012-08-24","52.63"
"2012-08-23","51.72"
"2012-08-22","51.79"
"2012-08-21","51.50"
"2012-08-20","51.48"
"2012-08-17","51.64"
"2012-08-16","51.50"
"2012-08-15","51.53"
"2012-08-14","51.91"
"2012-08-13","52.10"
"2012-08-10","52.10"
"2012-08-09","50.50"
"2012-08-08","49.85"
"2012-08-07","49.57"
"2012-08-06","49.77"
"2012-08-03","50.16"
"2012-08-02","48.80"
"2012-08-01","50.10"
"2012-07-31","49.66"
"2012-07-30","49.33"
"2012-07-27","49.40"
"2012-07-26","48.88"
"2012-07-25","47.53"
"2012-07-24","46.94"
"2012-07-23","47.26"
"2012-07-20","48.33"
"2012-07-19","48.95"
"2012-07-18","48.60"
"2012-07-17","48.78"
"2012-07-16","48.22"
"2012-07-13","48.32"
"2012-07-12","47.55"
"2012-07-11","48.15"
"2012-07-10","48.69"
"2012-07-09","48.99"
"2012-07-06","49.24"
"2012-07-05","49.24"
"2012-07-03","50.29"
"2012-07-02","49.69"
"2012-06-29","48.82"
"2012-06-28","47.62"
"2012-06-27","47.53"
"2012-06-26","46.40"
"2012-06-25","46.81"
"2012-06-22","47.48"
"2012-06-21","46.70"
"2012-06-20","47.30"
"2012-06-19","45.75"
"2012-06-18","45.32"
"2012-06-15","44.88"
"2012-06-14","43.97"
"2012-06-13","42.99"
"2012-06-12","43.23"
"2012-06-11","43.45"
"2012-06-08","44.10"
"2012-06-07","43.90"
"2012-06-06","44.18"
"2012-06-05","44.24"
"2012-06-04","44.51"
"2012-06-01","43.92"
"2012-05-31","44.45"
"2012-05-30","45.74"
"2012-05-29","46.40"
"2012-05-25","46.40"
"2012-05-24","46.37"
"2012-05-23","46.15"
"2012-05-22","46.39"
"2012-05-21","46.39"
"2012-05-18","45.38"
"2012-05-17","46.06"
"2012-05-16","46.87"
"2012-05-15","46.98"
"2012-05-14","46.93"
"2012-05-11","47.57"
"2012-05-10","47.77"
"2012-05-09","47.64"
"2012-05-08","48.03"
"2012-05-07","47.90"
"2012-05-04","48.22"
"2012-05-03","49.30"
"2012-05-02","49.83"
"2012-05-01","49.47"
"2012-04-30","49.28"
"2012-04-27","49.02"
"2012-04-26","48.48"
"2012-04-25","48.02"
"2012-04-24","47.60"
"2012-04-23","47.30"
"2012-04-20","48.13"
"2012-04-19","47.95"
"2012-04-18","48.72"
"2012-04-17","48.89"
"2012-04-16","48.75"
"2012-04-13","49.10"
"2012-04-12","49.24"
"2012-04-11","49.00"
"2012-04-10","48.41"
"2012-04-09","49.12"
"2012-04-05","49.83"
"2012-04-04","48.90"
"2012-04-03","49.55"
"2012-04-02","49.94"
"2012-03-30","49.34"
"2012-03-29","49.49"
"2012-03-28","48.83"
"2012-03-27","48.20"
"2012-03-26","48.64"
"2012-03-23","48.07"
"2012-03-22","48.03"
"2012-03-21","48.30"
"2012-03-20","48.07"
"2012-03-19","47.64"
"2012-03-16","47.47"
"2012-03-15","47.34"
"2012-03-14","47.81"
"2012-03-13","47.80"
"2012-03-12","46.82"
"2012-03-09","47.15"
"2012-03-08","46.42"
"2012-03-07","46.08"
"2012-03-06","45.91"
"2012-03-05","46.48"
"2012-03-02","46.55"
"2012-03-01","46.34"
"2012-02-29","46.32"
"2012-02-28","46.05"
"2012-02-27","45.79"
"2012-02-24","45.61"
"2012-02-23","45.63"
"2012-02-22","45.05"
"2012-02-21","45.15"
"2012-02-17","44.98"
"2012-02-16","45.38"
"2012-02-15","46.30"
"2012-02-14","45.85"
"2012-02-13","45.68"
"2012-02-10","45.51"
"2012-02-09","45.56"
"2012-02-08","44.92"
"2012-02-07","45.20"
"2012-02-06","45.44"
"2012-02-03","45.69"
"2012-02-02","44.76"
"2012-02-01","45.24"
"2012-01-31","45.01"
"2012-01-30","44.91"
"2012-01-27","44.36"
"2012-01-26","44.54"
"2012-01-25","44.44"
"2012-01-24","43.77"
"2012-01-23","43.55"
"2012-01-20","43.03"
"2012-01-19","42.72"
"2012-01-18","42.18"
"2012-01-17","43.50"
"2012-01-13","43.46"
"2012-01-12","43.09"
"2012-01-11","43.69"
"2012-01-10","43.03"
"2012-01-09","43.42"
"2012-01-06","43.85"
"2012-01-05","44.43"
"2012-01-04","44.01"
"2012-01-03","43.32"
"2011-12-30","42.76"
"2011-12-29","42.84"
"2011-12-28","42.65"
"2011-12-27","43.08"
"2011-12-23","43.23"
"2011-12-22","42.77"
"2011-12-21","42.99"
"2011-12-20","43.10"
"2011-12-19","41.68"
"2011-12-16","42.10"
"2011-12-15","43.31"
"2011-12-14","45.36"
"2011-12-13","45.99"
"2011-12-12","46.57"
"2011-12-09","46.06"
"2011-12-08","45.43"
"2011-12-07","47.69"
"2011-12-06","47.20"
"2011-12-05","46.95"
"2011-12-02","46.82"
"2011-12-01","47.87"
"2011-11-30","47.22"
"2011-11-29","45.67"
"2011-11-28","45.70"
"2011-11-25","45.08"
"2011-11-23","44.79"
"2011-11-22","46.35"
"2011-11-21","46.50"
"2011-11-18","46.62"
"2011-11-17","46.45"
"2011-11-16","46.49"
"2011-11-15","47.08"
"2011-11-14","45.63"
"2011-11-11","45.84"
"2011-11-10","45.42"
"2011-11-09","44.57"
"2011-11-08","46.75"
"2011-11-07","45.83"
"2011-11-04","46.66"
"2011-11-03","47.63"
"2011-11-02","44.86"
"2011-11-01","44.99"
"2011-10-31","45.46"
"2011-10-28","45.53"
"2011-10-27","47.34"
"2011-10-26","47.32"
"2011-10-25","47.02"
"2011-10-24","47.80"
"2011-10-21","46.42"
"2011-10-20","45.98"
"2011-10-19","46.22"
"2011-10-18","46.68"
"2011-10-17","45.97"
"2011-10-14","47.03"
"2011-10-13","46.26"
"2011-10-12","46.62"
"2011-10-11","45.77"
"2011-10-10","45.00"
