"Date","Close"
"2013-12-31","69.01"
"2013-12-30","69.11"
"2013-12-27","68.95"
"2013-12-26","68.77"
"2013-12-24","69.28"
"2013-12-23","69.05"
"2013-12-20","69.50"
"2013-12-19","69.19"
"2013-12-18","69.73"
"2013-12-17","68.38"
"2013-12-16","68.51"
"2013-12-13","68.19"
"2013-12-12","68.19"
"2013-12-11","68.33"
"2013-12-10","69.27"
"2013-12-09","69.81"
"2013-12-06","70.19"
"2013-12-05","69.60"
"2013-12-04","69.92"
"2013-12-03","69.75"
"2013-12-02","69.61"
"2013-11-29","69.96"
"2013-11-27","70.03"
"2013-11-26","70.50"
"2013-11-25","70.99"
"2013-11-22","71.13"
"2013-11-21","70.75"
"2013-11-20","70.03"
"2013-11-19","71.12"
"2013-11-18","71.54"
"2013-11-15","71.80"
"2013-11-14","71.51"
"2013-11-13","70.92"
"2013-11-12","71.72"
"2013-11-11","72.45"
"2013-11-08","72.43"
"2013-11-07","72.92"
"2013-11-06","73.21"
"2013-11-05","72.45"
"2013-11-04","72.47"
"2013-11-01","72.51"
"2013-10-31","71.73"
"2013-10-30","72.01"
"2013-10-29","72.62"
"2013-10-28","72.37"
"2013-10-25","72.37"
"2013-10-24","71.63"
"2013-10-23","71.71"
"2013-10-22","71.09"
"2013-10-21","70.06"
"2013-10-18","70.08"
"2013-10-17","69.80"
"2013-10-16","69.03"
"2013-10-15","67.85"
"2013-10-14","68.58"
"2013-10-11","68.85"
"2013-10-10","68.29"
"2013-10-09","67.51"
"2013-10-08","67.20"
"2013-10-07","66.34"
"2013-10-04","66.43"
"2013-10-03","66.33"
"2013-10-02","67.25"
"2013-10-01","67.27"
"2013-09-30","66.78"
"2013-09-27","66.90"
"2013-09-26","67.65"
"2013-09-25","67.26"
"2013-09-24","67.69"
"2013-09-23","67.73"
"2013-09-20","67.36"
"2013-09-19","67.93"
"2013-09-18","68.10"
"2013-09-17","66.19"
"2013-09-16","66.03"
"2013-09-13","65.55"
"2013-09-12","64.97"
"2013-09-11","65.31"
"2013-09-10","65.95"
"2013-09-09","65.57"
"2013-09-06","65.45"
"2013-09-05","64.80"
"2013-09-04","64.69"
"2013-09-03","64.96"
"2013-08-30","65.60"
"2013-08-29","65.66"
"2013-08-28","66.05"
"2013-08-27","65.85"
"2013-08-26","65.79"
"2013-08-23","66.35"
"2013-08-22","65.94"
"2013-08-21","65.81"
"2013-08-20","66.79"
"2013-08-19","66.33"
"2013-08-16","67.05"
"2013-08-15","67.91"
"2013-08-14","69.02"
"2013-08-13","70.82"
"2013-08-12","70.77"
"2013-08-09","70.77"
"2013-08-08","71.23"
"2013-08-07","71.05"
"2013-08-06","71.12"
"2013-08-05","71.37"
"2013-08-02","71.75"
"2013-08-01","71.51"
"2013-07-31","71.00"
"2013-07-30","71.49"
"2013-07-29","71.22"
"2013-07-26","70.79"
"2013-07-25","70.60"
"2013-07-24","70.50"
"2013-07-23","71.31"
"2013-07-22","70.77"
"2013-07-19","70.88"
"2013-07-18","71.15"
"2013-07-17","70.71"
"2013-07-16","70.49"
"2013-07-15","71.01"
"2013-07-12","70.15"
"2013-07-11","69.90"
"2013-07-10","68.59"
"2013-07-09","68.16"
"2013-07-08","67.73"
"2013-07-05","67.27"
"2013-07-03","67.39"
"2013-07-02","67.18"
"2013-07-01","66.84"
"2013-06-28","67.50"
"2013-06-27","67.52"
"2013-06-26","67.61"
"2013-06-25","66.12"
"2013-06-24","65.46"
"2013-06-21","65.58"
"2013-06-20","65.10"
"2013-06-19","66.72"
"2013-06-18","68.23"
"2013-06-17","67.65"
