"Date","Close"
"2013-12-31","63.37"
"2013-12-30","63.29"
"2013-12-27","63.36"
"2013-12-26","63.39"
"2013-12-24","63.25"
"2013-12-23","63.26"
"2013-12-20","62.64"
"2013-12-19","61.69"
"2013-12-18","62.27"
"2013-12-17","60.22"
"2013-12-16","60.02"
"2013-12-13","60.30"
"2013-12-12","60.19"
"2013-12-11","60.63"
"2013-12-10","61.44"
"2013-12-09","62.17"
"2013-12-06","58.26"
"2013-12-05","57.12"
"2013-12-04","57.27"
"2013-12-03","58.50"
"2013-12-02","59.19"
"2013-11-29","59.55"
"2013-11-27","59.88"
"2013-11-26","60.58"
"2013-11-25","61.55"
"2013-11-22","56.54"
"2013-11-21","56.89"
"2013-11-20","57.84"
"2013-11-19","58.30"
"2013-11-18","59.27"
"2013-11-15","58.89"
"2013-11-14","58.69"
"2013-11-13","58.30"
"2013-11-12","58.43"
"2013-11-11","56.96"
"2013-11-08","56.30"
"2013-11-07","55.76"
"2013-11-06","55.03"
"2013-11-05","56.53"
"2013-11-04","56.75"
"2013-11-01","56.57"
"2013-10-31","56.21"
"2013-10-30","55.98"
"2013-10-29","56.49"
"2013-10-28","56.23"
"2013-10-25","55.44"
"2013-10-24","55.82"
"2013-10-23","56.07"
"2013-10-22","56.78"
"2013-10-21","57.00"
"2013-10-18","58.06"
"2013-10-17","57.86"
"2013-10-16","57.84"
"2013-10-15","57.18"
"2013-10-14","57.55"
"2013-10-11","57.95"
"2013-10-10","58.12"
"2013-10-09","57.36"
"2013-10-08","57.51"
"2013-10-07","58.00"
"2013-10-04","58.37"
"2013-10-03","57.67"
"2013-10-02","57.94"
"2013-10-01","57.77"
"2013-09-30","56.90"
"2013-09-27","56.98"
"2013-09-26","57.60"
"2013-09-25","57.37"
"2013-09-24","57.60"
"2013-09-23","57.95"
"2013-09-20","58.47"
"2013-09-19","58.53"
"2013-09-18","58.65"
"2013-09-17","59.10"
"2013-09-16","56.61"
"2013-09-13","55.75"
"2013-09-12","56.00"
"2013-09-11","55.70"
"2013-09-10","55.81"
"2013-09-09","56.04"
"2013-09-06","110.59"
"2013-09-05","111.55"
"2013-09-04","109.44"
"2013-09-03","108.59"
"2013-08-30","107.51"
"2013-08-29","108.02"
"2013-08-28","108.02"
"2013-08-27","108.74"
"2013-08-26","110.85"
"2013-08-23","110.36"
"2013-08-22","109.97"
"2013-08-21","110.49"
"2013-08-20","111.95"
"2013-08-19","111.15"
"2013-08-16","112.10"
"2013-08-15","113.30"
"2013-08-14","114.60"
"2013-08-13","114.65"
"2013-08-12","114.73"
"2013-08-09","114.35"
"2013-08-08","113.65"
"2013-08-07","113.93"
"2013-08-06","116.34"
"2013-08-05","117.39"
"2013-08-02","117.50"
"2013-08-01","117.18"
"2013-07-31","116.41"
"2013-07-30","116.26"
"2013-07-29","116.88"
"2013-07-26","117.72"
"2013-07-25","117.57"
"2013-07-24","117.59"
"2013-07-23","118.42"
"2013-07-22","118.61"
"2013-07-19","117.96"
"2013-07-18","117.32"
"2013-07-17","118.38"
"2013-07-16","117.96"
"2013-07-15","120.26"
"2013-07-12","121.23"
"2013-07-11","120.51"
"2013-07-10","116.40"
"2013-07-09","116.00"
"2013-07-08","116.88"
"2013-07-05","114.56"
"2013-07-03","113.90"
"2013-07-02","114.00"
"2013-07-01","121.15"
"2013-06-28","120.80"
"2013-06-27","122.27"
"2013-06-26","121.97"
"2013-06-25","121.95"
"2013-06-24","123.04"
"2013-06-21","123.50"
"2013-06-20","122.89"
"2013-06-19","126.82"
"2013-06-18","129.50"
"2013-06-17","130.16"
"2013-06-14","128.83"
"2013-06-13","129.86"
"2013-06-12","130.01"
"2013-06-11","129.41"
"2013-06-10","127.60"
"2013-06-07","126.42"
"2013-06-06","125.25"
"2013-06-05","123.12"
"2013-06-04","124.96"
"2013-06-03","125.51"
"2013-05-31","124.07"
"2013-05-30","126.48"
"2013-05-29","124.62"
"2013-05-28","127.48"
"2013-05-24","125.12"
"2013-05-23","125.56"
"2013-05-22","126.11"
"2013-05-21","126.61"
"2013-05-20","127.07"
"2013-05-17","128.14"
"2013-05-16","128.06"
"2013-05-15","130.28"
"2013-05-14","130.91"
"2013-05-13","129.94"
"2013-05-10","131.19"
"2013-05-09","128.59"
"2013-05-08","129.37"
"2013-05-07","117.56"
"2013-05-06","118.28"
"2013-05-03","117.32"
"2013-05-02","117.90"
"2013-05-01","118.40"
"2013-04-30","118.65"
"2013-04-29","119.02"
"2013-04-26","120.19"
"2013-04-25","120.85"
"2013-04-24","121.93"
"2013-04-23","123.02"
"2013-04-22","122.33"
"2013-04-19","122.62"
"2013-04-18","121.48"
"2013-04-17","124.83"
"2013-04-16","126.50"
"2013-04-15","124.19"
"2013-04-12","126.91"
"2013-04-11","127.05"
"2013-04-10","125.34"
"2013-04-09","125.71"
"2013-04-08","125.75"
"2013-04-05","125.38"
"2013-04-04","125.33"
"2013-04-03","125.31"
"2013-04-02","127.20"
"2013-04-01","119.91"
"2013-03-28","118.59"
"2013-03-27","118.20"
"2013-03-26","118.32"
"2013-03-25","117.90"
"2013-03-22","117.77"
"2013-03-21","117.74"
"2013-03-20","119.04"
"2013-03-19","117.88"
"2013-03-18","117.28"
"2013-03-15","118.20"
"2013-03-14","118.55"
"2013-03-13","117.20"
"2013-03-12","117.36"
"2013-03-11","118.40"
"2013-03-08","118.72"
"2013-03-07","118.91"
"2013-03-06","121.95"
"2013-03-05","123.35"
"2013-03-04","121.81"
"2013-03-01","120.03"
"2013-02-28","119.62"
"2013-02-27","118.27"
"2013-02-26","116.22"
"2013-02-25","115.43"
"2013-02-22","116.05"
"2013-02-21","115.60"
"2013-02-20","116.18"
"2013-02-19","115.90"
"2013-02-15","117.46"
"2013-02-14","119.21"
"2013-02-13","118.74"
"2013-02-12","118.43"
"2013-02-11","118.80"
"2013-02-08","118.92"
"2013-02-07","118.93"
"2013-02-06","118.20"
"2013-02-05","116.58"
"2013-02-04","114.89"
"2013-02-01","116.72"
"2013-01-31","115.41"
"2013-01-30","114.88"
"2013-01-29","114.98"
"2013-01-28","113.65"
"2013-01-25","114.53"
"2013-01-24","114.33"
"2013-01-23","113.92"
"2013-01-22","114.72"
"2013-01-18","113.23"
"2013-01-17","112.65"
"2013-01-16","112.12"
"2013-01-15","110.31"
"2013-01-14","109.48"
"2013-01-11","109.20"
"2013-01-10","109.68"
"2013-01-09","109.64"
"2013-01-08","109.67"
"2013-01-07","108.29"
"2013-01-04","109.84"
"2013-01-03","109.93"
"2013-01-02","109.20"
"2012-12-31","110.53"
"2012-12-28","109.76"
"2012-12-27","109.93"
"2012-12-26","110.09"
"2012-12-24","111.19"
"2012-12-21","111.93"
"2012-12-20","112.64"
"2012-12-19","110.87"
"2012-12-18","110.68"
"2012-12-17","109.71"
"2012-12-14","109.07"
"2012-12-13","106.99"
"2012-12-12","107.41"
"2012-12-11","107.54"
"2012-12-10","106.49"
"2012-12-07","106.49"
"2012-12-06","105.97"
"2012-12-05","106.32"
"2012-12-04","106.13"
"2012-12-03","106.55"
"2012-11-30","108.00"
"2012-11-29","107.60"
"2012-11-28","108.40"
"2012-11-27","109.29"
"2012-11-26","110.00"
"2012-11-23","111.43"
"2012-11-21","110.01"
"2012-11-20","113.48"
"2012-11-19","114.00"
"2012-11-16","113.02"
"2012-11-15","112.89"
"2012-11-14","112.05"
"2012-11-13","112.61"
"2012-11-12","112.90"
"2012-11-09","112.43"
"2012-11-08","111.82"
"2012-11-07","112.82"
"2012-11-06","114.98"
"2012-11-05","111.62"
"2012-11-02","111.50"
"2012-11-01","112.36"
"2012-10-31","112.52"
"2012-10-26","111.02"
"2012-10-25","111.41"
"2012-10-24","110.82"
"2012-10-23","111.38"
"2012-10-22","112.00"
"2012-10-19","110.72"
"2012-10-18","113.07"
"2012-10-17","110.54"
"2012-10-16","109.87"
"2012-10-15","109.00"
"2012-10-12","110.42"
"2012-10-11","109.47"
"2012-10-10","109.56"
"2012-10-09","107.82"
"2012-10-08","108.41"
"2012-10-05","108.39"
"2012-10-04","108.40"
"2012-10-03","107.70"
"2012-10-02","104.11"
"2012-10-01","103.44"
"2012-09-28","103.61"
"2012-09-27","102.40"
"2012-09-26","100.96"
"2012-09-25","100.30"
"2012-09-24","100.37"
"2012-09-21","101.50"
"2012-09-20","98.66"
"2012-09-19","98.57"
"2012-09-18","99.51"
"2012-09-17","99.68"
"2012-09-14","98.45"
"2012-09-13","99.59"
"2012-09-12","98.47"
"2012-09-11","97.60"
"2012-09-10","98.46"
"2012-09-07","100.58"
"2012-09-06","100.85"
"2012-09-05","100.29"
"2012-09-04","97.64"
"2012-08-31","97.27"
"2012-08-30","97.00"
"2012-08-29","97.32"
"2012-08-28","97.50"
"2012-08-27","97.46"
"2012-08-24","97.03"
"2012-08-23","96.18"
"2012-08-22","96.50"
"2012-08-21","96.01"
"2012-08-20","97.99"
"2012-08-17","97.63"
"2012-08-16","98.29"
"2012-08-15","98.13"
"2012-08-14","97.87"
"2012-08-13","96.38"
"2012-08-10","96.68"
