"Date","Close"
"2013-12-31","61.87"
"2013-12-30","61.80"
"2013-12-27","61.69"
"2013-12-26","61.12"
"2013-12-24","61.26"
"2013-12-23","60.81"
"2013-12-20","60.94"
"2013-12-19","60.75"
"2013-12-18","59.34"
"2013-12-17","59.65"
"2013-12-16","60.40"
"2013-12-13","59.22"
"2013-12-12","59.42"
"2013-12-11","59.57"
"2013-12-10","60.82"
"2013-12-09","60.70"
"2013-12-06","60.48"
"2013-12-05","61.36"
"2013-12-04","60.81"
"2013-12-03","61.45"
"2013-12-02","60.54"
"2013-11-29","60.62"
"2013-11-27","60.57"
"2013-11-26","61.27"
"2013-11-25","61.60"
"2013-11-22","62.57"
"2013-11-21","62.60"
"2013-11-20","62.75"
"2013-11-19","62.77"
"2013-11-18","59.79"
"2013-11-15","60.48"
"2013-11-14","60.82"
"2013-11-13","60.60"
"2013-11-12","59.83"
"2013-11-11","60.71"
"2013-11-08","60.11"
"2013-11-07","59.76"
"2013-11-06","61.40"
"2013-11-05","63.79"
"2013-11-04","64.46"
"2013-11-01","63.66"
"2013-10-31","63.22"
"2013-10-30","63.41"
"2013-10-29","64.53"
"2013-10-28","64.03"
"2013-10-25","64.54"
"2013-10-24","64.50"
"2013-10-23","64.10"
"2013-10-22","65.52"
"2013-10-21","65.32"
"2013-10-18","63.21"
"2013-10-17","62.97"
"2013-10-16","62.49"
"2013-10-15","60.97"
"2013-10-14","60.94"
"2013-10-11","60.80"
"2013-10-10","60.28"
"2013-10-09","58.30"
"2013-10-08","58.20"
"2013-10-07","58.36"
"2013-10-04","58.92"
"2013-10-03","57.97"
"2013-10-02","58.29"
"2013-10-01","58.60"
"2013-09-30","57.76"
"2013-09-27","58.71"
"2013-09-26","59.47"
"2013-09-25","59.50"
"2013-09-24","59.73"
"2013-09-23","59.58"
"2013-09-20","59.54"
"2013-09-19","59.68"
"2013-09-18","59.82"
"2013-09-17","58.86"
"2013-09-16","58.11"
"2013-09-13","58.39"
"2013-09-12","58.90"
"2013-09-11","59.13"
"2013-09-10","58.70"
"2013-09-09","59.02"
"2013-09-06","58.38"
"2013-09-05","58.73"
"2013-09-04","57.50"
"2013-09-03","57.23"
"2013-08-30","57.09"
"2013-08-29","56.77"
"2013-08-28","57.50"
"2013-08-27","56.96"
"2013-08-26","58.07"
"2013-08-23","58.13"
"2013-08-22","57.33"
"2013-08-21","56.08"
"2013-08-20","56.53"
"2013-08-19","56.44"
"2013-08-16","57.38"
"2013-08-15","58.02"
"2013-08-14","57.95"
"2013-08-13","57.55"
"2013-08-12","57.89"
"2013-08-09","58.50"
"2013-08-08","58.67"
"2013-08-07","56.68"
"2013-08-06","55.80"
"2013-08-05","56.00"
"2013-08-02","55.96"
"2013-08-01","56.33"
"2013-07-31","55.01"
"2013-07-30","54.89"
"2013-07-29","54.74"
"2013-07-26","55.84"
"2013-07-25","56.50"
"2013-07-24","56.34"
"2013-07-23","57.40"
"2013-07-22","57.29"
"2013-07-19","57.89"
"2013-07-18","56.78"
"2013-07-17","56.17"
"2013-07-16","56.19"
"2013-07-15","56.10"
"2013-07-12","55.65"
"2013-07-11","55.97"
"2013-07-10","55.27"
"2013-07-09","55.61"
"2013-07-08","54.82"
"2013-07-05","54.56"
"2013-07-03","53.50"
"2013-07-02","53.05"
"2013-07-01","52.28"
"2013-06-28","51.88"
"2013-06-27","52.36"
"2013-06-26","52.99"
"2013-06-25","53.07"
"2013-06-24","52.03"
"2013-06-21","53.43"
"2013-06-20","52.71"
"2013-06-19","54.13"
"2013-06-18","55.30"
"2013-06-17","55.00"
"2013-06-14","54.32"
"2013-06-13","55.04"
"2013-06-12","54.54"
"2013-06-11","55.26"
"2013-06-10","56.22"
"2013-06-07","56.85"
"2013-06-06","55.83"
"2013-06-05","56.64"
"2013-06-04","57.25"
"2013-06-03","57.55"
"2013-05-31","56.85"
"2013-05-30","58.39"
"2013-05-29","58.66"
"2013-05-28","58.23"
"2013-05-24","57.84"
"2013-05-23","58.29"
"2013-05-22","59.15"
"2013-05-21","60.17"
"2013-05-20","59.86"
"2013-05-17","58.79"
"2013-05-16","58.23"
"2013-05-15","58.76"
"2013-05-14","59.45"
"2013-05-13","59.17"
"2013-05-10","59.18"
"2013-05-09","58.39"
"2013-05-08","58.43"
"2013-05-07","58.12"
"2013-05-06","58.40"
"2013-05-03","58.15"
"2013-05-02","56.64"
"2013-05-01","55.24"
"2013-04-30","55.06"
"2013-04-29","54.77"
"2013-04-26","53.61"
"2013-04-25","53.47"
"2013-04-24","53.43"
"2013-04-23","52.93"
"2013-04-22","51.70"
"2013-04-19","51.44"
"2013-04-18","53.10"
"2013-04-17","52.80"
"2013-04-16","54.03"
"2013-04-15","53.10"
"2013-04-12","55.05"
"2013-04-11","56.54"
"2013-04-10","55.80"
"2013-04-09","55.23"
"2013-04-08","54.44"
"2013-04-05","54.00"
"2013-04-04","53.39"
"2013-04-03","53.85"
"2013-04-02","54.95"
"2013-04-01","55.52"
"2013-03-28","56.42"
"2013-03-27","57.14"
"2013-03-26","57.21"
"2013-03-25","57.02"
"2013-03-22","57.31"
"2013-03-21","56.91"
"2013-03-20","57.11"
"2013-03-19","57.26"
"2013-03-18","57.97"
"2013-03-15","58.06"
"2013-03-14","57.68"
"2013-03-13","55.69"
"2013-03-12","55.86"
"2013-03-11","55.96"
"2013-03-08","56.24"
"2013-03-07","55.79"
"2013-03-06","54.32"
"2013-03-05","54.08"
"2013-03-04","53.53"
"2013-03-01","53.88"
"2013-02-28","54.26"
"2013-02-27","54.14"
"2013-02-26","53.73"
"2013-02-25","54.00"
"2013-02-22","54.98"
"2013-02-21","54.88"
"2013-02-20","56.57"
"2013-02-19","60.57"
"2013-02-15","59.25"
"2013-02-14","60.66"
"2013-02-13","61.48"
"2013-02-12","59.53"
"2013-02-11","59.70"
"2013-02-08","60.42"
"2013-02-07","59.50"
"2013-02-06","58.10"
"2013-02-05","58.09"
"2013-02-04","57.18"
"2013-02-01","58.02"
"2013-01-31","57.19"
"2013-01-30","57.75"
"2013-01-29","56.96"
"2013-01-28","54.56"
"2013-01-25","54.98"
"2013-01-24","54.29"
"2013-01-23","54.29"
"2013-01-22","54.99"
"2013-01-18","54.28"
"2013-01-17","54.14"
"2013-01-16","53.86"
"2013-01-15","53.67"
"2013-01-14","53.82"
"2013-01-11","54.26"
"2013-01-10","53.88"
"2013-01-09","53.35"
"2013-01-08","54.21"
"2013-01-07","54.60"
"2013-01-04","54.58"
"2013-01-03","53.39"
"2013-01-02","52.46"
"2012-12-31","52.04"
"2012-12-28","51.15"
"2012-12-27","52.26"
"2012-12-26","52.36"
"2012-12-24","52.87"
"2012-12-21","53.46"
"2012-12-20","54.19"
"2012-12-19","53.77"
"2012-12-18","54.14"
"2012-12-17","52.13"
"2012-12-14","51.92"
"2012-12-13","52.33"
"2012-12-12","52.91"
"2012-12-11","52.46"
"2012-12-10","52.32"
"2012-12-07","52.92"
"2012-12-06","53.09"
"2012-12-05","52.62"
"2012-12-04","51.88"
"2012-12-03","51.90"
"2012-11-30","51.67"
"2012-11-29","52.60"
"2012-11-28","53.12"
"2012-11-27","53.12"
"2012-11-26","52.87"
"2012-11-23","53.23"
"2012-11-21","52.89"
"2012-11-20","52.74"
"2012-11-19","53.49"
"2012-11-16","52.40"
"2012-11-15","52.48"
"2012-11-14","53.06"
"2012-11-13","53.70"
"2012-11-12","53.94"
"2012-11-09","53.83"
"2012-11-08","54.02"
"2012-11-07","55.41"
"2012-11-06","59.62"
"2012-11-05","57.83"
"2012-11-02","57.80"
"2012-11-01","58.52"
"2012-10-31","58.21"
"2012-10-26","58.29"
"2012-10-25","58.88"
"2012-10-24","58.77"
"2012-10-23","59.59"
"2012-10-22","61.37"
"2012-10-19","62.00"
"2012-10-18","62.65"
"2012-10-17","62.81"
"2012-10-16","61.46"
"2012-10-15","60.96"
"2012-10-12","61.36"
"2012-10-11","61.61"
"2012-10-10","60.48"
"2012-10-09","61.07"
"2012-10-08","59.98"
"2012-10-05","60.02"
"2012-10-04","60.82"
"2012-10-03","60.13"
"2012-10-02","61.57"
"2012-10-01","60.78"
"2012-09-28","60.50"
"2012-09-27","60.63"
"2012-09-26","59.00"
"2012-09-25","59.48"
"2012-09-24","60.24"
"2012-09-21","61.13"
"2012-09-20","60.97"
"2012-09-19","60.96"
"2012-09-18","61.96"
"2012-09-17","63.14"
"2012-09-14","63.49"
"2012-09-13","62.19"
"2012-09-12","61.43"
"2012-09-11","60.62"
"2012-09-10","59.37"
"2012-09-07","59.34"
"2012-09-06","58.40"
"2012-09-05","57.01"
"2012-09-04","57.45"
"2012-08-31","57.83"
"2012-08-30","57.64"
"2012-08-29","58.73"
"2012-08-28","60.29"
"2012-08-27","60.20"
"2012-08-24","61.04"
"2012-08-23","60.52"
"2012-08-22","61.23"
"2012-08-21","60.16"
"2012-08-20","59.26"
"2012-08-17","58.97"
"2012-08-16","58.89"
"2012-08-15","58.40"
"2012-08-14","58.75"
"2012-08-13","59.01"
"2012-08-10","59.88"
"2012-08-09","60.42"
"2012-08-08","59.45"
"2012-08-07","59.07"
"2012-08-06","57.47"
"2012-08-03","56.32"
"2012-08-02","55.41"
"2012-08-01","57.06"
"2012-07-31","59.12"
"2012-07-30","59.21"
"2012-07-27","58.88"
"2012-07-26","57.95"
"2012-07-25","56.59"
"2012-07-24","56.88"
"2012-07-23","58.35"
"2012-07-20","58.99"
"2012-07-19","58.95"
"2012-07-18","58.73"
"2012-07-17","58.13"
"2012-07-16","56.26"
"2012-07-13","55.40"
"2012-07-12","54.65"
"2012-07-11","55.83"
"2012-07-10","55.37"
"2012-07-09","56.74"
"2012-07-06","57.25"
"2012-07-05","57.99"
"2012-07-03","58.48"
"2012-07-02","57.13"
"2012-06-29","57.99"
"2012-06-28","56.84"
"2012-06-27","56.20"
"2012-06-26","54.58"
"2012-06-25","54.32"
"2012-06-22","55.50"
"2012-06-21","54.89"
"2012-06-20","56.98"
"2012-06-19","57.82"
"2012-06-18","56.87"
"2012-06-15","57.35"
"2012-06-14","56.70"
"2012-06-13","56.34"
"2012-06-12","57.55"
"2012-06-11","57.26"
"2012-06-08","58.71"
"2012-06-07","59.30"
"2012-06-06","60.09"
"2012-06-05","59.07"
"2012-06-04","58.36"
"2012-06-01","57.99"
"2012-05-31","59.52"
"2012-05-30","59.75"
"2012-05-29","61.15"
"2012-05-25","60.02"
"2012-05-24","60.43"
"2012-05-23","61.16"
"2012-05-22","61.62"
"2012-05-21","62.89"
"2012-05-18","61.43"
"2012-05-17","61.38"
"2012-05-16","61.69"
"2012-05-15","62.35"
"2012-05-14","63.77"
"2012-05-11","64.48"
"2012-05-10","64.60"
"2012-05-09","64.03"
"2012-05-08","64.51"
"2012-05-07","64.35"
"2012-05-04","65.03"
"2012-05-03","66.47"
"2012-05-02","68.06"
"2012-05-01","70.65"
"2012-04-30","69.85"
"2012-04-27","69.66"
"2012-04-26","69.05"
"2012-04-25","67.70"
"2012-04-24","66.79"
"2012-04-23","65.95"
"2012-04-20","65.23"
"2012-04-19","65.91"
"2012-04-18","66.70"
"2012-04-17","68.19"
"2012-04-16","67.00"
"2012-04-13","67.84"
"2012-04-12","69.13"
"2012-04-11","67.72"
"2012-04-10","68.94"
"2012-04-09","70.29"
"2012-04-05","71.17"
"2012-04-04","71.28"
"2012-04-03","71.15"
"2012-04-02","72.33"
"2012-03-30","71.12"
"2012-03-29","70.61"
"2012-03-28","71.05"
"2012-03-27","71.16"
"2012-03-26","72.65"
"2012-03-23","72.04"
"2012-03-22","70.85"
"2012-03-21","72.80"
"2012-03-20","73.90"
"2012-03-19","75.81"
"2012-03-16","73.73"
"2012-03-15","72.54"
"2012-03-14","71.32"
"2012-03-13","72.10"
"2012-03-12","71.11"
"2012-03-09","71.81"
"2012-03-08","72.15"
"2012-03-07","72.18"
"2012-03-06","71.00"
"2012-03-05","72.68"
"2012-03-02","73.00"
"2012-03-01","74.13"
"2012-02-29","73.31"
"2012-02-28","73.98"
"2012-02-27","75.15"
"2012-02-24","75.19"
"2012-02-23","75.09"
"2012-02-22","74.76"
"2012-02-21","75.23"
"2012-02-17","74.95"
"2012-02-16","75.02"
"2012-02-15","71.70"
"2012-02-14","66.90"
"2012-02-13","65.64"
"2012-02-10","64.65"
"2012-02-09","66.23"
"2012-02-08","66.26"
"2012-02-07","66.02"
"2012-02-06","64.46"
"2012-02-03","63.46"
"2012-02-02","63.92"
"2012-02-01","63.75"
"2012-01-31","63.81"
"2012-01-30","64.61"
"2012-01-27","65.01"
"2012-01-26","64.82"
"2012-01-25","66.17"
"2012-01-24","64.17"
"2012-01-23","65.28"
"2012-01-20","63.29"
"2012-01-19","64.15"
"2012-01-18","64.40"
"2012-01-17","63.68"
"2012-01-13","63.10"
"2012-01-12","63.38"
"2012-01-11","63.68"
"2012-01-10","65.70"
"2012-01-09","65.84"
"2012-01-06","64.75"
"2012-01-05","65.37"
"2012-01-04","65.38"
"2012-01-03","66.11"
"2011-12-30","62.00"
"2011-12-29","62.29"
"2011-12-28","61.16"
"2011-12-27","62.36"
"2011-12-23","62.51"
"2011-12-22","62.87"
"2011-12-21","62.45"
"2011-12-20","61.21"
"2011-12-19","59.05"
"2011-12-16","60.45"
"2011-12-15","60.35"
"2011-12-14","61.07"
"2011-12-13","63.38"
"2011-12-12","64.23"
"2011-12-09","66.56"
"2011-12-08","63.73"
"2011-12-07","66.50"
"2011-12-06","67.02"
"2011-12-05","66.35"
"2011-12-02","65.39"
"2011-12-01","65.10"
"2011-11-30","65.46"
"2011-11-29","61.91"
"2011-11-28","60.84"
"2011-11-25","58.58"
"2011-11-23","59.52"
"2011-11-22","61.70"
"2011-11-21","62.71"
"2011-11-18","63.72"
"2011-11-17","63.94"
"2011-11-16","66.16"
"2011-11-15","66.97"
"2011-11-14","66.88"
"2011-11-11","68.47"
"2011-11-10","67.24"
"2011-11-09","65.66"
"2011-11-08","69.37"
"2011-11-07","65.88"
"2011-11-04","65.38"
"2011-11-03","66.06"
"2011-11-02","65.46"
"2011-11-01","62.41"
"2011-10-31","64.95"
"2011-10-28","68.15"
"2011-10-27","66.37"
"2011-10-26","62.71"
"2011-10-25","61.60"
"2011-10-24","63.74"
"2011-10-21","64.41"
"2011-10-20","62.79"
"2011-10-19","62.30"
"2011-10-18","61.53"
"2011-10-17","59.68"
"2011-10-14","60.71"
"2011-10-13","59.04"
"2011-10-12","60.22"
"2011-10-11","58.78"
"2011-10-10","58.76"
"2011-10-07","56.48"
"2011-10-06","57.76"
"2011-10-05","56.34"
"2011-10-04","55.55"
"2011-10-03","53.34"
"2011-09-30","55.44"
"2011-09-29","57.67"
"2011-09-28","56.42"
"2011-09-27","58.64"
"2011-09-26","57.43"
"2011-09-23","55.37"
"2011-09-22","56.91"
"2011-09-21","61.61"
"2011-09-20","64.87"
"2011-09-19","64.55"
"2011-09-16","66.11"
"2011-09-15","65.99"
"2011-09-14","64.74"
"2011-09-13","64.13"
"2011-09-12","63.78"
"2011-09-09","63.19"
"2011-09-08","65.62"
"2011-09-07","66.38"
"2011-09-06","63.84"
"2011-09-02","64.61"
"2011-09-01","66.58"
"2011-08-31","67.83"
"2011-08-30","67.17"
"2011-08-29","66.01"
"2011-08-26","64.38"
"2011-08-25","63.41"
"2011-08-24","64.86"
"2011-08-23","64.66"
"2011-08-22","62.97"
"2011-08-19","63.55"
"2011-08-18","64.57"
"2011-08-17","68.68"
"2011-08-16","68.94"
"2011-08-15","69.78"
"2011-08-12","68.00"
"2011-08-11","68.38"
"2011-08-10","66.28"
"2011-08-09","68.73"
"2011-08-08","65.35"
"2011-08-05","69.90"
"2011-08-04","71.65"
"2011-08-03","75.79"
"2011-08-02","75.35"
"2011-08-01","78.32"
"2011-07-29","78.70"
"2011-07-28","79.97"
"2011-07-27","81.61"
"2011-07-26","82.79"
"2011-07-25","83.76"
"2011-07-22","84.35"
"2011-07-21","83.69"
"2011-07-20","82.02"
"2011-07-19","82.32"
"2011-07-18","79.97"
"2011-07-15","80.46"
"2011-07-14","77.88"
"2011-07-13","78.30"
"2011-07-12","77.77"
"2011-07-11","78.26"
"2011-07-08","80.32"
"2011-07-07","81.55"
"2011-07-06","80.01"
"2011-07-05","79.80"
"2011-07-01","78.76"
"2011-06-30","78.81"
"2011-06-29","77.92"
"2011-06-28","77.98"
"2011-06-27","76.02"
"2011-06-24","76.61"
"2011-06-23","77.49"
"2011-06-22","78.09"
"2011-06-21","78.22"
"2011-06-20","76.73"
"2011-06-17","76.95"
"2011-06-16","77.12"
"2011-06-15","77.09"
"2011-06-14","79.15"
"2011-06-13","77.51"
"2011-06-10","79.53"
"2011-06-09","81.42"
"2011-06-08","79.99"
"2011-06-07","80.73"
"2011-06-06","81.52"
"2011-06-03","82.28"
"2011-06-02","82.75"
"2011-06-01","82.77"
"2011-05-31","84.07"
"2011-05-27","83.34"
"2011-05-26","82.74"
"2011-05-25","83.12"
"2011-05-24","81.54"
"2011-05-23","80.64"
"2011-05-20","82.85"
"2011-05-19","82.53"
"2011-05-18","83.01"
"2011-05-17","81.82"
"2011-05-16","81.78"
"2011-05-13","82.02"
"2011-05-12","82.15"
"2011-05-11","83.16"
"2011-05-10","85.48"
"2011-05-09","85.55"
"2011-05-06","83.62"
"2011-05-05","83.46"
"2011-05-04","84.96"
"2011-05-03","87.32"
"2011-05-02","89.37"
"2011-04-29","91.00"
"2011-04-28","88.81"
"2011-04-27","88.18"
"2011-04-26","89.24"
"2011-04-25","88.21"
"2011-04-21","89.11"
"2011-04-20","88.84"
"2011-04-19","86.97"
"2011-04-18","86.19"
"2011-04-15","87.82"
"2011-04-14","87.77"
"2011-04-13","87.72"
"2011-04-12","85.98"
"2011-04-11","89.24"
"2011-04-08","91.40"
"2011-04-07","91.31"
"2011-04-06","90.86"
"2011-04-05","91.02"
"2011-04-04","91.98"
"2011-04-01","92.00"
"2011-03-31","91.77"
"2011-03-30","91.59"
"2011-03-29","91.70"
"2011-03-28","91.50"
"2011-03-25","93.01"
"2011-03-24","92.76"
"2011-03-23","92.96"
"2011-03-22","93.10"
"2011-03-21","92.69"
"2011-03-18","90.14"
"2011-03-17","89.45"
"2011-03-16","85.65"
"2011-03-15","87.55"
"2011-03-14","88.57"
"2011-03-11","88.05"
"2011-03-10","86.08"
"2011-03-09","89.71"
"2011-03-08","89.96"
"2011-03-07","90.53"
"2011-03-04","91.12"
"2011-03-03","90.16"
"2011-03-02","89.39"
"2011-03-01","88.76"
"2011-02-28","91.44"
"2011-02-25","90.35"
"2011-02-24","88.35"
"2011-02-23","89.67"
"2011-02-22","87.46"
"2011-02-18","88.20"
