"Date","Close"
"2013-12-31","22.94"
"2013-12-30","22.89"
"2013-12-27","23.17"
"2013-12-26","23.67"
"2013-12-24","23.83"
"2013-12-23","23.86"
"2013-12-20","23.54"
"2013-12-19","23.42"
"2013-12-18","22.86"
"2013-12-17","22.75"
"2013-12-16","22.06"
"2013-12-13","22.22"
"2013-12-12","20.97"
"2013-12-11","21.08"
"2013-12-10","22.06"
"2013-12-09","22.19"
"2013-12-06","22.24"
"2013-12-05","21.01"
"2013-12-04","22.34"
"2013-12-03","21.54"
"2013-12-02","21.90"
"2013-11-29","22.17"
"2013-11-27","22.11"
"2013-11-26","22.52"
"2013-11-25","22.78"
"2013-11-22","23.14"
"2013-11-21","23.39"
"2013-11-20","23.00"
"2013-11-19","23.32"
"2013-11-18","24.12"
"2013-11-15","24.06"
"2013-11-14","25.96"
"2013-11-13","26.42"
"2013-11-12","26.44"
"2013-11-11","25.99"
"2013-11-08","25.70"
"2013-11-07","25.33"
"2013-11-06","25.74"
"2013-11-05","25.56"
"2013-11-04","25.73"
"2013-11-01","25.63"
"2013-10-31","26.25"
"2013-10-30","26.00"
"2013-10-29","24.13"
"2013-10-28","24.83"
"2013-10-25","24.75"
"2013-10-24","24.74"
"2013-10-23","24.61"
"2013-10-22","25.23"
"2013-10-21","24.50"
"2013-10-18","25.03"
"2013-10-17","24.53"
"2013-10-16","24.21"
"2013-10-15","23.97"
"2013-10-14","24.59"
"2013-10-11","24.72"
"2013-10-10","25.22"
"2013-10-09","24.15"
"2013-10-08","24.07"
"2013-10-07","25.25"
"2013-10-04","25.76"
"2013-10-03","25.08"
"2013-10-02","25.62"
"2013-10-01","26.42"
"2013-09-30","25.55"
"2013-09-27","25.95"
"2013-09-26","26.15"
"2013-09-25","26.60"
"2013-09-24","26.55"
"2013-09-23","26.19"
"2013-09-20","26.54"
"2013-09-19","26.98"
"2013-09-18","26.86"
"2013-09-17","27.60"
"2013-09-16","26.96"
"2013-09-13","26.67"
"2013-09-12","26.39"
"2013-09-11","26.71"
"2013-09-10","26.95"
"2013-09-09","27.11"
"2013-09-06","26.76"
"2013-09-05","27.68"
"2013-09-04","27.99"
"2013-09-03","27.36"
"2013-08-30","26.64"
"2013-08-29","27.57"
"2013-08-28","27.13"
"2013-08-27","26.99"
"2013-08-26","27.86"
"2013-08-23","27.97"
"2013-08-22","27.78"
"2013-08-21","26.66"
"2013-08-20","26.75"
"2013-08-19","26.57"
"2013-08-16","26.89"
"2013-08-15","26.48"
"2013-08-14","26.66"
"2013-08-13","26.55"
"2013-08-12","26.68"
"2013-08-09","26.65"
"2013-08-08","26.64"
"2013-08-07","26.34"
"2013-08-06","26.44"
"2013-08-05","26.53"
"2013-08-02","26.57"
"2013-08-01","26.53"
"2013-07-31","26.12"
"2013-07-30","26.07"
"2013-07-29","25.48"
"2013-07-26","25.82"
"2013-07-25","24.64"
"2013-07-24","25.41"
"2013-07-23","23.83"
"2013-07-22","24.01"
"2013-07-19","24.27"
"2013-07-18","24.16"
"2013-07-17","23.81"
"2013-07-16","24.19"
"2013-07-15","24.19"
"2013-07-12","24.32"
"2013-07-11","24.27"
"2013-07-10","23.90"
"2013-07-09","23.57"
"2013-07-08","23.54"
"2013-07-05","23.83"
"2013-07-03","23.31"
"2013-07-02","23.52"
"2013-07-01","23.18"
"2013-06-28","22.99"
"2013-06-27","22.21"
"2013-06-26","21.79"
"2013-06-25","21.78"
"2013-06-24","21.61"
"2013-06-21","21.98"
"2013-06-20","22.15"
"2013-06-19","22.84"
"2013-06-18","23.03"
"2013-06-17","22.43"
"2013-06-14","21.81"
"2013-06-13","21.49"
"2013-06-12","21.54"
"2013-06-11","22.60"
"2013-06-10","22.87"
"2013-06-07","23.61"
"2013-06-06","23.28"
"2013-06-05","22.88"
"2013-06-04","22.72"
"2013-06-03","22.99"
"2013-05-31","22.99"
"2013-05-30","23.35"
"2013-05-29","23.16"
"2013-05-28","23.26"
"2013-05-24","22.77"
"2013-05-23","22.65"
"2013-05-22","21.75"
"2013-05-21","21.97"
"2013-05-20","21.79"
"2013-05-17","22.21"
"2013-05-16","22.02"
"2013-05-15","22.64"
"2013-05-14","22.41"
"2013-05-13","21.74"
"2013-05-10","22.48"
"2013-05-09","21.64"
"2013-05-08","21.56"
"2013-05-07","18.41"
"2013-05-06","18.29"
"2013-05-03","17.96"
"2013-05-02","17.54"
"2013-05-01","17.30"
"2013-04-30","17.61"
"2013-04-29","17.77"
"2013-04-26","17.88"
"2013-04-25","17.94"
