"Date","Close"
"2013-12-31","55.28"
"2013-12-30","55.23"
"2013-12-27","55.05"
"2013-12-26","54.99"
"2013-12-24","55.23"
"2013-12-23","54.77"
"2013-12-20","54.77"
"2013-12-19","54.85"
"2013-12-18","55.41"
"2013-12-17","54.76"
"2013-12-16","54.59"
"2013-12-13","54.33"
"2013-12-12","54.40"
"2013-12-11","54.46"
"2013-12-10","54.84"
"2013-12-09","55.56"
"2013-12-06","55.85"
"2013-12-05","54.96"
"2013-12-04","55.55"
"2013-12-03","55.30"
"2013-12-02","55.08"
"2013-11-29","55.21"
"2013-11-27","55.19"
"2013-11-26","55.18"
"2013-11-25","55.86"
"2013-11-22","55.92"
"2013-11-21","56.24"
"2013-11-20","56.94"
"2013-11-19","57.84"
"2013-11-18","58.22"
"2013-11-15","58.07"
"2013-11-14","57.55"
"2013-11-13","57.13"
"2013-11-12","56.83"
"2013-11-11","57.15"
"2013-11-08","57.27"
"2013-11-07","58.55"
"2013-11-06","58.82"
"2013-11-05","58.35"
"2013-11-04","58.64"
"2013-11-01","58.41"
"2013-10-31","58.22"
"2013-10-30","58.17"
"2013-10-29","58.46"
"2013-10-28","58.42"
"2013-10-25","58.59"
"2013-10-24","58.22"
"2013-10-23","58.35"
"2013-10-22","57.86"
"2013-10-21","56.65"
"2013-10-18","56.86"
"2013-10-17","56.75"
"2013-10-16","55.85"
"2013-10-15","55.31"
"2013-10-14","55.96"
"2013-10-11","56.26"
"2013-10-10","56.16"
"2013-10-09","55.83"
"2013-10-08","55.42"
"2013-10-07","54.79"
"2013-10-04","54.51"
"2013-10-03","54.63"
"2013-10-02","55.20"
"2013-10-01","55.17"
"2013-09-30","55.14"
"2013-09-27","55.15"
"2013-09-26","55.64"
"2013-09-25","55.78"
"2013-09-24","56.26"
"2013-09-23","56.40"
"2013-09-20","55.97"
"2013-09-19","56.58"
"2013-09-18","56.99"
"2013-09-17","55.28"
"2013-09-16","55.11"
"2013-09-13","54.88"
"2013-09-12","54.63"
"2013-09-11","55.00"
"2013-09-10","55.90"
"2013-09-09","55.83"
"2013-09-06","55.59"
"2013-09-05","55.15"
"2013-09-04","55.59"
"2013-09-03","55.50"
"2013-08-30","56.23"
"2013-08-29","56.20"
"2013-08-28","56.44"
"2013-08-27","56.31"
"2013-08-26","56.20"
"2013-08-23","56.59"
"2013-08-22","56.05"
"2013-08-21","55.73"
"2013-08-20","56.42"
"2013-08-19","56.10"
"2013-08-16","56.64"
"2013-08-15","57.39"
"2013-08-14","58.24"
"2013-08-13","58.71"
"2013-08-12","59.28"
"2013-08-09","60.30"
"2013-08-08","60.59"
"2013-08-07","60.54"
"2013-08-06","59.80"
"2013-08-05","60.03"
"2013-08-02","60.37"
"2013-08-01","60.33"
"2013-07-31","59.90"
"2013-07-30","60.30"
"2013-07-29","60.27"
"2013-07-26","59.93"
"2013-07-25","59.42"
"2013-07-24","59.63"
"2013-07-23","60.40"
"2013-07-22","60.13"
"2013-07-19","60.48"
"2013-07-18","60.12"
"2013-07-17","59.77"
"2013-07-16","59.74"
"2013-07-15","60.05"
"2013-07-12","59.20"
"2013-07-11","58.81"
"2013-07-10","57.88"
"2013-07-09","57.88"
"2013-07-08","57.73"
"2013-07-05","57.16"
"2013-07-03","57.46"
"2013-07-02","57.56"
"2013-07-01","57.51"
"2013-06-28","58.31"
"2013-06-27","58.04"
"2013-06-26","58.11"
"2013-06-25","57.03"
"2013-06-24","56.29"
"2013-06-21","56.39"
"2013-06-20","55.78"
"2013-06-19","57.28"
"2013-06-18","58.95"
"2013-06-17","58.57"
"2013-06-14","57.82"
"2013-06-13","57.56"
"2013-06-12","56.77"
"2013-06-11","57.15"
"2013-06-10","57.40"
"2013-06-07","57.43"
