"Date","Close"
"2013-12-31","69.09"
"2013-12-30","69.35"
"2013-12-27","69.10"
"2013-12-26","69.17"
"2013-12-24","69.00"
"2013-12-23","68.32"
"2013-12-20","67.69"
"2013-12-19","67.07"
"2013-12-18","67.24"
"2013-12-17","67.10"
"2013-12-16","68.03"
"2013-12-13","66.76"
"2013-12-12","66.80"
"2013-12-11","66.67"
"2013-12-10","67.42"
"2013-12-09","68.09"
"2013-12-06","68.31"
"2013-12-05","66.66"
"2013-12-04","66.96"
"2013-12-03","67.04"
"2013-12-02","67.30"
"2013-11-29","67.33"
"2013-11-27","67.46"
"2013-11-26","67.54"
"2013-11-25","67.93"
"2013-11-22","67.85"
"2013-11-21","67.45"
"2013-11-20","66.94"
"2013-11-19","66.80"
"2013-11-18","66.56"
"2013-11-15","66.42"
"2013-11-14","66.21"
"2013-11-13","65.79"
"2013-11-12","65.07"
"2013-11-11","64.65"
"2013-11-08","64.70"
"2013-11-07","63.57"
"2013-11-06","64.32"
"2013-11-05","64.33"
"2013-11-04","65.15"
"2013-11-01","65.18"
"2013-10-31","64.67"
"2013-10-30","64.72"
"2013-10-29","65.09"
"2013-10-28","65.89"
"2013-10-25","65.52"
"2013-10-24","63.73"
"2013-10-23","61.30"
"2013-10-22","61.66"
"2013-10-21","61.84"
"2013-10-18","62.17"
"2013-10-17","61.62"
"2013-10-16","60.59"
"2013-10-15","60.14"
"2013-10-14","61.15"
"2013-10-11","60.90"
"2013-10-10","60.82"
"2013-10-09","59.43"
"2013-10-08","59.17"
"2013-10-07","59.50"
"2013-10-04","59.59"
"2013-10-03","58.98"
"2013-10-02","59.37"
"2013-10-01","59.87"
"2013-09-30","59.85"
"2013-09-27","59.81"
"2013-09-26","59.74"
"2013-09-25","59.68"
"2013-09-24","60.30"
"2013-09-23","61.06"
"2013-09-20","61.53"
"2013-09-19","62.36"
"2013-09-18","61.57"
"2013-09-17","61.03"
"2013-09-16","60.70"
"2013-09-13","59.95"
"2013-09-12","59.40"
"2013-09-11","59.59"
"2013-09-10","59.63"
"2013-09-09","59.72"
"2013-09-06","59.34"
"2013-09-05","59.58"
"2013-09-04","59.44"
"2013-09-03","59.25"
"2013-08-30","59.09"
"2013-08-29","60.38"
"2013-08-28","60.43"
"2013-08-27","61.18"
"2013-08-26","62.48"
"2013-08-23","62.43"
"2013-08-22","62.55"
"2013-08-21","62.03"
"2013-08-20","62.62"
"2013-08-19","62.11"
"2013-08-16","62.32"
"2013-08-15","62.69"
"2013-08-14","64.28"
"2013-08-13","65.09"
"2013-08-12","65.04"
"2013-08-09","65.16"
"2013-08-08","65.43"
"2013-08-07","64.75"
"2013-08-06","65.16"
"2013-08-05","65.37"
"2013-08-02","65.19"
"2013-08-01","64.50"
"2013-07-31","63.23"
"2013-07-30","63.50"
"2013-07-29","62.93"
"2013-07-26","61.79"
"2013-07-25","61.87"
"2013-07-24","60.73"
"2013-07-23","61.49"
"2013-07-22","61.69"
"2013-07-19","61.44"
"2013-07-18","61.60"
"2013-07-17","61.05"
"2013-07-16","61.05"
"2013-07-15","61.40"
"2013-07-12","61.09"
"2013-07-11","61.05"
"2013-07-10","60.40"
"2013-07-09","59.83"
"2013-07-08","59.66"
"2013-07-05","59.54"
"2013-07-03","59.03"
"2013-07-02","59.29"
"2013-07-01","59.41"
"2013-06-28","58.93"
"2013-06-27","59.20"
"2013-06-26","58.65"
"2013-06-25","58.59"
"2013-06-24","58.02"
"2013-06-21","58.45"
"2013-06-20","59.40"
"2013-06-19","60.55"
"2013-06-18","61.30"
"2013-06-17","60.31"
"2013-06-14","60.80"
"2013-06-13","60.74"
"2013-06-12","59.67"
"2013-06-11","59.98"
"2013-06-10","60.35"
"2013-06-07","60.35"
